User Name,Review Time,Rating,Review Text
nina aimasari,2025-12-25,5,Tidak nyesel pilih crowne di antara banyak hotel2 baru di bandung bener benar pengalaman menyenangkan tinggal di sini semua staf nya ramah banget apalagi bawa anak kecil disini pasti sangat bahagia banget anak-anak klub super bersih dan terawat kolamnya besar tempat ganti baju bersih banget ruang eksekutif akses nya juga bener2 layak makanannya enak semua sarapannya banyak banget pilihannya dan enak semua tidak ada yang gagal keramahan terbaik dari semua hotel yang pernah keluarga saya tempat di sini salah satu hotel yang semua staf nya paling ramah benar-benar semua nya ramah2 dan baik2 sangat spesial terima kasih mbak buat pengalaman liburan anakku jadi sangat menyenangkan pasti kembali untuk
Frisca Widianti,2025-12-18,5,Suka sekali menginap di hotel ini salah satu yang paling favorit hotel fasilitas lengkap ada kolam renang gym anak-anak klub nya nyaman sekali kamar dan kamar mandi nya bersih rapih dan lengkap makanan saat sarapan enak banyak ragam dan tidak ada yang gagal satupun salah satu favorit saya itu di sudut kopi nya dan kue nya juara layanan juara semua nya benar2 tulus dalam memberikan layanan semua staf nya ramah penuh senyum dan membantufull sempat ketinggalan barang sangat dan disimpan dengan baik jika ada kesempatan kami akan tinggal kembali di sini
Riska Masita,2025-12-08,5,hotel ini tidak tahu lg harus menggambarkannya kaya apa ini hotel terbaik pokonya oke mulai dari awal lobi 1 begitu kita sampai dilobi kita lgsg disambut ramah bpk keamanan untuk diarahkan ketempat parkir benar2 sudah mulai terasa dimanjakan sbg tamu tidak sampai situ saja setelah itu sya turun dan lgsg disambut ramah sama petugas2 yang menjaga di pintu masuk lobi resepsionis 1 sayangnya sya lupa nama yang melayani sya untuk proses cek ini petugasnya jg ramah informatif membantu dan yang lebih mengejutkan tiba2 kami mendapatkan upgrade gratis kamar dari tipe kamar yang kami pesan lg dari pihak lain
Tiya Inggriyani,2025-12-08,5,hotel bintang 5 yang lokasinya sangat strategis untuk menjajal lokasi viral di tengah kota cocok sekali untuk yang mau keliling braga dan sekitarnya dengan berjalan kaki pengalaman jalan2 sore atau jalan malamnya dapet banget karena braga sekitar sudah sangat sulit jika bawa kendaraan khususnya pada akhir pekan ya pelayanannya bagus sekali karena bintang 5 ya memberikan solusi alternatif dari situasi yang dihadapi konsumen saya sangat terkesan dengan kamar mandi yang dibuat seperti yang mereka miliki minimal bocor udara jadi tidak perlu ada sekat keramiknya permukaan lantai bagian mandi menurun ada tampungan cekung memanjang sebelum ke lubang udara jadi udara kotor tidak kena ke kaki
Fitriani Kembar,2025-12-18,5,highlight dariku hotel crone excellent dalam pelayanan sangat menghargai buat 3 staf di lobi depan yang gercep bantu aku yang datang sendirian dengan kerempongan bawa 2 anak bahkan salah satu staf notisi sepatu anakku cuma sebelah lalu staf lain lari kejar ambil buat ambil sepatu anakku terima kasih banget bapak2 yang bekerja dengan hati fasilitas sudah termasuk lengkap buat agenda menginap krna sudah dilengkapi dengan taman bermain kolam renang yang ramah anak kamar bersih sgt dan rapi hanya minus tidak ada harum2an saja makanan cukup beragam tapi dari rasanya menurutku perlu ditingkatkan lagi aku cobain pecelnya dikasi yang sudah dikampur2 entah dari mana
yunanti ratnawati,2025-12-25,5,secara keseluruhan oke hanya kamar saja view kamar kami depan pipa tapi yang lain seperti anak-anak klub kolam anak2 suka banget tempat gym juga luas dan lengkap keramahan dalam pelayanan oke banget terutama mas lukman di bagian resto sangat ramah dan beberapa kali menawarkan bantuan untuk mengambilkan makanan karyawan yang seperti ini layak dapat apresiasi bravo mahkota berikutnya kami ke sini jangan dikasih kamar view pipa2 lagi ya
Siti Sofiah,2026-01-01,5,kamar nya luas bersih sesuai dengan pesanan fasilitas hotel nya lengkap tapi ada yang kurang sih kemarin dapet kamar yang krannya copot jadi untuk pakai mandi agak susah
August Tiara,2025-12-25,5,menurut aku hotel bukan hanya soal kamar yang nyaman tapi pelayanan yang super ramah juga pasti bikin kita nyaman di sini semua stafnya ramah2 banget kamarnya pun bersih meskipun memakai karpet tidak ada debu makanan sarapannya juga super lengkap
Ria Istiningsih,2026-01-01,5,hotel nyaman skali pelayanan adalah staf terbaik smua membantu peduli dengan tamu proses cek masuk cepat lokasi strategis parkir mobil banyak paling suka dengan hotel yang menyediakan parkir mobil dengan tmpt yang banyak trims hotel crowne
Nugraha,2026-01-01,5,layanan di hotel sangat ramah untuk kamar juga nyaman sekali lalu saat sarapan makanannya enak enak semua terima kash ba fitri dan ba nakira
kwan,2026-01-01,5,pelayanan ramah dan bagus kebersihan bagus rapi fasilitas lengkap kamar bersih sarapan beragam macam dan lengkap rasa tergantung masing bagi saya lumayan enak
Ummu Early,2025-12-08,5,Alhamdulillah menginap di hotel ini sangat bersih dan juga nyaman fasilitasnya baru lengkap ada taman bermain buat anak2 makanan saat sarapan sangat lengkap dan berlimpah tentunya enak pelayanan nya nya sangat ramah dan membantu apalagi di bantu pelayanannya oleh mas faid lokasi hotel sangat dekat bisa berjalan kaki ke braga dan juga asia afrika tentu jika ada kesempatan kita akan kembali menginap di sini terimakasih
Arryu 2026,2025-12-25,5,pengalaman yang menarik dan menyenangkan dengan lokasi strategis dekat dengan braga sarapan yang lengkap menuunya mo eskrim aneka masakan telor soto sosis dll yang memanjakan lidah untuk menyantapnya
Mas Agung Chandra,2025-12-08,5,saya sangat puas menginap di crowne plaza bandung pelayanan hotelnya sangat baik staf ramah dan responsif kamar yang saya tempati luas bersih dan sangat nyaman lokasinya juga sangat strategis karena berada di pusat kota sehingga mudah menjangkau berbagai tempat menu sarapan paginya beragam dengan banyak pilihan makanan yang enak dan berkualitas secara keseluruhan pengalaman menginap di sini sangat menyenangkan dan layak direkomendasikan saya pasti akan kembali lagi jika berkunjung ke bandung
Ade Havidz,2026-01-01,5,selama menginap 2 hari alhamdulillah pelayanan staf nya ramah terutama pak deden yang membantu melayani sarapan kami lokasi hotel ini sangat strategis
Eka Yuli,2026-01-01,5,kamar bersih dan luas tempat tidur juga nyaman sarapan banyak variasiinya dan rasanya enak tempat juga strategis apalagi untuk wisatawan yang berniat kuliner di kota bandung
