User Name,Review Time,Rating,Review Text
Rahmat Hidayat,2025-12-26,5,Salah satu hotel dengan lokasi yang strategis di kota balikpapan dekat dengan bandara dan mall serta pusat perbelanjaan hotel dengan fasilitas yang sangat lengkap kolam renang dan menu sarapannya juga enak dianjurkan
Kenji-Nagao-Abel,2025-12-12,4,kamar bersih dan nyaman tersedia saluran hbo hbo fam hbo hits dll peralatan gym cukup lengkap menu sarapan pagi berlimpah dan berkualitas kolam renang kecil kurang menarik
Husein Alfaritsi,2025-12-09,5,Salah satu yang menjadi terkesan adalah resepsionis nyamperin ke kita untuk memberikan kuncinya jarang2 ada seperti ini biasanya pegawai menunggu pelanggan untuk mengambil sendiri ke meja mereka seolah2 mereka membutuhkan kita untuk bisa menginap di sini jadi momen tak terlupakan hotel bersih nyaman untuk istirahat sebelum melanjutkan penerbangan ke jakarta apalagi habis dari daerah grogot 3 harian
nizar fariz,2025-09-09,4,saya 2 hari menginap secara keseluruhan oke dari sisi staf yang ramah dengan pelayanan yang tanggap dengan makanan yang enak tapi untuk sekelas marriot chain hotel perlengkapan di toilet sangat kurang tidak ada alat cukur hanya ada 1 tangan kecil kemudian tidak ada tempat baru untuk menggantung tangan dan baju di toilet yang tepat apalagi kamar mandi yang ukurannya cukup kecil tolong belakang tirai rajin dibersihkan kemudian kolam lantai 5 juga kurang bersih hari pertama sudah saya laporkan ada kotoran yang berada dipojokan tapi sampai hari ke 2 kotoran itu tetap ada
Annisa Ananda,2025-09-09,5,sayang banget tidak ada bintang 10 disini 10 keluar dari 10 untuk perhotelan seluruh staf di hotel ini resepsi dari saya cek masuk sampai cek keluar semuanya sangat baik hati dan sangat membantu sangat sangat sangat ramah sampai insinyur yang sedang bekerja di parkir saja menyapa suami saya yang yang keluar untuk mengambil barang di mobil sebenarnya ini salah satu hal yang sederhana dan sederhana yang harus selalu diterapkan dalam bisnis perhotelan tapi saya sudah sering menginap di berbagai macam hotel dan menurut saya pribadi empat poin balikpapan adalah salah satu yang terbaik proses cek masuk pun benar salah satu yang terbaik dan keluar dibalikpapan 10 dari 10 untuk restoran
Muammar Aldafi,2025-12-09,5,pengalaman pertama menginap sangat berkesan baik dari segi pelayanan kamar fasilitas seperti kolam renang gym hingga restoran sangat baik pertama menggunakan voucher dan kedua lanjut total 2 malam menjadi catatan bagian kasurnya bisa agak lebar lagi dan untuk tv seharusnya sudah bisa youtube dan netflix moga sukses selalu
lea jamil,2025-12-19,5,hotel luar biasa cmn untuk masalah parkir petugasnya lelet tidak sigap cuek lebih ramah sigap mas2 parkir bohong di semua hotel di balikpapan ini yang trburuk
Ika Bagus Priyambada,2025-12-19,5,hotel bersih dan tenang dekat dengan bandara lobi perlu dibuat lebih mewah lagi karena jadi wajahnya hotel berbintang
Asih Tanzila,2025-08-09,5,kalau ada kesempatan aku mau menginap disini lagi sihh aku tinggal di deluxe premium pool view bestt banget kamarnya luas semua staf servicenya luar biasaa yang paling gong sarapannya lengkap banget enak enak anak-anak friendly poolnya gedee ada taman bermain layak selama bolak balik balikpapan ini pengalaman menginap terbaik aku sih terima kasih empat poin
Viena Yuana,2025-09-09,5,Saya sangat mengapresiasi pelayanan staf yang sangat ramah terutama pak sany dan bu siska di restoran makan berkat bantuan staf staf yang tanggap saya dapat menikmati hidangan lezat di restoran tanpa harus kewalahan dengan anak balita saya selain itu kamar dan fasilitas lain sangat nyaman
Rizky Trimulyani,2025-09-09,5,menginap pertama kali di sini Mei 2025 bisa jadi ini hotel terbaik di balikpapan saat ini ya pelayanannya gausah diraguin lagi desain interior tidak ada kamar super duper nyaman bersih dan lega kekurangannya hanya akses jalanan untuk bisa sampai di hotel sempet ngelalui banjir karena kebetulan hujan deras banget di balikpapan oya kolam renangnya terlalu kecil juga untuk ukuran hotel bintang 5 agak kurang cocok saja sih karena hotel sudah cukup bagus ini ya ya selanjutnya masih mau kembali lagi tinggal di sini lagi Juni 2025 coba tipe kamar yang begitu baik sarapannya sungguh layanan yang sangat niat ya enak enak enak semua semua ini lagi ag
Lidya Ariani,2025-10-09,5,Semua staf hotel ramah sigap proses co dan ci cepat kamar bersih kebetulan bawa anak kecil yang makan nya lumayan pilih2 jadi pesan sarapan untuk anak lewat resto dikasih gratis dan diantarkan ke kamar kolam renang nya bisa memilih yang besar di lt 2 atau atau yang kecil bisa untuk anak2 di atap bisa meminta kue tulisan jg untuk merayakan ulang tahun sgt mengesankan pengalaman menginap di sini
Dwikky Yudha Irshandi,2025-08-09,5,Menurut saya empat poin itu salah satu hotel yang bagus dengan pelayanan cepat cuman sebagai orang yang jarang nginap di hotel saya selalu dikagetkan dengan sistem yang berbeda di berbagai hotel salah satunya restoran hotel ini contoh jika ada lebih banyak orang di dalam kamar 520 maka salah satu tamu dari kamar 520 diharuskan membayar 100rb atau lebih jika ingin bergabung dengan tamu lain untuk sarapan
Semoga Berkah,2025-08-09,5,hotel yang harus dapat jempol sih kamarnya nyaman dan luas makanannya enak apalagi udang pete yang di stal makanan tradisional petugasnya ramah dan membantu banget kebutuhan pengunjung gercep menawarkan layanan pengantaran gratis ke bandara puas banget saya sekeluarga menginap di sini
