User Name,Review Time,Rating,Review Text
anshari siregar,2026-01-03,4,hal positif ada petugas yang mengarahkan meja berdasarkan jumlah tamu saat sarapan hanya saja perlu adanya edukasi kepada para tamu untuk mengambil makan secukupnya dan antri agar menumbuhkan budaya yang lebih baik lagi dan mencegah makanan terbuang banyak kolam renang baiknya di cek kembali kebersihannya terimakasih
Dhila Salwa,2025-12-09,1,Tidak kembali ahahahah ac rusak terjebak di 27 derajat tapi alasannya karena ac mengikuti suhu ruangan komplain tapi sama frontlinernya diancam mau ngusir padahal sudah memesan 3 hari setelah marah2 di lobi hotel dan minta bertemu sama manajer baru dipindahkan kamar dan dingin sangat kehilangan waktu dan tenaga komplain dari cek masuk jam 2 tapi kamar diganti jam 12 malam resepsiis jutek tidak cocok jadi frontliner hari berikutnya pindah di kamar eksekutif suite tetap panas ac nya terjebak di 26 komplain tapi lg ya gitu insinyur cuma periksa dan g difollow up lagi malas debat habis energi plusnya di
Franciska Chen,2025-12-26,1,ac panas ac panas sudah gitu saja cukup melukiskan kekecewaan dulu saya pernah menginap 2 3 tahun lalu tidak gini saat saya minta insinyur datang ngotot katanya uda 18 derajat 18 derajat apanya bayiku sampai kepanasan kutempel bye2 demam yang punya anak2 tidak usa nginap sini anak2 tidak akan tahan dari panasnya
mutiara maghfirah,2025-12-19,1,kamarnya panas katanya pakai ac central tapi suhunya mengikuti suhu ruang hari pertama saya komplain tapi petugasnya juga marah2 setelah bcra sama manajernya baru akhirnya di kasih pindah dikamar yang dingin keesokan hrinya saya psan kamar yang lebih besar tapi ternyata sama acnya tidak dingin sama sekali baru pertama kali saya dapt hotel sepantas ini
Reski Parani,2025-12-12,5,Sangat merekomendasikan makan dimsum di hotel golden asian empat poin banyak pilihan menu dimsumnya bisa pilih ala carte dan paket makan sepuasnya dari segi rasa sangat enak rasanya dari tempat juga sangat nyaman ada kamar pribadinya juga untuk pelayanan sangat dapat hospitalitynya terima kasih buat mas reihan dan mba anisah
oh my my my,2025-11-09,2,lobi hotel berbau parfum murahan setelah cek masuk saya menemukan seprai belum diganti dan ada sisa makanan di atas kebersihannya sangat buruk ketika saya meminta petugas kebersihan untuk membersihkan lagi mereka malah bertanya dari mana saya berasal apa itu sopan sarapan hotelnya buruk mentimunnya terasa amis dan cangkir kopinya kotor dan penuh noda kopi
Hendri Gunawan,2025-12-09,5,walau hanya berkunjung bertemu rekanan saja tapi saya sangat merasa nyaman dengan hotel ini fasilitas lengkap kamar2 jg sangat memuaskan pelayan yang baik dan ramah serta kebersihan yang terjaga masalah harga lumayan lah yang jelas tempat ini dianjurkan banget
Mee Muni,2025-11-09,5,Salah satu dari hotel terbaik di kota makassar tinggal untuk perjalanan bisnis 2 malam lokasi strategis pelayanan ramah kamar bersih meskipun aku di kamar merokok tapi tidak ada aroma rokok bfast stall yang variatif dan terimakasih kpd staf resto pebi dwi yolanda yang sudah bantu dan menjelaskan makanan2 khas dari makassar dan harus mencoba saraba minuman khas makassar secara keseluruhan puas tinggal di sini dan dianjurkan
Febs Febs,2025-08-09,1,check masuk jam 13 di kamar 4057 dan kamarnya sudah siap saya masuk ke kamar dan kamar memang rapih dan bersih setelah itu saya cuci muka cuci tangan ganti baju dll persiapan untuk ke kantor keluar hotel dari jam 13:30 dan kembali lagi jam 1700 terkejut banget ketika sampai kamar tangan yang saya pakai pindah tempat keset kamar mandi juga pindah tempat TV jarak jauh yang tadinya di tempat tidur pindah ke meja seketika merinding disko akhirnya ke kantor depan dan minta klarifikasi ternyata housekeeping salah masuk kamar seharusnya ke kamar sebelah bukan kamar saya kali ini lalu bisa komplen apa 2 botol udara saja yang kedua baru tidur ini kali
lanny wijaya,2025-12-09,4,hotelnya ramai tapi kurang bersih angkatnya nya terbatas dan kecil parkir jauh dan jika hujan bisa basah jika ada pesta besar atau acara besar jalanan macet dan parkir penuh
