User Name,Review Time,Rating,Review Text
NurulY F,2025-12-26,5,Saya lupa tidak sempat foto kamarnya tapi sesuai dengan gambar yang ada di website ya kamar cukup luas bersih kasur empuk kamar kedap suara dan dingin saya ringan tidur jadi dapat kamar hotel yang kedap suara jadi nilai tambah apalagi hotel ini dekat jalan saya hampir tidak bisa mendengar suara mengganggu dari luar saya suka tinggal di sini anak-anak saya suka juga bf saya minta di antar ke kamar dan rasa makanannya enak tidak ada keluhan wifi stabil mandi dan kencang kamar bersih ada pengering rambut dan set sedikit masukan mgkn untuk udara mineral di kamar dapat diganti dengan aqua saja hnya masalah preferensi
Hantonius Hermansyah,2025-12-19,5,Salah satu hotel bintang 4 terbaik di surabaya semua layanan sempurna kamar sangat baik fasilitas sangat lengkap mulai dari kolam renang gym sampai restoran sarapan juga tiba-tiba sangat baik kualitasnya selevel lebih baik bahkan dibandingkan hotel bintang 5 langganan di surabaya lokasi juga sangat strategis di mall tunjungan dan benar2 ditengah kota surabaya secara keseluruhan sangat dianjurkan akan kembali ke sini bila dinas di surabaya
Arifta Gunawan,2025-12-09,5,kami sekeluarga istri dan dua anak menginap selama 2 hari di empat poin tunjungan surabaya dan pengalaman kami benar benar menyenangkan dari awal kedatangan proses cek masuk sangat cepat dan lancar berkat bantuan mbak friska di resepsionis beliau ramah informatif dan membantu kami mendapatkan kenyamanan ekstra selama menginap termasuk memberikan keleluasaan saat check keluar pelayanan seperti ini membuat kami merasa sangat dihargai sebagai tamu lokasi hotel juga sangat strategis cukup turun langsung naik tersambung ke tunjungan plaza sangat memudahkan kami yang membawa anak kecil karena tidak perlu repot menyeberang atau berjalan jauh mencari makan atau hiburan bahkan untuk titip pesanan grab makanan pun
Nurul Afifah,2025-12-09,1,mengecewakan saya pesan hotel yang pesan memang teman saya dia tidak jadi menginap karena ada acara mendadak sehingga kamarnya diberikan kepada saya bukti pemesanan sudah jelas ada bukti chat dengan yang mengalihkan pemesanan juga ada jalan tidak ada ktp pemesanan saja saya sudah menghubungi berkali2 orangnya yang pesan tidak diangkat karena sedang bepergian di pesawat tapi resepsionis masih tidak menerima saya tidak ada pemakluman sekalipun padahal saya bukan penipu ktp sim dll jika ingin ditahan juga bisa karena saya ingin segera istirahat sudah saya tunjukkan kejujuran saya karena saya jauh dari luar kota kondisi hamil lagi barang2 pun
oh my my my,2025-12-09,3,Hotel ini dekat dengan pusat perbelanjaan sehingga nyaman untuk makan dan minum namun kebersihan kamar perlu ditingkatkan ada sisa makanan di meja ketika saya memeriksa masuk hanya ada satu kursi di kamar untuk dua orang dan lorongnya sangat bising Anda bisa mendengar semua yang terjadi di lorong dari dalam kamar
Ricky Ramadhani,2025-12-09,5,sudah dua kali kami menginap di sini emang lebih baik kalau ke mall menginap di hotel yang ngumpul kyk 4point gini nyampek sini mobil parkir sampai cek gratis buat yang keluarga ada kamar khusus untuk anak menu sarapan lengkap pelayanannya baik jika mau minta ambilin makanan minuman bisa tinggal memanggil pelayan ada kolam renang dewasa dan anak anak juga ada kolam ikan koi tingkat parkirnya di lantai 6 dekat masjid dan spklu jika mau ke mall seperti kidzona yang ada di lt4 tp6 tinggal lift di sebelah lt6
Budhy Santoso,2026-01-02,5,perhotelan nya fasilitas jempolan sangat baik menu sarapannya sangat bervariasi n sepertinya lebih lengkap dibandingkan dengan empat poin di kota lain bravo
WU DINIWU,2025-12-09,5,Happy banget nginep di sini semua staf super ramah terbaik anakku baru sampai dapat hadiah dari roda spin gitu boneka lucu kolam renang nya bagus kamarnya besar bersih layanan nya gercep lokasi bagus banget buat turis lokal samping mall tinggal jalan dekat banyak lokasi kuliner restonya terbaik makanannya enak enak dan ada ruang bermain untuk anak kalau ke surabaya maunya ke sini lg ada 1 staf ramah banget saat di taman bermain tapi lupa nama terima kasih semua
Anggia Siregar,2025-11-09,3,untuk kamar rasa makanan dan lokasi sudah bagus nyaman dan strategis tapi sayang sekali untuk layanan masih sangat kurang saat mau cek masuk dan menurunkan barang tidak ada bantuan dari petugas parkir mobil sulit dan sangat terbatas
Kezia Trixie,2025-12-26,5,25 desember hari natal yang hampir semua libur namun empat poin segera membantu ayah saya yang sakit dengan pelayanan dokter terima kasih banyak atas pelayanannya yang sangat cepat dan menolong kesehatan ayah saya sangat sangat sangat menghargai itu
Iskandar Fauzi,2025-10-09,5,hotel dengan pelayanan prima letaknya strategis dekat dengan mall tapi jala tunjungan area yang lagi hapening di surabaya kemudahan akses untuk berjalan kaki dan modal transportasi lainya akan bisa dilayani dengan keramahtamahan dari staf hotel mulai dari cek masuk sampai dengan saat akses untuk fasilitas kamar dengan fasilitas kolam renang dan kebugaran yang lumayan lengkap cocok untuk anda yang suka olahraga disela urusan bisnis maupun bersama keluarga
Radika Akbar,2025-12-09,5,Salah satu hotel terbaik yang pernah saya kunjungi pernah ke empat titik manado juga tapi pelayanan nya buuedaa juauuh rasa masakannya juga tidak ngebosenin 6 hari 5 malam menginap disana sangat besar komplimen buat chef yang bikin omurice sama sate kulit dan semua hidangan sampingan nya enak hangat salam untuk mas yudha yang sampai inget nama ku dan juga staf lain aldo farhan cici dan semua kru yang bertugas gabisa debututin satu persatu jika ada kesempatan ke surabaya aku lagi memperbaiki pesan akan ke empat titik
marlina astuti,2025-11-09,5,kamar bersih handuk banyak udara lancar staf luar biasa ramah dan membantu lokasi sangat strategis bagi yang suka berbelanja di dalam lingkungan tundjungan mall staff yang antar cuci saya lupa namanya bahkan menanyakan kesehatan saya yang sempet sakit staf rumah menjaga yang cepat membersihkan kamar dan ramah staf d tmp makan ramah dan sangat membantu hari ke 3 pasti hafal dengan sapaan dan senyum khas mas rozzack staf seperti mas syafiq tetap dengan sangat baik dan hafal kebiasaan melayani tamu sudah seperti di rmh yang selalu ada asisten terima kasih
siska amelia,2025-11-09,5,Pelayanannya luar biasa anak saya muntah jam 1 malam staf dengan sigap mengganti semua sprei yang terkena muntahan menyediakan mobil untuk saya keapotek dan jam set 6 pagi siap menyediakan sarapan untuk perjalanan sangat memuaskan
Desi Siti,2025-10-09,5,saya menginap selama 3 malam di empat poin semua hal sangat istimewa dari lokasi hotel fasilitas yang ditawarkan gym dan kolam renang serta kelengkapan dan kenyamanan yang disediakan di kamar sangat baik semua staf hotel sangat ramah dan selalu menawarkan bantuan kepada para tamu khususnya nona lena yang ada di restoran sangat ramah dan saya merekomendasikan menu sarapan yang spesial dari empat poin secara keseluruhan saya sangat menikmati menginap di empat poin dan suatu saat akan kembali jika kembali berkunjung ke surabaya
Andraya Azalea,2025-09-09,5,Tidak pernah mengecewakan dri pelyanan maupn makan smuanya terbaik pelayanan ini terbaik selama mnginap dismua hotel pengalaman di empat titik sheraton sih yang terbaik mirip pelayanan dihotel2 jepang baik ramah tapi paling oke makananya gk ada yang gagal terimksih banyak untk semua staf pelayanan kalian terbaik sih
Siska Yulianti,2025-08-09,5,mencoba ulangtahun di hotel dan kita memilih hotel empat poin tunjungan plaza sbg pilihan dan kejutan emang layanan nya si terbaik banget karena kita kepagian kita bisa check masuk awal tapi ingat selama ketersediaan kamar dan kita mendapatkan kue ulang tahun benar-benar akan menjadi pilihan si buat hari spesial semua hotel grup marriot emang selalu layanan yang baik amd pengalaman cinta sangat akan sering2 deh lagi hotel empat poin tapi ini kemall nya mudah karena satu gedung jadi jika ud keluarga anak cocok buat nginap di sini karena mall adalah kesukaan anak anak cari makan pun mudah
Mahyan Silalahi,2025-12-09,2,nama nya hera tugas resepsionis pemilihan tutur bahasa yang tidak enak di dengar dan menyinggung hati seperti tidak berpendidikan untuk suasana dan kamar semuanya baik-baik saja dan bagus
Cindy Silviana,2025-12-09,5,ranjangnya luas dan nyaman servicenya tidak diragukan lagi saya pesan pagi sarapan dikasihnya dobel untuk dua orang lokasinya strategis di alun-alun tunjungan
Sularso Larso,2025-11-09,5,Pelayanan bagus kamarnya bersih sarapan nya banyak pilihan dan ketika masuk resto langsung disambut dengan ramah di carikan tempat duduk untuk makan serta ditawarkan menu yang ingin anda butuhkan
Aldian Natanael,2025-12-09,5,Layanan yang bagus makanan yang lezat dan fasilitas yang luar biasa jika Anda kebetulan mengunjungi Surabaya Anda harus tinggal masuk di sini bisa langsung ke Tunjungan Plaza karena emang satu kompleks
Noveka Mintara,2025-08-09,5,menginap di Tgl 6 7 Juli 1 malam kualitas ruangan sangat baik bersih dan nyaman meskipun ditambah 1 tempat tidur tambahan ruangan tetap cukup luas dan nyaman ditempati pelayanan dari keamanan concierge porter front desk dan layanan pembersihan sangat baik ramah dan cekatan tersedia layanan valet 50k bila membawa kendaraan pribadi fasilitas umum gym kolam renang bersih dan terawat lokasi strategis menempel dengan tunjungan plaza jadi jika bosan bisa langsung ngesot ke mall kekurangannya lokasi rawan macet pengalaman keseluruhan menginap sangat menyenangkan sempat ada miskomunikasi pesanan tempat tidur tambahan hari h melalui telepon melalui telepon dengan harapan tiba di hotel kamar sudah
tri hartoyo,2025-09-09,5,tempatnya dekat dengan sogo tunjungan plaza ditengah kota hanya sayangnya kalau untuk rombongan pakai bus tidak bisa parkir atau berhenti lama di pinggir jalan depan hotel tapi untuk resto nya nyaman dan makanannya juga enak banyak pilihan
cute pussy cat,2025-12-09,5,bagus nyaman ada telepon di setiap lantai dekat lift staf hangat n ramah mas daud bagian restoran menyenangkan n membantu
