User Name,Review Time,Rating,Review Text
Neill Kramer,2026-01-05,5,Kamarnya sangat bagus tapi sedikit kecil masih nyaman meskipun panas dan sauna sangat baik dan sarapan sangat bagus ada kolam renang tapi kami tidak menggunakannya sangat bagus harga yang direkomendasikan
hendrix m,2025-12-12,5,pengalaman pertama saya dua malam morazen oke juga bagus untuk staf lumayan dan cukup ramah keramahan cukup baik tidak terlalu dipaksakan ya jika dipaksakan ku rasa kembali ke sdm karakternya tidak tahu bagaimana pada saat penerimaan pegawai bagus tidak untuk kamar nyaman cukup bersih menu sarapan hm oke staf melayani dengan baik tanpa melihat warna kulit dan mata belo atau sip bagus untuk kolam renang nah ini hmm mungkin bisa duduk bersama pihak terkait gimana baiknya tuh niat maksimal tidak membuat kolam renang di mana makan orang bisa makan di mana berenang juga disitu jadi jika ada anak kecil berenang dan udara utama jadi tidak nyaman dan bebas karena kwatir semprot
Miftahul Rohmah Saputri,2025-12-29,5,Alhamdulillah nyaman sekali menginap sehari di sini dengan fasilitas yang lengkap gym jaccuzi spa massage sauna renang ruangan bersih harum menu restoran buka dan semuanya lezat karyawannya baik murah senyum semuanya masya allah terkhusus untuk resepsionis mbak bela terimakasih jamuannya yang ramah sekali rendah hati pisan tidak kapok menginap di morazen semoga lain waktu allah izinkan kembali menginap dalam keadaan sehat jasroh dan bahagia lahir batin aamiin
Ivana Monica Arifin,2025-12-29,5,hotelnya bersih modern nyaman nyaman lengkap fasilitasnya pelayanannya juga sangat bagus karyawannya ramah dan rapi penampilannya hanya sedikit kritik dari saya perlu perbaikan rasa rasa masakan pada saat sarapan
Xin Lan,2025-12-29,5,kamarnya luas dan bersih menu sarapan banyak variasi ada nusantara dan barat kolam renangnya semi outdoor jadi bisa renang kapan saja tanpa takut panas matahari salah 1 staf yang bernama bella sangat informatif saya bertanya tentang kuliner di surabaya dan beberapa lokasi wisata
uchan 4444,2026-01-05,1,pengalaman saya ikut tahun baru malam dari tahun ke tahun di beberapa hotel tahun ini yang paling membosankan memilih tahun baru malam di morazen hotel surabaya jujur seperti acara mengumpulkan karyawan hotel wkwkwk lebih banyak melibatkan kan karyawan dan memprioritaskan org bagian dari hotel dari pada tamu hotel mulai dari posisi duduk sampai permainan melibatkan orang orang hotel yang sok asik sendiri itu petinggi nya tidak skalian sambutan saja dulu haha saya sebagai tamu hotel sampai tidak mengikuti acara sampai akhir dari bosan nya masukan saja kali lain tidak usah usah dibuka untuk umum jika mau mengumpulkan hotel
Banyu Urip,2026-01-05,1,Sekuritinya sok driver ojol antar makanan tidak dibolehin masuk motor suruh taruh luar pinggir jalan trs kalau hilang mau tanggung jawab memiliki nada tinggi yo nek ilang tak tempui spurone mas aq tidak sombong bayaranmu piro kok iso gaya atek ngomong ngunu kalo memang pelayanan dan peraturan di hotel ini seperti itu tolong bagian resepsionisnya dikasih tulisan banner yang besar teruntuk pelanggan hotel yang terhormat mohon dilarang pesan layanan ojol
firman abadi,2026-01-05,5,Alhamdulillah mulai dari pelayanan kamar dan restoran semuanya oke fasilitas2 lainnya juga lengkap kolam renang gym spa jacuzzi ada semuanya ketika ada masalah yang terjadi manajemen cepat tanggap dan langsung ada tindakan semoga selalu dijaga pelayanannya ya topp
yuliana krishna,2025-12-22,5,Pelayanan sangat baik kamar bersih dan rapi sarapan dengan menu bervariasi terpenting lingkungan ramah untuk anak fasilitas lengkap oya terima kasih kk dela gercep memberikan info baru
Lifatul Asuroh,2025-12-12,5,alhamdulillah terima kasih banyak hotel morazen hotel bagus bagus loby luas kamar luas dan sarapannya enak dan menu bervariasi terima kasih pak johanes tugas manajer hotel morazen cepat respon dan ramah terimakasih makan malam dan ekstra tempat tidur nya pak pegawai ramah dan membantu fasilitas anak-anak ramah ada kolam renang luas taman bermain mini dan ada kegiatan anak jg menangankan buat anak2 dan nyaman buat keluarga rekomendasi banget buat yang ingin menyembuhkan deket2 di tengah kota surabaya dekat dari sidoarjo lokasi strategis
G_Tiara Zahra Paramitha_48,2026-01-06,5,Pelayanannya baguss sekalii saya menginap satu malam disini sangat nyamannya sarapannya juga enak enak saya selalu disambut dengan keramahan pegawai nya terutama di kantor depan keren
