User Name,Review Time,Rating,Review Text
fata lukman,2026-01-02,5,Saya baru-baru ini tinggal di hotel ini dan memiliki pengalaman yang benar-benar menyenangkan dari saat kami tiba staf memberikan layanan yang sangat baik dengan sikap ramah dan profesional yang hangat setiap permintaan ditangani secara efisien membuat kami merasa nyaman dan baik diurus sepanjang tinggal kami salah satu sorotan dari menginap kami adalah sarapan pilihan yang beragam segar dan siap menawarkan baik lokal dan internasional pilihan apa yang benar-benar membuat sarapan berdiri keluar namun ketersediaan minuman kunyit kunyit tradisional Indonesia minuman yang jarang ditemukan masuk hotel lain minuman unik dan sehat ini menambahkan sentuhan budaya khusus dan dengan cepat
muhammad david lung,2026-01-02,5,Kami memiliki menginap yang benar-benar indah di vertu hotel harmoni dan semua tentang pengalaman terasa dengan bijaksana dilakukan dari awal proses masuk cek itu halus dan menyambut terima kasih Mba ching ching kami juga disambut dengan minuman sambutan lezat yang menetapkan nada yang indah untuk tinggal kamar itu luas nyaman dan dirancang sempurna tidak terlalu besar tidak terlalu kecil hanya benar semua yang ditempatkan persis di mana itu harus membuat kamar merasa nyaman dan fungsional anak-anak saya benar-benar menyukai kolam renang dan itu sendiri sudah membuat perjalanan khusus untuk keluarga kami di atas itu kami menikmati sarapan yang luar biasa dengan luas
Rika Kartika,2025-12-09,5,Saya memiliki tinggal yang menyenangkan di hotel vertu harmoni jakarta kamar bersih luas dan sangat nyaman saya menghargai mesin kopi dan twinings teh di berikan tata letaknya nyaman dengan WC terpisah dan mandi pencahayaan masuk kamar terang dan lembaran tempat tidur bersih dan segar sabun dan sampo yang baik disajikan dan terlihat berkualitas tinggi handuk tebal dan berlemak menambahkan sentuhan tambahan kenyamanan saya juga terkesan melihat bahwa hotel mempekerjakan orang-orang cacat praktik yang indah dan inklusif yang layak diakui
muhammad ashar sojiak,2026-01-02,5,Aku tinggal dengan nyaman kamar bersih rapi dan nyaman dan staf ramah dan perhatian selama sarapan seorang anggota staf yang sopan dan lembut berbicara bernama Nelson bertanya apakah saya ingin mencoba hidangan khusus dia mengatur untuk saya ayam kung pao disiapkan oleh koki lufti yang rasanya manis dan lezat pengalaman makan yang luar biasa secara keseluruhan
Via Luo,2026-01-02,4,kedua x nya menginap di sini setiap menyenangkan seperti yang pertama kami bisa kamar di 1902 sudah pesan untuk yang king namun diberikan yang kembar ac tidak dingin sehingga harus memanggil tim rekayasa untuk membantu telepon juga tidak berfungsi dan tidak ada solusi hingga checkout saya tinggal 2 malam di sini untuk sarapan banyak pilihan dan pelayan bernama miss nuko sangat ekstramile melihat saya membawa bayi dengan sigap menawarkan bayi kursi dan keperluan lainnya sedikit saya jika eskalator di dalam mall untuk akses pintu hotel tidak dibuka sebaiknya petunjuk hotel di samping eskalator didadakan karena kami sudah kesulitan naik eskalator membawa koper dari tempat parkir sekali tiba di atas kami ditolak keamanan untuk menggunakan lift saja saja
Nida Khairani,2026-01-02,5,hotel ini melampaui semua harapan saya stafnya ramah dan membantu sejak kami memeriksa masuk kamarnya bersih dan pemandangan kota dari sana sangat indah sajian sarapannya juga cukup lezat saya pasti akan kembali pada kunjungan saya berikutnya penginapan yang luar biasa bersama keluarga saya anak anak sangat menyukai kolam renang sementara kami menikmati ketenangan dan kenyamanan kamar stafnya sangat ramah dan bahkan berusaha memastikan kami bersenang senang terimakasih tim pemeliharaan dan ka kunci atas pelayanan yang terbaik
Jasmine Irvan,2026-01-02,5,untuk sarapan sangat bervariasi makanan enak semua dan kami berdua selalu dilayani dengan kak nelson orgnya bagus terlihat untuk pelayanan oke banget kita kadang ditanya di ditawari mau keperluan apa seperti mengambil udara mineral dan lain2 oke semua pokoknya untuk pelayanan hotel vertu
rararawrr,2026-01-02,5,penginapan luar biasa staf ramah kamar nyaman sangat direkomendasikan kami menikmati masa menginap kamar luas bersih pemandangan bagus staf profesional dan membantu sarapan luar biasa dengan banyak pilihan lokasi strategis pasti akan kembali kualitas tidur sangat baik kasur nyaman makanan di restoran lezat dan segar suasana tenang dan pengalaman menginap menyenangkan terimakasih tim housekeeping dan ka keysa atas pelayanan yang terbaik
Fajar Rio Kusviansyah,2026-01-02,5,Saya memiliki tinggal yang luar biasa di hotel vertu harmoni jakarta dari saat saya tiba layanan itu sempurna hangat dan benar-benar kelas dunia kamarnya sangat baik dipelihara fasilitas yang sangat baik dan pilihan sarapan yang mengesankan lokasi juga tak terkalahkan hak masuk bisnis dan kuliner masuk harmoni gadjah mada area tempat yang bagus untuk tinggal
Suneela Melkote,2025-11-09,5,Kami tinggal di vertu harmoni jakarta pada 9 dan 10 Oktober 2025 hotel sangat mewah dan dilengkapi dengan baik kamar-kamar besar dan nyaman area sarapan memiliki suasana yang indah staf layanan pergi ke atas dan di luar ketika kami mengatakan kepada mereka bahwa kami ingin makanan vegetarian manajer joshua memastikan piring khusus dibuat untuk kita staf membungkuk ke belakang untuk mendengarkan dan memuaskan pelanggan sangat sopan layanan ini adalah salah satu hotel terbaik yang pernah saya tinggal di mana saya tidak memiliki keluhan terima kasih untuk membuat kita tinggal begitu menyenangkan kami berharap untuk kembali
FRISKA AULIA OKTAVIANI,2026-01-02,5,kualitas linen hotel ini benar benar luar biasa bahannya terasa sangat halus dan lembut di kulit bukan bahan kasar tidur nyenyak semalaman karena sprei dan selimutnya dingin dan nyaman saya suka linen putih bersih yang digunakan terasa mewah dan higienis jumlah benangnya pasti tinggi karena terasa sangat lembut membuat pengalaman menginap jadi lebih berkelas terimakasih tim housekeeping dan ka keysa atas pelayanan yang terbaik dan ramah
Hendy Eka Ardiansyah,2025-12-26,3,secara umum tidak ada masalah dengan pengalaman menginap di sini fasilitas kamar semua baik saja saja kecewa ketika check masuk permintaan pemandangan terbaik tapi malah dikasih view sungai kaya gini hotel ini selalu merek dengan view monas minimal jika tidak mendapatkan karena kamar penuh itu fo nya konfirmasi jangan cuma tersenyum berdoa jika pun harus menunggu juga tidak masalah jika kamarnya belum siap proses check masuk juga lama banget karena staf yang berdiri di fo cuma satu orang sehingga antri karena orang depan saya tidak kelar kelar urusannya
