User Name,Review Time,Rating,Review Text
rika isvandiary,2025-12-31,5,Salah satu hotel dengan makanan terenak dan beragam kamarnya bersih sederhana dan fasilitas di dalam kamar cukup lengkap lokasi strategis karena dilalui berbagai angkutan umum dan dekat dengan pusat kota deket juga dengan berbagai wisata kuliner legendaris seperti bubur ayam cikini pempek megaria dan nasi uduk gondangdia
Randy Fadlila Nasser,2025-12-07,4,hanya cepat 2 malam tinggal terutama untuk akses yang nyaman ke pusat perbelanjaan dan bandara cgk lokasi sempurna dalam jarak berjalan kaki ke tempat makanan lokal besar seperti klasik gado gado bonbin atau cepat gigitan seperti mcdonalds semua hanya beberapa langkah jauh kamar dan kamar mandi luas dengan air gratis dan mesin kopi saya juga menikmati pemandangan kota langsung dengan garis pendaki lewat meja kerja sangat praktis untuk sesi kerja singkat dan pilihan saluran televisi adalah sentuhan yang bagus untuk bersantai dengan film acak
Zhou Yu,2025-12-31,5,untuk pengalaman pertama menginap di sini sangat berkesan lokasinya strategis banyak kafe dan resto dan tentu dekat dengan tim dan transportasi ke tempat wisata lainnya kamarnya luas dan bersih serta stafnya sangat membantu jika membutuhkan bantuan
YOSITA ADRIANI,2025-12-24,5,seru banget menginap di Jakarta Cikini hotelnya bagus bersih dan nyamann banget staf nya ramah ramah pelayanan baguss ada taman bermain dan mainan mainan untuk anak benar anak ramah anak senang makanannya juga enak enak banget sarapannya banyak pilihan suka banget selanjutnya mau menginap lagi di Jakarta Cikini
Siti Maghfiroh,2025-12-24,5,Ruang pertemuan memenuhi semua harapan kami itu luas bersih dan dilengkapi dengan fasilitas lengkap suasana tenang dan kondusif untuk pertemuan produktif kami sangat puas dengan layanan yang diberikan
agus trianto,2025-12-24,5,hotel yang bagus saya merasa nyaman menginap di sini selain kamarnya yang bersih saya juga suka bagian rofftop dengan pemandangan nya bagus serta semua pegawainya yang ramah selalu tersenyum sapa dengan tamu
Atikah Zata Amani,2025-11-07,1,pemesanan lewat aplikasi datang pukul 14.00 dan sampai resepsionis katanya baru bisa cek masuk jam 3 sore dengan alasan akhir pekan kebetulan bawa balita yang sudah sembuh dan di luar juga gerimis jadi lumayan sebel akhirnya kita lihat jadwal cek masuk dari situs resmi mereka yang tertulis cek masuk jam 14.00 cek keluar jam 12.00 meskipun demikian petugas resepsionisnya tetap ngotot sampai akhirnya bilang mau kamar yang standar sih ada lah lah agi kita kaga minta kamar tertentu cuma minta cek bebas masuk kamarnya yang mana mah rincian kesan pertama yang kurang menyenangkan bagi tamu yang baru datang dari beberapa cabang mercure yang kita sudah coba nginap padang beng
Mohammad Akmal,2025-12-24,5,Sangat menyenangkan menginap dsni kamar nya bagus bersih dan nyaman semua pegawai nya baik smua dan ramah rekomendasi jika mau menginap dsni bintang 5 deh pokok nya
Justine Lee,2025-12-24,5,hotel terdebest yang pernah aku temui di karna deket dengan kota dan banyak makanan di sekitar kamarnya nyaman dan bersih sarapannya enak dan bervariasi kolam renang benar benar keren pemandanganya
Marsha and the beer,2025-12-31,5,kamarnya bersih dan dingin pelayan sangat cepat dan tanggap terutama masalah setrika sangat membantu untuk restoran mba viola sangat membantu terhadap pesanan makanan dan minuman
Dewi Syukriah,2025-11-07,3,Saya tinggal di Mercure Cikini sekitar 14 juta rupiah per malam termasuk sarapan tapi sayangnya pengalaman tidak cukup memenuhi harapan saya ketika saya memesan Tom yum untuk makan siang itu mengejutkan datang dengan jagung yang saya menemukan sedikit tidak biasa dan udang tidak sangat segar kamar saya juga bau seperti asap rokok meskipun saya telah meminta kamar non-merokok di atas itu suara dari kereta lewat di stasiun Cikini cukup terlihat kolam renang lebih kecil dari yang diharapkan dan hanya tentang pinggang dalam sehingga merasa lebih cocok untuk anak-anak gym adalah kompak
opal kalideres,2025-12-24,5,jauh dari jakarta barat dapet undangan kerja ke cikini ternyata hotelnya senyaman itu lokasi hotel yang strategis bikin tamu lebih enak untuk sekedar cari angin dan cari cemilan kamarnya enak istri kenceng
Annisa Najlajuwita,2025-10-07,5,pengalaman menginap di hotel ini sangat nyaman dari lobi hotel yang menyediakan tempat duduk yang luas dan nyaman untuk kamarnya juga terdapat sofa yang tunggal dan meja yang bisa di gunakan untuk mengerjakan tugas lalu ada juga kursi kantor yang nyaman kamarnya bersih untuk sarapan nya memiliki banyak variasi dari roti bubur nasi goreng dimsum sushi dan lain sebagainya untuk layanannya sangat baik mbak viola dan pak irfan juga banyak membantu dalam merekomendasikan makanan serta sigap saat ada piring sangat kosong langsung di bersihkan sehingga bisa makan dengan nyaman
Nathanael Lievo Wirawan,2025-12-24,5,Saya waktu itu menginap di Jumat cikini karena ada acara fi tim kamarnya bagus sangat nyaman dan bersih makanannya juga enak enak udah gitu lokasinya juga strategis banget di cikini banyak tempat makan dan nongkrong yang keren2
Rizki Riyan Dana,2025-12-31,5,Hotel besar resepsi ramah terutama mas aris yang sangat membantu lokasi strategis wajib coba menginap di sini
Komang Pradnyana,2025-09-07,4,hotel yang nyaman bersih dan oke kamar nya cukup luas penerangan cukup dan fasilitas lumayan lift menggunakan akses kartu udara hangat tersedia dan ac dingin cuma sayang tempat sarapannya sempit karena jarak antar meja kursi sangat mepet pilihan makanan minuman sih lumayan berdiri telur nya lambat tidak ada telur yang siap siap
Fitri Yunita,2025-12-07,2,Staff nya perlu benar2 di evaluasi kurang ramah kurang empati saya anggota accorplus baru di hari rabu ini saya mendapat pengalaman tidak menyenangkan paket makanan hanya boleh sampai pos resepsionis keamanan jg tidak membantu cuek2 saja hotel bintang 5 saja boleh paket di titip di resepsionis staf nya juga sepertinya sulit sekali untuk tersenyum duh tidak banget deh tidak direkomendasikan
Watu Racing,2025-12-24,5,Saya dan jajaran staf kementerian imigrasi sangat senang nenginap di mercuri cikini pengalaman yang luar biasa makanan enak staf nya ramah kamarnya nyaman kotaviewnya bagus mantap
Minang Jaya,2025-12-24,5,Hotel yang nyaman dan bersih semua kamar area dan lobi area nya keren banget pokonya terimakasih untuk pelayannya ya mercure
dede dede,2025-12-31,5,Salah satu tujuan terbaik untuk hotel staf yang ramah keluarga yang ramah anak kegiatan yang menarik di pusat kota dekat dengan banyak tempat wisata selain mercucur cikini
Eli Dewi Sartika,2025-12-31,5,sangat memuaskan dari segi pelayanan resepsi dan keamanan dan semuanya yang belum saya sebutkan satu persatu sangat direkomendasikan
Puralexdanu Patjingsung,2025-12-07,5,Sangat nyaman dan enak dibawah selalu ramai dan cocok buat pertemuan dekat dengan taman Ismail Marzuki jga kamar bersih perlengkapan tidak perlu ditanyakan lagi
Aiman Al - Fatih,2025-08-07,5,menginap di mercure cikini untuk keperluan bisnis dan harus bilang pengalamannya memuaskan banget lokasi hotel strategis di tengah kota mudah dijangkau dan deket ke mana mana mana kamarnya nyaman bersih dan suasananya tenang saat sangat buat istirahat setelah aktivitas sehari-hari saya juga sempat pakai fasilitas ruang pertemuan di sini dan layananenya keren ruangan rapih alat pertemuan lengkap proyektor mic sound system semua oke dan staf hotel bantuin setup dari awal sampai akhir acara sangat terbantu istirahat kopi dan makan siang juga tidak kalah enak pilihan makanannya banyak dan rasanya pelayanan dari staf juga ramah dan profesional mantap
Pite Cute,2025-12-24,5,tempat strategis makanan selalu enak kamar bersih walaupun kamar merokok tapi tidak bau rokok
