User Name,Review Time,Rating,Review Text
Widha,2025-12-31,5,Upgrade kamar ini adalah pertama kalinya saya tinggal di hotel ini dengan keluarga saya itu nyaman sarapan banyak dan bervariasi kamar itu bersih tapi sayangnya kolam renang terlalu kecil secara keseluruhan semuanya baik dan layanan yang ramah saya akan kembali untuk tinggal di hotel ini lagi melihat Anda lagi
Hendra Ardi Kurniawan,2025-12-07,4,kamarnya cukup nyaman dan dijaga dengan baik cocok untuk tinggal bisnis singkat saya mengalami beberapa masalah dengan koneksi wi-fi yang sedikit lambat pada saat-saat tapi secara keseluruhan itu tidak mempengaruhi tinggal terlalu banyak sarapan menawarkan beberapa pilihan baik lokal dan internasional dengan rasa yang layak dan presentasi lokasi sangat strategis dekat dengan stasiun mrt dan area bisnis utama sehingga mudah untuk bergerak di sekitar kota secara keseluruhan itu adalah hotel yang nyaman dan nyaman untuk wisatawan bisnis
dark horse,2025-12-07,5,Saya memiliki tinggal yang menyenangkan di Mercure Jakarta Simatupang lokasi sangat nyaman dekat dengan pusat perbelanjaan dan transportasi umum yang membuat perjalanan di sekitar kota mudah staf sangat ramah dan membantu sepanjang masa tinggal saya mereka benar-benar membuat saya merasa selamat datang kamar itu nyaman dan bersih dengan semua fasilitas dasar saya membutuhkan sarapan menawarkan pilihan yang baik dan area atap memberikan pemandangan yang bagus untuk memulai hari secara keseluruhan itu adalah pengalaman yang bagus dengan nilai yang baik untuk uang saya pasti akan merekomendasikan hotel ini untuk bisnis atau wisatawan liburan mengunjungi Jakarta Selatan Terima kasih kepada semua tim untuk keramahan Anda yang hangat
Michael Dauhan,2025-12-10,5,memiliki tinggal yang sangat nyaman di sini lokasi sangat nyaman dan kamar itu bersih dan modern bagian terbaik adalah layanan mas eben dari kantor depan sangat ramah dan membantu saya dengan cek halus dan mudah masuk sarapan juga lezat dengan banyak pilihan secara keseluruhan sangat senang dengan tinggal saya pasti kembali lain kali
Irwan Yulianto,2026-01-01,5,Hotelnya bersih wangi layanan nya oke lokasinya strategis mau kmana2 deket menu sarapannya lumayan tapi kurang banyak saja menuunya tapi sejauh ini okelah ini hotel
Pragya,2025-12-31,5,sarapan oke pasta kopi siomay bubur ayam bubur ketan hitam lengkapp semua roti2an sudah pastii lengkaapp jus sehat pun tersedia liburan terbaik di Lebak bulus area pelayanan dari mba ngesthi full service
Dedy Purnairawan,2025-11-07,4,stay di mercure hotel jakarta simatupang benar benar menyenangkan lokasinya strategis banget di jakarta selatan dekat tol dan mall seperti pondok indah cilandak jadi mudah ke mana mana kamarnya bersih modern dan nyaman lengkap dengan wifi cepat tv minibar dan city view yang keren proses cek masuk cepat staf nya juga ramah dan super membantu dari awal sampai akhir sarapan di restoranannya enak dan bervariasi ditambah ada rooftop bar dengan pemandangan jakarta yang sangat bagus untuk membuat fasilitas lain santai sakit seperti kolam renang dan gym juga tersedia dan terawat cocok untuk membuat perjalanan bisnis tinggal atau hanya singkat melarikan diri di daerah jaksel sangat direkomendasikan
Yusuffauzii,2025-12-07,5,saya menikmati masa yang menyenangkan di Jakarta Selatan lokasi sangat strategis dekat dengan pusat perbelanjaan dan transportasi umum sehingga memudahkan saya berkeliling kota stafnya sangat ramah dan membantu selama saya menginap mereka benar benar membuat saya merasa diterima kamarnya nyaman dan bersih dengan semua fasilitas dasar yang saya butuhkan sarapannya menawarkan pilihan yang baik dan daerah atapnya menawarkan pemandangan yang indah untuk memulai hari secara keseluruhan ini adalah pengalaman yang luar biasa dengan harga yang terjangkau saya pasti akan merekomendasikan hotel ini untuk pelancong bisnis maupun rekreasi yang berkunjung ke Jakarta Selatan terima kasih kepada seluruh tim atas keramahan Anda
Meivy Pangerapan,2025-12-17,5,makanan enak kamar nyaman lokasi strategis hanya kolam renangnya saja kecil tapi jika buat anak anak cukuplah untuk udara utama
ety nurhayati,2025-12-24,5,Alhamdulillah nyaman kamar nya rapi bersih kamar mandi wangi sarapan enak menu nya lain kali menginap disini lagi akh
