User Name,Review Time,Rating,Review Text
Tesalonika Dara Ivory,2026-01-02,5,Hotel Yellow Harmony adalah pengalaman yang fantastis hotel memiliki suasana yang sangat dinamis modern dan energik yang berdiri keluar dari hotel biasa masuk jakarta sorotan dari menginap saya adalah pasti pengalaman makan luar biasa layanan oleh vania saya ingin memberikan teriakan khusus keluar untuk vania dari tim restoran sebagai pelayan kami vania adalah sangat perhatian profesional dan ramah bahkan ketika restoran menjadi sibuk dia mengelola semuanya dengan senyum besar dan memastikan meja kami baik dihadiri untuk itu jarang untuk menemukan keramahan proaktif dan tulus terima kasih vania untuk
eka putri rahmadhani,2026-01-02,5,waw suatu pengalaman yang tidak akan ku lupakan untuk menginap di hotel kuning harmoni sungguh 3 malam yang tidak sia sia sia sia sia berbaloi uang banget saya dari padang memang rencana jalan di jakarta bawa 2 orang anak usia 6 dan 2th ribet sih cuma anak merasa nyaman di hotel setelah capek sehari-hari mengeksplorasi jakarta staf staf sangat ramah sarapan bervariasi dan enak dan poin tambah baru ada indomaret titik yummy pilihan di bawah setiap malam jika lapar tidak perlu memesan makanan langsung cuss ke bawah varian yang mau dibeli banyak lalus kami dikasih kompliment kue oleh manajer nya terimakasih banyak sukses selalu hotel kuning harmoni
Panji Putra mahesa,2026-01-02,5,Pelayanan fasilitas semua oke wkt sarapan pelayan a n mas farhan sangat baik dan maksimal sekali pelayanan nya semoga berikutnya nya bisa menikmati berenangnya walau bukan ambil kamar kamar kamar suite
Misriadi Mise,2026-01-02,5,memiliki pengalaman yang hebat di hotel Yello Harmony layanan itu energik ramah interaktif dan benar-benar tulus khusus terima kasih kepada Vania untuk memberikan pengalaman pelanggan yang sangat baik dia membuat tinggal merasa ramah dan berkesan jika Anda sedang mengunjungi Yello Harmony pastikan untuk mencari dia menulis ini sambil menikmati secangkir cappucino yang disajikan oleh Vania
ok trx3,2025-12-26,4,bintang 5 kalau kuning kamar biasa bisa akses kolam renang overrall oke layanan nya sarapan oke kamar bersih nyaman ac dingin kamar mandi nya kenceng mandi minus di sabun cairnya tidak ada busa jadi tidak bersih apa aku yang udik wkwkw tapi oke lah semua pelayanannya staf super ramah teruskan guys anda membuat hari saya batuan
riski fatur,2025-12-26,1,Kondisi kamar saat pertama masuk sudah membuat tidak nyaman kebersihan terlihat asal asal beberapa area jelas tidak dibersihkan dengan baik dan terasa seperti kamar tidak benar dipersiapkan sebelum tamu masuk ini bukan soal kesempurnaan tapi soal dasar kenyamanan dan kebersihan yang membuat semakin menjaga kebersihan seperti ini dibiarkan begitu saja sebagai tamu saya jadi bertanya apakah penghematan benar-benar melakukan pengecekan atau hanya formalitas menginap jadi terasa tidak tenang karena terus merasa tidak nyaman dengan kondisi kamar dengan harga dan nama hotel seperti ini pengalaman kebersihan yang saya terima sangat tidak sebanding
El galardo,2026-01-02,5,hotelnya berada di posisi yang strategis dengan pemandangan yang sangat bagus dan indah cocok untuk dilihat selain posisi hotel yang strategis dan pemandangan yang bagus kamarnya juga sangat nyaman dan aman dengan layanan yang sangat profesional ramah dan terlatih dan saya sempat bertegur sapa dengan salah satu hostkiping yang bernama ka april baik dan ramah banget
ISTIANE FITRI JAYANTI,2025-12-26,5,hotelnya sangat nyaman dan terawat dengan baik pelayanannya memuaskan terutama mas zulfa yang sangat ramah sopan dan membantu terima kasih atas pelayanannya pasti aku ingin kembali lagi sih top
Aura Bening,2026-01-02,5,keren hotel kuning ini sangat memuaskan dari segi makanan pelayanan oke dan yaa semuanya sangat baik terima kasih sama staf kak ayu kak panji dan chef hanif yang sangat membantu selama acara ulang tahun natal kemarin siang top bakal balik kesini lagi
WILLY SEPTIYENI,2025-12-26,5,kamarnya bersih view nya bagus pelayannya ramah dan cepat respon terimakasih untuk mas ipan atas keramahan komunikasi dan pelayanannya semoga membaik terus dan semakin berkualitas layanannya terima kasih
Viska,2025-12-19,5,Alhamdulillah akhirnya bisa menginap di sini dengan view monas ternyata lokasi hotelnya bersatu dengan harmoni pertukaran dan juga hotel vertu hanya saja untuk tipe kamar rendah tidak dapat akses kolam renang hanya ke gym pelayanan oke walau kartu ucapan untuk pergantian gratis tapi rasa kue enak dan unik kamarnya minimalis ada sofanya cukup jika bawa anak kecil ada kulkasnya juga tapi tidak ada tisu di kamar hanya di kamar mandi saja di kamar mandi ada pengering rambut untuk sarapan secara keseluruhan enak hanya saja keras untuk nasi mandhi tidak bisa untuk anak kecil donatnya empuk banget
Ahmad Shafiyuddin,2025-12-26,5,kamar cukup luas bersih nyaman hotelnya juga sangat terawat dan semua fasilitas berfungsi dengan baik terimakasih mba novi yang melayani dengan sangat baik saya sangat menikmati menginap di sini
