User Name,Review Time,Rating,Review Text
Shekinah Baguhin,2025-12-25,5,Saya memberikan rating bintang 5 hotel ini akomodasi sangat bagus dan baik dipelihara juga memiliki gym yang saya sangat menikmati terutama ruang latihan kelompok sempurna untuk seorang introvert seperti saya yang lebih suka bekerja keluar masuk ruang pribadi saya juga menikmati kolam renang banyak sarapan buffet yang hebat menawarkan berbagai pilihan mulai dari masakan Asia ke Barat dan Amerika
Abdiel Marvega Shindutirta,2025-12-01,5,pullman thamrin telah menjadi salah satu hotel favorit kami masuk jakarta selama beberapa tahun terakhir lokasinya hanya sempurna mungkin yang terbaik masuk kota terletak tepat di seberang dari bundaran hi jantung jakarta itu menawarkan kenyamanan dan pemandangan tak terkalahkan kita beruntung untuk tinggal di sana selama akhir pekan ketika thamrin jalan tuan rumah mobil hari gratis yang membuat pengalaman kami bahkan lebih menyenangkan dan baik bulat staf seperti selalu sangat baik dari resepsi ke tim restoran layanan adalah level atas tidak akan berbohong kamar itu sedikit tertanggal tapi itu masih sangat baik dipertahankan dan bersih kami
Nawwaf Zahra,2025-12-01,4,Aku pikir mereka mengenakan biaya ekstra untuk itu tidak yakin Anda dapat memeriksa dengan hotel untuk ini apa yang saya telah menunggu dari tinggal sebenarnya sarapan mereka Aku senang melihat berbagai macam makanan mereka masuk sarapan mereka buffet sayangnya masakan Indonesia mereka mendarat sedikit underwhelming untuk saya terutama dibandingkan dengan pilihan makanan lainnya masakan cina mereka sangat lezat meskipun saya berharap mereka
Nurazlina Marzukee,2025-12-25,5,Pengalaman tinggal saya di Pullman Jakarta CBD Thamrin benar-benar luar biasa kami diperlakukan dengan sopan dan dimanjakan dengan layanan yang benar-benar hangat dan menyenangkan luar biasa dan layanan yang sangat baik disediakan oleh AAP dan Martina dengan aliran jamu gratis dan minuman disajikan dengan tulus dan selalu dengan senyum saya akan membawa kenangan indah ini dari Pullman Jakarta dengan saya dan saya akan pasti kembali harap untuk kunjungan saya berikutnya cinta Michelle Lin Azlina
Nur K.,2025-12-18,4,Aku suka area resepsi tapi kamar yang kami dapatkan adalah tanggal kamar 536 memiliki masalah dengan penyesuaian switch air panas adalah iffy tingkat 5 kamar tampak tempat yang sama sekali berbeda dari suasana resepsi khusus teriakan ke pur bell yang sangat cepat dan ramah memang ia mewakili hotel dengan baik dengan kehangatan dan profesionalisme terima kasih lagi untuk keramahan Anda
Nik Ahmad Farid Nik Mohamed,2025-12-01,5,di sana sini restoran chairil sangat perhatian dan membantu sarapan menyebar sangat luas dan nilai untuk uang jamu minuman adalah hotel yang luar biasa menawarkan lokasi yang kuat tetapi kamar-kamar terlihat sedikit lelah dan tanggal pengalaman keseluruhan yang baik pesaing kuat untuk tinggal berulang
Kasi Ram,2025-12-11,5,Umpan balik untuk Hotel Pullman Jakarta Saya ingin memulai review saya dengan menghargai Bu yani manajer yang selalu ceria mendukung dan mengambil waktu setiap hari untuk terlibat dengan tamu kehadirannya benar-benar menetapkan nada positif untuk seluruh tim aset nyata Pullman adalah orang-orang dari bellboys untuk kantor depan tim semua orang rendah hati profesional dan benar-benar peduli tentang kenyamanan tamu Saya ingin mengambil seketika untuk secara tulus berterima kasih kepada semua anggota staf saya berinteraksi secara teratur dengan mba reta dan mba ella mereka sangat bijaksana dan perhatian saya sekali melewatkan waktu check-out saya dan
Mochi,2025-12-25,5,Terima kasih kepada staf dari resepsi ke concierge khusus menyebutkan Pur dan Ilhan mereka ramah membantu dan mengundang kamar hotel juga baik tapi barang-barang seperti papan besut dan TV telah menunjukkan tanda-tanda usia
Nazwa Dhita,2025-12-11,5,atas nama Kitaoneus Asia kami ingin mengucapkan terima kasih yang tulus kepada Hotel Pullman Thamrin Indonesia karena telah mengatur perayaan perayaan dengan inklusi acara yang benar-benar berkesan yang membawa kebahagiaan kreativitas dan pemberdayaan kepada anak-anak dengan cacat intelektual tuna grahita dan gangguan pendengaran tuli kami menyaksikan langsung bagaimana penuh perhatian seluruh program diselenggarakan anak-anak memberikan pertunjukan luar biasa pantomime yang menyentuh oleh anak-anak dengan gangguan pendengaran dan tarian Bali yang memikat yang dilakukan oleh anak-anak dengan gangguan intelektual dan pendengaran kompetisi memasak adalah
Brutal & Honest Reviewer,2025-12-01,4,tekanan air yang lemah untuk mandi mendapatkan suhu yang tepat juga merupakan tantangan baik terlalu panas atau terlalu dingin klub lounge menawarkan berbagai makanan yang buruk hanya selama sarapan bahwa Anda mendapatkan menu untuk memilih Anda memasak untuk memesan hidangan utama namun sarapan ala carte makanan yang sangat baik lokasi yang besar tambah titik layanan tidak buruk juga
Adel Ali,2025-12-18,5,Saya memiliki tinggal yang luar biasa di Pullman thamrin cbd layanan luar biasa terutama dari staf concierge jonathan dan harry mereka sangat membantu sepanjang tinggal saya lokasi juga sangat nyaman hanya berjalan kaki dari plaza indonesia besar indonesia dan thamrin kota saya sangat merekomendasikan hotel ini dan pasti akan kembali terima kasih
Andi Maulana,2025-12-11,5,Saya sering datang ke sini terutama untuk sarapan harga hanya tepat untuk berbagai hidangan dari Indonesia ke Jepang dan barat Anda juga dapat mengambil minuman saya juga sangat berterima kasih untuk layanan dari mas aap yang selalu memperhatikan dan cepat membantu dan sering merekomendasikan makanan dan minuman yang hebat untuk kita dia memberikan perhatian khusus kepada orang tua saya yang sudah tua yang benar-benar kami menghargai sekali lagi terima kasih sana sini restoran dan mas aap untuk layanan 6 bintang
Rizqa Shafira Ahnaf,2025-11-01,5,pertama kali menginap di sini karena suami saya ada pertemuan di sini dari grup bpdlh tgl 28 nov 1 okt jadi saya dan anak2 ikut nginep karena suami saya datang ke sini untuk pertemuan saya kebagian makan d resto 3x sehari ya karena dari grup cm kebanyakan setiap makan d resto saya bertiga saja sama anak2 balita dan bayi jadi mmg kadang agak rempong hehe sambil makan sambil nyuapin si kakak gendong adik dari sekian banyak staf resto saya mau mengucapkan terima kasih sekali untuk pak aap dan mbak martinah karena jujur tidak ada staf lain selain dia berdua yang peduli itu sama saya mgkn karena melihat saya kerepot
Argya Maheswari Desanda,2025-12-01,5,Saya sangat menikmati keberangkatan saya di sana sarapan luar biasa memiliki banyak pilihan dan staf berkualitas tinggi sangat ramah dan membantu terutama mas chairil satu hal perlu meningkatkan televisi ke yang pintar
Tevy Chawwa,2025-12-18,5,Pelayanannya sangat bagus sarapannya enak dan variatif dibantu kak chelsya juga yang ramah hanya saja memasang listrik di kamar membutuhkan lebih banyak terutama di dekat meja kerja
Wachid Muslimin,2025-12-01,4,Kami tinggal di sini beberapa kali secara keseluruhan itu tenang nyaman satu-satunya keluhan akan menjadi TV yang sangat tua dan ambiance lama masuk kamar terutama jika Anda tinggal masuk bangunan lama silahkan upgrade ini terutama TV karena penting bagi orang bisnis untuk dapat mencerminkannya dengan perangkat kami untuk bekerja
Sofi Mardiah,2025-12-01,5,pengalaman menginap yang sangat menyenangkan tim front desk yang sangat membantu dan ramah kami diberikan upgrade secara gratis untuk kenyamanan keluarga kamar yang sangat bersih dan wangi hingga pelayanan staf yang selalu ramah dan sigap membantu sarapan pagi paginya sangat lengkap dengan banyak pilihan menu lokal dan internasional yang lezat meskipun sudah banyak yang habis saat saya sarapan karena agak terlambat setelah ikut lomba dulu fasilitas hotel juga lengkap kolam renang dan gym baru terlihat bersih serta nyaman tidak sempat mencoba mungkin tinggal berikutnya lokasinya sangat strategis dekat dari pusat kota dan fasilitas transportasi publik kereta benar benar memberikan pengalaman menginap yang tak terlupakan dilakukan dengan baik kereta
Ahmad Syarifuddin Randiko,2025-12-11,4,Tempat tinggal yang layak dengan pilihan sarapan yang sangat baik mulai dari masakan Indonesia hingga kuliner barat Kamarnya kompak tapi memiliki fasilitas lengkap seperti besi dan bak mandi hanya catatan pada kebisingan pengasingan suara tidak terbaik Aku bisa mendengar kebisingan lalu lintas dan aktivitas masuk lorong di malam hari
Daniel Wong,2025-10-01,5,Pullman pengalaman benar-benar menangkap jantung Jakarta sebagai hotel bintang lima posisinya yang terletak di pusat tidak bisa mengalahkan menempatkan Anda tepat masuk tengah aksi secara harfiah dikelilingi oleh pusat perbelanjaan besar dan dengan mrt tepat di ambang pintu untuk perjalanan mudah di luar lokasi dua masuk rumah restoran adalah bintang memberikan pengalaman luar biasa masuk syarat pengaturan makanan dan layanan untuk nightcap sempurna pintu belakang menawarkan suasana halus dengan berbagai minuman dan wiski capping off besar tinggal resepsionis hotel secara konsisten sopan dan sopan membuat cek masuk dan cek
Kitaoneus Asia,2025-12-11,5,pullman jakarta indonesia benar-benar mewujudkan inklusi dan keramahan tulus kami bergabung dengan musim perayaan acara inklusif pada 8 Desember 2025 dan pengalaman yang diberikan untuk anak-anak dengan cacat luar biasa tim pullman hangat perhatian dan memperlakukan anak-anak dengan hormat kebaikan dan belas kasihan terima kasih pullman jakarta indonesia untuk menciptakan ruang aman bahagia dan inklusif untuk anak-anak khusus ini kami berharap lebih banyak hotel akan mengikuti contoh pullman masuk mempromosikan kegiatan inklusif yang berarti
Novia Bertie,2025-12-01,4,untuk bermain sudah baik secara keseluruhan hanya resepsionis lebih ditingkatkan lagi soalnya saya minta tolong tap kartu untuk mengangkat mba nya kurang ikhlas terlihatnya dan tidak ada senyumnya sama sekali seperti malas terlihatnya makanan enak2 saat rasanya ada pertandingan juga meskipun engga murni pertandingan banget hehe tapi terimakasih pelayanan dari mas aap saat sarapan dilayanin dengan baik puas pokoknya penuh semangat dengan pelayanan mas nya baik banget
Alan Pires,2025-10-01,5,pullman thamrin adalah hotel berkualitas tinggi baik bulat yang melakukan banyak hal yang benar lokasi pusatnya mungkin aset terbesar membuatnya ideal untuk tamu yang ingin masuk di tengah jakarta action belanja bisnis wisata dengan waktu perjalanan minimal fasilitas kesehatan gym sauna uap menyelam kolam dingin panas melengkapi kekuatan sebagai lebih dari hanya tempat untuk beristirahat ini adalah hotel di mana Anda dapat menyeimbangkan produktivitas kenyamanan dan rileks jika ada ruang untuk perbaikan itu akan masuk upgrade beberapa kamar tua menara meningkatkan isolasi terutama untuk kebisingan jalan dan memastikan bahwa harapan tinggi
Yuli Lee,2025-12-01,1,td saat mau sarapan om saya pakai kaos celana pendek sandal hotel tapi tidak di per boleh kan untuk masuk sarapan katanya tidak boleh pakai celana pendek jadi dia naik lg ke atas untk ganti celana panjang begitu turun eh malah di suruh ganti sendal tidak boleh pakai sendal hotel begini pelayanan yang katanya hotel bintang 5 ngerjain org tua yang sudah mau 80 tahun naik turun kamar mau sarapan saja kok ribet yang mengesalkan ada org bule pakai kaos celana pendek sendal hotel tapi tidak di permasalahkan dia boleh masuk untuk sarapan knp om saya di perlakukan seperti itu namanya diskriminasi pada hal keluarga kita
