User Name,Review Time,Rating,Review Text
Benaya Christo,2025-12-01,5,Kami baru saja menikah di raffles hotel jakarta dan pengalaman kami sempurna memilih tempat pernikahan adalah keputusan besar bagi kami kami sangat senang bahwa dari awal shella wakil penjualan pernikahan kami dari raffles jakarta telah melakukan segala upaya untuk memastikan perjalanan kami berjalan lancar mungkin dari mengatur tur kamar untuk menunjukkan kepada kami tata letak ruang dansa hosting makanan kita tasting dan tech bertemu tepat sampai hari besar dan hari setelah shella dan tim selalu membuat kami merasa disambut kamar kami telah disiapkan dengan teliti dan dan bersih cek masuk dan checkout
Jamie Huang,2025-12-25,5,Kami merayakan ulang tahun seorang teman di jacarta dan memiliki pengalaman yang benar-benar tak terlupakan tim hotel memberikan bantuan besar dengan pengaturan memastikan semuanya berjalan sempurna apakah kita sedang sarapan di kafe seni atau minuman di bar penulis staf selalu memperhatikan dan sangat merawat kami jika Anda seorang penggemar kue Anda harus mencoba pencuci mulut di sana kita pasti akan tinggal di hotel ini lagi pada kunjungan berikutnya kami ke jakarta
Angelique Kezia Chandra,2025-12-25,5,Kami memiliki waktu yang luar biasa di sini saya sangat merekomendasikan untuk tinggal masuk tempat ini terutama untuk makan masuk cafe seni kami pergi ke berbagai tema buffet makan malam pada hari Kamis dan Jumat sarapan juga begitu layak tidak hanya adalah makanan luar biasa di sini layanan juga hebat kami disajikan oleh beberapa sangat baik dan menyambut orang jojo gio kevin dan danielle
Nancy LS,2025-12-01,5,pengalaman luar biasa hotel mewah terbaik i telah tinggal di belum kamar kami king kamar dengan pemandangan taman begitu besar dan mewah besar tempat tidur ruang mandi luas double wastafel yang membuatnya menjadi tempat suci yang sempurna setelah liburan gerakan kecil seperti cokelat dan buah membuat kita merasa begitu istimewa makanan di cafe seni sangat lezat berputar la carte menu masuk tambahan untuk buffet memberi kita banyak pilihan dan memastikan bahwa makanan segar fasilitas hotel baik gym memiliki peralatan yang bagus kolam renang cukup besar untuk melakukan putaran dan ada jalur berjalan kaki yang membuat Anda merasa seperti Anda
Yoshinori Kajitani,2025-12-11,4,Saya baru-baru ini tinggal di raffles jakarta dan awalnya terkesan dengan reputasi hotel dan suasana elegan komunikasi yang sangat baik sebelum kedatangan dan peningkatan yang mengesankan ke suite yang indah membuat penginapan saya yang berkesan dan hotel ini memiliki ruang halus dan bar menakjubkan yang sempurna mencerminkan merek raffles namun raffles lounge tidak memenuhi standar ini bahkan item dasar seperti peralatan dan serbet tidak disediakan kecuali diminta dan staf tidak bereaksi bahkan ketika saya sudah makan roti sebagai hasilnya rasanya seolah-olah tamu diharapkan untuk mengelola semuanya sendiri pilihan buffet adalah
Sheerwan O'Shea-Nejad,2025-12-01,5,Saya memiliki menginap yang luar biasa di raffles jakarta untuk ulang tahun pasangan saya kamar besar dirancang dan dengan baik diterangi dan kami diberi upgrade layanan luar biasa dari check masuk sampai keberangkatan bahkan ditawari minum di keberangkatan kepala butler fachrul tim mereka fenomenal dengan mereka berdua melayani setiap permintaan kami dan mengejutkan kami dengan ide mereka sendiri terima kasih cemerlang di cafe seni hidup sesuai nama Anda staf di cafe seni luar biasa juga terima kasih danielle untuk membuatnya seperti ulang tahun yang tak terlupakan kami hanya mengunjungi bar penulis sekali tapi itu sama menyenangkan
Max Moore,2025-12-01,5,staf hotel sangat baik sangat ramah dan membantu Anda setiap kali Anda membutuhkan mereka kamar-kamar sangat besar saya telah ditingkatkan sebagai accor platinum ke suite sangat baik juga Anda mendapatkan akses ke ruang tamu klub yang menakjubkan yang memiliki la cart buffet dan koktail masuk malam makanan rasanya baik itu adalah tinggal yang sangat menyenangkan hanya kritik saya memiliki adalah bahwa suara sensitif orang harus memesan hanya taman pemandangan kamar karena bagian depan hotel yang menghadap jalan raya dan isolasi suara tidak tingkat atas
Edy Susilo,2025-12-27,5,Hotel ini terletak dekat kantor Jakarta oleh karena itu cukup meyakinkan karena saya bisa berjalan ke gedung kantor lalu lintas masuk depan hotel sangat buruk karena selalu jam hotel terhubung ke lotte mall di lantai satu jadi cukup meyakinkan untuk makan dan berbelanja tanpa perlu terjebak masuk jakarta kemacetan lalu lintas terkenal tim sangat ramah dan akan mencoba yang terbaik untuk mengisi permintaan tamu jempol terutama untuk tim concierge ruang tamu dapat sibuk pada waktu tertentu dengan ketersediaan meja mungkin cukup chall
Melati Putri D,2025-12-01,5,Saya memiliki tinggal yang indah di raffles jakarta kamar hotel adalah luas dan sangat nyaman dengan interior yang dirancang dengan indah dari ruang tamu ke kamar tidur dan kamar mandi semuanya terasa elegan dan bijaksana diatur pemandangan skyline kota jakarta dan hotel bersih dengan baik taman yang benar-benar mengesankan hotel menawarkan fasilitas besar seperti kelas kebugaran gym dan kolam renang yang indah sarapan yang sangat baik dengan berbagai pilihan dari hidangan barat untuk makanan tradisional indonesia apa yang berdiri keluar yang paling luar biasa adalah layanan saya memiliki beberapa koper dan tas belanja dan
Sean Jung,2025-12-01,5,Saya baru-baru ini tinggal di raffles jakarta selama lima malam dan sangat terkesan dengan layanan dan keramahan keseluruhan staf secara konsisten menunjukkan kehangatan dan profesionalisme membuat pengalaman baik nyaman dan berkesan salah satu sorotan dari kunjungan saya adalah layanan sarapan kualitas dan variasi yang sangat baik dan suasana yang menyambut setiap pagi saya terutama ingin mengenali danielle yang memperhatikan dan baik selama kunjungan saya ke area sarapan pelayanan yang bijaksana menambahkan sentuhan pribadi yang membuat setiap hari dimulai pada catatan positif keseluruhan raffles jakarta memberikan pengalaman luar biasa menggabungkan kemewahan dengan
