User Name,Review Time,Rating,Review Text
D Syahputra,2025-12-18,5,Hotel gaya kolonial klasik lokasi yang baik staf ramah kamar yang sangat baik teras sarapan adalah yang terbaik di kota mr agil dan vadil di ruang makan melayani kita sangat baik semua rasa makanan sembilan delapan sepuluh setiap sentuhan makanan memberikan memori sederhana tetapi hebat menu alacarte untuk sarapan sangat baik
Glendon Thaiw,2025-12-04,5,Saya bepergian ke Jakarta hampir setiap bulan untuk bekerja dan hermitage adalah tanpa ragu 100 saya pergi ke hotel itu benar-benar terasa seperti rumah jauh dari rumah sementara seluruh hotel adalah indah restoran dan lounge layanan berdiri keluar untuk kualitas dan suasana yang nyaman makanan selalu sangat baik dan layanan yang konsisten hangat dan efisien sorotan mutlak kunjungan bulanan saya adalah layanan luar biasa yang disediakan oleh silmi kehangatan asli positif energi dan komitmen untuk membuat setiap tamu merasa selamat datang luar biasa saya benar-benar berharap untuk melihat dia setiap kali saya kembali terima kasih silmi dan
Luthfiana Rahma,2025-12-01,3,Untuk non-pemakan hotel ini sangat tidak nyaman lobi bahkan memiliki petunjuk bau rokok yang telah bercak lama ini membuat saya tidak nyaman masuk lobi sejak waktu tunggu memakan waktu yang sangat lama karena karena beredar antrian untuk memeriksa masuk mereka tidak memiliki area yang tepat untuk memeriksa masuk dan antrian staf di cek masuk waktu tidak memberikan perawatan yang tepat untuk saya yang telah menunggu lama sementara berdiri mereka melayani orang yang datang pertama ke meja bukan orang yang datang pertama ini membuat saya sangat marah resepsi juga menangani bagasi
Model Citizen,2025-12-01,5,dari saat kami berjalan ke hermitage kami tahu kami masuk untuk sesuatu yang istimewa layanan sarapan luar biasa staf menyambut kami hangat setiap pagi menawarkan saran yang bermanfaat dan memastikan kopi kami mengisi cepat penyebaran adalah mengesankan buah segar yang indah matang telur dan kue yang tidak hanya terlihat hebat tapi mencicipi makan malam yang fantastis pada 1928 sama memorable staf ruang makan memukul keseimbangan sempurna perhatian dan tidak mengganggu mengetahui kapan untuk memeriksa kami dan kapan untuk memberi kami setiap ruang untuk menikmati makanan kursus dikirimkan dengan perawatan plat
Lestari Prihandayani,2025-11-01,5,Menteng terasa seperti sebuah permata tersembunyi yang tenang masuk di tengah jakarta elegan tenang dan bijaksana kurasi kamar ini sangat luas dan indah dipelihara menawarkan kenyamanan dan perasaan tenang saat Anda masuk sarapan adalah pengalaman yang indah salmon asap Norwegian segar dan lezat dan cappuccino itu kaya dan seimbang awal yang indah untuk pagi staf restoran benar-benar hangat dan perhatian yang menciptakan hubungan yang tulus di luar layanan sendiri detail lain yang menonjol adalah toilet bahan wangi sampo
lancar jayadi sutanto,2025-11-01,5,Saya memiliki pengalaman sarapan yang benar-benar indah di Hermitage sebuah penghargaan portofolio hotel jakarta saat saya sedang sarapan saya dengan baik didekati oleh koki heru yang memperhatikan bahwa saya tidak makan banyak dia bertanya dengan perhatian yang tulus apakah makanan tidak untuk kesukaan saya atau jika sesuatu dapat ditingkatkan saya menjelaskan bahwa selama saya tinggal menu sarapan tidak banyak berubah jadi saya mulai merasa sedikit bosan dengan kejutan saya koki heru segera menawarkan untuk menyiapkan sesuatu dari menu untuk hari berikutnya dan dia secara pribadi membuat saya hidangan khusus digoreng daging sapi pedas dengan
Alexandra K,2025-11-01,5,10 10 pengalaman di Hermitage Jakarta kami tinggal di Hermitage Jakarta selama tiga malam untuk merayakan ulang tahun teman saya dan itu benar-benar salah satu pengalaman hotel paling berkesan yang pernah kami miliki dari awal sampai akhir setiap anggota tim pergi ke atas dan di luar untuk membuat menginap khusus mereka merayakan ulang tahun teman saya tiga kali pertama dengan seluruh tim bar bernyanyi dan mengejutkan kami dengan kue dan lilin masuk ke kamar pribadi kemudian lagi sarapan dengan kue lain dan akhirnya kami kembali ke kamar kami untuk menemukan lagi kue dan pesan ulang tahun yang tulus tertulis di mir
Remco Geluk,2025-09-01,5,jika mungkin saya akan memberikan layanan enam bintang karena masuk luar biasa dari concierge untuk resepsi sarapan sepanjang jalan sampai atap bar gaya kolonial bangunan terasa kaya dan kembali masuk masa lalu dengan fasilitas modern ada ulasan bahwa akan dingin masuk hotel tetapi tidak memperhatikan apa-apa pada bahwa semua ruang yang nyaman suhu masuk kamar itu sendiri itu adaptif kamar kami luas dengan ruang duduk terpisah menakjubkan pemandangan bar atap
Christine Ting,2025-10-01,5,Kami tinggal selama 4 malam masuk September semuanya sempurna jika Anda menyukai arsitektur kolonial ini adalah hotel untuk Anda kami sangat menyukai tampilan dari perlengkapan asli dan foto bangunan sebelum renovasi di seluruh hotel seperti layanan museum sangat baik bar di atap menghadap ke cakrawala Jakarta pusat dan adalah tempat yang sangat bagus untuk nongkrong keluar pada malam hari itu juga hanya 5 menit berjalan kaki dari pasar antik
J B,2025-12-18,5,Cheeseburger mereka melayani di atap adalah luar biasa saya benar-benar berpikir ini bisa menjadi cheeseburger terbaik di dunia saya telah makan banyak cheeseburger masuk hidup saya sebagai siapa pun yang telah bertemu saya bisa menebak dengan seberapa gemuk saya ini adalah yang terbaik saya pernah saya telah memiliki cheeseburger masuk ratusan restoran di seluruh Kanada Amerika Serikat Inggris Prancis Rumania India Dubai Australia Malaysia dan Indonesia tidak ada yang baik
Syahputrie Ramadhanie,2025-12-01,5,kamar dan layanan 4 7 5 kamar untuk acara semacam ruang pertemuan ballroom tidak terlalu besar sehingga cocok untuk acara intim tetap bisa ada panggung di depan dan pencahayaan yang oke pelayanan baik untuk pertemuan makan baik sangat oke karena pelayan sigap untuk mengganti menu sesuai jam yang seharusnya pipi sapi maranggi debest enak banget aseli dagingnya empuk hanya saja remehnya kurang oke buatku termasuk sumatra curry emulsi kurang cocok buatku yang suka rempah asli nuansa ruangan dan hotelnya vintage dan tua jadi lampunya pun agak remang remang lokasinya strategis tetapi gedungnya tidak
indra pramana putra,2025-12-18,5,seluruh staf nya sangat ramah dan murah senyum luar biasa sekali dari keamanan resepsionis sampai dengan room service tempatnya bersih kamarnya bersih suasananya tenang dan semoga kalian diberkahi dan bahagia selalu untuk karyawan yang bekerja dengan sepenuh hati
"Mike McGovern, Esq.",2025-12-11,5,Ini hotel premium Anda membayar premium tapi Anda mendapatkan premium pertama kamar mandi asli masuk 6 bulan kamar cantik kain lunak c bertiup begitu dingin saya bangun pukul 02:30 mematikan dan mengambil mandi hanya indah di sekitar layaknya jika Anda mampu itu
Dayant Ramkalup,2025-10-01,5,Dengan jauh hotel paling indah yang pernah saya kunjungi masuk dalam hidup saya kamar ini indah dihiasi masuk gaya kolonial dengan lantai marmer dan kamar mandi raksasa kamar bahkan terdiri dari ruang tamu dengan TV dan kamar tidur besar terpisah tempat tidur yang indah kamarnya begitu bersih sehingga lantai bersinar sarapan buffet adalah lezat hidangan yang hebat staf Sudan sangat membantu ramah dan lokasi masuk menteng adalah pusat dari semua tempat penting seperti monumen sarinah mall proklamasi dan sebagainya menteng sendiri adalah sebuah chic lingkungan
Vicky KS,2025-12-01,5,layanan luar biasa oleh Ms Silmi saya memiliki pengalaman yang luar biasa di Hermitage Hotel Jakarta berkat layanan luar biasa dari Ms Silmi dia sangat perhatian profesional dan benar-benar hangat sepanjang masa tinggal saya pendekatan yang bijaksana dan bantuan cepat membuat semuanya lancar benar-benar luar biasa masuk keramahan terima kasih Ms Silmi
Bronx2Bali,2025-08-01,5,Hotel warisan era kolonial yang indah saya tinggal beberapa kali favorit saya jakarta lingkungan staf yang sangat ramah dan klasik merasa masuk lokasi yang bagus sarapan adalah indah seperti adalah ruang tamu repot gratis akhir checkout yang sangat dihargai sebagai penerbangan saya ditekan keluar dua jam i d jauh lebih baik tinggal di hotel daripada bandara terima kasih untuk menginap yang indah dianjurkan
JE TOUR & TRAVEL,2025-12-18,5,Kamar junior suite yang dipesan luas dengan desain klasik kamar itu bersih aku bahkan mendapat disertasi sambutan dari hotel betapa manisnya
Matthias Kurrle,2025-09-01,5,Tempat yang indah dengan suasana kolonial bersejarah staf yang indah dari resepsi untuk melayani kamar-kamar yang indah tapi karena tradisi lama mereka sedikit lama dan beberapa renovasi telah dilakukan tidak sangat profesional spa yang sangat baik dan profesional
Nabila Putri Salsabila,2025-08-01,5,Kami tinggal di sini untuk bulan madu kami dan itu benar-benar tak terlupakan staf pergi mil ekstra untuk membuat pengalaman kami khusus dari sambutan hangat untuk kejutan kecil sepanjang jalan kami memesan suite yang termasuk sarapan a la carte yang lezat dan makan malam yang luar biasa di klub hotel hotel merasa pribadi dan mewah dengan desain Belanda pesona kami kamar yang indah dengan kamar mandi kamar tidur nyaman dan interior elegan lokasi masuk menteng adalah damai namun pusat kami juga menyukai atap bar dengan pemandangan cakrawala Jakarta di malam hari tambah musik dj hidup semuanya
Jasmine Putri A,2025-09-01,2,hati-hati yang pesen hotel di Hermitage ya aku pesen yang seharga 2 5 jt termasuk pajak 50m2 termasuk teras ternyata saat sampai sana dapet yang kecil dan tidak ada teras acnya tidak dingin dan berisik kalau cek di trvl artinya di kasih yang kamar harga 1 5 jt rasanya kaya di prank dan stafnya ngang ngong banget asli untung karena ac nya berisik dan tidak dingin bisa di pindahin kamarnya cukup sekali aku menginap di sini untung tidak jadi jg pernikahan di sini sekian
Handojo Noegroho,2025-09-01,5,Kami pergi ke sana untuk pesta pernikahan dengan pengaturan kursi meja panjang dan menu yang diatur bangunan dan interior lobi dan ruang dansa bagus dengan gaya lama tetapi tidak membosankan satu-satunya kelemahan adalah ruang parkir terbatas yang hanya berfokus pada pelayan jadi bersiaplah untuk parkir di jalan sedikit jauh dari hotel atau menggunakan taksi atau sopir presentasi makanan dan rasa yang baik dianjurkan
