User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Alifia Lifi,2026,5,dulu beberapa tahun yang lalu pernah kesini mungkin 10th 11th yang lalu entah brp tahun saya juga lupa rombongan dari jombang liburan tempat enak sekali ramai pengunjung makanan enak kenangan bersama almarhum ayah foto sudah hilang di hp jadul tapi semuanya pelayanan juga bagus pagi diajak keliling ke kebun teh kebun kopi bersama kereta keluarga kereta modern warna putih bersama pak supirnya entah kenapa saya lihat ulasan sedikit berbeda mungkin banyak ulasan negatif untuk kebersihan dengan karyawan housekeeping nya tidak mengendalikan ulang tapi tempat ini sangat sangat bagus dulu juga pengunjung makanan banyak di resto juga prasmanan semua menu enak tidak ada yang gagal,BUMN,Bintang 3,Banaran9ResortHotel,positive,0.9204142689704895,Guest Experience,Guest Experience (0.84); Facilities & Amenities (0.83); Food & Beverage (0.76)
Desi “Dsy” Rizky,2025,3,saya kesini di akhr bulan mei sprtinya masih libur sekolah atau libur panjang gt sebetulnya tidak niat kesini juga tapi krna udah sakit dan belum dapet penginapan akhrnya disini tempatnya bagus asri dingin nyaman tapi kenapa saat disana tidak ada pengunjung lain jadi cuma saya sekeluarga 4org ruangan yang agak engap ya kotor berdebu padahal masih di waktu libur panjg saya kira banyak yang menginap ternyata tidak cuma kita sekeluarga saja hasilnya kaga bisa tidur tv nyala sampai pagi tidak brani kamar keluar padahal klo klo banyaknyg nginap mgkn asik santai duduk di teras malemnya hujan coba ke kafe sambil musik live,BUMN,Bintang 3,Banaran9ResortHotel,negative,0.998053789138794,Facilities & Amenities,Facilities & Amenities (0.71); Service Quality (0.39); Family & Group Friendly (0.34)
Test Testing,2025,1,Saya beli ayam goreng 3 untuk 40rb tau ngak ukurannya ayamnya 1 8 ayamnya saya tidak akan datang lagi kamar hotelnya juga sangat kotor banyak banget kecoa saat malam ada tikus diluar kamarku saya lebih memperbaiki ke hotel dan resto lainnya capucinonya harganya 26rb di gambarnya keliatannya banyak tapi saat datang dapetnya sedikit cangkir pocinya saat saya memegang copot dan air panasnya jatuh ke celanaku saya tidak akan datang lagi ini tempat terburuk di dunia saya harap semuanya terjebak melihat review ini dan saya harap banaran ini perbaiki ini saya ingat saya tidak akan datang ke sini lagi,BUMN,Bintang 3,Banaran9ResortHotel,negative,0.9983792304992676,Food & Beverage,Food & Beverage (0.79); Pricing & Value for Money (0.78); Guest Experience (0.44)
Fanyf Sy,2025,1,rencana buku 4 villa buat gathering keluarga besar tapi jadi maaf villa yang dipakai kotor sedikit kotor karena seperti tidak terawat pertama kali datang saya melihat di lantai banyak debu ada lalat mati di sofa sofa berdebu di meja tv ada sisa kayu yang dimakan rayap toilet kotor bahkan ada sisa puntung rokok di balik tong sampah wifi dan tv tidak menyala kasur warnanya putih kusam bahkan ada yang basah sedikit pertama masuk lgsg tersembunyi terasa gatal bangunan seperti tidak ter pemeliharaan dengan baik dengan harga yang dikeluarkan tidak saat rasanya dengan kondisi yang diberikan jujur saya sebagai penyelenggara jadi malu takut keluarga lain merasakan hal yang yang,BUMN,Bintang 3,Banaran9ResortHotel,negative,0.9985654950141907,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (1.00); Digital Connectivity & Technology (0.99)
Ficha Chandra,2025,5,dapat kamar dengan view rawa pening indah banget kamar sprei kayaknya sudah agak lama sejak diganti namun kamar tidak dihuni jadi lumayan ngeres saya kebuti sendiri sarapan minimalis ya tapi masakannya lumayan enak kamar mandi bau jadi semalaman blower dinyalakan sudah agak memperbaiki udara hangan mantap udara segar gratis petualangan jalan2 di kebun kopi pagi2 dingin segar mantap view restonya indah bangeet,BUMN,Bintang 3,Banaran9ResortHotel,positive,0.9993341565132141,Facilities & Amenities,Facilities & Amenities (0.79); Service Quality (0.73); Sustainability & Environmental Quality (0.67)
Dama,2025,5,View Harga Terbaik masuk akal pilih omah cabin saja kalau tidak sini,BUMN,Bintang 3,Banaran9ResortHotel,positive,0.9971120357513428,Pricing & Value for Money,Pricing & Value for Money (0.96); Facilities & Amenities (0.80); Sustainability & Environmental Quality (0.70)
Muhammad Luthfi Hidayat,2025,5,sejuk cocok untuk menyegarkan keluarga di akhir pekan juga cocok untuk pertemuan atau ruang pertemuan penginapannya standar lah bintang 3 karena bangunan lama dan klasik konsepnya bisa pesan paket barbecue atau bikin tomyam sendiri hal yang paling spesial adalah pemandangan langit baru di malam hari dan pagi hari pengalaman yang indah,BUMN,Bintang 3,Banaran9ResortHotel,positive,0.9993733763694763,Family & Group Friendly,Family & Group Friendly (1.00); Facilities & Amenities (0.98); Ambience & Design (0.98)
Theodorus Dedy,2025,5,Saya mengambil kamar grand deluxe dengan view rawa pening sayangnya dikamar tidak bisa sinyal wifi,BUMN,Bintang 3,Banaran9ResortHotel,positive,0.5093092918395996,Facilities & Amenities,Facilities & Amenities (0.90); Guest Experience (0.87); Digital Connectivity & Technology (0.78)
FAIHA ANSORI,2024,1,ambil balkon deluxe 2 kamar tidak berharap terlalu tinggi sih karena lagi sulit mencari hotel musim tinggi ini tapi ternyata kamarnya mengecewakan sekali sekali sekali sekali sekali sekali sekali sekali sekali sekali sekali sekali juga bagus adem di tengah kebun kopi bermanfaat juga pegawaianya dan ramah air panasnya membantu sekali di suhu yang dingin restonya skyviewnya bagus buat foto foto kamar dua dua duanya bocor handuk lusuh kamar mandi baunya luar biasa sempet mengeluh ada yang datang dikasih pewangi tapi tidak ngaruh apa apa apa jadi buat kamar mandi pakai kamar yang lain yang masih mendang memperbaiki lampunya sudah kurang terang kas,BUMN,Bintang 3,Banaran9ResortHotel,positive,0.9145668148994446,Facilities & Amenities,Facilities & Amenities (0.97); Staff Conduct & Hospitality (0.93); Service Efficiency & Responsiveness (0.82)
Antonius Setijawan,2025,5,penginapan resto yang nyaman di tengah kebun kopi kamarnya bersih meski dinding ada yang retak karena bangunan lama suasana dingin lain kali nginap lagi di sini,BUMN,Bintang 3,Banaran9ResortHotel,positive,0.9992960691452026,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.93); Service Quality (0.85); Facilities & Amenities (0.80)"
