User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Efry Bebeh,2025,5,Sering sering di sini acara pribadi ataupun pekerjaan makanan pagi yang paling enak dan banyak banget dari semua hotel dikalsel pelayananny super super ramahh dan banyak banget pegawai nya yang cepat bantuin kita kolam renang luas ini sih anak2 pasti suka,BUMN,Bintang 3,HotelRattanInn,positive,0.9995055198669434,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Quality (0.99); Family & Group Friendly (0.99)
Si Mbah Rono,2025,1,sangat buruk saya dapat pengalaman buruk bahkan saat saya mau pertama kali menginap di hotel ini 1 cek masuk jam 15 00 dengan kamarnya katanya belum siap disuruh menunggu dan baru bisa jam 16 45 lebih jam lebih menunggu tanpa kejelasan dan tanpa pengobatan apapun 3x tanyain diminta menunggu 10 menit terus begitu 2 pesan non merokok kamar malahan dikasih kamar yang merokok padahal dari awal jelas pesan non merokok alasannya sudah ditangani tapi bau apek dan bekas tembakau masih sangat terasa minta ruangan pengganti katanya habis dan ditawarin diffuser untuk menetralisir aroma apek tembakaunya pastinya ini yang pertama dan dan sekaligus,BUMN,Bintang 3,HotelRattanInn,negative,0.9993305206298828,Check in/out Experience,Check in/out Experience (0.77); Booking & Reservation Experience (0.55); Guest Experience (0.50)
Enas Hindasah,2025,5,hotel rattan inn alhamdulillah aman nyaman menyenangkan pelayanan baik memuaskan memperhatikan kebersihan makan enak respon bisa melayani dengan baik saat akan beribadah puasa,BUMN,Bintang 3,HotelRattanInn,positive,0.9993804693222046,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.99)"
Gusti Noor Aida,2025,5,pengalaman saya selama di hotel Rattan Inn alhamdulillah sangat menyenangkan pegawai staf ramah kondisi kamarnya bersih dan suasananya nyaman bertahan dan terus ditingkatkan lagi senang bersama dan tinggal di Rattan Inn,BUMN,Bintang 3,HotelRattanInn,positive,0.9992789626121521,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Staff Conduct & Hospitality (1.00)"
Ahmad Faisal,2025,1,sarapan termasuk kamar mau makan bubur buat anak saya dari resto hotel kata nya tidak boleh di bw ke kamar kata pelayan resto terkecuali byr dan pesan makanan nya di daftar menu yang ada di kamar boleh dbw kkmr lucu kalau pesan grab makanan apakah tidak boleh juga,BUMN,Bintang 3,HotelRattanInn,negative,0.8491576910018921,Booking & Reservation Experience,Booking & Reservation Experience (0.96); Pricing & Value for Money (0.90); Staff Conduct & Hospitality (0.79)
Shanna Diaz,2025,5,Lokasinya berkeliaran kamarnya nyaman pelayanannya sangat ramah dari keamanan hingga kantor depan akan kembali lagi tinggal di sini insyaallah,BUMN,Bintang 3,HotelRattanInn,positive,0.9991174340248108,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (1.00); Staff Conduct & Hospitality (0.99)
Winda Wijaya,2025,5,kamar nya bagus dan pelayanannya sangat bagus sudah sering kesini juga nenginap selalu memuaskan untuk makanannya nama menuunya lebih diperhatikan lagi apalagi untuk daging sapi takutnya orang salah kira semua makanannya enak,BUMN,Bintang 3,HotelRattanInn,positive,0.9991838335990906,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Guest Experience (0.98)
NURMILA HIDAYATI,2025,5,hotel luas bersih nyaman pelayanan ramah dan makanannya juga enak setiap tahun sll ada berkunjung kesini untuk pertemuan terimakasih rattan inn banjarmasin,BUMN,Bintang 3,HotelRattanInn,positive,0.9994268417358398,Facilities & Amenities,"Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
Pokemon Tumaritis,2025,5,ini kesempatan kedua saya menginap di sini tempat yang nyaman dan tenang untuk istirahat dan tempat yang representatif untuk mengadakan kegiatan karena ruang dansa baru besar dan mudah dijangkau langsung tanpa masuk ke gedung utama hotel,BUMN,Bintang 3,HotelRattanInn,positive,0.9985388517379761,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (0.98); Family & Group Friendly (0.94)
Mahbub Junaidi,2025,5,rapat koordinasi bappeda seluruh indonesia 3 desember 2025 di hotel rattan inn tempat prlayanan enu dan lain lain di sink sangat memuaskan saya yangvjauj daro jawa tengah sayangnya saya kehabisan kamar karena memang tamunya seluruh indonesia,BUMN,Bintang 3,HotelRattanInn,positive,0.9975394010543823,Service Quality,Service Quality (0.98); Facilities & Amenities (0.97); Guest Experience (0.91)
Chen2 cimutz,2025,5,puas rekomen kalau mau pulkam bisa menginap sini kak tika yang di teras kolam bantu ksih info juga untuk rekomendasi kuliner dan oleh2 tempat wisata d bjm juga membantu banget rattan masuk banjarmasin,BUMN,Bintang 3,HotelRattanInn,positive,0.9990307092666626,Facilities & Amenities,"Facilities & Amenities (0.92); Guest Experience (0.84); Loyalty, Recommendation & Appreciation (0.81)"
Meidiarsih Eka Savitri,2025,5,pengalaman menyenangkan menginap di Rattan Inn staf ramah dan pelayanan prima sarapannya banyak variasi mau citarasa lokal barat dan jepang ada,BUMN,Bintang 3,HotelRattanInn,positive,0.9994118213653564,Service Quality,Service Quality (1.00); Staff Conduct & Hospitality (1.00); Food & Beverage (0.99)
Mellia Azizah,2025,4,untuk pelayanan baik ramah tapi untuk fasilitas masih kurang karna hotel yang mewah tapi tidak ada kulkas mini itu rasanya kurang saja,BUMN,Bintang 3,HotelRattanInn,negative,0.6659606099128723,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.96); Service Quality (0.95); Guest Experience (0.93)
adhi wibowo,2025,5,hotel yang bersih nyaman banyak menyediakan ruang rapat parkir luas dan delat dengan pusat kota dan makanan di resto nya sejauh ini yang ter enak di banjarmasin,BUMN,Bintang 3,HotelRattanInn,positive,0.999445378780365,Facilities & Amenities,"Facilities & Amenities (0.99); Service Quality (0.98); Location, Accessibility & Parking (0.97)"
Imam Samroni,2025,4,Salah satu rekomendasi hotel jika ke banjarmasin suasan asri karen banyak pohon rindang serta banyak tamam kecil dan kolam disekitarnnya ada kolam renag yang siap memanjakan tamu serta dukungan lahan parkir yang sangat luas jika mau cari hotel tengah kota banjarmasin ini salah satu rekomendasi nya,BUMN,Bintang 3,HotelRattanInn,positive,0.9994606375694275,Facilities & Amenities,"Facilities & Amenities (0.99); Location, Accessibility & Parking (0.99); Cultural & Heritage Experience (0.95)"
kasramiawati 85,2025,5,kamar nya bersih banget pelayanan ramah untuk mkanan nya saya suka jauh dan wajib kembali bawa keluarga,BUMN,Bintang 3,HotelRattanInn,positive,0.9987837672233582,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.99); Food & Beverage (0.99)
Khairun Nisa,2025,5,Sudah sering ke sini pengalaman selalu baik dan nyaman makanannya juga enak banget banyak pilihannya,BUMN,Bintang 3,HotelRattanInn,positive,0.9991967082023621,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Room Quality & Comfort (0.97)
Harmita,2025,5,kamarnya bersih dan suasananya terasnya enak menghadap ke kolam renang penjaga hidup senantiasanya berjaga jadi terasa aman,BUMN,Bintang 3,HotelRattanInn,positive,0.9994482398033142,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Room Quality & Comfort (0.99); Facilities & Amenities (0.99)"
Ajeng Puspita,2025,1,Saya bawa anak kecil dan sudah pesan non-rokok kamar katanya karena penuh makanya ruangan yang awalnya merokok di perawatan jadi non-rokok dan sudah diusahakan agar tidak bau tapi kenyataanya kamar saya sangat kenal aroma rokoknya bahkan di sprei pun masih bau rokok entah spreinya diganti tidak sudah disemprot minyak wangi sampai pengharum ruangan tapi bau rokoknya tetap nempel sampai ke baju2 kami hmm maaf pengalaman pertama yang tidak sungguh enak engga lagi kesini,BUMN,Bintang 3,HotelRattanInn,negative,0.9968540072441101,Booking & Reservation Experience,Booking & Reservation Experience (0.71); Guest Experience (0.62); Facilities & Amenities (0.60)
Mutiara rusi Ivanka,2025,5,kolam renangnya adalah tempat favoritku karena terasa sangat tenang dan nyaman pelayanannya juga sangat cepat jika diperlukan,BUMN,Bintang 3,HotelRattanInn,positive,0.9994057416915894,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.99); Facilities & Amenities (0.99); Service Quality (0.97)
Herman Camay,2025,5,hotel bintang 4 dengan kamar yang rapi dan bersih resto nya sendiri luas dan bersih pelayanan ramah dan sigap tidak ada kendala,BUMN,Bintang 3,HotelRattanInn,positive,0.9993289709091187,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Food & Beverage (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
Ayu Mustika,2025,5,Ini kesab pertama kali menginap di sini dan pernah wisuda di sini ballroomnya sangat luas bersih pelayannya juga banyak berjaga,BUMN,Bintang 3,HotelRattanInn,positive,0.9991114735603333,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Service Quality (0.99); Facilities & Amenities (0.99)"
POJOK DAPUR Beta Asmoengin,2025,5,ke rattan inn ikut pelatihan dari dinas penanaman modal ac nya dinginn banget di ballroom nya kamar mandinya bersih makanannya enak,BUMN,Bintang 3,HotelRattanInn,positive,0.9995021820068359,Service Quality,"Service Quality (0.98); Cleanliness, Hygiene & Maintenance (0.98); Facilities & Amenities (0.98)"
Setiaji Maulana,2025,5,kamar nya bersih dan lengkap sangat oke jadi pilihan penginapan,BUMN,Bintang 3,HotelRattanInn,positive,0.9991946816444397,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Room Quality & Comfort (1.00)"
Riavianoca Anggita rosanti,2025,5,hotelnya bersih nyaman sudah sering kali disini bersama keluarga semuanya bahagia,BUMN,Bintang 3,HotelRattanInn,positive,0.9992222785949707,Family & Group Friendly,"Family & Group Friendly (0.99); Cleanliness, Hygiene & Maintenance (0.98); Service Quality (0.98)"
Masjid Al Istiqomah Kotabaru,2025,5,hotelnya nyaman fasilitas lengkap oke banget deh,BUMN,Bintang 3,HotelRattanInn,positive,0.9993481040000916,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.97); Room Quality & Comfort (0.92)
benny wibowo,2025,5,sarapan disini sangat memuaskan pilihannya banyak ada bagian prasmanan warteg bubur buah penutup dan masih banyak lagi,BUMN,Bintang 3,HotelRattanInn,positive,0.9991856217384338,Food & Beverage,Food & Beverage (0.98); Service Quality (0.94); Facilities & Amenities (0.93)
Martu Store,2025,5,terutama hal yang paling saya suka di rattan inn adalah sarapannya sangat beragam ada sushi bisa memilih sepuasnya,BUMN,Bintang 3,HotelRattanInn,positive,0.9990410208702087,Food & Beverage,Food & Beverage (0.97); Guest Experience (0.90); Service Quality (0.80)
Bala-bala Channel,2025,5,hotel bernuansa resort ternyaman di banjarmasin pelayanannya ramah makanannya enak hotelnya bersih tempat gym nya alatnya lengkap cocok buat menginap bersama keluarga,BUMN,Bintang 3,HotelRattanInn,positive,0.9995044469833374,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Family & Group Friendly (0.99)
