User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Nurhadi SA,2025,5,hotel dengan tempat parkir terluas ini letaknya strategis di tengah kota pekalongan tarif sewa ruang untuk acara juga terjangkau ruangnya fleksibel bisa bongkar pasang sekat sehingga kita bisa menyesuaikan dengan jumlah peserta yang hadir sound systemnya bagus jelas pelayanan ramah direkomendasikan,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9994602799415588,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.98); Facilities & Amenities (0.97); Service Quality (0.97)"
Riski Kusumasari,2025,5,pertama kali menginap di sini kamar nyaman dan cukup bersih kenapa cukup bersih karena saya menemukan helaian rambut di bantal lantai kamar mandi kotor tapi tidak apa2 karena saya siram dan gosok nodanya hilang kolam renang bisa untuk dewasa dan anak2 kedalaman 1 2m perlu perbaikan di ruang bilasnya satpam staf hotel kru dapur ramah sarapan semoga lebih banyak lg pilihan menu terima kasih atas pelayanannya lokasi dekat alun2 dan masjid agung sekitar banyak penjual makanan alfamart dan indomaret titik dekat matahari juga,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9986655712127686,Service Quality,"Service Quality (0.99); Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.98)"
Christna Iswahyuni,2025,5,baru saja kemarin senin tinggal di khas dan setiap kali ke pekalongan selalu tinggal di khas hotel senang karena tempatnya sangat strategis kamar nya bersih fasilitas perhotelan layanan dan rasa makanannya sudah sepadan dengan harga yang saya dapat hanya saja masukan dari saya pribadi tolomg di jaga kualitas sarapan nya karena hari pertama saya tinggal semua aman tapi hari kedua menu sarapan nya dingin walapun ada pemanas di atas tempat makanan tapi makanan terutama nasi tidak panas hangat akhirnya sedikit mengurangi selera makan jika saya melihat mungkin karena porsi sedikit bisa jadi tidak dalam pekerjaan tinggi tapi apapun itu semoga ttp bisa terjaga kualitasnya,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9432708621025085,Facilities & Amenities,"Facilities & Amenities (1.00); Pricing & Value for Money (0.99); Cleanliness, Hygiene & Maintenance (0.96)"
wijaya wikrama,2025,5,Saya beserta keluarga sangat puas menginap selama 3 malam disini pic hotel dengan mas anam sangat membantu serta membantu dan komunikatif serta tanggap untuk staf lain juga sangat ramah dan santun sangat disarankan akan tinggal lagi di sini,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9990053772926331,Family & Group Friendly,Family & Group Friendly (1.00); Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (0.98)
Gieya,2025,5,enak sebenarnya cuma suami pengen ngerokok harus ikut keluar semua karena angkatnya harus pakai kartu oya mukenanya ada yang bolong2 n sudah kurang layak sepertinya pernah di khas malioboro mukenanya nyaman banget terimakasih,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9954793453216553,Pricing & Value for Money,Pricing & Value for Money (0.02); Management & Policy Issues (0.01); Guest Experience (0.01)
Maylafaiza kyreinadeswita,2025,1,Tinggal disini dateng jam 3 sore jam 7 malem checkout hotel gelap lumayan horor baru dateng anak menangis kejer tidak bisa diem dan badan langsung panas mau pindah kamar tapi sama resepsionis gabisa,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9981186985969543,Check in/out Experience,Check in/out Experience (0.86); Guest Experience (0.70); Religious & Halal Features (0.44)
Muhammad Adnan,2025,5,lokasi sangat strategis ke alun alun atau kemanapun tidak jauh kamar bersih dan rapih fasilitas lengkap staf semuanya ramah kolam renang bersih terima kasih khas pekalongan hotel,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9995513558387756,Facilities & Amenities,"Facilities & Amenities (0.99); Room Quality & Comfort (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
tspl1 pekalongan,2025,2,Satpam yang jaga perlu dilatih lagi nih tidak ramah muka tidak ada senyum2nya seperti di hotel lain dalam memberikan penjelasanya untuk teman tamu yang sedang menginap tidak dianjurkan untuk teman2 kantor yang mau berkunjung di pekalongan,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9922624826431274,Guest Experience,Guest Experience (0.44); Safety & Security (0.40); Management & Policy Issues (0.31)
Anto,2025,4,waktu 31 Mei 1 Juni jumlah 2 kamar komentar kualitas dan layanan standar hotel hanya cukup oke desain kamar mandi agak aneh lantai tempat mandi lebih tinggi daripada sekitarnya sehingga udara mandi meluber kemana mana sampai menggenang,BUMN,Bintang 3,KHASPekalonganHotel,negative,0.9931437969207764,Facilities & Amenities,Facilities & Amenities (0.99); Ambience & Design (0.98); Service Quality (0.95)
Aditya Kusumawardani,2025,5,pertama masuk area hotel tempat parkirnya lumayan luas dan adem meskipun ada genangan air bekas hujan jadi becek dan licin saat masuk resepsionis ramah awalnya kami mau masuk jam 12 tapi kamar belum tersedia adanya yang merokok room jadi kita tunggu sampai jam 2 tapi tidak masalah karena di sekitar hotel ada resto alun alun dan juga mall jadi bisa jalan dulu sekalian maksi diluar saat masuk ke lobby hotel tempatnya bersih nyaman satpam staf dan resepsionis nya jg ramah oh iya sebelumnya saya pesan kamar deluxe ternyata bisa upgrade gratis jadi eksekutif karena sedang promo kesan pertama masuk kamarnya bersih ac jg jendela dingin menghadap ke,BUMN,Bintang 3,KHASPekalonganHotel,positive,0.9988178610801697,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.95); Facilities & Amenities (0.86); Booking & Reservation Experience (0.86)"
