User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Dumai Kota,2026,1,dengan harga 1 2juta saya sarankan jangan tinggal disini deh soalnya kamarnya kotor toilet kotor seprai kotor kulkas tidak ada parkir nya parah harus antri menunggu mobil keluar baru bisa parkir sekali saja ya tinggal disini,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9980587363243103,Pricing & Value for Money,"Pricing & Value for Money (0.60); Facilities & Amenities (0.19); Location, Accessibility & Parking (0.18)"
Dedi Tiraman,2025,1,kurang nyaman di hotel ni kayak nya satpam nya kerja sama ama deptcollector jadi untuk yang membawa mobil masih nunggak saya sarankan tidak usah menginap di hotel ini,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9771994948387146,Guest Experience,Guest Experience (0.83); Service Quality (0.80); Facilities & Amenities (0.80)
Nardialis,2025,4,menginap di hotel ini memberikan pengalaman yang nyaman di tengah kota pekanbaru lokasinya strategis dekat dengan pusat perbelanjaan kamarnya bersih pelayanan ramah dan sarapan pagi cukup bervariasi kolam renangnya bersih dan area lobi terasa modern,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9995296001434326,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.99); Staff Conduct & Hospitality (0.99)
AVC,2025,5,hotel yang sangat strategis dan tidak terlalu jauh dari bandara harganya terjangkau dan 2 hari menginap disini hampir tidak ada kebisingan kamar bersih semua fasilitas berfungsi dengan baik makanannya pun enak terutama nasi gorengnya,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9993749260902405,Facilities & Amenities,"Facilities & Amenities (1.00); Pricing & Value for Money (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
Vyolla 12,2025,3,Aku tidak dingin mencuci gigi hanya satu sabun ada tapi tidak bisa keluar sudah mau habis,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9267709851264954,Service Quality,Service Quality (0.41); Religious & Halal Features (0.34); Sustainability & Environmental Quality (0.33)
Bambang Sulistyadi,2025,5,nyaman dan tempatnya strategis klo bisa kebersihan di tingkatkan terutama di daerah kolam renang kamar gantinya,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9976953864097595,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Room Quality & Comfort (0.98)"
Muhammad Al Falah,2025,5,terima kasih khas pekanbaru atas sambutan hangat dan kerjasamanya hari ini suasana hotel yang nyaman pelayanan yang ramah dan tim yang sangat membantu membuat kunjungan kami berjalan lancar sukses terus untuk khas hotel pekanbaru semoga terus menjadi pilihan terbaik untuk menginap rapat dan berbagai kegiatan positif lainnya,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9985847473144531,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Facilities & Amenities (0.99); Room Quality & Comfort (0.99)
Nanda Syakirah,2025,2,nginep pertama kali di sana gabisa tidur sama sekali saat masuk melihat meja agak kropok padahal lagi dalam keadaan cape tapi sama sekali gangantuk,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9873346090316772,Guest Experience,Guest Experience (0.81); Check in/out Experience (0.74); Service Quality (0.58)
Rayindha Priyantama,2025,4,lumayan untuk transit sebentar di Pku lokasinya sangat strategis dan mudah diakses untuk area resepsionis lift sudah rapi dan baguss tidak ada kulkas di kamar ada kolam renang yang cukup nyaman untuk olahraga berenang bukan untuk udara utama,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9989237189292908,Facilities & Amenities,Facilities & Amenities (0.97); Service Quality (0.92); Service Efficiency & Responsiveness (0.82)
Indra Wati Mukriah,2025,4,kamar nya luas banget mejanya banyak sekali tampilan bagus banget harganya 350an beli di tiktok di tengah kota dekat mana mana mana parkir aman di basemant,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9994949102401733,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.96); Facilities & Amenities (0.95); Ambience & Design (0.91)"
Redaktur Daerah,2025,3,kebersihan hotel dibawah standar khususnya di kamar dan kamar mandi kamar mandi bau dan jorok karena jarang dibersihkan aroma kamar juga tidak segar meja samping tempat tidur sudah hampir lepas paling aneh petugas keamanan di pintu lobi hanya berdiri tidak memiliki inisiatif untuk membantu tamu menurunkan barang2 dari mobil,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9980134963989258,Facilities & Amenities,Facilities & Amenities (0.97); Safety & Security (0.91); Service Quality (0.86)
Mukhlis -,2025,4,kamar oke staf ramah ac dingin pemandangannya bagus kurangnya di sarapan saja yang variasi sedikit dan rasa yang tidak spesial,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9553979635238647,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.95); Room Quality & Comfort (0.93)
Gita Nia erika,2025,1,kamar nya tidak bersih kamar mandinya bau pipis cukup sekali saja deh,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9986245632171631,Facilities & Amenities,Facilities & Amenities (0.70); Guest Experience (0.62); Sustainability & Environmental Quality (0.60)
bulan purnama,2025,1,kamar mndi nya agak jorok sama gorden dikamar 517 juga jorok agak geli saya dulu saya saya nginap di sini bersih agak kecewa sih,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9988105297088623,Guest Experience,Guest Experience (0.47); Service Quality (0.35); Booking & Reservation Experience (0.33)
Radityo Trenggono,2025,5,Di pekanbaru mencoba menginap di hotel khas biasa di hotel lain luar biasa sekali sangat ramah pelayanannya,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9328646659851074,Service Quality,Service Quality (0.94); Staff Conduct & Hospitality (0.83); Guest Experience (0.75)
Filia Chang,2025,4,kamar agak kecil perlu peningkatan untuk sarapan sayuran tidak terlihat segar penataan kurang menarik rasa b saja pelayanan oke lokasi oke catatan untuk menu sarapan harus ditingkatkan,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.6573334336280823,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (1.00); Service Quality (1.00)
indonesia maju,2025,2,seharga 700rb tidak layak itu sangat dindin ny banyak yang bolong kulkas ny tidak ada awalny bilang deposit 200rb gtwny uang ny tidak kembali nyesel banget,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.998801589012146,Pricing & Value for Money,Pricing & Value for Money (0.82); Facilities & Amenities (0.34); Food & Beverage (0.29)
Halima Sabrina,2025,5,Teh terbaik lah kamarnya sarapannya juga enak lengkap banyak menu nya untuk lokasi maaf ya soalnya putaran nya agak jauh hehehe,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9990565180778503,Food & Beverage,Food & Beverage (0.98); Facilities & Amenities (0.96); Service Quality (0.89)
rina savista,2025,2,pertama kali nginap disini pesan lewat aplikasi 2 malam yang double deluxe sebenarnya hotelnya bagus ya tapi mungkin perlu banyak perbaikan lagi saya bisa selimut yang sudah lusuh dan kuning2 bantal pun sudah lusuh pintu kamar mandi tidak bisa ditutup rapat sarapan pun kurang enak hari kedua kita akhirnya cari sarapan diluar,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9928604960441589,Booking & Reservation Experience,Booking & Reservation Experience (0.88); Facilities & Amenities (0.83); Guest Experience (0.69)
Arinda,2025,3,pernah beberapa kali menginap di khas pekanbaru pelayanan keamanan dan resepsi sangat ramah proses check masuk juga cepat lokasi hotel juga sangat strategis di pusat keramaian pekanbaru hanya mungkin untuk kamar mungkin perlu diperbarui warna kucing kamar mulai pudar dan bernoda di sudut kamar juga tampak mulai lapuk meja kecil di sebelah kasur pun miring hampir copot kasur pun mulai bernoda kebersihan kamar mandi juga agak kurang ya untuk makanan standar ya lumayan lah ya tapi secara keseluruhan kok dengan harga segitu ya terima kasih oke,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9092767238616943,Facilities & Amenities,Facilities & Amenities (0.98); Safety & Security (0.97); Staff Conduct & Hospitality (0.93)
Mas Toha Wiku Aji,2025,3,tembok kotor meja di samping kasur sudah keropos mandi kamar mandi nya ruwet,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9990571141242981,Facilities & Amenities,Facilities & Amenities (0.83); Sustainability & Environmental Quality (0.66); Religious & Halal Features (0.59)
Dewi Rahmawati,2025,5,nyaman banget menginap di sini hotelnya nuansa melayu terus dikamarnya disediakan alat sholat alqur an tempatnya saat ditengah kota permandanganannya cantik kamarnya bersih makanannya enak enak kolamnya juga bersih depan hotel jg saat banget rm pagi sore,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.999484658241272,Facilities & Amenities,"Facilities & Amenities (0.99); Ambience & Design (0.98); Cleanliness, Hygiene & Maintenance (0.96)"
Nesa Frima,2025,1,Pertama pesan kamar buat staycation bersama anak pesannya diaplikasi dan kesan pertamanya dah o buka pintu kamar langsung nyium aroma kamar yang busuk terpaksa buka jendela dulu trus sprei putihnya banyak noda dan kek banyak kutu udara gitu hitam2 tambah lagi bedcover ya sengaja dipasang kebalik karna banyak noda dan bintik2 hitam kutu udara juga aduh nyesal juga jadi jadi ambil kamar baru,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9990293979644775,Booking & Reservation Experience,Booking & Reservation Experience (0.95); Check in/out Experience (0.81); Personalized & Special Services (0.76)
Rizki Zalila Dalimunthe,2025,5,Hotel sangat bagus ramah dan lokasi sangat strategis terutama bagian resepsionis sangat sangat ramah terbaik,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9985328912734985,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Service Efficiency & Responsiveness (0.99)
Trsno Dwynto,2025,4,1 lokasinya sangat dekat dengan bandara sultan syarif kasim ii 2 dekat dengan banyak tempat makan 3 masuk ke kamar lumayan luas untuk 2 orang dewasa dan 1 anak 4 pada saat memesan jelas2 tertera 1 tempat tidur ganda ternyata hanya 2 tempat tidur kembar yang digabung jadi 15 meja kecil di samping tempat tidur dalam kondisi miring tidak bisa dipakai 6 kondisi tempat parkir cukup banyak orang pada saat pagi hari kita mau keluar ternyata di depan mobil kita ada mobil lain yang parkir kita informasikan ke resepsi untuk memindahkan mobilnya dijawab bahwa kunci mobil dibawa oleh keamanan dan pada saat itu keamanan tidak berada di tempat padahal kita terburu,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.946803629398346,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.96); Facilities & Amenities (0.74); Booking & Reservation Experience (0.62)"
Takeaway Dki,2025,5,Alhamdulillah semuanya baik disediakan untuk sholat dikamar jadi bisa sholat tahajjud dengan tenang lain kali mau lagi ke khas hotel pekanbaru,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9971515536308289,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Service Efficiency & Responsiveness (0.98)
infinite mind,2025,5,lokasi sangat strategis ruangan walau kecil tapi nyaman dan bersih tapi sarapannya besar tidak sarapannya ngga enak dan wajar untuk hotel bintang 3 nasi gorengnga tidak merasa dan bau apek nasinya mie nya keras dan bau apek mohon perhatiannya untuk manajemen,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.7571377754211426,Facilities & Amenities,"Facilities & Amenities (0.93); Cleanliness, Hygiene & Maintenance (0.69); Food & Beverage (0.65)"
Rahellia Stefani,2025,3,kamar biasa saja agak kotor malah fasilitas kurang harus telp dulu sarapan lumayan enak hanya saja sangat sedikit kamar paling atas jendelanya sangat tidak aman saya bawa anak kecil takut sekali karena bukaannya besar dan posisinya rendah bahaya lebih baik kunci saja akses jendelanya,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.7204529047012329,Food & Beverage,Food & Beverage (0.64); Safety & Security (0.51); Pricing & Value for Money (0.46)
MAS SUY,2025,2,hanya lokasi baru saja di jalan utama sudirman minggu ini saya menginap satu malam buku melalui perjalanan proses cek masuk tidak gercap meskipun saya cek masuk hampir jam 3 sore tapi kamar belum siap kondisi kamar banyak bekas bocor di langit-langit meja nakas di kiri kanan kasur rusak tidak kokoh dan miring lemari sangat kotor dan kuning seperti pembersihan asal asal asalalan parkir merindukan karena sedikit slot baru tidak logis rating 8 6 oleh agoda yang dipampang di meja resepsionisnya semoga dili ini untuk masukan bagi manajemen sebagai masukan untuk pengembangan layanan,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9990009665489197,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.91); Service Quality (0.73); Check in/out Experience (0.71)"
Satria Arif,2025,4,nyaman bersih harga terjangkau ditengah kota pekanbaru,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.999359667301178,Pricing & Value for Money,Pricing & Value for Money (0.92); Facilities & Amenities (0.91); Service Quality (0.90)
Lidiya Purwanti,2025,4,untuk nginap 1 malam cukup nyaman sayangnya bisa kamar ac yang tidak dingin sudah di setting ke suhu rendah mohon bantuanya untuk pengecekan berkala,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.4377388656139374,Facilities & Amenities,Facilities & Amenities (0.62); Check in/out Experience (0.58); Room Quality & Comfort (0.51)
Hendra Saputra,2025,5,puas pokok nya akan kembali lagi suatu saat nanti,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.4869607090950012,Service Quality,"Service Quality (0.78); Guest Experience (0.75); Loyalty, Recommendation & Appreciation (0.65)"
Rivaldi Fadli,2025,1,staf tidak ramah muka tidak ada senyum kunci kamar lama dikasih padahal cek masuk jam 4 sore manajer turun tangan baru langsung dapat kunci kamar,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9991111159324646,Service Quality,Service Quality (0.78); Guest Experience (0.60); Check in/out Experience (0.56)
Syafrinaldi Duri,2025,1,Saya sering tinggal di sini untuk urusan pekerjaan makin lama saya rasakan pelayanan turun drastis mulai dari perlengkapan kamar yang harus diminta ulang seperti sabun yang kosong tangan dan alas kaki pelayanan di resepsionis yang kurang ramah serta pelayanan resto saat sarapan pagi jam 6 meja kotor tidak dibersihkan minta dibuat di telur mata sapi stengah matang pecah semua rasa nasi goreng yang hambar memperbaiki jaman pesona hotel dulu terakhir saya tinggal di sini amburadul tolong dong manajemen diperhatikan cctv resto dan resepsionis buat analisis kinerja karyawan Anda koridor kamar juga gelap saat jam 6 pagi ngirit amat kamar juga banjir,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9992713332176208,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.93); Food & Beverage (0.86)"
hasnaa's,2025,5,sangat strategis letaknya dan tempatnya nyaman,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9993587136268616,Room Quality & Comfort,Room Quality & Comfort (0.99); Facilities & Amenities (0.98); Family & Group Friendly (0.94)
Tengku Aci Parlina,2025,4,sarapannya lumayan enak lokasi sangat strategis pelayanan bagus hanya saja sangat disayangkan ya kamarnya seadanya saja tidak ada karpet dan meja dinding samping tempat tidur mau tanggal emang bukan pilihan keluarga sepertinya karna tidak nyaman bagi yang punya anak tapi kamar mandi udara hangatnya berfungsi baik dan disediakan telekung ini terbaik sih saran saya dengan lokasi yang sudah sangat strategis itu dan pelayanan yang sangat baik memperbaiki dikasih karpet deh sama perbaikan kecil untuk interior kamar yang rusak jika harga bisa sewanya berlebihan tapi kualitas kamarpun nyaman pasti akan banyak yang suka oh iya satu lg dari jalan terlihat tulisan khas hotel nya tidak terlalu jadi mungkin banyak yang tidak,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.986212968826294,Facilities & Amenities,Facilities & Amenities (0.92); Service Quality (0.89); Service Efficiency & Responsiveness (0.71)
Kurniadi Dinda,2025,2,kebersihan hotel kurang di jaga kamar nya alakadar banget selimut nya gatel istirahat jadi kurang nyaman tidur tidak nyenyak karena gatel dan menggaruk 2 jadi nya positif nya menu sarapan dan rasanya lumayan tidak mengecewakan semoga bisa di perbaiki dan di mempertahankan lebih baik kebersihan nya,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9881510734558105,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.85); Facilities & Amenities (0.70); Service Quality (0.69)"
Husni Mubarak,2025,1,ac nya tidak dingin sarung bantal kotor bayar hampir 500 dapat hotel gini aduh,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9993323683738708,Pricing & Value for Money,Pricing & Value for Money (0.90); Facilities & Amenities (0.88); Service Quality (0.78)
Syahendri Mahendra,2025,1,jujur hotel ini lokasiny bagus tapi untuk kamar kebersihannya 4 10 dan untuk di dalam kamar tidak sesuai dengan gambar hotel ini sangat berkurang dan saya minta tambahan lampu baru dikasi tidak mengecek ketersediaan fasilitas sehingga saya kehabisan sabun ac nomor 16 merasa 28 sarapan saat pagi saya ajak tambahan org sarapan bayar 85rb tapi saat mau mengambil sarapan malah bingung karena tidak ada yang mau disarapankan sudah habis semua jam 9 dan akhirnya menunggu dateng akhirnya 10 menit kemudian seperti nasi goreng mie goreng dan ada semua makanan rasa 3 10 makanannya ada ikan goreng baru saya minta tambahan omelete tapi tidak dateng atau,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9987200498580933,Pricing & Value for Money,"Pricing & Value for Money (0.85); Facilities & Amenities (0.80); Cleanliness, Hygiene & Maintenance (0.79)"
Budak Melayu Indragiri,2025,5,Chef masakan nya enak apalagi kue yang macam soes tu ntah apa nama nya lupa enak betul terus ayam mentega nya juga rekomendasi sekali kamar mandi nya oke kamar juga nyaman resepsionis dekat restoran sangat ramah pertahankan semoga tetap bisa melayani pelanggan dan yang menginap semakin baik pengalaman menarik baru sekali menginap,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9994214773178101,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99)"
Ria Marginingsih,2025,4,pelayanan ramah saya minta pindah kamar dilayani dengan baik dan sabar btw kamar non merokok seharusnya tidak bau asap sebaiknya kamar non merokok jika ada penghuni yang melanggar didenda jadi dan diberikan keterangan non merokok awalnya saya diberikan kamar 6 15 kamar bau keringat dan rokok padajal permintaan non merokok kemudian pindah ke 6 13 kamar masu bau tercium bau semprotan untuk meghilangkan bau tapi justru bau kamar campur aduk tidak punya karuan selanjutnya saya pindah lagi ke 610 masuk kamar baru terasa masuk ke kamar hotel mohon kebersihan diperhatikan lagi btw luas kamarnya ada mukena dan al quran untuk makanan biasa banget,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9926005005836487,Service Quality,Service Quality (0.98); Service Efficiency & Responsiveness (0.87); Staff Conduct & Hospitality (0.85)
Natalia Lia,2025,1,Saya cuma memesan melihat drive online semia setelah suami saya baruusan cekin mohon maaf lampu kamar tidak iklan handuk robek kamar tidak sesuai gambar atau review tiktok duhhb kok zonk,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9957135915756226,Booking & Reservation Experience,Booking & Reservation Experience (0.89); Guest Experience (0.75); Check in/out Experience (0.67)
Faisal Umri,2025,5,Ini benar-benar hotel nyaman aman pelayanan dan makanan nya enak2 pokoknya dianjurkan buat keluarga ada kolam renang di lantai 1 sebelum sarapan kami ke cfd dlu tepat di depan hotel ini,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9994564652442932,Facilities & Amenities,Facilities & Amenities (1.00); Safety & Security (1.00); Service Quality (1.00)
Wulan Pratiwi,2025,4,front desk nya ramah sekali membantu baik petugas saat memeriksa masuk dan memeriksa keluar memilih khas karena selain harga relatif murah ada kolam renangnya walaupun tidak gede namun kurang cocok untuk anak2 apalagi tidak bawa pelampung karena kedalaman kolamnya 150 cm untuk kamar tempat tidur sheet kamar tidur bersih kamar mandi bersih cuma kamar yang aku bisa ada sarang laba2 nya sebaiknya ditingkatkan lg dan lebih detail saat membersihkan kamar,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9363850355148315,Pricing & Value for Money,Pricing & Value for Money (0.96); Facilities & Amenities (0.94); Staff Conduct & Hospitality (0.92)
Lufi Herawan,2025,4,hotel lumayan bagus lokasi strategis fasilitas lengkap untuk kamar kesannya gelap dan atau remang remang karena pencahayaannya kurang dalam kamar terdapat meja tv dan kursi kerja pemanas air lemari besi kamar mandi dengan udara hangat namun tidak bisa mendapatkan kulkas dan lemari pakaian hanya ada meja untuk meletakkan pakaian dilantai 1 terdapat restoran dan kolam renang restoran menyediakan makanan yang cukup enak namun kurang bervariasi kolam renang ada namun kecil sehingga tidak ada miat untuk banyak orang dan tidak ada kolam untuk anak tempat parkir mobil sangatbtetbatas sehingga banyak yang parkir di depan jalan di hotel hotel sering terjadi mati selama beristirahat dua hari terjadi mati,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9791353344917297,Facilities & Amenities,Facilities & Amenities (0.99); Food & Beverage (0.75); Service Quality (0.75)
Rozaliny Asri,2025,3,karyawan cukup ramah tapi kami benar2 dibuat menunggu lama untuk cek masuk pdhl order via agoda dan sudah d bayar harusnya kamar sudah siap aplg kami nyampe hotel sudah jam 3 sore akhirnya baru bisa masuk kamar jam 4 lewat pdhl kami bawa anak2 yang sudah sangat baik karena kecapekan ingin istirahat tambah lagi dri luar kota lantai kamar mandi terlalu bersih saat basah dan udara tidak naik ke saluran pembuangan udara jadi tergenang dan bau untuk yang lain cukup,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9579463601112366,Service Quality,Service Quality (0.79); Facilities & Amenities (0.65); Booking & Reservation Experience (0.64)
Yenti Desima,2025,2,dengan harga 1 juta semalam termasuk hotel yang mahal sedikit jorok lantai kotor dan bantal bauk busuk serta kurang maksimal dalam pelayanan pesan kamar jauh hari tidak menjamin dapat kamar dengan yang sebenarnya nya sudah memesan tapi sprti menunggu antri dalam pelayanan tidka di sambut juga dalam kedatangan kecewa,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9993594288825989,Facilities & Amenities,Facilities & Amenities (0.99); Booking & Reservation Experience (0.96); Guest Experience (0.92)
Taufik Septian,2025,5,mungkin untuk kebersihan lantai kamar mohon agar bisa ditingkatkan sarapan enak2 view kamar juga lumayan bagus dari lantai 9 di atas semua okelah dan tempat sangat2 strategis karena berada di kota kalau yang mau kebandara ini dianjurkan,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.999263346195221,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (0.98); Food & Beverage (0.97)"
Raiksha hanz,2025,1,Tidak bisa check masuk awal karena penuh rom akhirnya disuruh menunggu di lobby hotel yang panas ditanya kepada resepsionis ternyata ac untuk lobby baru bisa di nyalakan pada jadwal pukul 11:30 padahal tidak ada kerusakan pemeliharaan pada ac nya dan kondisinya juga sedang tidak ada mati lampu bersama kali baru ini saya tidak di hotel bintang 3 yang untuk lobby ac nya punya jadwal untuk dinyalakan sehingga ketika menunggu di lobby sejak pukul 10:30 hinggal 12 am kondisi ruangan lobby panas,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.969351053237915,Service Quality,Service Quality (0.73); Check in/out Experience (0.64); Booking & Reservation Experience (0.54)
Amir Husin,2025,5,Alhamdulillah makanan dan layanan bgus salam buat bang rafi pelayan kembali belajar ramah dan rajin,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.993969202041626,Service Quality,Service Quality (0.98); Staff Conduct & Hospitality (0.98); Guest Experience (0.97)
Wahyuni wah,2025,5,lorong menuju kamarnya serem untuk kamar lumayan bersih karena saat masuk lantai masih basah baru selesai di pel sayangnya kemaren bisa kamar jendelanya saat melewati gedung sebelah jadi tidak nyaman sekali mana nginap 2 malam lagi selama 2 hari nginap tidak ada buka tirai sekali karena tidak nyaman sama orang digedung sebelah untuk sarapan makanan baru enak enak nyari susu sereal tidak ada bisa ditambahin menu sereal kali cuma cuma ya minus karena diliat juga banyak anak kecil yang makan disana oh iya satu lagi minus pencahayaan dikamar tolong lebih terang lagi minus gelap banget,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9947752952575684,Facilities & Amenities,Facilities & Amenities (0.74); Service Quality (0.70); Food & Beverage (0.65)
Mustika Vella,2025,1,air kolam renang kotor dan bauk seperti tidak pernah dibersihkan makanan sangat buruk dengan harga 500k untuk 1 malam seperti makanan hotel sabrina pelayanan sangat jelek belum selesai berbicara di telepon tapi telepon sudah dimatikan oleh pelayan dan respon lama lama gerak sabun di kamar mandi tidak tersedia minta saat cek masuk tapi baru diberikan saat malam sedikit bauk kamar kamarnya,BUMN,Bintang 3,KHASPekanbaruRiauHotel,negative,0.9991466999053955,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (0.98); Food & Beverage (0.98)
Tri Kartika,2025,5,hotel tengah kota yang ramah dikantong pelayan ramah dan jujur hp tinggal di kamar setelah checkout alhamdulillah kembali dengan selamat cuma tidak ada kolam renang untuk anak2,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9943842887878418,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.99); Safety & Security (0.99)
Bukhori Muhammad,2025,5,Semua yang baik.,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9216899275779724,Sustainability & Environmental Quality,"Sustainability & Environmental Quality (0.94); Cleanliness, Hygiene & Maintenance (0.88); Loyalty, Recommendation & Appreciation (0.86)"
Ayu Putri,2024,3,pertama kali menginap di khas pekanbaru pelayananan di resepsionis lumayan lah sempat salah bilang oleh resepsionisnya ketika menyerahkan kunci kalau yang saya reservasi kamar hanya tapi untungnya saya saat itu lagi fokus dan langsung saya ralat bahwa saya memesan kamar dengan sarapan lain kali mohon lebih teliti ya untuk pelayanan satpam dan petugas lainnya sudah oke bahkan ada satu staf yang menawarkan saya untuk barangnya dibantu bawain dengan troli karena mereka melihat saya kesusahan membawa barang bawaan tapi ada tapinya ini ketika saya masuk kamar kenapa kamarnya kayak kurang terawat ya padahal ini titik penting suasana kamar wallpaper ada,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.8462245464324951,Booking & Reservation Experience,Booking & Reservation Experience (0.92); Service Quality (0.90); Guest Experience (0.80)
Mohamad Kahfi,2025,5,Alhamdulillah baru kali ini nginap disini disediakan perlengkapan ibadah lengkap dengan al quran nya mdh2an bisa dipertahankan dan klo bisa kain sarung untuk sholat laki2 disediakan jg,BUMN,Bintang 3,KHASPekanbaruRiauHotel,positive,0.9954169988632202,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.93); Service Efficiency & Responsiveness (0.89)
