User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Dina Sartika Manurung,2025,5,Desember 2025 kami menginap di sana 1malam anak anak senang sekali karena ada akses langsung utama di danau toba khusus yang nginap kamarnya bersih juga tidak begitu besar tapi tidak juga sempit terhitung lumayan lah makanannyaa wah puas banget banyak macam2nya dan membuat lidah kami ya enak sebenarnya tahun ini ingin nginap lagi tapi sayang kami ada tujuan lain yang harus dicoba,BUMN,Bintang 3,KHASPrapat,positive,0.9990187883377075,Facilities & Amenities,Facilities & Amenities (0.92); Service Quality (0.68); Room Quality & Comfort (0.64)
Tri Yunita,2025,5,Aku rekomendasi tempat ini untuk kalian yang suka dan nyari hotel pemandangan danau Toba tenang banget jika punya anak kecil sudah ada pantai pasir putih nya yang mau jalan2 keliling danau Toba sudah ada perahu speedboat jet ski nya atau jika sekedar mau menikmati pemandangan baru sudah banyak kali pondok2nya guys,BUMN,Bintang 3,KHASPrapat,positive,0.9992020726203918,Facilities & Amenities,"Facilities & Amenities (0.96); Family & Group Friendly (0.95); Loyalty, Recommendation & Appreciation (0.78)"
Arly Darmawan,2025,1,Pertama kali menginap di sini tong sampah ada pop mie yang sudah bau tong sampah kamar mandi juga kotor dan pagi ini ketika sarapan menemukan serangga yang cukup besar dalam makanan bubur ketan tidak direkomendasikan deh,BUMN,Bintang 3,KHASPrapat,negative,0.9950419664382935,Guest Experience,Guest Experience (0.75); Facilities & Amenities (0.59); Food & Beverage (0.54)
Guntur S Nainggolan (Guntur),2025,5,Karena acara keluar bagus buat aktivitas dan sarapan baik kolam renang belum ada dan wahana anak kurang,BUMN,Bintang 3,KHASPrapat,positive,0.99730384349823,Facilities & Amenities,Facilities & Amenities (0.98); Check in/out Experience (0.97); Food & Beverage (0.94)
Teguh Hariwibowo,2025,3,hotel ini banyak kenangan keluarga bagi saya sejak nama masih natour saya dan keluarga sering menginap di sini jika liburan ke parapat september 2025 ini saya membawa orgtua untuk liburan ke parapat dan memilih khas parapat karena sejarah bagi keluarga saya cukup puas dengan lokasi dan kondisi alam danau toba yang bisa kita rasakan melalui fasilitas yang ditawarkan khas parapat yang saya rasa masih cukup baik kondisinya saya sesalkan kamar yang diberikan saya pesan kamar deluxe kamar melalui salah satu aplikasi perjalanan dan menurut saya untuk kamar tipe deluxe ukurannya terlalu kecil meskipun lokasinya terletak di satu tingkat depan dari pantai hotel kamar kamar 00x memng jika diperhatikan dari foto yang,BUMN,Bintang 3,KHASPrapat,positive,0.9985465407371521,Facilities & Amenities,Facilities & Amenities (0.93); Cultural & Heritage Experience (0.86); Booking & Reservation Experience (0.78)
Feradina Yuda,2025,1,kapok ke sini tangga curam live musik dari penghuni kamar lain sampai pukul 2300 blom juga kelar padahal dah kondae mandir ditegur,BUMN,Bintang 3,KHASPrapat,negative,0.996885359287262,Guest Experience,Guest Experience (0.76); Cultural & Heritage Experience (0.63); Facilities & Amenities (0.51)
Aad Aad,2025,4,Staff nya ramah saat nginap saya gk jumpain porter jadi koper angkat sendiri hotel gk ada lift lokasi bagus tuk jogging udara pagi segar apa lagi dekat situs wisata rumah pengasingan soekarno trek jogging menantang dengan variasi elevasi jalur jogging,BUMN,Bintang 3,KHASPrapat,positive,0.9995038509368896,Service Quality,Service Quality (0.99); Staff Conduct & Hospitality (0.97); Facilities & Amenities (0.96)
Rolin Novandi Siregar,2025,5,Salah satu hotel terbaik di Parapat Nuansa hotel kontemporer tapi bersih ada pantai yang disukai anak2 parkir mobil luas,BUMN,Bintang 3,KHASPrapat,positive,0.9993689656257629,Ambience & Design,"Ambience & Design (0.99); Facilities & Amenities (0.97); Cleanliness, Hygiene & Maintenance (0.96)"
Yandi Azhari,2025,4,positif 1 lokasi strategis dekat dengan bibir pantai bisa untuk anak2 pasir utama dan berenang 2 hotel asri dengan nuansa berbukit2 3 untuk yang ingin mengadakan kegiatan kantor dan acara disini ada beberapa tempat yang bisa dijadikan tempat acara 4 kebersihan secara keseluruhan masih kategori oke negatif 1 makanan sarapan agar lebih bervariasi menuunya,BUMN,Bintang 3,KHASPrapat,positive,0.995142936706543,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.75); Facilities & Amenities (0.75); Sustainability & Environmental Quality (0.34)"
Lince Loke,2025,3,tolong menu sarapan dibuat lebih bervariasi berdiri ke1 menuunya nasi putih semur tahu acar timun berdiri ke2 menuunya nasi goreng ayam goreng manisan timun lagi tidak ada pilihan lauk lain,BUMN,Bintang 3,KHASPrapat,negative,0.9262871146202087,Food & Beverage,Food & Beverage (0.36); Service Quality (0.11); Family & Group Friendly (0.10)
Waenk,2025,5,pelayanan nya yang terbaik makanannya prasmanan enak la pokok nya udara hangat nya d kamar mandi juga jempol x rekomended x buat yang mo liburan,BUMN,Bintang 3,KHASPrapat,positive,0.9992721676826477,Service Quality,Service Quality (1.00); Facilities & Amenities (0.98); Guest Experience (0.96)
Hui Wijaya,2025,4,kalau soal lokasi nya bagus ada pantainya untuk bermain untuk kamar sih oke cuma ada bbrp hal yang perlu diperhatikan yang namanya kamar versi junior seharusnya ada tambahan tempat tidur satu karena adanya ruang tamu jg alangkah baiknya d sertakan tambahan tempat tidur kedua itu gantungan baju perlu diganti dengan yang murni besi sehingga lebih kokoh sabun yang seharusnya ada dekat mandi pindah tempat di tempat sampah udara panas nya si oke cukup sarapan nya enak beraneka ragam jenis menu dari mie bakso bubur candu sejenis ciner enak sampai lupis bu ur beras kuahnya pokoknya la enak ada nasgor minumannya,BUMN,Bintang 3,KHASPrapat,positive,0.9984021782875061,Facilities & Amenities,"Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.83); Location, Accessibility & Parking (0.77)"
Nadia Tamba,2025,3,kami menginap selama 3 hari 2 malam dengan 2 tipe kamar yaitu kamar keluarga superior kamar fasilitas ke 2 kamar ini sangat berbeda ya saya mengerti bahwa kami memilih kamar keluarga lama untuk perjalanan ini tapi setidaknya untuk fasilitas kamar yang umumnya disediakan oleh kebanykan hotel homestay seperti pengering rambut sebaiknya disediakan lantai kamar di dekat kamar mandi juga terasa selalu basah dan lembab jumlah peralatan mandi juga terkadang kurang sesuai jumlah pax yang tertanggung tetapi ya untuk pelayanan kamarnya saya cukup puas terima kasih ini khusus saya tujukan kepada pemimpin di restoran khas parapat seolah tempat penyimpanan makanan Anda perlu dilakukan inspeksi atau pembersihan rahasia rutin kejadian,BUMN,Bintang 3,KHASPrapat,negative,0.9160470366477966,Facilities & Amenities,Facilities & Amenities (0.98); Service Quality (0.92); Room Quality & Comfort (0.88)
yessy aprianti,2025,5,hotel dengan pemandangan danau toba cantik sekali pelayanannya dan kamar hotel nya baik cocok untuk liburan dan menginap bersama keluarga,BUMN,Bintang 3,KHASPrapat,positive,0.9993535876274109,Family & Group Friendly,Family & Group Friendly (1.00); Facilities & Amenities (0.99); Service Quality (0.99)
Wati Salimin,2025,5,kamar bersih sekali makqnan enak dan lokasi mudah di temukan,BUMN,Bintang 3,KHASPrapat,positive,0.9991294741630554,Room Quality & Comfort,"Room Quality & Comfort (0.99); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.98)"
Syarifah Netti,2025,5,kami mengambil kamar dengan 1 tempat tidur besar 2 single bed cukup buat 4 5 orang cocok buat yang bawa keluarga dengan anak2 cm mmg tempatnya naik tangga buat lansia dengan kesulitan berjalan mgkn bukan pilihan yang tepat tersedia kopi teh gula teko listrik di kamar ruang makannya besar hanya harus naik tangga lagi makanan beragam sarapan buka s d 10 pagi lokasinya yang lsg ke pinggir danau cocok buat bawa anak2 berenang di pasir utama dekat dengan tempat jualan oleh2 ada atmnya jg,BUMN,Bintang 3,KHASPrapat,positive,0.9992905855178833,Facilities & Amenities,Facilities & Amenities (0.97); Family & Group Friendly (0.96); Food & Beverage (0.90)
Ambrose Josep,2025,5,jadwal yang saya ambil dari Tgl 14 12 24 s d 15 12 24 saya ulas dari hal positif dulu y 1 lokasi hotel mudah ditemukan dan parkir lumayan besar 2 staf fo sangat ramah dan informatif 3 kamar keluarga nya bagus karena tipe yang baru direnovasi 4 kebetulan ada lampu yang mati dikamar mandi hubungi resepsionis dan teknisi kurleb 15 menit langsung datang mngganti bolam nya 5 staf resto sangat ramah dalam pelayanan dan dengn sabar menjelaskan menu2 yang ada harga makanan tidak mahal relatif 6 bisa turun ke bawah menyusuri sepanjang garis pantai 7 ada pantai dngn putih sehingga anak2,BUMN,Bintang 3,KHASPrapat,positive,0.9989218711853027,"Location, Accessibility & Parking","Location, Accessibility & Parking (1.00); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.98)"
Lince Wijoyo,2025,5,hotel yang bersih pelayanan baik pemandangan danau toba yang sangat indah,BUMN,Bintang 3,KHASPrapat,positive,0.9993293285369873,Service Quality,"Service Quality (1.00); Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (0.99)"
Riska Anjla harahap,2025,2,Hari ini tgl 22 april 2025 saya pesan 2 kamar sudah minta permintaan khusus kamar di bawah dengan alasan bawa bayi dan ini pesan di hari minggu saat di aplikasi kamar banyak tersedia pelayanan tidak memuaskan barang angkat sendiri saat komplen muka resepsiis asam banget kecewaa kecuali td nginap akhir pekan kita harap maklum,BUMN,Bintang 3,KHASPrapat,negative,0.9992011189460754,Personalized & Special Services,Personalized & Special Services (0.99); Booking & Reservation Experience (0.98); Guest Experience (0.95)
INDO TEEMO,2025,5,Mantab pol dekat danau pemandangannya tidak bisa keren abis,BUMN,Bintang 3,KHASPrapat,negative,0.9954010248184204,Cultural & Heritage Experience,"Cultural & Heritage Experience (0.75); Ambience & Design (0.68); Loyalty, Recommendation & Appreciation (0.66)"
mel pangrib,2025,5,kamarnya bersih nyaman lokasi strategis dekat dengan tempat makan dan dermaga dekat dengan pantai hotel bisa bermain air danau atau jetski harga lumayan tinggi untuk kelas yang sama,BUMN,Bintang 3,KHASPrapat,positive,0.9991926550865173,Facilities & Amenities,"Facilities & Amenities (0.99); Room Quality & Comfort (0.97); Cleanliness, Hygiene & Maintenance (0.96)"
Delima Tumeang,2025,5,bagus banget kamar baru gua serius cantik dan cocok buat anak anak yang mau berenang dan cocok untuk keluarga,BUMN,Bintang 3,KHASPrapat,positive,0.9983240962028503,Family & Group Friendly,Family & Group Friendly (0.99); Room Quality & Comfort (0.99); Facilities & Amenities (0.98)
Surya Dewi,2025,5,lokasi hotel sangat strategis dan tidak jauh dari pusat penginapan sangat bersih cantik dan modern superior new rate kamar 1 2juta waktu saya berkunjung makanan hotel enak dan banyak variannya pantai baru juga cocok banget buat mandi anak anak tamannya cantik dan banyak spot foto pelayanannya sangat ramah dan gesit minimalnya untuk pengunjung lansia sepertinya tidak direkomendasikan karena akses 70 tangga tapi dengan tangga itu juga yang membuat hotel ini lebih indah,BUMN,Bintang 3,KHASPrapat,positive,0.9995597004890442,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.98); Service Quality (0.94); Facilities & Amenities (0.93)
Fira Ananda,2025,5,Alhamdulillah setiap ulang tahun diajak suami nginap di hotel khas ya sama seperti ulasan tamu yang lain nyaman makanannya enak2 kamar nya view langsung ke danau toba buat udara panas ada jam tertentu nya tidak pada 24jam jdi bagi yang mau pakai udara panas tengah malam itu sudah mati mati air panasnya mati di sekitar jam 10 malam dan hidup lagi disekitar jam 10 pagi setiap saya menginap disana secara keseluruhan layak jadi langganan dan rekomendasi buat yang bingung cari kamar hotel di danau toba,BUMN,Bintang 3,KHASPrapat,positive,0.9990218877792358,"Loyalty, Recommendation & Appreciation","Loyalty, Recommendation & Appreciation (1.00); Guest Experience (0.85); Service Quality (0.85)"
Zubaida Ocktaviani 欧佳霓,2025,5,kalau untuk kamar sih nyaman ya cmn acnya tidak dingin untuk tempat tidur ada dua trs kamar mandi bersihh nyaman dan suasananya oke untuk sarapan sama makan siang makanannya enak banget bebas pilih juga mau amb semua jg boleh hahahaha aku sama keluarga dilantai dua pemandangannya enak banget melihatnya adem cocok lah buat kelen yang mau menyembuhkan penyembuhan ekan deh kalau nginep mau kesini lagi deh,BUMN,Bintang 3,KHASPrapat,positive,0.999484658241272,Facilities & Amenities,"Facilities & Amenities (0.99); Family & Group Friendly (0.99); Cleanliness, Hygiene & Maintenance (0.98)"
Toni Hadi Wibowo,2025,4,hotel yang memiliki lokasi sangat strategis di daerah parapat sangat dekat dengan pelabuhan penyeberangan ke pulau samosir untuk ketersediaan kamar juga banyak jenis yang bisa di sesuaikan dengan anggaran pengunjung untuk fasilitas cukup lengkap mungkin perlu di tingkatkan sesuai dengan kondisi saat ini misalkan fasilitas gym dll untuk layanan termasuk standar perlu di tingkatkan dari keramahan dan kecekatannya untuk kondisi sarapan perlu di tingkatkan dari segi variasi dan juga rasanya,BUMN,Bintang 3,KHASPrapat,positive,0.9983633160591125,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (0.97); Guest Experience (0.95)
Isfan Rialdy,2025,4,hotel luamyan baik baru di renovasi dan kamar hotel lumayan baik minus nya tidak ada gym dan kolam renang kolam renang langsung menyatu dengan danau toba para petugas hotel sebaiknya lebih banyak tersenyum dan sapa untuk meningkatkan kenyamanan meskipun sebenarnya tidak akan juga,BUMN,Bintang 3,KHASPrapat,positive,0.977486789226532,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.95); Staff Conduct & Hospitality (0.90)
endy subijono,2025,5,hotel tua tetapi terpelihara baik dan bersih semua fasilitas di kamar berfungsi baik pemandangan utama ke arah danau toba dan ada fasilitas pantai dengan pasir putih di hotel ini halaman terbuka juga banyak dan ada beberapa ruang tersedia untuk kegiatan kelompok pengunjung muda dan anak tentu senang dengan situasi hotel namun untuk yang lansia patut lebih waspada karena harus sering naik tangga hal yang perlu ditingkatkan adalah tingkat pelayanan lebih cepat dan lebih baik mengingat area hotel cukup luas dan pada tingkat lantai berbeda cara penyajian banyaknya pilihan dan rasa makanan juga perlu ditingkatkan sehingga bisa menjadi bagian dari menginap di hotel ini lokasi hotel kenangan di parapat cukup strategis,BUMN,Bintang 3,KHASPrapat,positive,0.9990193843841553,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Service Quality (0.97)"
Fitriady,2025,5,Nah sangat memuaskan dengan tampilan retro tahun 90an tapi tetap nyaman untuk lokasi juga bagus saat dengan pinggiran danau toba pelayanan bagus dan ramah kebersihan juga sempurna ada wahana udara juga untuk didanau tobanya keseluruhan memuaskan,BUMN,Bintang 3,KHASPrapat,positive,0.9994649291038513,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Ambience & Design (0.99)"
Presiden Kucing,2025,2,pertama x ke parapat dan memilih disini karena beragam yang katanya beragam fasilitas ini pendapat saya keunggulan dekat danau toba ada pantai kecil buatan kekurangan staf meladeni tamu sambil berbicara dengan teman mata tidak fokus dan tidak melihat tamu itu bukan profesional listrik mati sehari bisa 3 x klo nyala lagi tggu lagi proses penyangga wifi tv yang tyt lama air panas katanya ada tapi saya sama sekali tidak merasa katanya suruh tggu sma staf ya saya sudah nyalakan lama 30 menit tidak ada dingin sekali udara di parapat saya capek sekali abis perjalanan jauh mandi dan mandi air dingin sekali sebelum mandi karena saluran mampet banjir atuh di kamar mandi,BUMN,Bintang 3,KHASPrapat,negative,0.9942248463630676,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.90); Service Quality (0.87)
anty. W,2025,5,makanannya enak lokasi strategis kamar bersih dan luas pelayanan oke tidak pernah kecewa menginap di sini terakhir menginap di sini 15th lalu,BUMN,Bintang 3,KHASPrapat,positive,0.9994182586669922,Facilities & Amenities,"Facilities & Amenities (1.00); Service Quality (1.00); Cleanliness, Hygiene & Maintenance (0.99)"
herlina hutapea66,2025,5,sudah beberapa kali menginap di sini tidak bosan melihat pemandangan yang indah hotel dengan kamar bagus ambil 3 kamar liburan keluarga pelayanannya baik ada tas ketinggalan di lobi daerah mereka amankan berhubung perjalanan pulang sudah sempat jauh dari hotel pihak hotel bersedia mengirimkan barang yang ketinggalan tsb melalui jasa pengiriman terima kasih untuk pelayanannya,BUMN,Bintang 3,KHASPrapat,positive,0.9984183311462402,Service Quality,Service Quality (0.98); Facilities & Amenities (0.97); Service Efficiency & Responsiveness (0.96)
Chikita Dwi kharisma,2025,5,Untuk bawa anak2 buat bisa mandi di danau toba hotel khas patapat pilihan tepat si menurutku tanpa harus nyebrang2 lagi uda bisa tempat yang bagus untuk makanannya enak bisa makan malam di hotel juga tidak perlu keluar,BUMN,Bintang 3,KHASPrapat,positive,0.9994943141937256,Facilities & Amenities,Facilities & Amenities (0.97); Family & Group Friendly (0.95); Cultural & Heritage Experience (0.93)
Riwandi Ahmad,2025,5,pertama datang rombongan kami disambut dengan ramah oleh respsionis proses cek masuk mudah saya dapat dapat kamar di lantai 2 kunci kartu dapat 2 bh fasilitas kamar mewah dan bersih sangat sangat terawat pelayanan baik untuk acara bbq makanan enak semua kami sampai ngak sangup menghabiskannya sistem suara juga bagus kami bisa nyanyi sepuasnya tapi hanya sampai jam 23 besok menikmati suasana pantai dan taman setelah sarapan pagi yang banyak variannya pokoknya puas lah nginap di sini bisa makan siang lagi kan enak baget coba dihotel mana yang bisa makan siang sangat langka sebelum pulang kami bersama yang membuat foto pesta ini hotel sangat merekomendasikan kita semua,BUMN,Bintang 3,KHASPrapat,positive,0.9993883371353149,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.99); Service Efficiency & Responsiveness (0.97)"
Freddy,2025,4,kelebihan 1 pemandangan danau toba kalau bisa kamar yang menghadap danau hotel di tepi danau toba sehingga bisa jalan ke tepi danau 2 pelayanan cepat tanggap kekurangan 1 banyak kue di kamar dan ruang makan 2 sprei kasur banyak noda 3 kamar tidak kedap bising dari luar masuk ke kamar hotel sering dijadikan tempat acara sehingga sampai jam 11 malam masih terdengar keras yang mengganggu tidur 4 tidak ada lift atau lift untuk naik turun tangga,BUMN,Bintang 3,KHASPrapat,negative,0.881534218788147,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.98); Facilities & Amenities (0.98); Service Quality (0.97)
David Pranata,2025,3,hostpitalitynya kurang stafnya kurang pelatihan untuk dengan harga segitu seharusnya staf sudah profesional dan pelayanan seharusnya ramah untuk kamar yang kita tempati lebih tinggi a dengan harga 1 5jt rasanya kurang layak ukuran kamar kecil kamar mandi terlalu kecil dan sempit udara panas hanya tersedia dalam jam tertentu mengingat harga rasanya agak aneh tidak ada kolam renang kamar tidak kedap sama sekali orang sebelah bicara saja kedengaran ruangan bebas merokok tapi saat itu memang luut koridor ad staf hotel yang merokok jadi koridor rokok untuk parkir mobil pn sudah padahal cuma dibilang parkir penuh dan tidak ada solusi padahal,BUMN,Bintang 3,KHASPrapat,negative,0.994836688041687,Facilities & Amenities,Facilities & Amenities (0.97); Pricing & Value for Money (0.96); Staff Conduct & Hospitality (0.95)
ki bango,2025,5,sarapan pagi beragam cm kalau musim puncak jam antre karena penuh yang mau makan saya menginap 2 malam di junior suit kamarnya bersih wangi udara panas mengalir lancar tamu bisa bermain udara berenang di danau toba bisa juga menyewa speed boat 400rb untuk 30 menit keliling ke danau toba ke batu gantung kekurangannya lokasi naik turun tangga jadi untuk yang bawa orang tua agak repot sedikit,BUMN,Bintang 3,KHASPrapat,positive,0.9988054037094116,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.97); Facilities & Amenities (0.97); Room Quality & Comfort (0.95)"
sekar wulandarik,2025,5,Sangat menyenangkan pelayanan sangat baik dari awal mulai cek masuk satpam bellboy yang standby makanan yang tidak ada abis2 nya dan enak2 semua kamar anak nya juga ramah dan selamat tidak liburan nyesel kesini tq khas parapat hotel,BUMN,Bintang 3,KHASPrapat,positive,0.9993570446968079,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Quality (1.00); Service Efficiency & Responsiveness (0.99)
Gugi Abdel Permana,2025,4,hotel tua tapi direnov interior kamarnya jadi lenih modern meskipun ada beberapa kekurangan seperti pemanas air suka mati tempat sabun dan sampo rusak lantai masih agak kotor ac lama dinginnya pintu agak susah dibuka sofa meja di area balkon tengah tidak dibersihkan tidak ramah lansia karena banyak tangga kelebihannya view dari lobi dan restoran bagus menghadap ke danau toba taman luas ada 2 jus minuman gratis mengisi di lobi makanan di resto cukup enak ada spot foto2 karyawan mudah ditemukan banyak tipe kamar dan pondok bungalow,BUMN,Bintang 3,KHASPrapat,positive,0.9908052682876587,Facilities & Amenities,"Facilities & Amenities (0.99); Food & Beverage (0.88); Cleanliness, Hygiene & Maintenance (0.87)"
Winda Silitonga,2024,3,hotel ini untuk kamar dan layanan tidak sesuai dengan harga kamar yang saya dapat kamar deuxe tapi yang tipe lama jadi kunci kamar masi pakai manual ada beberapa lampu di kamar yang mati untuk layanannya lambat skala saya pesan beberapa piring untuk di antar ke kamar melalui resepsiis sampai pagi tidak di antar di kamar tidak diberikan tisu hanya ada tisu toilet satu roll saja saja bintang yang diberikan adalah untuk makanan yang enak dan murah sarapan gratis dan makan siang untuk biaya tambahan makanannya 100rb orang dewasa dan 50rb anak di bawah 10thn pemandangannya juga bagus sekali ada akses langsung ke mandi di danau toba oia di hotel ini ada 2,BUMN,Bintang 3,KHASPrapat,negative,0.969027578830719,Facilities & Amenities,Facilities & Amenities (0.98); Service Quality (0.98); Pricing & Value for Money (0.98)
Muhdan Syarovy,2025,1,untuk harga 1 2 sd 14 jt dikasih kamar yang model begini coba manajemen khas parapat perbanyak kunjungan,BUMN,Bintang 3,KHASPrapat,positive,0.8586333990097046,Guest Experience,Guest Experience (0.99); Check in/out Experience (0.98); Pricing & Value for Money (0.95)
CoolGamerBoy,2025,1,Saya tidak masuk di kamar presiden kamarnya besar ada 2 kamar tidur 2 kamar mandi ruang tamu dan dapur tempat tidur nya nyaman dan kamar mandi nya bersih semua tapi yang bikin saya memberikan ulasan 1 bintang adalah masalah pelayanan yang kurang menyenangkan dikarenakan ada masalah kelistrikan dan itu membutuhkan waktu yang sangat lama tetapi resepsionis tidak menyarankan untuk pindah kamar harus ada komplen 3 kli dan meminta pindah kamar baru respesionis banyakjinkan memberikan pengalaman berpergian saya jadi tidak menyenangkan,BUMN,Bintang 3,KHASPrapat,negative,0.9395106434822083,Facilities & Amenities,Facilities & Amenities (0.97); Guest Experience (0.97); Service Quality (0.91)
Fatimah Zainab,2025,3,mohon maaf atas bintang yang saya berikan sungguh saya sangat kecewa dengan hotel khas parapat ini padahal kami uda memesan 1 bulan sebelumnya karena libur natal tahun baru jadi kamar penuh dapatnya cuma tipe junior suite dari awal sudah saya tanyakan kamar junior suite nya yang bangunan baru iya jawabnya tapi kenyataan nya yang didapat kamar kamar bangunan lama lama lembab ngga ada tisu dikamar mandi masih konstruksi lama WC nya menyeramkan takut amblas diduduki dan herannya kamar se tipe junior suite tempat tidurnya nya ukuran tunggal seperti dikamar tipe standar saja sedangkan hotel lain saja untuk tipe seperti suite junior sudah yang ukuran ratu dan soal harga tambahan tempat tidur,BUMN,Bintang 3,KHASPrapat,negative,0.9990814924240112,Booking & Reservation Experience,Booking & Reservation Experience (0.66); Guest Experience (0.62); Religious & Halal Features (0.47)
lala lala,2025,2,hotel tua tapi sebagian kamar sudah di renovasi ambil 6 kamar setiap kamar ada kue ranjang tempat tidur cover lembab2 dapet sarapan makan malam menu makanan cukup beragam sayang rasanya biasa menuju tidak enak kerennya dapet jackpot anak kue kering di teri balado mohon diperhatikan lagi keseluruhan kebersihan suasana hotel view oke,BUMN,Bintang 3,KHASPrapat,positive,0.9946653842926025,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.86); Facilities & Amenities (0.84); Food & Beverage (0.65)"
