User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Kak Ana,2025,4,lumayan klo sekedar untuk transit atau beristirahat masuk lobi sangat wangi masuk mushola jg bersih sampai ke toilet tapi tidak dengan kamarnya kamarnya luas tidak berbau harum dan kurang bersih dibeberapa titik terutama kamar mandi kolam renang terlihat bersih tapi tidak demikian karena bau kaporit sangat menyengat dan udara seperti agak keruh taman2 sekitar kolam juga kurang bersih untuk soal minum air disediakan isi ulang di dkt pintu masuk gedung kamar depan dan selamat minum di juga orang2nya ramah2 semua sehingga bikin betah disana,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9318975210189819,Facilities & Amenities,Facilities & Amenities (0.85); Check in/out Experience (0.72); Service Quality (0.62)
Sandi Naftali,2025,5,layanan oke kamar top tidak dpt kamar biasa dengan 1 tempat tidur akhirnya malah diupgrade ke junior suite akses langsung ke kolam mantab banget seneng banget selama tinggal di halaman halaman,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9981824159622192,Service Quality,Service Quality (0.99); Facilities & Amenities (0.98); Guest Experience (0.96)
chris pratama,2025,5,menginap di sini sangat menyenangkan pelayananya sangat baik semua staf ramah tempatnya indah sejuk nyaman ruang terbuka hijaunya luas kolamnya bersih parkir luas restonya bagus sangat cocok untuk keluarga bersantai sejenak untuk manajemen kami sangat bertrimakasih karena kami pesan kamar melalui perjalanan untuk kamar yang biasa dengan skyview karena memiliki bayi ketika di lokasi kamar tersebut penuh dan tersisa tempat tidur ganda tetapi manajemen memberikan kami fasilitas upgrade kamar tanpa tambahan biaya kamar yang kami tempati luas bersih fasilitas lengkap tv kulkas akses belakang langsung di sebelah kolam renang luar biasa sangat puas kami keluarga juga nyaman dan bahagia hotel ini jadi bisa jadi rekomendasi,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.998863697052002,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.98); Family & Group Friendly (0.98); Facilities & Amenities (0.97)
Amelya Dwi Rahayu,2025,5,Kamaar bagus staf ramah fasilitas lengkap parkir luas ada wifi dan kolam renang anak2 hepi sekali cuma sayang dapat tv yang agak bergaris jadi kurang nyaman nnton baru diperbaiki ya kak mantap lpp taman,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9981228709220886,Facilities & Amenities,"Facilities & Amenities (0.98); Location, Accessibility & Parking (0.93); Staff Conduct & Hospitality (0.93)"
Esha Mudarsa,2025,5,hotelnya bagus kamar besar cocok untuk kami berempat ada kolam renang dewasa dan anak2 juga suasana tamannya dpt sangat dingin parkir luas sini jg boleh pinjem sepeda gayung walaupun cm ampek alfamart saja hehehe cm saat saya cek masuk siang hari itu lumayan lama petugasnya agak kurang sigap pada saat itu banyak yang masuk jg lokasi dekat dng plaza ambarukmo klo mau ke malioboro lumayan jauh jg tapi dng harga yang saya dapat wkt itu sudah sangat layak untuk sarapan prasmanan dengan banyak sekali pilihan menu yang variatif kami wkt itu menginap di sana 2d 3n,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9990962743759155,Facilities & Amenities,"Facilities & Amenities (0.98); Family & Group Friendly (0.95); Location, Accessibility & Parking (0.93)"
Moh Saleh,2025,5,pengalaman menginap yang sangat menyenangkan di lpp hotel taman ini menawarkan keseimbangan yang saat ini antara lokasi strategis dan ketenangan lokasinya di jl laksda adisucipto memudahkan akses ke mana mana tapi begitu masuk ke area hotel suasananya langsung hening dan dingin saya suka sekali dengan konsep tamannya yang rimbun kamarnya bersih terawat dan semua fasilitas lengkap ac dingin air panas lancar fasilitas seperti kolam renang dan area taman jadi nilai tambah yang besar proses masuk cek keluar cek tidak ada masalah stafnya sangat membantu dibandingkan hotel lain di area yang sama lpp taman menawarkan nilai uang yang sangat baik terutama jika Anda rindu hotel dengan suasana seperti,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9994463324546814,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Check in/out Experience (0.99)"
Antonius Theo Situmorang,2025,4,Staycation di hotel ini benar benar pada titik dari masuk lobi saja sudah kerasa vibes nya nyaman dan classy kamarnya rapi dan super nyaman buat chill staf nya gokil ramah semua apalagi di resepsi saya mba citra pelayanannya cepat dan bikin proses cek masuk jadi mulus tanpa drama mantap banget memperbaiki hotel ini masuk daftar favorit saya buat perjalanan berikutnya,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9994643330574036,Service Quality,Service Quality (0.99); Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.99)
agus aryawan,2025,5,hotelnya adem lokasi strategis parkir mobil luas staf seluruhnya ramah ada kolam renangnya menu sarapan juga enak tidak ada lift untuk naik ke lantai dua tapi tidak apa hitung2 olahraga ringan naik turun,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9993798732757568,Facilities & Amenities,"Facilities & Amenities (1.00); Location, Accessibility & Parking (0.99); Service Quality (0.96)"
Dhia sulistia,2025,3,nginap 2 hari tidak ada karyawan yang nawarin bersihin kamar jadi sampah numpuk wifi nya gabisa dipakai lokasi oke dekat dengan jalan besar dan tempat kalau ke malioboro sekitar 15 menit sering macet yang lucu lagi cemilan di kamar ada tapi trnyata bayar kukira selamat datang cemilan trnyta saat checkout ditagih dong rada aneh saja menurut saya,BUMN,Bintang 3,LPPGardenHotelJogjakarta,negative,0.989395797252655,Facilities & Amenities,Facilities & Amenities (0.72); Service Quality (0.71); Guest Experience (0.68)
Sulton Kharisma,2025,5,mencari hotel alternatif yang tidak jauh dari pusat jogja namun masih dekat kemana saja dekat dengan ambarukmo plaza dimana lokasi yang strategis dari dekat jalan utama jogja klaten hotel sangat luas karena ini sepertinya dikelola oleh ptpn atau sejenisnya namun sangat berharga ada mini zoo juga kura sangkar burung dsb,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9991492033004761,Facilities & Amenities,"Facilities & Amenities (0.86); Management & Policy Issues (0.73); Location, Accessibility & Parking (0.70)"
neneng stywt,2025,5,liburan pertama kali ke jogja bawa bayi lokasi cukup bagus tapi bisa daerah c yang di belakang lt 2 dan paling pojok tidak ada masalah sih biarpun agak capai ke depannya kamarnya agak kotor di bagian belakang dekat jendela setiap malam terdengar suara tokek karena di belakang dekat sama pohon mati agak menyeramkan sih malem malem tv nyala sendiri sepertinya kepencet timer karena malam ke dua sudah tidak kayak gitu ac nya berisik banget model ac lama kamar oke mandilah setiap hari di ganti sikat giginya terima kasih halaman taman saran,BUMN,Bintang 3,LPPGardenHotelJogjakarta,negative,0.9845410585403442,Facilities & Amenities,"Facilities & Amenities (0.65); Service Quality (0.65); Cleanliness, Hygiene & Maintenance (0.44)"
devy agustien,2025,1,sangat mengecewakan pesan kamar single bed dikasi twin minta upgrade dikasi harga 2x lipat dari harga aplikasi pelayanan resepsionis sangat tidak ramah hotel tidak ada lift,BUMN,Bintang 3,LPPGardenHotelJogjakarta,negative,0.9993372559547424,Guest Experience,Guest Experience (0.98); Booking & Reservation Experience (0.96); Check in/out Experience (0.92)
Sulistiani Satam,2025,5,hotel milik ptpn bagus asri banyak orang di luar nya juara kamar superior murah kalau ada dana boleh dong diperbarui lagi futurure dan kamar mandinya tapi hotel bersih ac dingin ada ketel air panas tambah gula kopi handuk dan fasilitas udara dari dispenser saya malah suka jadi bebas mau minum tidak dibatasi 2 botol saja sukses selalu,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9992719292640686,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.97); Service Quality (0.95)"
SALMA natural living,2025,5,Alhamdulillah menginap di Tgl 17 Agustus 25 sangat puas dengan layanannya di bantu parkir yang dekat kamar bawain barang kamar luas dan nyaman untuk keluarga banyak taman dan tanaman yang bikin betah menu restoran khas jogja yang enak2 ada di luar juga walaupun saat ini kolam renang baru di perbaiki semoga bisa besok kesini lagi,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9991410970687866,Service Quality,"Service Quality (1.00); Facilities & Amenities (0.99); Location, Accessibility & Parking (0.98)"
Supri Hadi,2025,1,kapok gara2 sarapan diantar ke kamar layanannya menjadi model hotel melati hal ini karena kata kantor depan ada kedatangan tamu rombongan,BUMN,Bintang 3,LPPGardenHotelJogjakarta,negative,0.5906540155410767,Guest Experience,Guest Experience (0.99); Service Quality (0.98); Facilities & Amenities (0.95)
Rahmad Jaya,2025,5,sesuai dengan namanya lpp taman taman yang luas hijau terpelihara suasananya tenang damai dan cocok untuk tempat beristirahat terutama untuk keluarga kolam renang bersih terawat udara kamar mandi panas dan dingin mereka berfungsi sangat baik disarankan paling tidak menggunakan transportasi online atau sewa motor minimal memiliki kendaraan pribadi lebih baik karena untuk menuju pusat kota daerah malioboro cukup jauh untuk kuliner malam hari cukup dengan berjalan kaki sekitar sepuluh menit dan sudah bertemu beraneka macam restoran tradisional dan internasional jajanan pinggir jalan sampai jajananan kelas hotel terimakasih,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.9996110796928406,Facilities & Amenities,"Facilities & Amenities (1.00); Family & Group Friendly (1.00); Cleanliness, Hygiene & Maintenance (0.99)"
eko kurnia,2025,5,juara bersih nyaman tenang suasananya adem parkir luas sayang tidak mencoba pergiannya karena aktivitas bisnis harus bergeser sepagi mungkin,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.7095271944999695,Facilities & Amenities,Facilities & Amenities (0.99); Room Quality & Comfort (0.98); Service Quality (0.96)
Yuanita Ayu Anugrahini,2025,3,Karena agenda memang ada di hotel ini makanya menginap di hotel ini namun pelayanan agak kurang sulit sekali meminta check-in awal padahal sepertinya kamar banyak dan yang check keluar jg tidak ada,BUMN,Bintang 3,LPPGardenHotelJogjakarta,positive,0.956520676612854,Service Quality,Service Quality (0.65); Guest Experience (0.60); Facilities & Amenities (0.45)
