User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Kevin Paris,2025.0,5,1 tahun yang lalu pengalaman di sini sangat berkesan saya kembali lagi tapi kebersiaan menurun daerah tangga banyak barang pertukangan berserakan dan tangga tetap dalam kondisi kotor tidak dipel mulai dari cek masuk sampai cek keluar kolam renang berlumut kiranya patra berbenah dan semakin jaya kedepannya,BUMN,Bintang 3,PatraParapatHotel,positive,0.7039762735366821,Check in/out Experience,Check in/out Experience (0.86); Guest Experience (0.78); Facilities & Amenities (0.54)
Nia Syafitri,2025.0,4,memesan 2 kamar dengan harga yang sama tapi fasilitas kamar baru berbeda untuk kamar yang 1 iklan kulkas nya yang 1 tidak untuk tv nya yang 1 pakai tv nya yang 1 tidak tetapi secara keseluruhan oke kamarnya nyaman bersih tempat nya oke banged buat staycation hanya untuk fasilitas kolam renang nya semoga ad perbaikan ya karena pada saat berenang lantai nya agak sedikit berlumut dan untuk kamar mandi kolam renang nya lebih diperhatikan lagi sanitasi untuk akses ke hotel ini agak lumayan curam ya jalan nya tapi setelah samapi sangatt terobati dengan view nya dan keramahan pegawainya,BUMN,Bintang 3,PatraParapatHotel,positive,0.9455673098564148,Facilities & Amenities,"Facilities & Amenities (0.98); Pricing & Value for Money (0.77); Cleanliness, Hygiene & Maintenance (0.72)"
Ezria Adyas,2025.0,4,hotelnya nyaman lokasi agak pensil jika butuh cemilan baiknya beli dulu di indomaret terdekat lokasi sejuk dan langsung melihat danau toba minusnya udara panasnya g stabil dan perabotan dll sudah tua gantungan tangan sempat jatoh di kamar mandi bahaya jika kena kepala,BUMN,Bintang 3,PatraParapatHotel,positive,0.6365554332733154,Facilities & Amenities,Facilities & Amenities (0.95); Food & Beverage (0.90); Guest Experience (0.63)
muhammad hadi syahputra,2025.0,5,staycation dengan keluarga kamar luas ada halaman lelarian boat bocil2 di belakang kamar yang lantai dasar lantai 2 ada balkon buat mantau2 saja view danau toba kuep tidak ada obat kolam renang cukup untuk anak2,BUMN,Bintang 3,PatraParapatHotel,positive,0.9983598589897156,Facilities & Amenities,Facilities & Amenities (0.97); Family & Group Friendly (0.94); Guest Experience (0.80)
dewi andriyani,2025.0,3,menginap 1 malam bersama keluarga untuk kamar secara keseluruhan baik hanya kamar mandi ada kotak palvonnya kue banyak keluar dari lubang itu untuk sarapan sangat mengecewakan datang ke restoran jam 8 pagi makanan sudah habis waktu ditanya katanya akan memenuhi tapi tidak di isi ulang juga jadi cuma sarapan telur mata sapi doang padahal kita juga membeli paket sarapan lg untuk tambahan tamu rata2 datang pada akhir pekan dengan ekspektasi pagi2 sarapan tidak perlu keluar hotel seharusnya pihak hotel lebih siap klo seperti ini mungkin tamu akan kecewa untuk datang lagi,BUMN,Bintang 3,PatraParapatHotel,negative,0.9982823133468628,Guest Experience,Guest Experience (0.65); Facilities & Amenities (0.62); Booking & Reservation Experience (0.59)
Tina Hutahaean,2025.0,5,bagus kamar bersih view ny menghadap danau toba untuk sarapan nya enak2 pegawai nya ramah hanya hanya jalan sja akses nya jauh kedalam hotel,BUMN,Bintang 3,PatraParapatHotel,positive,0.9993971586227417,Facilities & Amenities,"Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.98); Service Quality (0.97)"
morris panjaitan,2025.0,2,pesan 2 kamar tgl 2 3 juli 2025 tapi sangat mengecewakan pakai pemanas air tapi listrik turun kamar ada kecoa air panas tidak stabil teras hotel kotor dan banyak puntung rokok semoga ditanggapi segera,BUMN,Bintang 3,PatraParapatHotel,negative,0.9993632435798645,Guest Experience,Guest Experience (0.96); Booking & Reservation Experience (0.95); Facilities & Amenities (0.91)
Faizaan and Mommy,2025.0,5,tempatnya indah banget indah matahari terbenam kamarnya bersih dan nampaknya batu direnovasi bisa eksplorasi2 jalan kaki pagi2 makanannya juga enak2,BUMN,Bintang 3,PatraParapatHotel,positive,0.9993960857391357,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99); Ambience & Design (0.97)"
Sitii Aisyahh,2025.0,5,Saya berlibur bersama keluarga adik adik saya sangat bahagia main dan berenang di kolamnya luas dan bersih ada taman bermainnya juga untuk kamar bersih luas dan nyaman makanannya banyak varian dan enak pelayanannya ramah saat cek masuk dan cek keluar petugas membantu saya membawa barang bawaan saya yang banyak dengan sigap mantap pokoknya semoga saya dan keluarga dapat kembali ke patra udara dan suasana yang asri tidak akan terlupakan,BUMN,Bintang 3,PatraParapatHotel,positive,0.9991727471351624,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.99)
Afif Dwi,2025.0,5,pengalaman menginap yang luar biasa pertama kali menginap di sini pemandangannya indah suasananya tenang dari saat pertama tiba kami disambut dengan senyum hangat dan stafnya ramah kamarnya bersih wangi dan didesain dengan sangat elegan sarapannya sungguh memanjakan lidahnya bervariasi lengkap dan kualitasnya di atas rata rata sempurna untuk menginap,BUMN,Bintang 3,PatraParapatHotel,positive,0.9994214773178101,Guest Experience,Guest Experience (0.99); Staff Conduct & Hospitality (0.99); Service Quality (0.99)
Chelsea Diffia,2025.0,5,Nginap disini nyaman banget rasanya dari kamar bisa langsung lihat pemandangan danau toba yang indah banget titik matahari terbenam dari hotel ini saat suasana nyaman dan tenang akan nginap disinilagi deh,BUMN,Bintang 3,PatraParapatHotel,positive,0.9995049238204956,Room Quality & Comfort,Room Quality & Comfort (0.92); Facilities & Amenities (0.89); Cultural & Heritage Experience (0.84)
