User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
J.,2025,5,Anara bandara hotel adalah pilihan yang sangat baik jika Anda membutuhkan tempat langsung di bandara jakarta Anda dapat mencapai dengan mudah dengan berjalan kaki yang sangat nyaman setelah penerbangan panjang hotel modern bersih dan sangat baik diatur jika Anda berencana untuk menjelajahi kota Anda harus tinggal di suatu tempat yang lebih pusat sebagai lokasi ini murni ideal untuk kenyamanan bandara tetapi sebagai hotel bandara itu benar-benar sempurna sarapan buffet sangat luas dengan berbagai pilihan hidangan semua orang akan menemukan sesuatu yang mereka sukai saya sangat merekomendasikan untuk nyaman dan stres bebas tinggal dekat bandara,BUMN,Bintang 4,AnaraHotelAirports,positive,0.999376118183136,Facilities & Amenities,"Facilities & Amenities (0.99); Service Quality (0.98); Cleanliness, Hygiene & Maintenance (0.97)"
John Price,2025,2,Hotel ini akan sangat baik tapi untuk beberapa masalah penting 1 Android kamar TV adalah yang paling tidak perlu rumit dan pengguna tidak ramah dari semua yang pernah saya coba untuk menggunakan kami memiliki teknisi datang ke kamar kami dan bahkan ia berjuang untuk mendapatkannya untuk bekerja btw ada kontrol di belakang TV bezel sekitar yang melingkar ke kiri kami harus membuka itu untuk memutuskan dan membunuh gambar ketika kita ingin tidur siapa yang merancang sistem ini 2 kemudian kami memutuskan untuk membunuh semua daya ke kamar dengan tombol kamar tombol tombol tapi lampu senter darurat,BUMN,Bintang 4,AnaraHotelAirports,negative,0.9988564252853394,Facilities & Amenities,Facilities & Amenities (0.92); Guest Experience (0.78); Service Quality (0.68)
Danny Kim,2025,5,cinta ini bandara hotel bandara internasional hotel terletak masuk terminal internasional 3 saya percaya ada hotel besar Anara lain yang terletak masuk terminal domestik pastikan yang satu Anda ingin tinggal hotel internasional kami sangat bersih dan tenang akan tinggal di sini lagi jika kita memiliki penerbangan awal sarapan disediakan dari 2 pagi yang besar tambah tapi jangan berharap terlalu banyak itu tidak baik dipelihara tetapi dapat dimengerti karena itu masuk pagi,BUMN,Bintang 4,AnaraHotelAirports,positive,0.9982094764709473,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.98); Facilities & Amenities (0.97)"
Krisna Wati,2025,5,Pertama kali sih menginap di sini dan sejauh ini sebagus itu hotel nya dan bersih kamar nya jugga luas staf nya ramah lokasi pun strategis dekat degan terminal 3 internasional untuk fasilitas nya ada gym dan sebelah gym ada spa untuk merilekskan badan terapis nya pun cantik cantik dan sangat ramah,BUMN,Bintang 4,AnaraHotelAirports,positive,0.9993891716003418,Service Quality,"Service Quality (1.00); Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
Magdalena Sudarman,2025,5,Saya tinggal di Anara bandara hotel jakarta dan benar-benar terkesan lokasi adalah tak terkalahkan tepat di terminal jadi sampai ke penerbangan adalah bebas stres kamar-kamar modern tanpa cacat dan mengejutkan tenang untuk sebuah hotel bandara dengan tempat tidur super nyaman dan tekanan air besar masuk staf mandi ramah dan efisien membuat cek masuk dan cek keluar cepat di tempat restoran melayani berbagai makanan Indonesia dan internasional yang solid sempurna jika Anda datang terlambat atau meninggalkan awal secara keseluruhan itu adalah salah satu hotel bandara terbaik yang pernah saya alami dan saya akan dengan senang hati tinggal di sini lagi,BUMN,Bintang 4,AnaraHotelAirports,positive,0.9993725419044495,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (1.00); Facilities & Amenities (1.00)
Dian Arum Puspitasari,2025,5,masuk Desember 2023 untuk transit singkat sebelum dan setelah penerbangan internasional pada saat itu tanda arah hotel dari area kedatangan sedikit tidak jelas tetapi tidak yakin jika itu sudah meningkat sekarang pemandangan kamar hanya dari tempat parkir dan jalan raya tapi itu baik-baik saja karena itu dipilih oleh kantor saya bagaimanapun tidak ada keluhan karena itu hanya tinggal cepat baik sarapan standar,BUMN,Bintang 4,AnaraHotelAirports,positive,0.9859567880630493,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.98); Service Quality (0.97); Facilities & Amenities (0.92)"
denis calligaris,2025,1,Saya seharusnya menghabiskan malam masuk hotel ini sebelum naik pesawat pukul 6 pagi masuk pagi seperti tahun sebelumnya saya meminta staf hotel untuk membangunkan saya mereka menawarkan layanan ini mereka lupa untuk membangunkan saya melewatkan pesawat saya tidak bisa pergi pada hari yang sama saya harus membeli tiket lagi dengan semua bagasi tambahan saya 270 315 dolar AS 5 2 juta rupiah mereka meminta maaf dan menawarkan saya 4 diskon untuk malam berikutnya menyedihkan saya sangat menyarankan terhadap hotel ini hotel lain hanya di luar bandara mereka mudah diakses dengan taksi yang tidak akan biaya Anda banyak,BUMN,Bintang 4,AnaraHotelAirports,negative,0.9989708662033081,Check in/out Experience,Check in/out Experience (0.93); Guest Experience (0.93); Booking & Reservation Experience (0.90)
Ann Supatkitmongkhon,2025,3,5 bintang untuk lokasi itu di dalam t3 di lantai 1 lantai tengah antara kedatangan dan keberangkatan keberangkatan pada fl kedatangan ke lantai 2 lantai dasar berjalan hanya beberapa menit dari hotel hanya mengikuti tanda hotel bandara bandara hotel ada toko konvensi dekat hotel 3 bintang untuk layanan cepat memeriksa masuk keluar tetapi ketika menelepon operator atau kamar seevice atau rumah menjaga tidak ada yang mengambil telepon saya mencoba beberapa kali akhirnya saya perlu berjalan ke meja resepsi untuk berbicara dengan mereka 3 bintang untuk kamar itu luas kamar yang layak tapi air bocor keluar dari pintu mandi setelah mandi lantai,BUMN,Bintang 4,AnaraHotelAirports,positive,0.7475147247314453,Check in/out Experience,"Check in/out Experience (0.94); Location, Accessibility & Parking (0.90); Facilities & Amenities (0.83)"
Ginaginagina Gina,2025,4,Setelah beberapa kali tidur di sini kami baru mengalami yang namanya perbedaan layanan saat sarapan bule2 ditawari minum kopi atau teh kita cuma dilewati saja saya bukan gila hormat atau gila layanan tapi benar2 loh kaya tidak dianggap dilihat juga tidak kami mungkn tidak terlihat apa gimana ya semoga kedepannya tidak ada yang mengalami hal ini jika kamar memang tetap nyaman makanan rasanya cukup saja banyak variasi,BUMN,Bintang 4,AnaraHotelAirports,positive,0.8362531661987305,Guest Experience,Guest Experience (0.97); Facilities & Amenities (0.92); Food & Beverage (0.91)
Fawzi M.,2025,4,Check masuk lokasi yang halus sangat nyaman sebelum keberangkatan staf ramah kamar bersih tv memiliki banyak pilihan kamar harus lebih baik terisolasi masih banyak suara dari pesawat dan koridor sarapan memiliki banyak pilihan tetapi tidak terbaik tidak terlihat sangat segar,BUMN,Bintang 4,AnaraHotelAirports,positive,0.9969730377197266,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Check in/out Experience (0.97)
