User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Meia Singarimbun,2025,5,liburan keluarga bawa mertua pesan 2 kamar dikasih menghubungkan kamar dan dikasih vocer sarapan gratis mbak resepsionis sangat ramah dan cantik pelayanan roomboy sangat ramah desain kamar hotel vintage dan banyak tempat buat foto sarapan juga bervariatif bubur ayam sangat enak,BUMN,Bintang 4,GrandInnaTunjungan,positive,0.999521017074585,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Facilities & Amenities (0.99); Family & Group Friendly (0.99)
Okky Nov,2025,3,pelayanan sangat baik mulai dari satpam pelayan rumah tangga sama resepsionisnya lokasi terbaik sangat strategis mau makan tinggal jalan keluar ada tunjungan plaza terus banyak kafe2 sarapan oke banyak variasi dan lumayan enak cek masuk cepat duduk set atas untuk resepsionisnya remote ac rusak terlampir di video jdi tidak bsa di atur suhunya kamar jadi dingin mau matiin atau nurunin suhu tidak bsa otomatis harus memakai jaket terus dikamar kamar terasa kurang terawat bisa dilihat dari pintunya tidak serasa melihat di hotel bintang 4 wifi busuk saat saya lgi zoom wifi sering mati,BUMN,Bintang 4,GrandInnaTunjungan,negative,0.9785283207893372,Service Quality,Service Quality (0.98); Facilities & Amenities (0.95); Check in/out Experience (0.90)
Irvin Dayadi,2025,4,hotel terletak dekat mall tunjungan plaza kamar tidur cukup baik bersih tapi ac tidak bisa disetel suhunya karena controller acnya yang menempel di dinding error sampai saya download manual buku controller seperti yang dipakai hotel tetap tidak bisa berfungsi bukan tipe remote yang bisa diganti tersedia air minum botol sedang teh celup cangkir sendok pemanas air jg kulkas kecil di dalam kamar tv wifi jg ada kamar mandi cukup baik bersih tersedia peralatan mandi pengering rambut namun sayang air panasnya tidak panas entah kehabisan air panas atau pemanas air rusak dua hari menginap tersedia menu sarapan yang sama namun cukup enak karena rasa cukup tidak,BUMN,Bintang 4,GrandInnaTunjungan,positive,0.7769436240196228,Facilities & Amenities,"Facilities & Amenities (0.99); Food & Beverage (0.95); Cleanliness, Hygiene & Maintenance (0.95)"
David Stephen,2025,5,Seingat saya ini pertama kalinya ke sini parkir mobil di daerah terbuka jadi saat hujan deras mau ke lobi kehujanan saya ada undangan bertempat di brawijaya ruang pertemuan tempatnya memang klasik tapi masih baik menjaga ruang pertemuan jg cukup luas yang saya tidak duga adalah makanannya yang mengejutkan enak lho dari tumis sayur pasta ikan telur asin ayam hanya daging nasi goreng nya saja yang perlu sedikit memperbaiki agak hambar secara keseluruhan oke lah lah,BUMN,Bintang 4,GrandInnaTunjungan,positive,0.9978514909744263,Guest Experience,"Guest Experience (0.95); Cleanliness, Hygiene & Maintenance (0.88); Service Quality (0.88)"
Dyan Nova,2025,5,hadir dalam satu acara di grand inna tunjungan tidak tinggal hanya sampai siang saja dan berkesempatan menikmati menu yang enak sekali mungkin sedikit masukan saja untuk toilet di lantai dua perlu ditambahkan karena cuma satu jadi harus antri fasilitas untuk pria wanita dijadikan satu agak kurang nyaman,BUMN,Bintang 4,GrandInnaTunjungan,negative,0.5682584643363953,Guest Experience,Guest Experience (0.97); Facilities & Amenities (0.91); Check in/out Experience (0.85)
Lela Vista,2025,4,lokasi strategis dekat dengan jl tunjungan saya menginap 3 hari pelayanan konsisten baik dan ramah minus di interior kamar sudah tua dan pintu kamar mandi saya berdecit setiap dibuka,BUMN,Bintang 4,GrandInnaTunjungan,negative,0.8201348781585693,Service Quality,Service Quality (0.99); Service Efficiency & Responsiveness (0.98); Guest Experience (0.98)
Eva Zulfiyah,2025,5,nyaman banget menginap di hotel ini hotel yang tenang bersih dan tempatnya strategis dekat pusat perbelanjaan menu sarapannya beragam dan cocok dalam bahasa,BUMN,Bintang 4,GrandInnaTunjungan,positive,0.9992850422859192,Facilities & Amenities,Facilities & Amenities (0.99); Food & Beverage (0.97); Service Quality (0.97)
Ibat Harahap,2025,5,pengalaman menginap secara keseluruhan menyenangkan itu adalah sebuah hotel yang direvitalisasi dari tahun 90an terletak di jantung Surabaya hanya berjalan kaki untuk hidup Tunjungan berjalan kaki dan terkenal Tunjungan Plaza staf hotel sangat membantu dan ramah Eversonsejak pertama salam sampai Anda memeriksa keluar kamar hotel masih cukup bernilai dengan harga yang dikenakan pasti akan mempertimbangkan untuk tinggal di sini lagi ketika saya mengunjungi Surabaya beberapa catatan untuk perbaikan kamar hotel berhadapan dengan jalan menjadi lebih suara terbukti kami lakukan pengalaman bangun di malam hari karena sepeda motor revving pada tengah malam stabilisasi koneksi internet,BUMN,Bintang 4,GrandInnaTunjungan,positive,0.9988899827003479,Guest Experience,Guest Experience (0.98); Staff Conduct & Hospitality (0.95); Pricing & Value for Money (0.95)
yash tamrakar,2025,2,Ada nyamuk masuk ke kamar yang tidak memungkinkan kita tidur sama sekali pada malam pertama meskipun kemudian mereka merawatnya menggunakan semprotan tapi tampaknya 1 malam terbuang benar-benar sangat serius perhatian adalah bahwa ada kelelawar bergerak di sekitar masuk kolam renang menyentuh air setiap saat dan kemudian saya meminta untuk kamar yang tenang yang mereka berikan di sisi belakang hotel tetapi tampaknya ada klub disko di dekatnya dan musik meledak sampai 4 am tidak baik jika Anda tidur ringan seperti saya tidak akan merekomendasikan lokasi yang baik banyak tempat untuk menjelajahi toko-toko di dekatnya,BUMN,Bintang 4,GrandInnaTunjungan,negative,0.9933497309684753,Facilities & Amenities,Facilities & Amenities (0.98); Check in/out Experience (0.81); Guest Experience (0.80)
Johan Tirta,2025,5,semangat pagi terima kasih layanan dari staf hotel mulai dari ob keamanan dan resepsionis ramah semua menu sarapan banyak variasi fasilitas kamar semua oke cuman satu wastafel nya kurang lancar udara lambat di pembuangan tapi secara keseluruhan oke semua nya nya parkir luas semoga bisa berkunjung lagi di sini bersama keluarga lagi terima kasih,BUMN,Bintang 4,GrandInnaTunjungan,positive,0.9993276596069336,Staff Conduct & Hospitality,"Staff Conduct & Hospitality (1.00); Facilities & Amenities (0.99); Location, Accessibility & Parking (0.98)"
