User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Hellow Tango,2025,2,kamar mandi mampet mandi langsung menggenang udara tidak kering sampai 30 menit tidak ada kaca dikamar hanya kaca wastafel makanan 4 10 makanan kurang variatif dan rasa biasa saja telur tidak siap sekalinya siap menunggu lama banget umpetin terus telornya hahaha bye anak magang semua yang ngelayanin ditanya apa jawabnya tidak yakin lokasi strategis,BUMN,Bintang 4,HorisonSemarang,negative,0.9986556768417358,Facilities & Amenities,Facilities & Amenities (0.86); Guest Experience (0.71); Food & Beverage (0.69)
Sawi Skyarlo,2025,1,meja kerja di kamar banyak semut hitam bau tidak sedap dari toilet alas duduk toilet tidak bersih pagi2 pada 7 November 2025 pagi listrik padam lebih dari 1 jam ada tamu terjebak dalam lift karena listrik padam prihatin,BUMN,Bintang 4,HorisonSemarang,negative,0.9979726672172546,Facilities & Amenities,Facilities & Amenities (0.91); Guest Experience (0.79); Sustainability & Environmental Quality (0.67)
Ahmad Dzulfiqar,2025,5,lokasi strategis di daerah tengah kota lama di kota semarang depan hotel ada museum kota lama di tengah bunderan strategis kamarnya nyaman ditonton juga bagus dengan daerah perkotaan wifi saja sih yang agak kurang cepat kecepatannya sehingga harus menggunakan data pribadi untuk mengakses media sosial untuk sarapan sangat bervariasi banyak pilihan dan banyak petugas yang melayani sehingga tidak kebingungan atau bisa dibantu berbagai hal,BUMN,Bintang 4,HorisonSemarang,positive,0.9992664456367493,Facilities & Amenities,Facilities & Amenities (0.95); Service Efficiency & Responsiveness (0.92); Family & Group Friendly (0.77)
Amhal Falah,2025,4,4 5 saya menginap di horison hotel kota lama semarang pada 14 15 Agustus 2025 tipe kamar superior 1 bed besar dengan sarapan agenda saya kombinasi perjalanan kesehatan rsi sultan agung rsup dari kariadi dan jalan jalan di sekitar hotel kelebihan lokasi strategis bisa jalan kaki ke daerah kota lama dekat kuliner dan akses ke dua rumah sakit sangat mudah staf ramah sigap fo cepat housekeeping cepat merespon permintaan kamar nyaman kasur firma ac dingin udara panas lancar sarapan cukup bervariasi menu indonesia roti buah rasa standar tapi mengenyangkan kekurangan ada noda kecil di lantai dekat pintu tanda terlihat usia kamar mandi tapi wifi tidak mengganggu fungsi upload,BUMN,Bintang 4,HorisonSemarang,positive,0.9992944002151489,Facilities & Amenities,Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.99)
Wisnu Wardhana,2025,4,hotel lama yang mewah pada jamannya sebenernya masih cukup terawat namun perlu beberapa perbaikan mengikuti perkembangan jaman 1 saat cek masuk kami membawa 4 tas namun tidak ada petugas bellboy yang membantu membawakan 2 kamar 601 sejak masuk tercium bau saluran kamar mandi mungkin karena knalpot di dekat pintu yang selalu menyala sehingga bau dari saluran kamar mandi tersedot kamar lain mungkin memiliki masalah yang sama 3 ac pusat jadul yang meskipun masih sangat dingin namun terlihat di sana tapi juga sih vintage 4 tidak ada kaca rias di dalam kamar biasanya dekat lemari pintu hanya ada kaca di dalam kamar mandi 5 tidak ada gantungan baju di dalam kamar,BUMN,Bintang 4,HorisonSemarang,negative,0.9929600358009338,Facilities & Amenities,Facilities & Amenities (0.73); Check in/out Experience (0.67); Service Quality (0.44)
Yosua Freddyta'tama,2025,2,pesan kamar di sini untuk ibu saya yang mau liburan di semarang lewat perjalanan untuk pelayanan karyawan hotel bagus dapat kamar yang suara ac nya berisik nya diluar standar ac yang biasa saya dan ibu saya punya di rumah merasa pakai ac murahan ac rusak sehingga ibu saya terpaksa pakai ac dengan penggemar terkecil dan tidur kepanasan memanggil karyawan ke kamar informasi semua sudah ac di kamar berisik saya bisa kamar 309 paling pojok maaf tapi ini jadi pengalaman pertama dan terakhir saya untuk pesan hotel di sini,BUMN,Bintang 4,HorisonSemarang,negative,0.9813261032104492,Booking & Reservation Experience,Booking & Reservation Experience (0.93); Guest Experience (0.93); Service Quality (0.89)
Mina Hani,2025,3,tambah lokasinya bagus pegawainya ramah minusnya waktu saya tinggal permintaan khusus saya tidak ada jadi harus upgrade jenis kamar dan tambah bayar istri saya lemah banget mungkin karena dikasih kamar paling ujung jadi sinyal wifi nya sering hilang tv nya hanya saluran tv kabel belum smart tv padahal jenis kamar yang eksekutif trus di hari terakhir listriknya mati hidup mati hidup jadi maaf ya saya kasih bintang 3 dulu,BUMN,Bintang 4,HorisonSemarang,negative,0.9963889122009277,Facilities & Amenities,Facilities & Amenities (0.96); Service Quality (0.95); Staff Conduct & Hospitality (0.83)
Rizka Mersiana,2025,3,Airnya bau kolam renangnya licin berlumut seperti tidak pernah dibersihkan dan bau fariasi makanannya pun kurang enak roti disediakan ngepas banget telur jika tidak diminta tidak disediakan semoga lebih baik lagi,BUMN,Bintang 4,HorisonSemarang,negative,0.9957247972488403,Facilities & Amenities,Facilities & Amenities (0.97); Service Quality (0.80); Food & Beverage (0.70)
alfi noor,2025,5,lokasi strategis dekat kota lama yang memang jadi tujuan pelayanan siip tidak ada fasilitas langsung diantar ke kamar tidak tahu mata minusku yang tidak melihat sudah ada di mandi maaf ya hk,BUMN,Bintang 4,HorisonSemarang,negative,0.9454910159111023,Service Quality,Service Quality (0.98); Guest Experience (0.90); Check in/out Experience (0.60)
Happy Farkha,2025,4,Pelayanan sangat ramah letak strategis dekat dengan kota lama kamar lumayan untuk sarapan mungkin bisa ditingkatkan lagi nasi goreng hambar soto hambar kolam renang agak kotor,BUMN,Bintang 4,HorisonSemarang,positive,0.7755419015884399,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.97); Service Quality (0.97)
Nolla Bitta,2025,5,Awalnya saya takut check masuk sini karena baca review2 negatif hotel horison kota lama tapi setelah mengalaminya sendiri itu benar-benar berbeda banget 1 pelayanannya ramah banget aku dateng ke hotel jam 12an kami membantu pendaftaran sama kak juliete yang baik banget tidak sampai jam 2 sekitar jam 13 kami dibolehin masuk kamar mas2nya yang di depan juga ramah banget 2 fasilitasnya oke kok aku baca review katanya ac nya kurang dingin tapi setelah aku baru saja ac nya lagi baru banget trs malemnya aku pinjem pengering rambut tanpa langsung di dong kasih masnya bilang 45 menit ke depan bayi,BUMN,Bintang 4,HorisonSemarang,positive,0.9471376538276672,Check in/out Experience,Check in/out Experience (0.96); Service Quality (0.96); Facilities & Amenities (0.94)
dyna dheeno,2025,5,pertama kali ke semarang memilih tinggal di sini karena budget rendah dan dekat kota lama tinggal jalan kaki saja ke tempat kuliner yang terkenal juga tidak jauh sengaja memilih hotel ini karena agenda kita penuh bepergian di luar jadi tidak perlu hotel yang mahal karena bukan untuk menginap di atas semua hotel nya bagus nyaman ada kolam renang indoor makanannya sarapan banyak menuunya rasa biasa saja,BUMN,Bintang 4,HorisonSemarang,positive,0.9975196719169617,Facilities & Amenities,Facilities & Amenities (0.99); Pricing & Value for Money (0.99); Food & Beverage (0.87)
atogms,2025,4,Tempat yang strategis saat tinggal satu malam disini kamar diskon kondisi air cuci toilet kran tekan untuk WC udara nya bau kurang nyaman peralatan kamar mandi terkesan lama usang tapi di tempat mandi normal tidak bau udara panas dingin normal,BUMN,Bintang 4,HorisonSemarang,negative,0.5981714129447937,Facilities & Amenities,Facilities & Amenities (0.89); Pricing & Value for Money (0.88); Guest Experience (0.65)
Kay Traveling,2025,5,hotel dengan lokasi strategis di kota semarang cukup jalan kaki 10 menit dari stasiun semarang tawang bank jateng dekat dengan kota lama diseberang hotel ada museum kota lama harga sangat terjangkau sudah dapat sarapan dan ada kolam renangnya juga dianjurkan untuk menginap di sini saat liburan ke semarang,BUMN,Bintang 4,HorisonSemarang,positive,0.9995362758636475,Facilities & Amenities,Facilities & Amenities (0.99); Food & Beverage (0.96); Pricing & Value for Money (0.95)
Tris,2025,5,Pelayanan meja depan oke staf ramah selalu tegur sapa makanan cukup bervariasi hanya saja dalam mengisi makanan agak lama ya kamar cukup okelah rumah menjaga harus lebih teliti karena diujung2 msh ada debu,BUMN,Bintang 4,HorisonSemarang,positive,0.9325204491615295,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.98); Guest Experience (0.96); Facilities & Amenities (0.96)
cahyo sasongko,2025,3,merasa bingung saat makan pagi di resto mayoritas adalah anak pelatihan smk dimana yang bekerja sangat bagus malah yang pelatihan dari smk tapi dimana seniornya stafnya jam setengah tuju sekstion telur omelete belum siap padahal ini makan pagi staf koki tidak terlihat siap memastikan semua siap juga dimana staf koki karyawan yang digaji yang pelatihan di taruh depan untuk melayani tapi persiapanmu telur untuk makan pagi jam setengah tuju klo tidak ada ya memperbaiki tutup restomu,BUMN,Bintang 4,HorisonSemarang,negative,0.9983375072479248,Food & Beverage,Food & Beverage (0.66); Staff Conduct & Hospitality (0.62); Service Quality (0.62)
Lukman Syarif,2025,5,kartu akses kamar nya sering bermasalah sehingga harus bolak balik ke resepsionis untuk reset kartu lg sangat merepotkan,BUMN,Bintang 4,HorisonSemarang,negative,0.9966559410095215,Facilities & Amenities,Facilities & Amenities (0.75); Guest Experience (0.71); Digital Connectivity & Technology (0.55)
Abi Cuki,2025,2,Maaf tapi saya tidak menjatuhkan hotel Anda tetapi kebijakan yang Anda lakukan salah saya ojek online biasanya di hotel lain boleh titip resepsionis dan satpam tetapi di hotel ini malah tidak mau semua percaya gimana kalau semisal pemesan tidur pergi makanan taruh kemana jika membuat kebijakan jangan merugikan orang lain itu saja terima kasih,BUMN,Bintang 4,HorisonSemarang,negative,0.9989493489265442,Management & Policy Issues,Management & Policy Issues (0.75); Guest Experience (0.57); Food & Beverage (0.51)
Callysta Chanel,2025,2,bersih bagus tarif lumayan mahal 650rb kamar prasmanan makanan kurang enak secara keseluruhan,BUMN,Bintang 4,HorisonSemarang,negative,0.9855669736862183,Food & Beverage,Food & Beverage (0.85); Pricing & Value for Money (0.82); Facilities & Amenities (0.72)
Poundra Windyanto,2025,5,hotel horison kota lama semarang hotel cukup dekat dengan kota lama semarang dengan jalan kaki 300 meter sudah sampai di pusat keramaian kota tua cukup dekat dengan museum kota tua 50 meter pelayanan cukup baik kebersihan kamar baik desain kamar sepertinya membutuhkan perbaikan ulang seperti hotel lama rasa makanan di resto oke dengan menu dan pilihan parkir beragam untuk mobil terbatas cukup harga menengah,BUMN,Bintang 4,HorisonSemarang,positive,0.9993200302124023,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Service Quality (1.00); Facilities & Amenities (0.99)"
Andry Sose,2025,4,mengingat harga nilai memang cukup baik namun kebersihan kamar khususnya masuk kamar mandi bisa mendapat manfaat dari beberapa perbaikan ukuran kamar yang murah hati adalah sorotan pasti dan lokasi juga cukup nyaman,BUMN,Bintang 4,HorisonSemarang,positive,0.9981473684310913,Pricing & Value for Money,"Pricing & Value for Money (0.98); Facilities & Amenities (0.97); Cleanliness, Hygiene & Maintenance (0.96)"
