User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Raymond Valiant,2025,4,Mercure Bandung Nexa supratman adalah sebuah tempat yang baik dekat supratman jalan kanan masuk pusat kota bandung lokasinya nyaman dan mudah diakses oleh transportasi umum dan lokal membuatnya cocok untuk kedua bisnis dengan tata letak dan layanan hotel jelas melayani klien berorientasi tikus suasana modern dan profesional kamar bersih dengan baik dipelihara dan dirancang dengan kenyamanan kontemporer masuk pikiran menyediakan menginap yang menyenangkan dan fungsional tanpa fasilitas berlebihan yang tidak perlu,BUMN,Bintang 4,MercureBandungNexaSupratman,positive,0.9992460012435913,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (0.99); Room Quality & Comfort (0.97)"
Syanes Adishesa,2025,5,Saya tinggal di akhir pekan dan sarapan hotel dan secara keseluruhan itu adalah kejutan yang sangat menyenangkan meskipun itu sedang penuh orang berbagai dan kualitas makanan benar-benar berdiri keluar sorotan untuk saya adalah pasti cemilan super lezat gorengan super crispy krepes yang indah dan yogurt rasanya indah alami hampir seperti itu dibuat masuk rumah tanpa pemanis buatan atau rasa untuk hidangan utama pilihan Indonesia yang banyak dan rasanya hebat Anda dapat tahu bahan yang mereka gunakan adalah kualitas tinggi satu-satunya hal yang saya tidak menikmati,BUMN,Bintang 4,MercureBandungNexaSupratman,positive,0.9989404082298279,Facilities & Amenities,Facilities & Amenities (0.98); Food & Beverage (0.95); Service Quality (0.93)
Hyemu Kwangbae,2025,5,Saya memiliki pengalaman sarapan yang luar biasa di hotel berbagai hidangan adalah mengesankan semua rasanya segar dan presentasi yang indah dilakukan atmosfer hangat dan menyambut membuatnya cara yang sempurna untuk memulai hari khusus terima kasih kepada koki nana untuk layanan yang luar biasa dan makanan yang lezat perhatian Anda untuk detail dan ramah energi benar-benar membuat makanan yang berkesan terima kasih koki,BUMN,Bintang 4,MercureBandungNexaSupratman,positive,0.9989466071128845,Service Quality,Service Quality (1.00); Service Efficiency & Responsiveness (1.00); Guest Experience (1.00)
Veronica Soemidjo,2025,2,pertama masuk kamar kurang bersih dan rapi amenities tidak lengkap terutama pada toilet sarung bantal sudah sobek diujung2 vitrase gorden robek2 buluk ngasih bantal tambahan saja buluk juga saya tidak tahu sop hotelnya gimana tapi seharusnya jika sudah buluk ganti baru donk bisa kami pelanggan bayar untuk istirahat disini staf resepsionis sangat tidak ramah parkir susah,BUMN,Bintang 4,MercureBandungNexaSupratman,negative,0.9991071820259094,Facilities & Amenities,"Facilities & Amenities (0.97); Location, Accessibility & Parking (0.84); Guest Experience (0.67)"
Irna Transista,2025,1,Gila sih ini hotel jelas jelas pesan tidak ada kamar merokok dan saya sudah tinggal di sini selama 4 hari tiba2 pihak hotel masuk rombongan tamu di lantai yang sama dan membuat lantai saya kamar merokok tamu tsb cek masuk di sebelah kanan kiri kamar saya dan merokok semua hingga lorong dan angkat ikut bau rokok sudah mengeluh minta pindah kamar atau tamu yang merokok tsb dipindahkan tapi lama banget penanganannya kacau banget pelayanannya,BUMN,Bintang 4,MercureBandungNexaSupratman,negative,0.9994893074035645,Guest Experience,Guest Experience (0.91); Check in/out Experience (0.84); Booking & Reservation Experience (0.76)
Tedy Setiadi,2025,4,saya menginap di hotel ini dan secara keseluruhan mendapat pengalaman yang cukup baik dengan beberapa catatan kamar yang saya tempati terasa nyaman dan terawat meskipun furniturnya sudah terlihat agak lokasi hotel Anda sangat strategis dekat dengan banyak pilihan kuliner khas bandung serta berbagai tujuan wisata sehingga sangat memudahkan tamu yang ingin berkeliling kota sebagai anggota platinum saya sangat mengapresiasi upgrade dua tingkat ke kamar yang lebih luas fasilitas tambahan di area lobi seperti meja biliar dan permainan juga menjadi nilai yang lebih yang membuat suasana hotel lebih hidup dan ramah untuk keluarga namun ada beberapa hal yang menurut saya masih perlu ditingkatkan saat proses masuk pelayanan resepsi cek terasa kurang,BUMN,Bintang 4,MercureBandungNexaSupratman,positive,0.9989031553268433,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.83); Facilities & Amenities (0.83); Service Quality (0.79)"
Didiet R. Purnamahadhi,2025,5,Semua baik kecuali pelayan parkir saat pulang ambil mobilnya sendiri dengan posisi kurang menguntungkan karena petugas harus memindahkan 2 3 mobil terlebih dahulu jumlah petugas juga kurang kali ya dan tamu yang mau pulang juga antri tapi secara keseluruhan bagus akan senang kembali suatu hari cheers,BUMN,Bintang 4,MercureBandungNexaSupratman,positive,0.9889280796051025,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.95); Facilities & Amenities (0.85); Guest Experience (0.84)"
Sely Amallia,2025,4,Hotel ini sangat strategis sederhana klo mau renang kasur kembar nya juga ukurannya besar satset dari kamar tidak perlu jalan jauh kalau mau ke bawah ada fasilitas biliar dan tempat utama anak juga cuman sayaang banget menu sarapannya rasanya kurang enak serius tidak boong mungkin bisa diupgrade lagi terkait rasa masakannya terimakasih,BUMN,Bintang 4,MercureBandungNexaSupratman,positive,0.9788569211959839,Facilities & Amenities,Facilities & Amenities (0.93); Food & Beverage (0.75); Guest Experience (0.73)
Max Radzion,2025,2,Aku sangat menghargai itu tidak apa-apa yang sangat mengecewakan salah satu titik listrik hanya bekerja sebagian langsir kamar mandi terlalu pendek yang mempengaruhi privasi dan fasilitas kamar secara keseluruhan merasa di bawah harapan tempat tidur tidak tampak benar-benar bersih pada saat tiba saya meminta tempat tidur segar keesokan harinya untuk menyelesaikan ini tetapi sebaliknya tempat tidur hanya dibuat ulang yang membuat frustrasi sarapan buffet besar dan menawarkan berbagai yang baik tetapi itu merasa cukup tidak teratur dan kacau yang membuat,BUMN,Bintang 4,MercureBandungNexaSupratman,negative,0.9977583885192871,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.97); Food & Beverage (0.91)
Meutia Sistarani,2025,4,untuk lokasi lumayan strategis dekat ke gedung sate jl riau dago pahlawan depan hotel ada beberapa restoran sebagai alternatif makanan jika bawa mobil ada parkir bawah tanah dan lobi tapi sangat2 terbatas jika sudah penuh bisa dibantu vallet proses cek masuk nya cepat ada 3 lift yang bisa dipakai untuk ke kamar untuk kamar saya agak khawatir dng kamar mandinya jalur pembuanganannya tidak cukup miring sehingga mandi udara jadi menggenang lantai jadi super bersih lalu hanya jika ada mandi yang nempel tidak bisa digenggam dipindah pindah bagi yang bawa bayi atau balita mungkin akan sulit untuk untuk meninya jadi mesti terus keramas tv,BUMN,Bintang 4,MercureBandungNexaSupratman,positive,0.9988448619842529,Facilities & Amenities,"Facilities & Amenities (0.88); Location, Accessibility & Parking (0.69); Service Quality (0.68)"
