User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Amel Herlota,2025,3,Mercure hotel adalah hotel yang baik dengan kamar yang nyaman suasana yang bagus dan staf yang ramah lokasi dan fasilitas juga cukup memuaskan namun kualitas kain dan handuk mengecewakan mereka tidak memenuhi standar yang diharapkan dari hotel tingkat ini karena mereka tampak dipakai dan kurang bersih dari yang diharapkan dengan peningkatan masuk area ini pengalaman tamu secara keseluruhan akan jauh lebih baik,BUMN,Bintang 4,MercureMakassarNexaPettarani,negative,0.9889899492263794,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (0.97); Staff Conduct & Hospitality (0.95)
Mukhamad Daris Alfarrel,2025,5,Lokasinya strategis termasuk di tengah kota dekat juga dengan keluar masuk tol ke arah bandara kamarnya sangat bagus dan rapi serta interior modern dari lobi sampai kamar sangat unik pelayanan staf ramah baik dari keamanan resepsionis hingga staf hotel lainnya menu sarapannya selalu enak dan variatif cocok untuk perjalanan bisnis atau sekedar menginap bersama keluarga karena ada kolam renang yang luas serta gym,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9995326995849609,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Facilities & Amenities (1.00); Family & Group Friendly (0.99)
chafifah aulia ramadani,2025,5,pengalaman yang cukup nyaman kamarnya bersih dan fasilitas berfungsi dengan baik staf juga ramah dan membantu lokasi oke dan cukup strategis cocok untuk tinggal singkat maupun istirahat setelah perjalanan,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9989326596260071,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (1.00); Guest Experience (1.00)
Folie,2025,5,selain dari campuran antara merokok dan non-merokok layanan kamar baik dapat ditingkatkan dengan menyediakan 1 hari kering bersih layanan sarapan yang sangat baik dengan minus dari stasiun telur dapat disajikan panas cuci pakaian yang sangat baik satu hari layanan penuh perhatian untuk permintaan saya kamar baik mendapat beberapa nyamuk masuk kamar saya,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9938117265701294,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Service Efficiency & Responsiveness (1.00)"
Agus Zul,2025,1,request kamar merokok dan double bed dijadikan satu kenyataan tidak seperti yang kita mau trus masuk kamar tangan belum tersedia parah sih,BUMN,Bintang 4,MercureMakassarNexaPettarani,negative,0.9986795783042908,Booking & Reservation Experience,Booking & Reservation Experience (0.95); Facilities & Amenities (0.88); Guest Experience (0.87)
Aulia Dhiya,2025,5,menginap karena dekat ke kantor untuk kamarnya rapih dan interiornya bagus pelayanannya oke banget setiap hari kamar juga dibersihkan tapi barang pribadi tetap di tempatnya untuk menu sarapan juga beragam dan enak semuanya secara keseluruhan sangat puas selama menginap di sini,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9994426369667053,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Service Quality (1.00)"
Suwardi Ardi,2025,5,lokasi hotelnya strategis nyaman dan bersih kemarin di tangani sama mas safry pelayanannya mantap murah senyum memberikan informasi secara detail fasilitas hotelnya lengkap mulai dari kolam renang cafe gym dan ada meja billiard jg di sediakan,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9993915557861328,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Service Quality (0.99)
Muh Iqra Basir,2025,5,sangat suka pelayanannya stafnya ramah kamarnya bersih dan menu sarapannya enak semoga bisa dipertahankan dan ditingkatkan,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9992745518684387,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Guest Experience (1.00); Facilities & Amenities (1.00)"
Ni Wayan Sriyanti,2025,5,menginap di hotel hari rabu benar benar memberikan pengalaman yang nyaman dan berkelas kamarnya bersih modern dan sangat sangat terawat pelayanan staf ramah serta sigap membantu setiap kebutuhan tamu sarapannya pun bervariasi dan lezat lokasi strategis membuat perjalanan makin praktis sangat direkomendasikan untuk liburan maupun urusan bisnis,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9994633793830872,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Room Quality & Comfort (1.00); Service Efficiency & Responsiveness (1.00)"
Muh.Denial Asbar,2025,5,nyaman banget sih di hotel ini mulai dri kamar staf dan makanannya enak2 jugaa fasilitas baru juga ada area parkir yang luas kolam renang gym spa dan juga kafe lampu nya yang kerenn,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9994516968727112,Facilities & Amenities,"Facilities & Amenities (0.99); Location, Accessibility & Parking (0.98); Service Quality (0.97)"
sitti saddania,2025,5,kamar agak sempit untuk bawa anak toiletnya didesain tidak bisa ngunci tapi lebih dari semua oke makanan enak dikasi buah sebagai sajian selamat datang pelayanan ramah dikasi telat cek keluar pula bakal balik lagi pasti,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9986600875854492,Guest Experience,Guest Experience (0.99); Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.99)
nur qalbi,2025,5,Selama saya berada di hotel ini 3 hari 2 malam banyak penglmn yang saya dapatkan dan terutama pada kegiatan workshop fasilitasnya sangat lengkap kamarnya juga nyaman,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.998840868473053,Facilities & Amenities,Facilities & Amenities (0.98); Room Quality & Comfort (0.97); Service Quality (0.93)
Jedi Juan,2025,5,proses cek masuk nya cpet dan di handling ama pak syaiful dan mba chintami kamarnya jiga luas dan nyaman makanan di resto pun enak dan bervariasi fasilitasnya pun lengkap dan tidak mengecewakan,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9995026588439941,Facilities & Amenities,Facilities & Amenities (0.99); Room Quality & Comfort (0.98); Service Efficiency & Responsiveness (0.96)
Hairul,2025,5,Ini hanya informasi ini adalah salah satu hotwl terbaru yang ada dikota makassar dengan lokasi yang strategis berada di kota makassar selama menginap di sini atas semua semuanya bagus dan fasilitasnya lengkap hanya saja mungkin untuk tvnya bisa diganti dengan tv pintar m heheeh,BUMN,Bintang 4,MercureMakassarNexaPettarani,positive,0.9945586323738098,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.86); Service Quality (0.82)
Hardiyanti Nirfa,2025,3,kamarnya rusak2 lemaronya pdhl ambol yang 1 5 permalam lho lemari mau cpt pintu kamar mandi goyang2 sudah berkali2 pnggil teknisi tapi hk datang bukan ac pusat bobol plafon buat pasang ac pdhl kamar mhl,BUMN,Bintang 4,MercureMakassarNexaPettarani,negative,0.9984591007232666,Service Quality,Service Quality (0.67); Facilities & Amenities (0.63); Religious & Halal Features (0.51)
