User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Uni Anila,2025,4,mohon maaf lewat posting tinggal di patra sekitar awal september 2025 masih bagus bisa berenang tanggal 15 september 2025 kolamnya direnovasi semoga sekarang sudah selesai ya hotel 4 di sekitar semarang letaknya agak masuk ke dalam tapi tidak jauh sih dari jalan raya tempatnya super luas sekarang ada vila baru juga lain kali klo ke semarang semoga bisa ke villa kamar luas amantities nya lengkap pemanas air oke kasur kembar juga lumayan luas untuk masalah parkir banyak keluhan tentang parkir alhamdulillah kemarin aman saja tamu hotel untuk gratis kurang tau juga klo tamu untuk acara pernikahan atau yang lainnya,BUMN,Bintang 4,PatraSemarangHotel&Convention,positive,0.9985582232475281,Facilities & Amenities,"Facilities & Amenities (0.91); Location, Accessibility & Parking (0.78); Complaint Handling & Service Recovery (0.22)"
Aurellia Cindy,2025,1,hp saya kehilangan waktu acara wisuda di sini tapi waktu ingin cek cctvnya yang di lorong malah mati dengan alasan renovasi keamanan yang berjaga pun minim dan tidak kompeten shg banyak orang luar yang tidak berkepentingan masuk,BUMN,Bintang 4,PatraSemarangHotel&Convention,negative,0.9989245533943176,Safety & Security,Safety & Security (0.91); Facilities & Amenities (0.69); Management & Policy Issues (0.61)
dwi wahyudi,2025,1,ac kamar bermasalah meskipun sudah berpindah kamar 2 kali pelayanan sarapan sangat tidak profesional terdapat ulat pada salad sayuran pesan omelet sangat lama sampai makanan sudah habis padahal sudah 2 kali ditanyakan dan jika tidak ditanya tidak juga selesai selama itu bisa membuat omelet harus pelanggan ngomel dulu baru menyiapkan pesanannya,BUMN,Bintang 4,PatraSemarangHotel&Convention,negative,0.999254047870636,Guest Experience,Guest Experience (0.87); Facilities & Amenities (0.86); Booking & Reservation Experience (0.75)
Ali Ghes,2025,5,Baik dalam semua hal lokasi terbaik pemandangan dengan kamar mewah dan kamar villa juga yang di dalam ini gatau termasuk minus atau tidak divilla tidak bisa menambah tempat tidur tambahan sedangkan di hotel bisa menurut saya kebalik ya atau mungkin dua dua nya jika bisa di adakan terimakask,BUMN,Bintang 4,PatraSemarangHotel&Convention,positive,0.9963169097900391,Facilities & Amenities,"Facilities & Amenities (0.98); Ambience & Design (0.92); Loyalty, Recommendation & Appreciation (0.76)"
Aji,2025,5,pesan tipe deluxe kamarnya luas dan bersih untuk tipe ini tidak ada kamar merokok kecuali yang tipe deluxe balkon bisa ngrokok di balkon kamar mandi bersih bisa melihat kota sarapan banyak variasiinya cuma mesin kopi bisanya espresso perlu diganti mesin biar layak sesuai dengan harga per kamar lokasi jauh dari tempat makan kalau jalan kaki jadi memilih ke pesan online,BUMN,Bintang 4,PatraSemarangHotel&Convention,positive,0.9893378019332886,Facilities & Amenities,Facilities & Amenities (0.95); Food & Beverage (0.89); Room Quality & Comfort (0.77)
Bimo Nurendro,2025,5,hotel yang aangat nyaman di semarang ac bagus tempat tidur nyaman bersih sangat puas menginap di sini dan lain kai kalau ke semarang lagi mau menginap di hotel ini kenyamanan jauh melebihi harganya,BUMN,Bintang 4,PatraSemarangHotel&Convention,positive,0.9992702603340149,Facilities & Amenities,Facilities & Amenities (0.97); Service Quality (0.92); Room Quality & Comfort (0.91)
Bunga Rifka,2025,1,petugas parkir tidak bisa memberikan solusi untuk saya yang tidak membawa uang tunai saya jam 3 pagi ke hotel ini untuk makeup pulang jam 5 pagi ditagih parkir 10rb dan karcis tidak tertulis nominal juga saat saya bilang tidak membawa uang tunai saya membebankan ongkos parkir kpn klien saya yang merupakan tamu hotel namun petugas parkir tidak setuju harus saya yang bayar saya tawarkan untuk transfer ke petugas tapi tidak bisa juga tidak ada solusi dari petugas jaman ini sudah serba cashless dan digital sebesar tolong melek teknologi hotel sebgus dan ini masih di sana pembayaran parkirnya baru ini di hotel bayar parkir juga kecuali jika satu dengan mall yang parkir berbay,BUMN,Bintang 4,PatraSemarangHotel&Convention,negative,0.9987030029296875,Pricing & Value for Money,"Pricing & Value for Money (0.79); Location, Accessibility & Parking (0.76); Digital Connectivity & Technology (0.61)"
ayu agustin,2025,5,Yang terbaik sih interiornya kue kamarnya nyaman deket kemana2 sayang lagi renov jadi kolam renang tidak bisa dipakai,BUMN,Bintang 4,PatraSemarangHotel&Convention,positive,0.9982851147651672,Room Quality & Comfort,Room Quality & Comfort (0.99); Facilities & Amenities (0.95); Service Quality (0.88)
Rifqi Achmad Bachtiar,2025,5,kamarnya bagus bersih luas walaupun saya memilih kamar merokok karena saya bawa vape tapi tidak bau rokok fasilitas cukup lengkap parkirannya luas lokasinya cukup strategis pelayanan sangat ramah,BUMN,Bintang 4,PatraSemarangHotel&Convention,positive,0.9991359114646912,Facilities & Amenities,"Facilities & Amenities (0.99); Location, Accessibility & Parking (0.98); Service Quality (0.97)"
Rudy Siahaan,2025,1,waktu lalu sabtu dan minggu 30 31 Agustus 25 saya ikut seminar di Rama sinta auditorium hari 1 tgl 30 sore pengisian handphone saya warna putih tertinggal di gedung auditorium waktu saya sudah pulang ke rumah baru saya ingat jadi selang 2 jam baru saya kembali ke gedung itu saya tanya ke penjaga gedung katanya tidak melihat saya tanya sekuriti hanya bilang jika ada yang menemukan pasti di titip ke lobi tolong jika ada merasa mengambil semoga hidupmu bahagia petugas baik di gedung dan di lobi kurang membantu tolong jika ada kamera pengawas di gedung terjadi antara 14 jam 16 malam terimakasih banyak jam jika pihak hotel dan gedung mau menang,BUMN,Bintang 4,PatraSemarangHotel&Convention,neutral,0.5736644864082336,Check in/out Experience,Check in/out Experience (0.87); Guest Experience (0.85); Safety & Security (0.76)
