User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Daniel Burgers,2025,5,Saya ingin mengucapkan terima kasih tulus kepada seluruh tim di Hotel Vasaka untuk memberikan pengalaman luar biasa selama tinggal saya saya menghabiskan hampir sebulan di hotel dan tidak bisa lebih bahagia dengan pilihan saya staf secara konsisten menunjukkan profesionalisme kebaikan dan rasa hormat keramahan benar-benar luar biasa kamar itu sangat baik dan memiliki semua yang saya butuhkan itu dibersihkan dengan baik setiap pagi dan layanan kamar yang cepat dan dapat diandalkan sarapan adalah fantastis menawarkan berbagai pilihan lezat dengan layanan yang cermat setiap hari khusus terima kasih untuk Miss Nancy Miss Tottie dan Sir Devian untuk mereka,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9987772107124329,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (1.00); Room Quality & Comfort (1.00)
Eduardo Bayu,2025,4,tinggal di sini untuk fasilitas kamar mandi seperti sabun dan sampo dan sabun batangan kurang untuk asumsi 2 dewasa 1 anak karena hanya 1 dengan logika mandi sakit dan pagi pasti kurang wifi di kamar juga jauh membutuhkan perbaikan TV juga terganggu lebih baik di memperbaiki staf keamanan supandi ramah gercep baik dan menyapa cust tapi ada juga keamanan yang tinggi besar sekitar 180 cm kurang gercep sarapannya juara ada rombongan atlet tapi bisa dibandrol dengan tidak ada yang menunggu makanan semua nya di layan dengan baik buat staf restoran gk banyak staf nya tapi ramah banget cepat mengisi cepat rasa nya enak semua variasi banyak membuat restoran top foto kolam renang nya,BUMN,Bintang 4,VasakaHotelJakarta,negative,0.5984920263290405,Facilities & Amenities,"Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
Biran Andrianto,2025,2,lokasi besar sangat dekat dengan kereta cepat whoosh ini adalah nilai untuk uang hotel Anda mendapatkan apa yang Anda bayar makanan adalah suasana biasa keren Anda dapat melihat pemandangan selatan kota jakarta hal yang buruk adalah kamar Anda tidak dapat mengharapkan untuk mendapatkan non-merokok kamar di tempat memeriksa pengalaman buruk saya tinggal di kamar merokok dengan lembaran kotor dan tempat dengan bed bug,BUMN,Bintang 4,VasakaHotelJakarta,negative,0.9854806065559387,Pricing & Value for Money,Pricing & Value for Money (0.99); Guest Experience (0.98); Check in/out Experience (0.96)
Hening Probowati,2025,5,makanan nya enak 2 kamarnya juga oke kebetulan di kamar 12 pemandangan nya perkotaan keren banget terima kasih untuk dinda kantor depan yang sudah mengandalkan review sngt ramah,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9993904829025269,Guest Experience,Guest Experience (0.97); Staff Conduct & Hospitality (0.97); Service Quality (0.95)
Iwanda A. BigHams,2025,4,hotelnya sebagai grup dafam sangat baik mungkin untuk kualitas sinyal hp perlu di perkuat agar komunikasi dengan sopir bisa berjalan lancar mungkin pasang wifi lebih baik jika tidak mau memasang antena sinyal hp,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9962643980979919,Family & Group Friendly,Family & Group Friendly (0.98); Facilities & Amenities (0.91); Staff Conduct & Hospitality (0.89)
Elsa Juliana,2025,4,Halo vasaka hotel saya senang menginap di sini pemandangan yang indah langsung menghadap ke jalanan dan lrt namun kurang keamanan untuk jendela kamar karena bisa di buka walaupun sudah ada pemberitahuan dengan stiker akan ada denda jika dibuka saya yang membawa toodler jadi jadi adalah semoga kedepanya mungkin di ubah jendelanya jika tidak bisa dibuka saya jg mendapatkan mis komunikasi perkara parkir resepsionis info beliau jika keluar tinggal saja disebutkan tidak platnya namun ternyata harus ttp menggunakan karcis parkir yang entah kemana karcisnya akhirnya kami di denda 50rb nge drop makanan dan mobil online pickup jg biaya parkir belum kena,BUMN,Bintang 4,VasakaHotelJakarta,negative,0.588628888130188,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.84); Ambience & Design (0.58); Service Quality (0.57)"
August Tiara,2025,5,seneng banget nginep di sini semuanya ramah2 mulai dari karyawan kantor depan restoran terutama kak toti yang baik banget bantuin aku sampai keamanan pun smuanya sangat ramah2 dan membantu dan terutama lagi buat kak abel yang sudah sangat membantu aku slama berada di hotel kmrin bener2 membantu banget aku suka banget kamarnya di sini punya pemandangan yang bisa dilihat lrt dengan kaca yang besar kamarnya juga bersih udara kamar mandi jg deras dan asiknya lagi ada lounge dan billiard makanannya juga enak2 banget dan satu lagi kalian jg bisa pesan coklat yang bisa di bentuk lucu2 di sini dan rasanya jg enak enak,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9990583062171936,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99)"
Afrilia Nabila,2025,5,Dari awal datang sudah disambut sama staf yang ramah banget bikin hati langsung adem kamarnya baru bersih nyaman dan wangi pemandangan dari kamar juga kuep banget bikin betah duduk lama di jendela makanan minumannya wah semua enak dari sarapan sampai minuman di resto tidak ada yang terlepas selama nginap di sini sama sekali tidak ada kendala pelayanannya mulus dan cepat pokoknya puas banget dan ya pasti akan tinggal lagi lain kali,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9991533756256104,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.99); Service Quality (0.98); Staff Conduct & Hospitality (0.97)
Schaldea,2025,5,dekat dengan st lrt cawang cukup jalan kaki sekitar 8 menit jalan masuk bagian depannya gatau dari mana karena jalan kaki jadi diserahkan lewat belakang samping hk menara datang ke salah satu ruang pertemuan ruangannya cepat bersih dan cukup luas istirahat kopi dan makan siangnya enak dan banyak pilihan stafnya juga sangat ramah,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9995399713516235,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Service Efficiency & Responsiveness (0.98)
Dewi Wahyuningsih,2025,5,pelayanan ramah udara mineral tetap diisi setiap hari meskipun masih ada komplain cepat diisi misalnya kamar non merokok yang sudah disteril dan masih bau rokok kemudian sudah tidak bau lagi dapat coklat gratis dari mas tirta terima kasih untuk penjelasannya terkait bau rokok setelah steril,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9150329232215881,Facilities & Amenities,Facilities & Amenities (0.97); Guest Experience (0.96); Check in/out Experience (0.87)
Riri Grahadhi,2025,5,sampai saat ini msh hotel terbaik di daerah sekitarnya kamar oke pelayanan ramah untuk lokasi karena sedang ada galian jadi agak macet ada fasilitas cuci paket disini dan malam ini saya bisa mendapatkan coklat gratis td yang mengantar bernama ron terima kasih,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.998695433139801,Service Quality,Service Quality (0.98); Facilities & Amenities (0.98); Room Quality & Comfort (0.94)
Ernita Trirahardjo,2025,5,menginap untuk 7 malam vasaka hotel jakarta pelayananya sangat baik kualitas kamar baik bersih luas tidak ada kendala makanan untuk sarapan makan siang dan makan malam banyak pilihan dan rasanya sangat enak semua pelayanan terbaik dari mas ramadhan,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.999534010887146,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Room Quality & Comfort (0.99)
Puji Wulandari,2025,5,Ruang pertemuannya oke cemilannya juga bervariasi makanannya juara namun untuk mengatur tempat duduk di resto perlu ditingkatkan agar semua yang bertemu bisa mendapatkan tempat meskipun datang ke resto di atas jam 12,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9967647790908813,Facilities & Amenities,Facilities & Amenities (0.98); Food & Beverage (0.90); Room Quality & Comfort (0.76)
Fotomugrafi,2025,5,Saya memiliki tinggal yang luar biasa di hotel Vasaka Jakarta staf sangat ramah dan perhatian selalu memastikan saya merasa nyaman kamar-kamarnya luas bersih dan modern dengan semua fasilitas yang Anda butuhkan untuk bisnis dan rekreasi sarapan buffet menawarkan berbagai pilihan lezat dan lokasi sangat strategis sehingga mudah untuk mendapatkan di sekitar kota secara keseluruhan itu adalah tempat yang sempurna untuk tinggal jika Anda mencari kenyamanan layanan besar dan kenyamanan masuk jakarta,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9993546605110168,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Facilities & Amenities (0.99); Service Quality (0.98)
Tria Ramadhani,2025,5,Semua sudah oke untuk semua pelayanan ruang pertemuan makanan sarapan makan siang makan malam pilihan menu banyak dan rasanya pun enak enak kamar bersih luas pelayanan terbaik oleh mas ramadhan,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9992344379425049,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Guest Experience (0.98)
Vira Febi Pebrian,2025,5,sangat puas menginap di hotel vasaka dari awal datang sampai memeriksa keluar pelayanannya luar biasa terima kasih banyak untuk mr daniel abel yang selalu memastikan kebutuhan kami terpenuhi dengan cepat dan dengan sikap yang sangat ramah pekerjaan yang baik dan teruskan layanan yang hebat,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9984318614006042,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (0.99); Service Quality (0.99)
Eko Santoso,2025,5,Pertama kali di Vasaka lokasi yang cukup strategis makanan secara keseluruhan oke staf nya ramah dan ceria kak agi resepsi bagus sih vasaka,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9991694688796997,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.98); Service Quality (0.97); Service Efficiency & Responsiveness (0.96)
Geralda Abigail,2025,5,Kamar yang kami tinggal masuk bersih dan rapi sangat luas juga staf yang hangat dan ramah membantu kami lancar dan saya dibantu oleh Mr Daniel Abel untuk memfasilitasi administrasi dan layanan selama tinggal saya di hotel,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9957321286201477,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Room Quality & Comfort (1.00); Staff Conduct & Hospitality (0.99)"
Gani Abdul,2025,5,Pelayanan di hotel sangat bagus dan menarik perhatian pengunjung disini juga tersedia restoran yang menyajikan beraneka ragam makanan yang sangat lezat dan tentunya bergizi kamar hotelnya sangat bagus dan mendapat pemandangan yang sangat sangat luar biasa indahnya,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9993602633476257,Service Quality,Service Quality (1.00); Facilities & Amenities (0.98); Staff Conduct & Hospitality (0.98)
hidir siregar,2025,5,revieu pagi ini dihandle k dinda yabg hamble dan supel makanan nya baby dan variatif tinggal pilih sesuai selera aju coba bubur ayam paforitku kalau sarapan di kredit coba juga anekanpasta nya rasa bisa diterima liaahku yang irg besok medan mau coba yang lain makanannya buaanyaak dan enak2,BUMN,Bintang 4,VasakaHotelJakarta,positive,0.9982774257659912,"Loyalty, Recommendation & Appreciation","Loyalty, Recommendation & Appreciation (0.92); Booking & Reservation Experience (0.88); Guest Experience (0.83)"
