User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Nadia Fauzatus Sabila,2025,5,Pelayanan bagus banget gercep kebersihan baik selalu ditawarin buat rumah menjaga parkir mobil motor lumayan luas dan yang lebih gong mobil baru selalu dalam keadaan bersih setiap hari setiap mau menggunakan stafnya rajin banget buat bersihin,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.998206615447998,Service Quality,"Service Quality (1.00); Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99)"
Nouval Hanif,2025,2,untuk lokasi hotel sangat strategis untuk luas kamar deluxe juga sangat luas namun untuk lampu kamar terasa gelap terutama di kamar mandinya tidak hanya itu udara panasnya tidak keluar meskipun sudah diperbaiki teknisi untuk sarapan sangat menyayangkan tidak tidak ada buffet dan hanya porsi kecil diantar ke kamar padahal kamar banyak terisi alasannya resto sedang pemeliharaan tapi terlihat tidak ada pekerjaan apa apa di restonya semoga ada perbaikan karena untuk kamarnya oke banget sebenernya,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.7127252817153931,Facilities & Amenities,Facilities & Amenities (0.84); Food & Beverage (0.65); Guest Experience (0.63)
Dimas Pamungkas,2025,4,liburan ke jogja sama anak istri kamar luas cocok buat keluarga hanya ada kendala di tempat sampah udara tidak mengalir lainnya oke,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.9976621866226196,Family & Group Friendly,Family & Group Friendly (0.98); Facilities & Amenities (0.96); Guest Experience (0.88)
Re. H,2025,4,lokasinya mudah ditemukan banyak makanan dan minuman toko perlengkapan yang menjual peralatan yang dibutuhkan anak kos juga ada di daerah ini tersedia televisi digital juga wifi yang lancar,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.9947839379310608,Food & Beverage,Food & Beverage (1.00); Facilities & Amenities (0.99); Digital Connectivity & Technology (0.97)
Puspita Sari,2025,4,Tempatnya bersih pelayanannya baik ada resto tapi makannya dianter ke kamar,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.9912784695625305,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.99); Facilities & Amenities (0.99)"
X Rabbit,2025,4,Sbelumny review k sni sarapan d bawah sekarang nginep d sni sarapan d anterin dengan lauk telur temppe n mie tanpa buah minum teh mngkin untuk hotel seharga hampir 500 dengan makan gini kurasa trlalu mahal sabun d kamar mandi pun sabun n shampo semua masuk satu untuk kamar tv tidak bisa internet kasur nyaman kamar mandi nyaman,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.9961965084075928,Facilities & Amenities,"Facilities & Amenities (0.94); Pricing & Value for Money (0.78); Cleanliness, Hygiene & Maintenance (0.77)"
succbf 31,2025,3,Hotel harga 450k sangat tidak direkomendasikan untuk saya pribadi apalagi yang bawa bayi saya dateng dengan istri dan anak dan mengambil kamar termasuk sarapan sarapan nya nasih kotak njirr,BUMN,Bintang 5,BrothersBabarsariYogyakarta,negative,0.9965583682060242,Pricing & Value for Money,Pricing & Value for Money (0.96); Food & Beverage (0.92); Facilities & Amenities (0.92)
Sherly Handayani,2025,5,hotelnya oke dari kamar lantai atas bisa bisa melihat kota jogja harga sesuai dengan kualitasnya lokasi strategis banyak yang menjual makanan ada atm bca juga satpam sgt gercep waktu mobil mau keluar masuk parkir,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.9986233711242676,Service Quality,Service Quality (0.99); Pricing & Value for Money (0.99); Facilities & Amenities (0.98)
Ayu Kartika 'Tyce,2024,5,ini hotel letaknya lumayan rameh banyak jajanan kuliner yang enak2 didaerah situ ada mesin atm bca ada indomaret sebelah hotel nya yaa walau jauh dari malioboro layak dicoba jg ini kemarin musim tinggi tgl 28 29 des 24 harganya 650rb itu menurut kami paling murah ya di antara hotel yang biasa kami bobo numpang klo normal hari pasti harganya lebih murah lg mantab stafnya semua ramah2 yaa kamarnya lumayan nyaman luas bersih perlengkapannya hanya sabut sikat gigi dan tisu toilet ya cocok yang buat numpang bobo lebih banyak transit mobilnya dibersihin,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.9993485808372498,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.77); Pricing & Value for Money (0.74); Service Quality (0.72)
Novita Dina Damayanti,2025,5,kamar bersih layanan ramah lokasinya juga strategis,BUMN,Bintang 5,BrothersBabarsariYogyakarta,positive,0.9991150498390198,Room Quality & Comfort,Room Quality & Comfort (1.00); Service Quality (0.99); Facilities & Amenities (0.99)
