User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Saifudin Indra Purwanto,2025.0,5,Halo ada saya saat ini di sini saya benar-benar menikmati tinggal di sini saya punya 3 hari 2 malam fasilitas nyaman dan menyenangkan Anda tidak perlu keluar dari hotel karena semua disediakan di sini hotel ini disediakan pusat kebugaran ruang pertemuan restoran dan yang paling penting kita mendapat hiburan oleh karaoke stasiun dan jadi comfee jangan lupa untuk mencoba layanan kamar rekomendasi saya adalah soto banjar datang mencoba,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9986081719398499,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (0.98); Family & Group Friendly (0.98)
Haju 1234,2025.0,5,di bagian kamar sudah lengkap di menyediakan alat mandi dll juga tersedia makanan ringan minuman jika saat waktu penghuni kamar membutuhkan kemudian hotel sudah menerapkan diet minimalisir plastik dengan atau tanpa ada udara mineral di kamar,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9020293951034546,Facilities & Amenities,Facilities & Amenities (0.99); Food & Beverage (0.94); Service Efficiency & Responsiveness (0.90)
Farid Alwanny,2025.0,5,kamar nya oke banget cocok buat transit nyaman bersih pelayanan nya juga oge gercep dan kru nya juga sopan2 banget setiap berpapasan pasti di greeting sama kru nya,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9991507530212402,Room Quality & Comfort,"Room Quality & Comfort (0.98); Service Quality (0.97); Cleanliness, Hygiene & Maintenance (0.97)"
try budi,2025.0,5,pengalaman pertama menginap di hotel dalam bandara cordia hotel ini termasuk hotel kompak tapi kita dibuat tetap bisa merasakan pengalaman menginap di hotel keren dalam bandara,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9968462586402893,Guest Experience,Guest Experience (0.87); Room Quality & Comfort (0.82); Facilities & Amenities (0.67)
Kezia Putri,2025.0,3,Salah satu dari dua hal yang baik tentang hotel ini adalah bahwa itu adalah di dalam bandara jadi jika Anda perlu masuk bandara awal atau mendarat terlambat itu adalah pilihan yang baik tapi bahkan kemudian mereka menghancurkan hal yang baik pertama ini dengan mengenakan biaya Anda 50 ribu rupiah jika Anda ingin mengakses gerbang boarding dari belakang hotel segera jika tidak Anda perlu berjalan lebih lama untuk sampai ke gerbang boarding yang konyol untuk harga yang kita bayar kamar adalah di bawah standar kamar mandi tidak bersih baik wastafel adalah kuning ada serangga masuk tisu saya roll dan kamar mandi kecil di sana,BUMN,Bintang 5,CordiaBanjarmasin,negative,0.9949541687965393,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.99); Pricing & Value for Money (0.97); Facilities & Amenities (0.76)"
Dey Frog,2025.0,5,staf sangat ramah kamar bersih dan udara mereka sangat strategis dan memudahkan untuk penerbangan pagi,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9994444251060486,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Room Quality & Comfort (0.99)
Anton Priyono,2025.0,5,pengalaman pertama menginap di hotel dalam bandara cordia hotel ini termasuk hotel kompak tapi kita dibuat tetap bisa merasakan pengalaman menginap di hotel reguler ukurannya cukup tidak sempit kamar mandi juga masih tergolong nyaman makanan sarapannya juga banyak pilihan dan yang perlu diapresiasi adalah layanan dari stafnya sangat baik kekurangannya yaitu karena lokasi di dalam bandara jika mau membeli makanan pilihannya cuma yang tersedia di dalam bandara saja secara keseluruhan dianjurkan ini cordia,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9978502988815308,Service Quality,Service Quality (0.99); Facilities & Amenities (0.98); Staff Conduct & Hospitality (0.92)
Nabsat 19,2025.0,5,kamar bersih ac pusat dingin tidak ada bau apek khas ac pusat pelayanan ramah ada layanan cek masuk kan bagasi serta ada layanan jalur masuk tembusan yang byr nya 50rb per kepala untuk bagasi sedangkan untuk jalur tembusan bayarnya 50rb per kepala makanan khas lounge bandara yang bebas makan sepuasnya namun menuunya khas dunia perhotelan,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9988600015640259,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.98); Facilities & Amenities (0.97); Service Quality (0.95)"
Lazarus Christova,2025.0,3,hotel bersih pelayanan baik minusnya nya berisik sulit untuk tidur disini antara jam 04 00 22 00 suara layanan pnggilan dari bandara sangat terdengar,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.8721752166748047,Service Quality,"Service Quality (0.98); Facilities & Amenities (0.94); Cleanliness, Hygiene & Maintenance (0.92)"
Petrisia Inriany,2025.0,5,Pelayanan oke tapi kamarnya tidak kedap suara tapi sejauh ini baik si,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.6793168187141418,Guest Experience,Guest Experience (1.00); Service Quality (1.00); Facilities & Amenities (0.98)
Komang Pradnyana,2025.0,2,hotel di dalam lingkungan bandara syamsudin noor banjarbaru lokasi masuk melalui pintu kedatangan ada tangga dan lift untuk bisa ke resepsionis di lantai 2 waktu check masuk diminta untuk deposit 50rb karena untuk buat jaga jaga jika ada pemakaian mini bar di kamar untuk memeriksa masuk pesawat bisa dibantu di resepsionis ya tunjukkan saja saja boarding pass nya nanti juga ada tempat pemeriksaan barang pakai x ray di pintu keluar hotel btw kamarnya saya di 307 itu cukup jauh dari resepsionis kira2 melewati lorong sepanjang 300 400 meter lah lumayan juga jauhnya untuk kamar saya sih cukup bersih dan luasnya cukup buat saya cuma,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.609720766544342,Pricing & Value for Money,Pricing & Value for Money (0.62); Facilities & Amenities (0.60); Check in/out Experience (0.53)
noorlydia febrianty,2025.0,5,Tempatnya strategis bersih dan nyaman cocok untuk transit,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.999161958694458,Room Quality & Comfort,"Room Quality & Comfort (1.00); Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
NATASHYA TOBING,2025.0,4,Tempatnya strategis bersih dan nyaman cocok untuk transit,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.999161958694458,Room Quality & Comfort,"Room Quality & Comfort (1.00); Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
Riefky Prajasa,2025.0,5,sudah beberapa kali menginap di sini dan selalu puas pertama karena pastinya lokasi di dalam bandara jika penerbangan pagi tidak perlu khawatir karena ada akses khusus penghuni hotel untuk langsung menuju ruang tunggu melalui pintu pemeriksaan sendiri kedua udara panas tidak pernah gagal mereka dan panas banget ketiga karena kamar bersih dan nyaman kekurangannya mungkin juga ada beberapa ya pertama makanannya kurang bervariasi jadi jika menginap beberapa malam nanti sarapannya menuunya itu saja suara pengumuman keberangkatan dan kedatangan kedengaran banget sampai di kamar tidur jadi agak tidak nyaman tapi agak untung juga sih jadi bikin tidak terlambat naik pesawat,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9973711967468262,Facilities & Amenities,"Facilities & Amenities (0.97); Location, Accessibility & Parking (0.88); Cleanliness, Hygiene & Maintenance (0.86)"
Ronald Kurniawan,2024.0,5,Kondisi kamar bersih rapi dan sedikit sempit kamar karena memang lokasi di dalam bandara fasilitas dalam kamar ada TV udara panas di toilet dispenser untuk pengisian minum udara meja dan kursi fasilitas lain ada tempat fitness dan gym ada kafe di dalam hotel ada akses langsung ke pintu bandara dari hotel pelayanan cepat baik ramah dan responsif lokasi sangat strategis karena berada di dalam bandara tidak takut untuk telat naik pesawat,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9991361498832703,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
Syifa Al-Fathir M,2023.0,5,lokasi hotel ini berada di daerah dalam bandara nyaman banget karena terhitung hotel baru tidak berharap akan sebersih ini dan pelayanannya juga cpt dan ramah ramah menu sarapannya memang tidak terlalu bervariasi tapi lumayan enak hanya jarak dari lobi ke kamar memang cukup jauh karena luas memang tapi layak untuk yang ada penerbangan pagi banget atau waktu waktu nanggung karena hotel ini bisa memesan untuk transit atau penuh hari,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.998855710029602,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.99); Facilities & Amenities (0.97); Service Quality (0.97)
Nadira Nur'aini,2024.0,5,nyari tempat istirahat yang dekat bandara harga 300 0 untuk 6 jam oke lah kamarnya nyaman cukup bersih fasilitas kitnya lumayan di lorong disediakan dispenser udara cuma untuk pembatalan suaranya agak kurang,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.998596727848053,Facilities & Amenities,Facilities & Amenities (0.98); Pricing & Value for Money (0.92); Room Quality & Comfort (0.92)
penggarrys,2025.0,5,Pengalaman luar biasa hanya butuh satu detik untuk masuk ke ruang tamu,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9776620268821716,Guest Experience,Guest Experience (0.75); Facilities & Amenities (0.74); Service Efficiency & Responsiveness (0.74)
chairunisa daulay,2025.0,5,hotel di dalam bandara yang sangat nyaman,BUMN,Bintang 5,CordiaBanjarmasin,positive,0.9989418387413025,Room Quality & Comfort,Room Quality & Comfort (0.96); Service Quality (0.95); Facilities & Amenities (0.94)
