User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Rick Antonio,2025,4,lokasi asri dilengkapi fasilitas lapangan golf ev pengisian musholla kolam renang strategis dipusat kota bersih bangunan lama dengan pemandangan gunung,BUMN,Bintang 5,RoyalKrakatauCilegon,positive,0.999487042427063,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.95); Cultural & Heritage Experience (0.93)"
Suprihanto Notodarmojo,2025,1,Saya berkunjung untuk urusan bisnis hotelnya bagus kamar bersih juga kamar mandinya sarapan juga menu lengkap dan enak hanya lokasinya jauh dari keramaian cocok bagi yang mencari ketenangan,BUMN,Bintang 5,RoyalKrakatauCilegon,positive,0.9991717338562012,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Service Quality (1.00)"
FERA WATI,2025,1,Saya sangat kecewa sama pelayanan hotel ini tidak responsif terhadap komplain pelanggannya yang lebih fatal lagi saya cukup terkejut karena kunci kamar saya bisa di buka oleh kunci kamar lain padahal hotel ini bukan hotel biasa dengan kamar kelas deluxe saya tidak mendapatkan pengalaman pelayanan yang baik bahkan keamanannya perlu dipertanyakan padahal hotel ini bukan hotel murah,BUMN,Bintang 5,RoyalKrakatauCilegon,negative,0.9994614720344543,Guest Experience,Guest Experience (0.97); Safety & Security (0.82); Pricing & Value for Money (0.81)
triyana damayanti,2025,5,hotel yang sangat saya rekomendasikan untuk kalian tempat nya nyaman makanan yang enak dan staf ramahh sangat membantu khusus nya mba devii layanan baik trimakasihh akan kembali kesinii,BUMN,Bintang 5,RoyalKrakatauCilegon,positive,0.9991706609725952,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Service Quality (0.99)
Andriyanto Hadiawan,2025,5,dengan ruang tipe kamar pondok secara umum bersih namun harus di perawatan dulu agar tidak bau rokok karena jenis ini adalah bebas merokok makanan untuk sarapan banyak pilihan ruang pertemuan safir 1 cukup luas dengan pemandangan golf baru,BUMN,Bintang 5,RoyalKrakatauCilegon,positive,0.9985402822494507,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Family & Group Friendly (0.99)"
Gina Prameswari,2025,5,Salah satu hotel legend di cilegon nyari yang kamar dengan pemandangan lapangan golf tapi sayangnya tidak kebagian karena lg musim puncak dpt kamar yang terasa lumayan tua di jam maghrib menuju malam listrik sempat padam bbrp kali tapi langsung nyala lagi,BUMN,Bintang 5,RoyalKrakatauCilegon,positive,0.9898443222045898,Service Quality,Service Quality (0.43); Pricing & Value for Money (0.36); Facilities & Amenities (0.30)
fari yono,2025,5,hanya di ruang dansa tidak menginap tak bisa kasih ulasan kamar layanan untuk lokasi sangatlah saat sebelah masjid baru ada,BUMN,Bintang 5,RoyalKrakatauCilegon,positive,0.9176976084709167,Facilities & Amenities,Facilities & Amenities (0.64); Guest Experience (0.33); Religious & Halal Features (0.30)
ayu wira,2025,5,Dpt kamar yang pondok kamar lama sih tapi ya msh oke lah sarapan oke cukup variatif samoe ada sushi segala kolam renang nya ada 3 buat anak2 jg enak terpisah cuma kursi nya terbatas ada burung kecil lumayan menghibur buat kotak,BUMN,Bintang 5,RoyalKrakatauCilegon,positive,0.9987075328826904,Facilities & Amenities,Facilities & Amenities (0.93); Family & Group Friendly (0.90); Room Quality & Comfort (0.74)
Shekar Marimuthu,2025,2,tempat ini memiliki kamar masuk hotel utama dan juga di luar hotel jadi Anda perlu memeriksa kamar mana Anda arr mendapatkan kamar yang saya memesan sekitar 200 meter dari hotel utama dan adalah jenis teras unit perabot tua dan kebersihan di bawah harapan agak menyeramkan di malam hari mungkin kamar bangunan hotel lebih baik tapi pasti tidak unit mendarat,BUMN,Bintang 5,RoyalKrakatauCilegon,negative,0.9344626665115356,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Booking & Reservation Experience (0.96)"
Yuli Anto,2025,5,secara keseluruhan hotel royal krakatau adalah pilihan terbaik di cilegon untuk perjalanan bisnis maupun liburan kombinasi lokasi strategis kenyamanan kamar dan pelayanan ramah membuat saya pasti akan kembali lagi,BUMN,Bintang 5,RoyalKrakatauCilegon,positive,0.9995101690292358,Room Quality & Comfort,Room Quality & Comfort (1.00); Facilities & Amenities (1.00); Service Efficiency & Responsiveness (1.00)
