User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
nani nani,2025,5,masuk Oktober 2025 suami saya dan saya tinggal dua malam di hotel yulia masuk gorontalo masuk utara sulawesi pada perjalanan kami ke pulau una masuk tengah sulawesi kami tinggal satu malam lagi di hotel yang sama pada perjalanan kami kembali dari pulau una kedua kali kami meminta dan diberikan check masuk awal dan check keluar awal ini untuk mengakomodasi waktu kami naik kapal umum kmp tuna tomini dan pada penerbangan kami pulang masuk selain jam fleksibel hotel yulia memungkinkan kami untuk mengambil bagian dari berbagai hidangan untuk sarapan kami yang favorit saya adalah kwetiau goreng,BUMN,Bintang 5,YuliaGorontalo,positive,0.6643292307853699,Check in/out Experience,Check in/out Experience (0.99); Booking & Reservation Experience (0.92); Facilities & Amenities (0.80)
Mergo Tresna Abdela,2025,5,pengalaman luar biasa menginap di sini hotel bersejarah di provinsi gorontalo walaupun harus menaiki tangga untuk ke lantai 2 tapi pelayanan resto housekeeping sampai kantor depan semuanya ramah dan super membantu kamarnya luas dan ada jendela serta pintu ke balkon kecil,BUMN,Bintang 5,YuliaGorontalo,positive,0.9994055032730103,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Guest Experience (0.98)
Putri Wulan,2025,5,Yulia hotel yang sangat modern dan vibe yang sangat menawan pelayanan nya ramah dan cepat membuat siapa saja nyaman pasti kamar nya bersih dan bagus,BUMN,Bintang 5,YuliaGorontalo,positive,0.9993637204170227,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Ambience & Design (0.99); Staff Conduct & Hospitality (0.99)
Harit Heru Andiwibowo,2025,5,sangat nyaman di hotel ini dapat rekomendasi dari teman langsung di berikan nomor telepon baru terimakasih kepada ibu citra yang baik serta ramah serta para pelayan melayani sangat baik 4 malam menginap di hotel ini seperti menyegarkan meskipun lelah dalam menjalankan tugas terimakasih bu citra terimakasih kepada seluruh staf hotel semoga lelah mereka menjadi lillah buat keluarga serta berkat aamiin yra,BUMN,Bintang 5,YuliaGorontalo,positive,0.999016284942627,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Quality (0.99); Family & Group Friendly (0.99)
Nazwa Tabo,2025,5,hotelnya modern dengan vibes yang menawan serta staf yang sangat ramah dan murah senyum membuat nyaman,BUMN,Bintang 5,YuliaGorontalo,positive,0.9992965459823608,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Ambience & Design (0.98); Service Quality (0.96)
Dina Alfiah,2025,3,untuk fasilitas hotel sudah bagus dan nyaman tapi respon dari admin hotel ketika di chat sangat tidak ramah terhadap pelanggan mungkin bisa ditingkatkan pelayanan dalam memberalan pertanyaan pelanggan karena itu juga menjadi nilai penentu pelanggan akan memesan layanan kamar dll atau tidak,BUMN,Bintang 5,YuliaGorontalo,negative,0.9959636926651001,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.95); Service Efficiency & Responsiveness (0.90)
uchwatul faizah,2025,5,makanan ala cartenya enak2 kamar bersih nyaman luas fonya ramah2,BUMN,Bintang 5,YuliaGorontalo,positive,0.9994988441467285,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99); Service Quality (0.97)"
Hijrah Hasim,2025,5,hotelnya sangat modern dan stafnya cekatan dalam membantu i love u yulia,BUMN,Bintang 5,YuliaGorontalo,positive,0.9993776679039001,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.98); Staff Conduct & Hospitality (0.97); Service Quality (0.96)
Julius Amril,2025,1,Maaf saya tidak pergi di hotel ini saya ingin melanjutkan ke hotel ini tapi di bilang sudah tidak bisa mengatakan sudah penuh padahal saya belum habis waktu dan ingin melanjutkan tapi sudah berkata melalui telepon tidak boleh terhubung sudah penuh kata petugas lobi menelpon ke kamar seharusnya dia bertanya dulu apakah saya ingin melanjutkan ke hotel ini atau tidak Masukan jika saya ingin menerima pesanan dari luar tolong pastikan dulu apakah orang yang ingin melanjutkan masih ingin terhubung atau tidak,BUMN,Bintang 5,YuliaGorontalo,negative,0.988477349281311,Guest Experience,Guest Experience (0.78); Booking & Reservation Experience (0.74); Check in/out Experience (0.67)
Ari idqo,2025,5,bagus cuma minus di udara yang kurang deras di atas semua mantab,BUMN,Bintang 5,YuliaGorontalo,positive,0.9775838851928711,Facilities & Amenities,Facilities & Amenities (0.60); Sustainability & Environmental Quality (0.56); Pricing & Value for Money (0.55)
Rahma Wati,2025,5,pelayanan ramah kamar bersih makanan enak2 insya allah ke sini lg nginap klo ke gorontalo,BUMN,Bintang 5,YuliaGorontalo,positive,0.9993150234222412,Service Quality,"Service Quality (0.99); Cleanliness, Hygiene & Maintenance (0.98); Room Quality & Comfort (0.96)"
ТСЖ МАЯК,2024,5,Tempatnya bagus dan terlihat baru itu tidak mungkin sebuah hotel besar tapi agak kecil dan nyaman kamar kami memiliki luas dan sarapan baik kebutuhan kami dihadiri oleh staf resepsi 100 pemuda bernama Clief sangat membantu ketika datang untuk bernegosiasi perjalanan taksi jarak jauh dan mengurutkannya keluar dengan tak terduga pembalap taksi masuk akhir dia menang tapi itu tidak begitu lurus ke depan atau mudah jempol ke atas dan topi saya off,BUMN,Bintang 5,YuliaGorontalo,positive,0.9903594255447388,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.95); Guest Experience (0.95)
