User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
rivo tentero,2025,5,kamarnya bersih pelayanannya baik dan rama kadang dapat hotel yang menyediakan strika dikamar dan alarm sekaligus speaker bluetooth tempatnya nyaman,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9986427426338196,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99); Service Quality (0.99)"
Nadia Dewi dewi,2025,5,Hotel nya bagus dan kolam renang nya luas cocok ajak anak anak juga sarapannya enak anak ramah juga dan bisa memesan makanan indonesia mbak fina dari restoran juga melayani dengan ramah dan cekatan tidak banyak basa basi tapi cukup untuk bikin saya ingin kembali lagi,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9995176792144775,Facilities & Amenities,Facilities & Amenities (1.00); Family & Group Friendly (0.99); Service Efficiency & Responsiveness (0.99)
Redo Hutauruk,2025,5,lokasi strategis pelayanamnya memuaskam tanggap cepat saya minta bantu apapun cepat sekali tanggapannya untuk resto yang di lantai 1 jika tidak salah nama jejaton restoran pelayanannya bagus sekali terutama petugas resto yang namanya kak tari amat sangat ramah menanyakan selalu kebutuhan tamu dan membantu tamu dengan sangat baik jika ke bali pasti lagi menginap di fairfield sunset road,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9993219375610352,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (0.99); Service Quality (0.99)
indah tukiman,2025,5,Saya paling suka ada setrikaan loh di kamar terbaik buat saya yang selalu mengemas baju dinas di tas punggung,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9988717436790466,Facilities & Amenities,Facilities & Amenities (0.91); Service Quality (0.73); Service Efficiency & Responsiveness (0.68)
Niken Lisanty,2025,5,Dekat dengan RS dan Lippo Mall dan untuk makanan cukup beragam mereka menyediakan menu khusus sesuai dengan Citarasa lokal setiap harinya kamar luas adabalkon untuk area merokok gym buka 24 jam cukup menyenangkan tinggal di sana,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9994046688079834,Facilities & Amenities,Facilities & Amenities (0.99); Personalized & Special Services (0.99); Guest Experience (0.98)
Eva Yanti,2025,5,menginap di sini dengan teman yang lain sekitar 1 minggu lalu karena urusan kerja dan secara keseluruhan puas banget kamarnya bersih nyaman cocok untuk istirahat setelah aktivitas sehari-hari yang paling berkesan staf nya ramah khususnya mbak fina di bagian sarapan selalu bantu dengan sigap dan tersenyum setiap hari juga ada menu khusus sarapan jadi tidak bosen dianjurkan buat yang cari penginapan nyaman dan pelayanan oke,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9992320537567139,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Quality (0.98); Service Efficiency & Responsiveness (0.97)
Nugroho Joko Santoso,2025,5,Kamar sudah baik tapi seharusnya bisa lebih bersih lagi makanannya enak tidak membosankan untuk tinggal 1 minggu nasi goreng enak,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9943385720252991,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Service Quality (0.95)"
sukses jaya selalu,2025,5,lokasi di jalan terbenam di belakang lippo mall dan belakang siloam akses rumah sakit tidak macet walaupun geng tidak terlalu besar trima kasih mr tommy kantor depan sudah bantu mudah cek masuk dan upgrade kamar kita dapat melihat kolam dan lantai atas pemandangan sangat bagus dari balkon trima kasih pada ulan bagian resto sarapan untuk membuat layanan yang tak terlupakan di tawari sarapan khusus,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9995030164718628,Service Quality,Service Quality (0.97); Facilities & Amenities (0.97); Family & Group Friendly (0.95)
Anastasia Satyawan,2025,5,Terima kasih Fairfield kuta terimakasih buat segala perhatian dan keramahan yang penuh selama saya menginap di sini terimakasih juga buat kejutan ultahnya sukses selalu buat Fairfield marriot chain memang tidak pernah gagal soal keramahan nya suka itu,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9983571171760559,Guest Experience,Guest Experience (0.96); Service Quality (0.95); Staff Conduct & Hospitality (0.92)
Budiartha Prakosa,2025,5,lokasi mungkin agak jauh dari pantai sedikit jauh juga jika mau jalan kaki untuk mencari makan disekitar tapi soal kamar dan layanan luar biasa terbaik ini fairfield,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9992777705192566,Service Quality,Service Quality (1.00); Facilities & Amenities (0.99); Guest Experience (0.99)
Muhammad Nurul Ikhwan,2025,5,Fairfield oleh marriott bali kuta adalah pilihan akomodasi yang sangat solid untuk perjalanan di bali terutama jika Anda mencari kombinasi kenyamanan marriott dengan lokasi yang cukup strategis hotel ini menawarkan pengalaman menginap yang bersih dan modern kamar kamarnya didesain dengan minimalis namun fungsional menyediakan fasilitas lengkap yang dibutuhkan untuk istirahat yang nyaman setelah sehari-hari menjelajahi bali kolam renang outdoornya juga cukup menyenangkan untuk bersantai meskipun tidak tepat di tepi pantai lokasi di jalan terbenam jalan membuatnya mudah diakses dari berbagai arah dan dekat dengan pusat perbelanjaan serta tempat makan di kuta stafnya sangat ramah dan responsif siap membantu setiap,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9994463324546814,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.97); Room Quality & Comfort (0.97)"
Gung Banan,2025,2,keamanan tidak ada sopan santun ngasih tau bukan baik malah heh kayak ngajak ngomong hewan tidak bermoral,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,negative,0.9994677901268005,Safety & Security,Safety & Security (0.92); Management & Policy Issues (0.63); Guest Experience (0.41)
Komang Agus,2025,5,sangat puas dan sangat nyaman menginap di sini mulai dari kamar yang bersih dan makanan yang enak staf nya juga ramah,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9993579983711243,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Room Quality & Comfort (1.00)"
Dhea Anggita,2025,1,pelayanan tidak bagus sudah pesan lewat online dan sudah dipotong poin tapi dipersulit oleh karyawan resepsionis nya sudah pernah nginap disini sekali dan aman2 saja dengan resepsionis yang agak sedikit seperti ladyboy dipersulit dan tidak bisa cek masuk tapi titik terpotong mau pesan melalui pembayaran dengan kartu kredit juga katanya tidak bisa tidak menghargai pelanggan dengan baik,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,negative,0.9913382530212402,Guest Experience,Guest Experience (0.94); Booking & Reservation Experience (0.74); Pricing & Value for Money (0.72)
azzahra aisha,2025,5,tempatnya asri kolam renangnya tidak dalam pelayananya ramah layanan nya baik makananya juga legih,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliKutaSunsetRoad,positive,0.9983186721801758,Facilities & Amenities,"Facilities & Amenities (0.99); Service Quality (0.97); Cleanliness, Hygiene & Maintenance (0.96)"
