User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
W K,2025,5,Layana sangat baik dan ramah sekali dari kantor depan ke staf restoran karena sakit beberapa hari di hotel staf restoran sangat membantu di bikinin air jahe dan sup herbal sangat membantu hari terakhir karena tidak bisa kebawah sarapan juga di antar ke kamar sangat baik sekali pelayanannya,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9984116554260254,Service Quality,Service Quality (1.00); Staff Conduct & Hospitality (1.00); Food & Beverage (1.00)
Didimusrasdalima Rasdalima,2025,3,Hotel terlihat bagus tapi tidak punya cukup untuk lahan parkir hanya bisa 2 atau 3 mobil saja menyusahkan dalam menunggu atau menjemput tamu,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,negative,0.9885250926017761,Facilities & Amenities,"Facilities & Amenities (0.91); Location, Accessibility & Parking (0.81); Ambience & Design (0.78)"
VITA LESMANA,2025,5,staf hotel sangat ramah dan membantu petugas kebersihan bernama nuarta bekerja dengan sangat teliti perfeksionis dan sopan kamar selalu bersih rapi dan nyaman setiap hari terlihat bahwa dia sangat peduli terhadap pekerjaannya terima kasih atas pelayanan yang baik terutama dari pak nuarta,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9988993406295776,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Staff Conduct & Hospitality (1.00); Room Quality & Comfort (1.00)"
Ferdi Emor15,2025,2,Tolong di pikirkan untuk tempat parkir keamanan ada yang tidak ramah 1 org bikin sopir pusing pindah2 mobil sana sini klo memang mobil gede gaboleh parkir bilang dari awal jangan suru parkir terus suru pindah sana sini,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,negative,0.9987947940826416,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.85); Safety & Security (0.41); Management & Policy Issues (0.37)"
Bob Firdauz,2025,5,kamar nyaman makanan enak pelayanan sangat baik cuma tempat parkirnya sempit,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9986525177955627,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Guest Experience (0.99)
Agus Sutejo,2025,5,sungguh luar biasa stafnya sangat ramah dan sopan kamarnya sangat bersih dan wangi kamar mandinya juga sangat bersih dan rapi lokasi hotel mudah dijangkau dengan mobil atau motor dan lokasinya juga dekat dengan berbagai pusat keramaian kuta legiun denpasar pastinya fairfield legiun akan menjadi hotel favorit saya untuk liburan di bali,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9995293617248535,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Staff Conduct & Hospitality (1.00); Service Quality (0.99)"
yan adhitya wesda wardhana,2025,5,lokasi tidak terlalu strategis parkir terbatas tapi gratis valley dan overall bagus,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9988584518432617,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.97); Facilities & Amenities (0.97); Service Quality (0.93)"
Arifien M.,2025,3,kamar nyaman sarapan pagi oke lah walau tidak wow banget pelayanan petugas sarapan pagi tidak konsisten sih di hari kedua tidak ditawarin kopi dan di rempat minum kopi tidak ada kopi yang ada laki-laki di itu proses cek outnya lama karena mereka akan memeriksa detail kekurangan dan kerusakan di kamar dulu seperti halnya saat tinggal di villa jadi jika ada kerusakan atau kekurangan mereka akan dikenakan biaya ribet kan jika jam puncak banyak tamu gw tinggal saja di keburu jemputan dan menunggu karena apa jemputan mobil tidak bisa menunggu lama di lobi yang hanya berkapasitas tamu 1 mobil saja tapi diminta menunggu untuk membuat check out kamarnya saat memeriksa keluar tidak sin,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,negative,0.962405264377594,Check in/out Experience,Check in/out Experience (0.99); Guest Experience (0.98); Facilities & Amenities (0.98)
Galih Sasono,2025,5,hotel nyaman pelayanan baik makanan enak,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9982717037200928,Service Quality,Service Quality (1.00); Facilities & Amenities (0.98); Guest Experience (0.98)
jessica melianti,2025,5,hotelnya nyaman lengkap rekomendasi untuk selanjutnya,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9992890357971191,Facilities & Amenities,Facilities & Amenities (0.98); Service Quality (0.93); Room Quality & Comfort (0.91)
Salman Alfarizi,2025,1,hari pertama menginap layanan petugas hotel sangat buruk khususnya di restoran saat sarapan saya di pengguna oleh wna di meja dekat kolam yang pada saat itu saya sudah lebih dulu duduk di sana dan makanan saya sudah di meja petugas hotel hanya bilang emang bule disini suka melihat dan sebelumnya juga petugas hotel sudah info bahwa tidak ada sistem pemesanan tempat di restoran dan gratis mau duduk dimana akhirnya saya harus pindah meja dari meja saya sebelumnya hahaha jadi lucu mobil bintang 1 kapok mana sudah memesanan 2 malam lol layanan ke wna daripada wni,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,negative,0.9950628876686096,Guest Experience,Guest Experience (0.71); Food & Beverage (0.56); Facilities & Amenities (0.53)
Oktaviani Darsono,2024,5,Pelayananya yang terbaik sangat luar biasa mulai dari kantor depan sampai housekeeping ramah sekali termasuk minuman yang nikmat lemon lemon grass gingger walaupun parkir kecil namun tidak masalah karena petugas lembah selalu ada untuk bantu parkirkan mobil untuk kamar nyaman sekali ac air panas wifi semua berfungsi baik sarapannya menu enak banyak variasi petugas hotel pun sigap mengambil piring dan gelas kosong dan kemudian pak agung supervisor resto menawarkan apakah ingin diambilkan atau berkenan dibuatkan menu lain sangat membantu mendatangi setiap meja kemarin dapat kamar kolam view cantik sekali panjang nya udara walaupun bukan poll hotel yang besar tapi untuk pela,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9990448355674744,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Staff Conduct & Hospitality (0.99)
Gresna Simanjuntak,2023,5,Salah satu hotel yang dianjurkan jika mau menginap di bali semua staf sangat hangat menyambut dari awal check masuk sampai check keluar sangat membantu kamar sangat luas bersih lengkap sama setrika ohh ya terima kasih untuk pelayanan untuk staf resto aku sangat berterima kasih karena selalu menyapa dan memberikan apa yang saya minta terimkasih buat mba dan mas nya yang sarapan nya untuk mengambil karna buru buru ngejar kapal ke pelabuhan mereka begitu manis semua sarapan nya saya suka banget sempat di sapa chef nya juga apakah nya sarapan enak atau ada permintaan harus kembali untuk,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9993271827697754,Staff Conduct & Hospitality,"Staff Conduct & Hospitality (1.00); Service Quality (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
denny yuen,2022,4,pengalaman pertama menginap di hotel ini lokasinya lumayan strategis parkir kendaraan tidak terlalu luas checkin lumayan cepat dan diberikan selamat datang minum es teh waktu itu yang menginap disini tidak terlalu banyak tamu hanya beberapa kamar saja yang dibuka untuk kamar cukup luas bersih dan nyaman aminities lengkap dan saluran tv lumayan banyak wifi lancar ada balkon kebetulan dapat kamar sudut kolam renang view kamar mandi lumayan luas dan udara panas berjalan normal hanya saja tempat tidur tutup dan bantal tutup tidak terlalu wangi untuk sarapan cukup enak,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9979740977287292,Facilities & Amenities,Facilities & Amenities (0.99); Check in/out Experience (0.97); Guest Experience (0.96)
Lucy Sumardi,2025,5,Pelayanan hotelnya bagus banget stafnya ramah dan membantu kamar nyaman dan bersih jika lokasinya dekat pantai lebih oke lagi,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9992645382881165,Service Quality,Service Quality (1.00); Staff Conduct & Hospitality (0.99); Facilities & Amenities (0.99)
Febryanto,2024,5,Hotel nyaman yang ada di legion bali fasilitas lengkap sekali ada kolam renang di tengah gedung dan restoran di sebelahnya untuk parkir memang membutuhkan usaha karena tidak terlalu luas tapi bisa menggunakan jasa pihak hotel untuk mencari parkir,KOMPETITOR,Bintang 3,FairfiledbyMarriotBaliLegian,positive,0.9991182684898376,Facilities & Amenities,"Facilities & Amenities (0.98); Location, Accessibility & Parking (0.67); Service Quality (0.63)"
