User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Weni Setiawati,2025,1,tolong diperbaiki standar pelayanannya pastikan pegawai bekerja sesuai prosedur dan standar yang memang harus disediakan di kamar jika perlu menyediakan daftar fasilitas kepada pelanggan saat memeriksa masuk dan ditempel di kamar sehingga pelanggan dapat mengecek kelengkapannya dan melaporkan jika ada ketidaksesuaian jangan sampai ketidaklengkapan barang sejak awal malah berdampak prasangka kepada pelanggan jangan sampai tamu lain juga mengalami perlakuan yang sama seperti yang saya alami hari ini sangat mengecewakan,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,negative,0.9819738864898682,Facilities & Amenities,Facilities & Amenities (0.96); Guest Experience (0.94); Service Quality (0.93)
Dimas Wahyu Wibisono,2025,5,hotel yang bagus banget punya bangunan yang menarik desainnya bagus dan unik nuansa hotel yang nyaman serta fasilitas yang dimilki juga banyak serta menarik makanan yang tersaji saat sarapan beragam dan rasanya oke banget kamar bagus dan cepat nyaman serta kelengkapan seperti amanitas juga berguna banget tidak ada komentar negatif dari saya untuk kamarnya pelaynannya sangat ramah dan membantu semua kru memberikan salam dan sapa sapa setiap bertemu vibes positif,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,positive,0.9994581341743469,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.99)
Eka Agustina,2025,5,pengalaman yang menyenangkan menginap di sini kemarin pesan yang pemandangan laut dapet kamar 626 yang menghadap langsung pantai dan kolam renang ukuran kamar standar termasuk kecil dengan harga yang ditawarkan lantainya lengket entah kenapa bekas udara laut mungkin makanan enak bisa permintaan kemarin pengen icip mie belitung langsung dibuatkan oleh pihak resto dan rasanya enak dari segi pelayanan secara umum sangat memuaskan direkomendasikan,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,positive,0.9975631237030029,Service Quality,Service Quality (0.99); Guest Experience (0.98); Facilities & Amenities (0.92)
Ruben Meyer Pandapotan Marpaung,2025,5,hotel terbaik di belitung no debate kamarnya nyaman layanan super ramah dan lokasinya tepat di pinggir pantai dan tidak jauh dari pusat kota dan yang paling berkesan tentu sarapannya sangat lengkap dan enak top,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,positive,0.999508261680603,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (0.99); Service Quality (0.99)
Natalina Banjarnahor,2025,5,kamar nya bersih dan wangi sangat suka banget sama pewangi ruangannya untuk makanan di resto oke tidak terlalu banyak tapi cukup lengkap ada pilihan jus segar yang cukup banyak layanan nya sangat top standar fairfield sepertinya oke banget untuk perhotelan pegawai nya untuk lokasi juga strategis dekat pantai dan kafe kafe lokal berikutnya ke belitung ingin menginap di sini lagi untuk mencoba mengeksplorasi pantainya,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,positive,0.9994440674781799,Service Quality,"Service Quality (1.00); Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99)"
Ai J,2025,5,sangat suka dengan keramahan staf disini dari resepsionis staf restoran hingga bagian reservasi bu kristin makanan disini enak segar banyak pilihan kamar bersih dan luas fasilitas kamar sangat lengkap termasuk kulkas dan setrikaan meskipun saya menginap di kelas kamar terendah,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,positive,0.9995054006576538,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Quality (0.99); Facilities & Amenities (0.99)
Ricky Winadi,2025,5,kamarnya nyaman pelayanannya bagus cuma lantainya lengket sepertinya kurang bersih ngepelnya jadi selama disana saya memakai sendal hotel banyak nyamuk saya sudah tepok sekitar 10 lebih nyamuk dikamar mungkin pest controlnya lebih baik lagi makanannya enak tapi variasinya kurang banyak mie belitungnya enak terima kasih,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,positive,0.9888880848884583,Facilities & Amenities,Facilities & Amenities (0.93); Service Quality (0.91); Guest Experience (0.82)
Wihatmoko Waskitoaji,2025,2,Hotel ini seharusnya bagus tapi pengalaman saya tidak bagus gelas bekas tamu sebelumnya tidak tercuci dengan bersih layout kamar tidak ada meja kursi untuk kerja kulkas tidak ada meskipun ada tiruannya tapi tidak dingin padahal sudah cukup pans disiang hari kembali ke hotel maunya minum udara dingin tapi tidak ada sarapan hari pertama saya berulang kali di tanya nomor kamar datang petugas lain bertanya lagi tidak kamar seolah saya penyusup mau ikut sarapan membuat suasana tidak nyaman saat makan malam soto ayam hanya berisi bongkahan bihun mungkin 80 isi mangkok makanan lain seperti chiken krim dan sate ayam sangat enak selain cerita saat sarapan petugas lain ramah responsip tapi,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,negative,0.9989699125289917,Guest Experience,Guest Experience (0.94); Facilities & Amenities (0.91); Food & Beverage (0.90)
Tommy Nugroho,2025,5,hotel nya bagus ramah buat anak kolam nya juga besar cuma tidak bisa main di laut untuk kamar juga tidak terlalu besar fasilitas lengkap dan menu sarapan banyak variasi nya tambah enak semua terima kasih dan semoga bisa kembali ke sini,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,positive,0.999281108379364,Facilities & Amenities,Facilities & Amenities (0.98); Guest Experience (0.90); Family & Group Friendly (0.90)
Fadila Nur Azizah,2025,5,pelayanan sangat ramah dibandingkan hotel lainnya makanan cukup bervariasi bagus sii,KOMPETITOR,Bintang 3,FairfiledbyMarriotBelitung,positive,0.9990711212158203,Service Quality,Service Quality (0.98); Staff Conduct & Hospitality (0.96); Guest Experience (0.96)
