User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Hari Widodo,2025,4,Nginap di hotel ini untuk 1 malam secara lokasi cukup strategis untuk pelayanan staf nya juga bagus mulai dari proses cek masuk sampai cek keluar lancar semua bahkan saya dibantu untuk bisa cek masuk jam 12 siang untuk ukuran kamar standar kebersihan juga oke untuk menu makan pagi nya menurut saya untuk hotel bintang 4 terlalu minim secara keseluruhan oke,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9959706664085388,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (0.99); Service Quality (0.98); Cleanliness, Hygiene & Maintenance (0.98)"
Putu Lisa,2025,5,kamar luas dan bersih lokasi sangat strategis kamar juga bersih banget selama menginap di sini pelayanan top banget jalan kaki udah sampai ke pantai staf juga ramah banget selalu membantu untuk memeriksa masuk dan memeriksa keluar juga cepat di kamar ada netflix juga jadi dingin banget saya selama tinggalcation,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9994145631790161,Facilities & Amenities,Facilities & Amenities (0.98); Service Quality (0.96); Service Efficiency & Responsiveness (0.96)
Hermanus Kena,2025,5,hotel nyaman fasilitas lengkap housekeeping rapi kolam renang bersih resepsi ini ramah termasih mas surya dan mas chris dianjurkan buat liburan di kuta,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9995063543319702,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Service Quality (0.99)"
Yusuf Kurniawan,2025,5,nyaman untuk keluarga ada kamar yang 1 king bed 1 single bed dan bisa digeser juga jadi cukup untuk berempat pilihan terbaik untuk keluarga dengan anak anak,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9985817670822144,Family & Group Friendly,Family & Group Friendly (0.99); Facilities & Amenities (0.97); Room Quality & Comfort (0.97)
lisa dewi,2025,5,pengalaman menginap di sini sangat nyaman kamar luas dan pelayanan staf bagus terutama resepsionisnya untuk makanan enak dan juga variatif proses cek masuk dan cek keluar cepat,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9994694590568542,Check in/out Experience,Check in/out Experience (1.00); Facilities & Amenities (1.00); Guest Experience (1.00)
rezi yulian,2025,5,Lokasinya strategis semua makanannya enak sarapan makan malam enak semua staf nya ramah sekali terimakasih mba dewi dan semua staf harper kuta,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9992515444755554,Service Quality,Service Quality (0.97); Service Efficiency & Responsiveness (0.96); Staff Conduct & Hospitality (0.96)
Licin Botak,2025,5,menginap sangat menyenangkan suasana hotel tenang cocok untuk bersantai kolam nya bersih sarpan enak banyak pilihan terimakasih untuk pelayanan yang luar biasa dari semua staf terutama mas chris,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9992867112159729,Service Quality,Service Quality (1.00); Guest Experience (0.96); Facilities & Amenities (0.93)
Asep Eka Nur Hidayat,2025,5,Secara umum bagus sesuai dengan harga hanya saja ac di kamar kurang dingin view nya dinding hotel lain dan saluran tv kesukaan sejarah penemuan tidak ada,KOMPETITOR,Bintang 3,HarperKuta-Bali,negative,0.6944718956947327,Pricing & Value for Money,Pricing & Value for Money (0.97); Facilities & Amenities (0.92); Cultural & Heritage Experience (0.81)
Denni Purbasari,2025,5,cek masuk cepat kamar seperti yang diminta tidak bising ac oke udara oke WC oke fasilitas dan sarapan cukup lampu kamar renang bukan untuk kerja housekeeping rapi setiap hari dikasih 1 handuk baru meskipun sudah dibilang tidak usah diganti karena kami tinggal 3 mlm lokasi saat buat yang tidak ingin sepi makanan aneka negara tinggal pilih kopi spa refleksi pijat terjangkau seberang hotel ada persewaan motor ke pantai naik motor 5 menit jika jln kaki 25 menit sambil lihat2,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9988532066345215,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.98)"
Reky Pramudia,2025,5,sangat senang mendapatkan pengalaman menginap di hotel Harper kuta ini ada beberapa poin yang perlu di highlight berdasarkan pengalaman saya 1 lokasi jelas strategis di pusat wisata kuta legiun mau cari ini itu mudah keluar tinggal jalan kaki ke pantai legiun bisa sambil olahraga sekalian menunggu matahari terbenam 2 varian menu sarapan yang banyak macam dan dari segi rasa cocok di lidah saya dan teman teman 3 pelayanan juara baru mulai dari resepsionis kebersihan pelayan resto top 4 ini yang paling berkesan cuman mereka kasih keluarga suite 3 malam tapi bayar 1 malam sisa 2 malam dikenakan harga tipe deluxe premier balkon alasan nya karena tidak ada lagi kamar akhirnya hehehe,KOMPETITOR,Bintang 3,HarperKuta-Bali,positive,0.9993182420730591,Service Quality,"Service Quality (1.00); Staff Conduct & Hospitality (1.00); Cleanliness, Hygiene & Maintenance (0.98)"
