User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
yosephine wahyudi,2025,2,murah tapi memang layanan sangat kurang angkat nya lama pol kamar lumayan nyaman yah gimana lagi mau enak di ascott kuningan agak kemproh sinyal maupun wifi sangat sulit angkat panas lorong panas sarapan rame pol kirim saja tidak ada masa mas layanan nya masuk kamar sepatu tidak dilepas angkatnya habis dipel basah pol kita harus hati2 bisa kepleset beberapa lorong bau pengap dan apek aduh pokoknya tidak mau nginep sini lagi jika tidak kepepet,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,negative,0.9949213862419128,Pricing & Value for Money,Pricing & Value for Money (0.79); Facilities & Amenities (0.76); Guest Experience (0.47)
Sandria Nasrani Putri,2025,5,untuk kamarnya bagus luas dan bersih banget dan lengkap lokasi juga mudah diakses untuk makanan restonya juga lengkap dan rasanya enak2 semua tidak mengecewakan hotel yang saya rekomendasikan buat kalian yang mau liburan di kota jakarta,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.9995423555374146,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.97); Room Quality & Comfort (0.94)"
Asak Putussibau,2025,5,sudah menginap 2 kali di sini dan selalu memuaskan bersih banget kamarnya kamar mandi dan kasurnya juga wangi pelayanan semua pegawainya sesuai sop dan ramah2 makanannya makin enak sekarang apalagi sarapan nya makin beragam,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.9994754195213318,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (0.99); Service Quality (0.99)"
Keyy Anisaa,2025,5,pengalaman menginap di hotel ini benar benar memuaskan dari awal datang udah disambut ramah sama stafnya kamarnya bersih nyaman dan wangi sarapannya enak banget servisenya top banget berasa dihargai sebagai tamu akan kembali lagi sihh ke sini,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.999286949634552,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.99); Room Quality & Comfort (0.99)
rahayu mutiara,2025,5,bagus banget pelayanannya ramah dan cepat tanggap jika ada permintaan atau kamar lain jg bersih fasilitas lengkap makanannya banyak pilihan dan oke semua rasanya puas banget nginep di sini,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.9994816184043884,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Facilities & Amenities (0.99); Service Quality (0.99)
Rihanna Rumi,2025,2,Dari awal dateng resepsionis nya agak jutek gt tidak menjelaskan sampai detailnya nya saat kita naik mau ke kamar menunggu lift nya agak lumayan lama di kamar mandi nya aminitis nya kurang lengkap cm di ksh sikat gigi pasta gigi pdhl saya pesan kamar suite untuk kamar baru sih oke cm ada semut nya pdhl lantai atas untuk istri saya jg susah masukin password trs jadi sinyal baru jg susah banget soalnya di lt 31 makanan jg kurang beragam saya ke harris cafe jam 7 an tapi makanan kosong kebanyakan tidak di refil lg lg ini bintang 4 tapi sesara bintang 2 untuk layanan nya jg agak le,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,negative,0.9872777462005615,Facilities & Amenities,Facilities & Amenities (0.94); Service Quality (0.81); Booking & Reservation Experience (0.77)
Ayu Armaira,2025,5,Saya merasa puas sekali ketika menginap di sini karena pelayanannya baguss untuk kamarnya nyaman dan juga rapi kamar mandi juga bersih wangi saya sangat suka juga dengan melihat fasilitasnya juga lengkap tempat parkirnya juga luas pokoknya sarankan untuk kalian,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.9994494318962097,"Location, Accessibility & Parking","Location, Accessibility & Parking (1.00); Service Quality (1.00); Facilities & Amenities (1.00)"
Nasyatania Barus,2025,5,menginap di Harris Suites puri mansion terasa menyenangkan dari awal masuk kamar ukurannya luas dan penataannya rapi bikin nyaman buat istirahat maupun kerja santai ac nya dingin dan stabil jadi suasana kamar tetap dingin sepanjang waktu pemandangan dari kamar juga enak dipandang cocok buat melepas lelah sambil duduk dekat jendela staf hotel melayani dengan ramah bikin pengalaman menginap terasa lebih tenang dan tidak ribet tempat ini saat sangat buat yang cari kenyamanan dan ruang kamar yang lega,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.9995877146720886,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.97)
Beny Setiawan,2025,5,Kunjungin hotel ini untuk liburan bersama keluarga layanan oke kamar nyaman hidangan resto sesuai harapan trima kasih layanan baru terutama mba sisil di bagian resto,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.9987694621086121,Service Quality,Service Quality (0.99); Room Quality & Comfort (0.99); Facilities & Amenities (0.98)
Ahmad Radian,2026,5,pengalaman menginap yang menyenangkan kamarnya nyaman sarapannya enak dan stafnya super ramah dari cek masuk sampai cek keluar semuanya lancar suasana hotel bikin betah,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.9993707537651062,Check in/out Experience,Check in/out Experience (1.00); Guest Experience (1.00); Facilities & Amenities (1.00)
yelyel,2025,5,pengalaman menginap 2 malam di hotel ini cukup bagus yaa suasananya meskipun di tengah kota tapi rasanya tenang dan adem makanan untuk sarapan jg bervariasi dan rasanya enak2 staf nya ramah2 klo k jakarta pasti menginap lg disini dah,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,positive,0.9995244741439819,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.97); Guest Experience (0.95); Service Quality (0.93)
Eza channel,2025,1,Dari lobi oke bersih dan terawat namun untuk akses ke kamar angkat sngat kecil apalagi jika mendapat lantai yang cukup tinggi di kamar susah sinyal padahal di lantai yang tinggi sekali wifi tidak berfungsi tv tidak berfungsi yt ataupun siaran tv sangat sangat sangat membosankan mkanan kurang variatif makan malam ataupun sarapan rasanya pun sangat dibawah standar untuk sekelas haris sangat di sayangkan area kolam renang bagus dan cukup nyaman dan kamar cukup bersih tapi perlengkapan mandi hnya ad shampo dan mandi yang lainnya tidak ada bhkan tisu pun tidak ada bermain ank2 tidak menarik cukup sekali kapok menginap di sana,KOMPETITOR,Bintang 3,HarrisSuitesPuriMansion-Jakarta,negative,0.9926798343658447,Facilities & Amenities,"Facilities & Amenities (0.93); Cleanliness, Hygiene & Maintenance (0.90); Room Quality & Comfort (0.78)"
