User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Novika Astarini,2025,4,beberapa kali menginap di sini makanan enak pelayanan ramah fasilitas ramah anak sayang sekali terakhir menginap kolam renang kotor demikian pula meja kursi sekitar kolam nampak lama tidak dibersihkan walau saya tidak menggunakan fasilitas kolam renangnya tapi biasanya nyaman duduk di daerah sekitar sambil membaca buku perlengkapan yang disediakan di km lengkap dan standar jika biasanya ada ketel air panas teh kopi krim gula dan mug terakhir menginap tidak ada yang paling oke sarapannya menu variatif buah yang selalu itu2 saja mungkin akan lebih baik juga menyediakan buah lokal berkualitas yang sdg musim juga seperti yang pasti menggugah selera tempat strategis dekat kampus umj jadi jika ingin mencari sesuatu,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,positive,0.9915409684181213,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Staff Conduct & Hospitality (0.98)
Atika Purnamasari,2026,1,kecewa banget sudah memesan dari 22 hari sebelumnya ternyata saat hari h kamar tidak ada dengan alasan tv bermasalah padahal sudah bilang kalau gpp tapi tetap saja bilang tidak bisa dan itu tidak ada konfirmasi hari sebelumnya apa masuk akal,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,negative,0.9992573857307434,Booking & Reservation Experience,Booking & Reservation Experience (0.80); Guest Experience (0.69); Pricing & Value for Money (0.63)
Kee Hoo,2025,4,hotel ini merupakan hotel yang pernah menjadi hotel diterima awal dengan disuguhi selamat datang minum pelayan cukup gercep ramah kamar lumayan luas n ac jg dingin perlengkapan yang tersedia cukup lengkap seperti sikat gigi pasta gigi bud katun sisir air mineral kopi layanan tv kabel juga lumayan lengkap untuk memudarkan rasa bosan tersedia tempat bermain untuk anak2 di lobi tidak sempat difoto hanya syg handuknya sudah cukup kuning alangkah baiknya dilakukan pembaharuan hotel ini dianjurkan lah untuk keluarga,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,positive,0.9977566599845886,Facilities & Amenities,Facilities & Amenities (0.95); Staff Conduct & Hospitality (0.92); Service Quality (0.89)
Okta Agung,2025,3,Pelayanan staf pembersihan dan kantor depan sangat bagus sarapan juga beragam hanya saja malamnya kami pesan makanan dan cemilan di kafe harus menunggu lebih dari 1 jam padahal ada menu cemilan yang menurut kami bisa dikeluarkan lebih dulu roti panggang bersama kopi,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,positive,0.9856018424034119,Service Quality,Service Quality (0.99); Food & Beverage (0.98); Facilities & Amenities (0.97)
Paradita Fitria,2025,5,full color lobbynya ada tempat bermain di lobi harga terjangkau pelayanan cepat dan baik kamar bersih ada arah kiblat untuk sholat anak-anak ramah banget di sarapan ada menu es krim gulali sayang untuk salad sayurnya jagungnya agak kecut seperti tidak segar wortelnya jg pahit semoga kebetulan cuma untuk hari itu saja selebihnya lebih baik untuk nasi juga tidak hangat begitu juga sama sama mienya kompornya sudah dimatiin sepertinya karena kita posisi sarapan sudah jam 8 secara keseluruhan dianjurkan di hotel ini wkt ke jember,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,positive,0.9987666606903076,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.96); Service Quality (0.93); Pricing & Value for Money (0.91)
Risang Anggara,2025,4,lokasi masih berada di kawasan ramai dekat kampus dan ada minimarket juga cek masuk lancar cuma saat minta sandi wifi katanya mau dikirim melalui whatsapp tapi ditunggu lama tidak dikirim2 sampai harus telepon lagi baru dikasih tau padahal kenapa tidak langsung dishare saja pada saat cek masuk untuk kamar cukup bersih linen juga bersih saluran tv beragam ac dingin mandi lancar dan fasilitas jg komplit drainase di mandi saja cuma yang lambat jadi pada saat mandi selalu ada genangan sarapan jg menuunya cukup bervariasi secara keseluruhan oke,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,positive,0.9951523542404175,Facilities & Amenities,"Facilities & Amenities (0.96); Service Quality (0.86); Cleanliness, Hygiene & Maintenance (0.78)"
Anatus Sholeha,2025,5,hotel yang nyaman untuk bawa kotak bener2 banyak fasilitas untuk anak2 karyawannya ramah2 apalagi saat waktu di petzoo bener2 ramah dan telaten kemarin di bantu sama mas aldy saat di petzoo,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,positive,0.99913090467453,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Service Quality (0.99)
gabriellia yonni laurencia,2025,3,hotel nyaman makanan enak staf nya ramah tapi keamanan nya ngga peduli sama tamu yang baru sampai hotel sibuk ngobrol bergerombol gada inisiatif buat bantu ngarahin parkir mobil,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,positive,0.9476184844970703,Facilities & Amenities,Facilities & Amenities (0.96); Service Quality (0.94); Safety & Security (0.92)
Armando Vicky,2025,1,Sudah yang kesekian kali nginap tapi baru kali ini tidak banget makan omlet disuruh ngantri sampai hilang selera makan kayak tidak ada empatiinya udah nunggu lama duduk didepan mbanya,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,negative,0.9975767731666565,Guest Experience,Guest Experience (0.80); Food & Beverage (0.78); Service Quality (0.70)
muhammad wahdin,2025,4,hotel fortuna grande adalah hotel bintang 4 yang lokasinya di kawasan kampus universitas negeri jember dan fasilitasnya sangat lengkap termasuk sarana olah raga taman yang indah dan tertata di setiap lantai dan arena permainan untuk anak2,KOMPETITOR,Bintang 3,HotelDafamFortunaJember,positive,0.9992316961288452,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (0.89); Service Quality (0.88)
