User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Rizka Art space,2025,5,Saya menginap semalam di sini lokasinya strategis bisa jalan kaki ke tempat hits dan viral seperti makmur jaya kopi soka prima rasa nois matcha dan deli bakery untuk hotel anggaran ini kamarnya bersih buanget acnya dingin kamar mandinya bersih bgd ngga ada kerak kerak udara di ubinnya keren bgd kebersiaan selanjutnya kalau ke bandung lagi mau menginap di sini terima kasih,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9993891716003418,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.97); Service Quality (0.96); Pricing & Value for Money (0.93)"
Komang Arnawa,2025,5,Setelah melewati perjalanan yang panjang dan melelahkan dari bandar soetta yang macet parah istirahat disini terasa tenang dan nyaman rupanya menggunakan kasur king koil untuk kamarnya bersih dan luas sinyal internet bagus sinyal tv juga bagus sinyal kamarmandi bersih dan udara panasnya lancar kunjungan ke bandung berikutnya akan menginap lagi di sini pelayanan nya juga bagus dan ramah2 satu lagi yang luar biasa dikamar disediakan peralatan makan mengirim garpu piring dan mangkok hal ini sangat jarang sekali saya pernah bertemu di hotel2 lain,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9991961121559143,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (0.99); Service Quality (0.99)
andre santoso,2025,4,Lokasinya strategis dekat dengan restoran kafe toko oleh dan tidak terlalu lama menuju pintu tol untuk kamarnya karena saya mengambil yang paling murah ya standar saja kebersihan area kamar dan kamar mandi baik fasilitas dasar juga tersedia sayangnya pada dua kamar yang saya pesan pada kedua kurang dingin untuk pelayanan staf baik dan ramah area parkir juga luas,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9980022311210632,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Location, Accessibility & Parking (0.99)"
Wednes Aria Yuda,2025,5,terletak di pusat kota dengan harga yang cukup terjangkau dan kualitas pelayanan yang oke bikin betah di hotel ini kamarnya cukup luas dengan fasilitas kamar yang cukup bagus sarapannya cukup beragam dan enak,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9995490908622742,Service Quality,Service Quality (0.99); Pricing & Value for Money (0.99); Room Quality & Comfort (0.98)
Ispar,2025,4,nyaman ramah pelayanan bersih strategi dan mungkin untuk makanan mohon diperhatikan kembali untuk cita rasanya,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9957610964775085,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Service Efficiency & Responsiveness (0.99)"
Indah Ratna Mutiara,2025,5,menginap 4 hari 3 malam di hotel dafam rio bandung pada tanggal 03 juli 2025 sd 06 juli 2025 merupakan pengalaman pertama buat kami tetapi sangat berkesan lokasi hotel yang sangat strategis membuat kami mudah kemana mana dan dekat dengan kafe dan resto jadi g kuatir mau cari makan sebelah hotel ada alfamart dari awal kedatangan sudah disambut oleh keamanan yang ramah dan membantu proses pemeriksaan masuk mudah dan cepat ada deposit uang Rp 100 0 seratus ribu rupiah tetapi dikembalikan lagi saat memeriksa keluar semua staf kamar ramah bersih nyaman dan selalu dibersihkan setiap hari oleh petugas kami menginap di kamar 209 lt 2 melalui aplikasi agoda,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9985154271125793,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.98); Service Quality (0.90); Safety & Security (0.90)
Agnes Meyta,2025,5,Lokasinya di pinggir jalan persis sehingga mudah ditemukan walaupun di pinggir jalan kamar cukup senyap sehingga tidak ada suara yang mengganggu hotelnya sebelahan persis dengan alfamart dan bersebrangan dengan beberapa restoran untuk parkirannya jika datang agak malam atau lewat cek masuk tidak ada pagar pembatas sehingga harus menitipkan kunci mobil ke proses keamanan cek masuk tidak terlalu lama kebetulan saya cek masuk di tengah malam dan sudah konfirmasi sebelumnya saat tengah malam itu udara panas sebesar lama keluar tapi tidak ada masalah saat pagi hari perlu diketahui bahwa harus menyiapkan uang tunai keluar Rp 100 0 untuk deposit kunci dan akan dikembalikan saat cek,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9971644282341003,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.98); Facilities & Amenities (0.88); Service Efficiency & Responsiveness (0.75)"
yuanita ho,2025,5,lokasi hotel ini strategis di jl riau surganya kuliner bandung di seberang hotel ada cafe bali resto yang terkenal enak2 makanan indonesia nya juga sky tree coffee shop yang nyaman buat nongkrong kalau mau kulineran ke pasar cipit juga dekat ada roda cafe diatasnya uniqlo disebelah warisan fo saya pesan smart room 4 malam tapi dikasih upgrade gratis ke superior room kamarnya bersih nyaman lampunya terang,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9995318651199341,Service Quality,Service Quality (0.94); Facilities & Amenities (0.93); Cultural & Heritage Experience (0.90)
Yon Cahyadi,2025,4,lokasi lokasi lokasi lokasi hotel ini sangat strategis di jalan raya yang terkenal banyak kafe resto tempat belanja di seberang hotel ada beberapa warung kopi restoran di samping hotel ada alfa mart jadi jika perlu apa apa jadi mudah kamar bersih dan sangat terang suka banget model hotel begini tidak pelit lampu lorong hotel juga terang lobi meskipun kecil tapi efisien meskipun di pinggir jalan besar yang ramai tapi suasana di hotel sangat tenang mantap staf ramah parkir luas makanan minuman buah dan roti untuk sarapan tidak banyak dibandingkan hotel sekelas lain baru dan banyak piring gelas kotor di angkat selain itu mengisi makanan minuman juga kurang,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9995138645172119,Facilities & Amenities,Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.99); Food & Beverage (0.99)
Zkivacka Tamazfl,2025,5,lokasi strategis sangat di jl riau kemana2 deket kamar lengkap bahkan ada alat2 makan layanan memuaskan seluruh staf baik dan membantu,KOMPETITOR,Bintang 3,HotelDafamRioBandung,positive,0.9994755387306213,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Service Efficiency & Responsiveness (0.98)
