User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Akmal,2025,5,sangat puas dengan pelayanan driver hotel ibis style batam khususnya pak irfan yang menjadi driver kami dari penjemputan hingga pengantaran semuanya berjalan sangat profesional pak irfan sangat tepat waktu sesuai jadwal yang dijanjikan kendaraan dalam kondisi bersih terawat dan sangat nyaman untuk perjalanan yang paling berkesan adalah sikap pak irfan yang sangat ramah sopan dan komunikatif beliau dengan senang hati memberikan rekomendasi tempat makan enak lokasi wisata dan info berguna lainnya tentang cara batam mengemudinya juga mulus dan aman membuat perjalanan terasa nyaman pelayanan seperti ini yang membedakan pengalaman menginap biasa menjadi pengalaman hotel yang berkesan dan memorable driver adalah pertama,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,positive,0.9991818070411682,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Staff Conduct & Hospitality (1.00); Service Quality (0.99)"
Winner Manurung,2025,4,Beberapa waktu lalu bawa kelompok ke hotel ini tapi waktu cek masuk alamak resepsionis nya macam tak selamat datang apa susahnya sapa dulu senyum keh bilang tunggu sebentar sebusy apapun pls jangan pernah memasak tamu yang hendak c i perlu di pelatihan lagi soal perhotelan berikutnya dah dah lah jauh hari pemesanan non-merokok kamar dan dah dikonfirmasi pula eh saat cek masuk dia kata non-merokok kamar penuh dipesanan kesal banget jadi kami minta double oke kata staf nya saat kita lihat keatas trnyta hnya disemprot pewangi saja tidak tau kali arti double treatment ya akhirnya kami jelasin,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,negative,0.9986095428466797,Booking & Reservation Experience,Booking & Reservation Experience (0.81); Service Quality (0.70); Check in/out Experience (0.63)
Adik Apriliyadi,2025,3,menginap di ibis style nagoya batam terasa seperti hotel ini belum lama menerima tamu dalam jumlah besar beberapa layanan tampak belum sepenuhnya siap menghadapi keramaian ruang pertemuan di lantai satu sebenarnya cukup luas namun kehadiran tiang di ruangan tengah cukup mengganggu pandangan peserta rapat jumlah pegawai tampak terbatas sebagian besar justru siswa smk yang sedang praktik kerja industri meskipun mereka ramah dan berusaha melayani dengan baik koordinasi dan kecepatan layanan masih dapat ditingkatkan dari sisi pilihan makanannya tergolong standar tetapi ada nilai tambah karena setiap pagi selalu tersedia indomie dan saya cukup menyenangkan bagi tamu yang ingin sarapan ringan namun pihak hotel terasa terlalu hemat terutama dalam penyediaan udara mineral saat kegiatan rapat koneksi,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,positive,0.9191995859146118,Facilities & Amenities,Facilities & Amenities (0.93); Service Efficiency & Responsiveness (0.90); Guest Experience (0.81)
Ferik Antoni,2025,5,menginap di hotel ibis style memang tidak pernah mengecewakan dari lobi kita sudah disambut dengan interior cantik dan menarik pelayanan staf nya sangat ramah dan membantu kamarnya cukup luas kasurnya sangat nyaman toilet terpisah untuk mandi dan buang air fasilitas di dalam kamar juga sudah lengkap fasilitas hotel ada tempat gym dan kolam renang parkir cukup luas dan juga ada restoran menu sarapan jangan ditanya lagi variatif dan rasa tidak diragukan lokasinya memang bukan di pusat keramaian tapi cukup dekat ke mana mana,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,positive,0.99953293800354,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.98); Service Quality (0.95)
Sheilla Tan,2025,1,best believe aku tidak akan pernah tinggal masuk hotel ini lagi 1 wifi menyesatkan 2 bagaimana ceritanya hotel tidak punya concierge untuk menerima kiriman barang dari luar ojol saya mengantar obat untuk saya ke resepsionis layaknya prosedur normal seorang ojol ini bernalar taroh barang saya ke resepsionis dan di tolak resepsionis nya disuru kembali ke pos satpam ojolnya sampai bingung telepon saya dan dia bilang saya gabisa taro barangnya di resepsionis saya di info ojolnya untuk mengambil di pos satpam konyol ya ampun super konyol 3 angkat lu 2 biji yang fungsi cuma 1 saya,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,negative,0.9991707801818848,Service Quality,Service Quality (0.96); Guest Experience (0.95); Check in/out Experience (0.95)
Septi Maulanasari,2025,4,kamarnya lumayan luas ada kursi santainya juga cuma kemarin tidak ke foto karena kemarin memperpanjang jadi dapet kue,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,positive,0.9919297695159912,Facilities & Amenities,Facilities & Amenities (0.96); Guest Experience (0.81); Room Quality & Comfort (0.75)
ellasier peach,2025,4,saya menginap di hotel ini merasa kurang puas hal yang paling menonjol adalah senyum dan keramahan staf resepsionis terutama ibu yohana dan deby yang melayani saya ketika check masuk sampai merekomendasikan tempat wisata yang menarik untuk saya hingga petugas kebersihan semuanya sangat sopan cepat tanggap dan membantu sayangnya fasilitas hotel jauh dari harapan kamar bagus namun dengan perabotan lama dan beberapa di antaranya rusak ac tidak cukup dingin udara panas di kamar mandi sering tidak stabil dan tangan yang disediakan terlihat kusam selain itu wifi sangat lambat dan sering terputus padahal ini sangat penting bagi saya yang perlu bekerja selama menginap sesuai dengan hotel ini,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,negative,0.9875590205192566,Staff Conduct & Hospitality,"Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
Putri Laila Komari,2025,5,Nginap 3 hari bgus kmarnya layanannya ramah sekali restonya enak di resto dilayani oleh mas syahrul sangat ramah sopan baik tolong tambahkn bonusnya mas ini,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,positive,0.9992421865463257,Service Quality,Service Quality (0.98); Staff Conduct & Hospitality (0.95); Guest Experience (0.94)
Dapepsky 381,2025,5,suasana nya nyaman sarapan nya juga enak pelayanan dan kebersihan kamar terjaga sopir antar jemput juga ramah tidak ugal ugalan dan di panggilan,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,positive,0.999377429485321,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99)"
Bang Kindul,2025,5,suatu kebanggan buat saya sudah pernah berkunjung dan menginap di hotelnya hotelnya bersih dan pelayanan sangat baik pengemudi dan keamanan nya sangat ramah,KOMPETITOR,Bintang 3,IbisStylesBatamNagoya,positive,0.9994258880615234,"Loyalty, Recommendation & Appreciation","Loyalty, Recommendation & Appreciation (1.00); Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.99)"
