User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Freed 123,2025,5,pengalaman menginap yang cukup baik hotel transit ini sangat cocok untuk konsumen yang membutuhkan perjalanan cepat untuk mengejar penerbangan ke bandara lokasi baru sangat strategis sangat dekat sekali dengan bandara hotel ini juga memiliki fasilitas shuttle bus jadi kita tidak perlu khawatir yang membutuhkan alat transportasi untuk fasilitas hotel lain juga cukup lengkap untuk sarapan juga lengkap dan sudah siap pada jam 3 pagi jadi tidak perlu khawatir jika di penerbangan pagi untuk kebersihan hotel juga cukup bersih dan fasilitas kamar juga lengkap,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.9989964365959167,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Service Efficiency & Responsiveness (0.97)
Rezkia bulanramadhani,2025,5,pengelaman menginap luar biasa staf sangat profesional dan ramah selalu menyapa dengan senyum kamarnya luas bersih dan pemandangannya fantastis sarapannya beragam dan lezat,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.9990409016609192,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Guest Experience (1.00); Service Quality (1.00)
Roswita Yusuf,2025,5,pengalaman menginap dihotel ibis style jakarta bandara sangat menyenangkan dan nyaman untuk melayani pelayanan sangat ramah dan makanannya oke untuk transportasi dan lokasi strategis sangat dekat dengan bandara kebersihan hotel cukup bersih jadi nyaman serta fasilitas kamar juga lengkap pokoknya buat saya sangat direkomendasikan,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.9996157884597778,Facilities & Amenities,"Facilities & Amenities (0.99); Service Quality (0.98); Cleanliness, Hygiene & Maintenance (0.97)"
romy dwi maulana,2025,5,menginap di ibis styles bandara sangat nyaman kamar bersih fasilitas lengkap dan lokasinya sangat dekat dengan bandara pelayanan staf luar biasa terutama andi bel sopir yang sangat ramah membantu dan informatif sangat direkomendasikan,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.999382495880127,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Service Quality (0.99)
Muhamad Zaky,2025,5,sangat merekomendasikan sekali menginap di sini karena banyak fasilitas yang memadai dari gratis shuttle bus gratis sarapan dari jam 3 pagi sampai jam 10 pagi dan juga banyak tipe kamar yang cukup luas dan memuaskan kamar baru bersih wangi dan estetik,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.9992652535438538,Facilities & Amenities,"Facilities & Amenities (1.00); Service Quality (0.97); Cleanliness, Hygiene & Maintenance (0.97)"
netty hp,2025,4,tampilan ruang makan bagus sarapannya jauh lebih baik dibandingkan dengan sebelumnya pilihan makanan lebih bervariasi dan lebih lengkap daripada hotel lain yang sekelas pelayanannya juga selalu baik semua staf di bagian f b melayani dengan baik dan ramah ada pengingat yang bagus juga berupa statistik makanan yang terbuang oya ada banyak nyamuk jika sakit di area meja bulat,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.9980021119117737,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (1.00); Facilities & Amenities (0.99)
Lya Marlyana,2025,4,mohon lebih ditingkatkan lagi pelayanan terutama keramahtamahan staf depan kantor tingkat pelayanan dalam menerima tamu cek masuk lebih diperhatikan jika tidak terjadi antrian panjang kebersihan dan kerapihan restonya juga harap diperbaiki terutama ketika sedang banyak tamu makanan yang disajikan mohon dimonitor penyajiannya masih hangat atau sudah dingin terima kasih,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.9223065972328186,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Staff Conduct & Hospitality (0.99); Facilities & Amenities (0.99)"
SBM,2025,2,mungkin ini hari sial saya atau memang seperti ini rata rata sistem alarm error bunyi 3x diwaktu yang berbeda selama beberapa detik tidak ada kulkas pengering rambut permanen rusak tidak ada pengganti model biasa tidak ada sendal hotel,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,negative,0.9987360835075378,Facilities & Amenities,Facilities & Amenities (0.91); Safety & Security (0.90); Service Quality (0.73)
Ririn Fatmala,2025,5,Hotel ini jadi favorit baru saya deket dengan bandara tapi ttp tenang staf sangat ramah dan sigap sarapan beragam dan enak,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.9991509914398193,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (0.99); Food & Beverage (0.99)
elis lisnawati,2025,5,pengalaman menginap di ibis style jakarta bandara cukup memuaskan kamarnya bersih dan nyaman suasananya tenang dan proses cek masuk juga cepat staf ramah serta sigap membantu kebutuhan tamu lokasinya sangat strategis untuk yang punya penerbangan pagi atau membutuhkan fasilitas transit hotel juga lengkap keseluruhan menginap yang menyenangkan dan layaknya itu,KOMPETITOR,Bintang 3,IbisStylesJakartaAirport,positive,0.9994230270385742,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (1.00); Guest Experience (1.00)
