User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Ayunda Rizka Amalia,2025,5,pelayanannya ramah kamar bersih kolam besar bergabung dengan novotel sarapan bergabung juga dengan novotel aperitif hidangan utama dan makanan penutup semuanya lengkap dan banyak istilah ibis gaya mangga dua,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.9990063309669495,Service Quality,Service Quality (1.00); Food & Beverage (0.99); Facilities & Amenities (0.99)
Safira Dwi Tyas Putri,2025,5,menginap di sini akhir pekan lalu karena ada konser di tempatnya cukup strategis hanya sekitar 10 15 menit naik motor menuju tempatnya menempel langsung dengan mangga dua persegi jadi sangat praktis jika ingin mencari makanan atau kebutuhan lainnya hotelnya nyaman bersih dan berwarna saya pribadi suka sekali dengan suasananya cocok untuk menginap bersama teman dan juga ramah untuk keluarga karena tersedia anak-anak bermain kamar di lobi meskipun ukurannya tidak terlalu besar yang paling berkesan adalah keramahan staf nya baik lewat telepon maupun cek secara langsung waktu membantu ketika masuk dan bertanya ini dan itu mungkin akan menginap di sini lagi jika mau konser di jis,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.9993520379066467,Family & Group Friendly,"Family & Group Friendly (1.00); Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.96)"
Siti karina,2025,5,kamarmya bersih luas nyaman untuk kluarga bisa menggunakan fasilitas kolam renang di novotel cocok untuk kluarga strategis tempatnya,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.9995074272155762,Room Quality & Comfort,Room Quality & Comfort (0.99); Facilities & Amenities (0.98); Service Quality (0.97)
Putri Alfani,2025,5,sebetulnya 2 minggu yang lalu saya menginap di sini saat ada konser di lokasi ancol cocok sih untuk menginap jika akan ada konser di sana dari luar lobi terlihat kurang meyakinkan karena nempel dengan mall mangga dua yang sudah sepi namun ternyata resepsionis lalu keseluruhan kamarnya oke banget kamar rapi amenities lengkap bersih kasur bantal empuk ac dingin udara panas betul tata ruang kamar jg cukup menyenangkan luas dan banyak kaca untuk berdandan staf ramah cek masuk mudah minus hanya di sarapan ya rasanya biasa saja tapi ada roti puding yang enak,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.999321699142456,Facilities & Amenities,"Facilities & Amenities (0.99); Service Quality (0.93); Cleanliness, Hygiene & Maintenance (0.89)"
Yunni Safitri,2025,5,kamar nya nyaman tidak terdengar suara dari luar lokasi strategis dekat mal sarapan oke karena banyak pilihan menu nya dari menu utama buah dan makanan penutup nya,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.9991644620895386,Facilities & Amenities,Facilities & Amenities (0.99); Room Quality & Comfort (0.97); Food & Beverage (0.92)
Alya Nirmasari,2025,4,Tinggal 2 hari di sini untuk acara kantor oke banget dan dekat juga jika mau ke dufan ancol pengalaman yang baik,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.9967083930969238,Facilities & Amenities,Facilities & Amenities (0.94); Service Quality (0.91); Check in/out Experience (0.90)
Apun Permana,2025,5,kamar nyaman bersih staf nya ramah2 dapat privilage bisa checkout sampai jam 4 dan ada makanan selamat datang karena sebagai anggota accor tambah dianjurkan untuk menginap lagi di sini,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.9991416931152344,Service Quality,"Service Quality (0.98); Facilities & Amenities (0.98); Loyalty, Recommendation & Appreciation (0.97)"
nani ernawati,2025,4,Menurutku kamar oke cuma berisik saja sih kali pertama masuk itu bner bner mengganggu di atas suara orang lari2 gtu sampai magrib trus rada pengap karna ventilasi atau blower untuk kamar mandi pun tidak ada tapi untuk staf ramah banget n membantu deket dengan transportasi umum jadi oke,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.9816540479660034,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.95); Facilities & Amenities (0.91); Service Quality (0.89)
Ihsa Rahmadhan,2025,5,Salah satu hotel yang saya rekomendasikan di jakarta utara hotelnya deket kemana2 fasilitas umum seperti busway ada di depan hotel sekitar area hotel juga ramai banyak jualan untuk hotelnya sendiri sangat murah sudah dapat sarapan staf nya mba susi sangat ramah dan membantu,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.999380350112915,Facilities & Amenities,Facilities & Amenities (0.97); Staff Conduct & Hospitality (0.94); Service Efficiency & Responsiveness (0.93)
rina nurul,2025,5,ini hotel harus sangat dicoba harga bersaing cek masuk jam 2 tanpa deposit resepsionis dilantai 8 ada dispenser ditiap lorong ada kulkas pengering rambut tv nya gede banget chanel tv lengkap kolam renang bisa ke novotel ada gym sarapan gratis untuk anak ke-12 dan sarapannya enak2 ada sedikit saran jika memang boleh akses ke kolam renang novotel sebaiknya pintu ke kolam jangan ditutup dong bisa aksesnya cuma bisa pakai kartu novotel kami jadi merasa tidak enak harus menunggu yang punya kartu terimakasih,KOMPETITOR,Bintang 3,IbisStylesJakartaManggaduaSquare,positive,0.864507257938385,Pricing & Value for Money,Pricing & Value for Money (0.97); Facilities & Amenities (0.95); Service Quality (0.76)
