User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
zilka widya,2025.0,3,ibis aku mw kasih masukan resepsionis cewek sombong beberapa x nelusuri hotel karena sering dinas keluar kota sangat dasar untuk sapa senyum dan kasih penjelasan tidak rugi juga karena itu adalah garda terdepan dan mood pelanggan di awal ini enggak haha sombong banget tidak ada senyum sdktpun boleh contoh ibis di bogor pajajaran sepanjang jalan ketemu sama kryawan hotel yaallahh ramahh banget semua sapa pelanggan pagi ibu siangg ibu ekspektasi aku ketinggian aku kira emang ibis semua ayam sama lauk yang kedua sarapannya ya ampunn hari rame tauu loo masa saja cuman ada semur 1 macem doang ya elah,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9755383133888245,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.98); Family & Group Friendly (0.92); Service Efficiency & Responsiveness (0.86)
Bramanti Kusuma Yuwono,2025.0,1,menginap di saat kota medan terkena banjir lift tidak bisa digunakan karena basement banjir oke dimaklumi meskipun harus naik tangga manual ke lantai 9 sampai kamar mau mandi tanganku tidak ada alasannya kondisi banjir jadi banyak barang belum masuk oke dimaklumi juga pesan room service untuk 1 porsi nasi goreng di jam 8 malam jam 9 makanan belum diantar telepon ulang katanya akan diantar telepon ulang katanya akan diantar jam 10 juga belum diantar telepon katanya akan diantar telepon ulang katanya akan diantar setengah jam kemudian masih belum diantar telepon ulang katanya akan diantar telepon ulang katanya akan diantar lagi katanya saya akan diantar kembali saya tunggu hasil,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.987041711807251,Booking & Reservation Experience,Booking & Reservation Experience (0.97); Service Quality (0.89); Service Efficiency & Responsiveness (0.81)
Alala Muliba,2025.0,5,rekomendasi kalau menginap di medan hotelnya tidak terlalu besar tapi berhasil memaksimalkan setiap sudut ruangan kamarnya rapi bersih dan saat ukurannya kamar mandi juga oke dan bersih ac dan pemanas air nyala dan stabil makanan sarapan juga enak pelayanan ramah lokasinya juga di pusat kota jadi dekat jika mau kemana mana cuman kalau parkir mobil mesti hati hati karena mepet ruangannya secara keseluruhan oke monggo dicoba,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9993377327919006,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Location, Accessibility & Parking (0.97)"
dedy cahyadi,2025.0,3,kamarnya enak luas nyaman tapi makanannya kurang variatif selada tidak segar rasa cenderung rata alat fitness sepertinya tidak pernah di pemeliharaan,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.9324410557746887,Facilities & Amenities,Facilities & Amenities (0.98); Guest Experience (0.90); Room Quality & Comfort (0.89)
Novanta Br Sitepu,2025.0,3,Jika anak lebih dari 5 tahun sudah dikenakan uang tunai untuk sarapan baru ini bertemu hotel seperti ini kami membawa 2 anak satu anak usia 5 tahun sarapan gratis tapi satu lagi anak usia 8 tahun sudah kena kasus hati hati,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.9781798124313354,Guest Experience,Guest Experience (0.97); Check in/out Experience (0.93); Pricing & Value for Money (0.90)
Jimmy Saragih,2025.0,4,kamar 1005 mampet saluran udara kamar mandinya wastafel juga mampet akhirnya saya buka sendiri tutupnya parkiriran juga cukup terbatas ya selain itu sudah oke sih teruskan pekerjaan baik guys,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9721488356590271,Service Quality,"Service Quality (0.96); Location, Accessibility & Parking (0.83); Facilities & Amenities (0.81)"
bambang priantomo,2025.0,1,Saya ingin 8 hari kamar 201 cukup nyaman sayangnya layanan resepsionis saat check out tidak profesional tidak ada inisiatif untuk mengembalikan uang deposit terima kunci kamar sudah gitu saja tanpa ucapan apapun jika saya lupa uang deposit akan tertinggal kemudian saya teringat tapi memang tanda terima tidak bertemu harus berdebat panjang agar uang deposit saya dikembalikan padahal bisa memastikan dengan kartu identitas saya memberikan kembali uang deposit dan saya akan menandatangani menerima kembali uang tsb kok repot mengembalian uang deposit hak pelanggan seharusnya justru inisiatif mengembalikannya,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.9925464987754822,Service Quality,Service Quality (0.91); Check in/out Experience (0.86); Guest Experience (0.85)
Valensia Manik,2025.0,5,kamar nyaman pelayanan resepsi ramah sarapan bervariasi dan sangat enak wifi kencang terutama kamar juga bersih dan nyaman ac dingin,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9993240833282471,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (0.99); Service Quality (0.99)
Tri Ardiani,2025.0,5,Hotel yang nyaman bersih sarapan enak staf ramah2 dan cepat tanggap mau mau lagi nginap disini karna anak2 saya happy kolam renang indoor dan lengkap ada anak-anak sudut nya,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.999487042427063,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99)
Mita Sartika,2025.0,2,Tidak dianjurkan saya memesan cek masuk jam 2 siang tapi kamarnya siap jam 15:30 saya menunggu 1 setengah jam dan tidak diberi kelonggaran waktu cek keluar sebagai gantinya fasilitas kamar juga kurang memadai untuk menu sarapan juga variannya sangat kurang dan untuk anak anak hitungan diatas 5 tahun dikenakan biaya cukup 1 kali saja menginap di hotel ini,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.9761611819267273,Facilities & Amenities,Facilities & Amenities (0.88); Pricing & Value for Money (0.71); Booking & Reservation Experience (0.53)
Metha Feriska F,2025.0,5,Longstay 10 hari kamar bagus banget interior oke banget wifi kenceng banget keren dan oke pelayanan juga oke banget2 tapi saat di pelayanan restoran agak kurang variasi sarapan juga agak kurang dan bosenin intinya saya akan tetap memilih menginap di ibis tapi mgkn akan ingat akan apakah kamar dengan sarapan,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.7520965933799744,Facilities & Amenities,Facilities & Amenities (0.93); Service Quality (0.80); Service Efficiency & Responsiveness (0.65)
Adi SMM The Hill Resort Sibolangit,2025.0,5,Saya menginap di ibis style medan pattimura dan sangat terkesan dengan pengalaman saya hotel ini memiliki desain modern dan penuh warna yang memberikan suasana yang segar sejak pertama kali masuk kamar bersih nyaman dan dilengkapi dengan fasilitas lengkap sarapan yang disajikan bervariasi dan lezat cocok untuk semua selera lokasinya juga strategis dekat dengan pusat kota dan mudah diakses dari mana saja yang paling berkesan adalah pelayanan stafnya yang sangat ramah dan sigap membantu setiap kebutuhan tamu sangat direkomendasikan bagi siapa pun yang mencari penginapan dengan nilai terbaik dan layanan profesional di medan,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9991558790206909,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (1.00); Facilities & Amenities (1.00)
RFD,2025.0,2,menginap selama 2 malam di ibis gaya pengalamannya ini hotel makin downgrade di awal masuk kamar mandi sudah bau tidak sedap dan sudah dibersihkan pun masih tidak bau sedap seperti keluar bau dari exhaustnya tempat parkir penuh terus sehingga sulit akses jika mau mengambil barang harus bolak balik ke tmpt parkir sementaranya jaraknya 2 gedung dari hotel untuk minum air disediakan di teko dan bisa diisi ulang namun pada saat saat dispenser cuma bisa menginap lagi namun saat saat saat itu sering kosong padahal saat itu sudah di telepon ke layanan kamar baru terkesan kamar layanan kamar kurang tanggap kursi di kamar 319 tidak nyaman ketika duduk agak duduk,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.8743733763694763,Guest Experience,"Guest Experience (0.99); Location, Accessibility & Parking (0.99); Facilities & Amenities (0.98)"
Abdurrauf Putra Dirwa,2025.0,5,lokasi cukup dekat ke semua tempat wisata pelayanan bagus dan ada fasilitas lembah nya juga sangat membantu,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9994246959686279,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.96)
Friska Panjaitan,2025.0,5,sangat senang bisa menginap di sini sebelum melanjutkan perjalanan ke dairi lokasi strategis kamar dan fasilitas lainnya nyaman staf ramah dan sangat membantu,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9992864727973938,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.97); Guest Experience (0.96)
Iboen Gultom,2025.0,5,Saat baru tiba di hotel mati lampu tapi cepat di atas bahkan saat naik lift kami di dampingi sama karyawan hotel kerenlah makanan sarapan pagi nya enak,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9991381168365479,Service Quality,Service Quality (0.95); Service Efficiency & Responsiveness (0.93); Guest Experience (0.93)
Maya Notodisurjo,2025.0,5,menginap 3 malam di sini dan menyewa 2 ruang pertemuan di lantai lobi symfonia sauda untuk 1 hari hotelnya memang terkesan sudah tua dan kursinya tidak nyaman tapi servisnya luar biasa stafnya ramah dan cekatan terutama penjualan yang membantu kami kak dhea sangat mendukung dan proaktif di luar kursinya yang kurang nyaman baik di restoran maupun di kamar kamarnya sendiri menyenangkan luas bersih dan tempat tidurnya nyaman internetnya juga cepat jika mendaftar sebagai anggota peringatan sedikit menginap di kamar nomor 01 04 pemandangannya tpu dipadu dengan tirai tipes hitam di kamar benar2 vibesnya seperti menikah,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9990817308425903,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.99)
Adi Wibowo,2025.0,5,hotel dengan desain modern dan berwarna-warni lokasinya strategis dekat pusat kota kamar bersih staf ramah dan sarapan cukup bervariasi dianjurkan untuk perjalanan bisnis maupun liburan singkat di medan,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9993396401405334,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Staff Conduct & Hospitality (0.99)
batosainx samurai,2025.0,2,sarapan anak dari 5 dan 6 atau tahun lebih tahun kena biaya tambahan 45 ribu setiap anak nasi putih saat sarapan agak kering di kamar lantai 9 ada lantai kamar yang tidak rata kolam renang nya terlalu terasa kaporit nya mungkin sudah lama tidak ganti udara ya saran saya kalau sarapan anak mending jangan usah pakai biaya tambahan segala sesuatu,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.7525290250778198,Pricing & Value for Money,Pricing & Value for Money (0.21); Facilities & Amenities (0.11); Sustainability & Environmental Quality (0.11)
M Bobby Fadli,2025.0,5,Selama saya tinggal semuanya bagus okelah untuk hotel bintang 3 terima kasih,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9926522374153137,Service Quality,Service Quality (0.96); Facilities & Amenities (0.95); Room Quality & Comfort (0.90)
Dedek Asmara,2025.0,5,Kali kedua tidak ada di sini dan semua yang baru oke mulai dari segi layanan kamar dan lokasi yang strategis,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9619477987289429,Facilities & Amenities,"Facilities & Amenities (1.00); Service Quality (1.00); Cleanliness, Hygiene & Maintenance (0.99)"
Sri Wahyuni,2025.0,5,Sangat menyenangkan kamar yang luas dan bersih tv yang sudah android jadi bisa dingin sarapan juga sangat enk2 jika nginap disni tidak cukup 1 malam wajib lebih dari 1 malam guys,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9981186985969543,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.95); Room Quality & Comfort (0.92)"
Dwiki Aulia,2025.0,1,kamar kotor banyak rambut di bantal lantai kotor kamar mandi kotor berdebu pelayanan cs sangat tidak ramah harus di kasi peringatan mau kasi review jelek dulu baru dilayani ampun sekali tinggal di sini memperbaiki bayar lebih tapi hati senang memperbaiki jangan di sini parkir juga terbatas depannya kuburan,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.9993498921394348,Guest Experience,"Guest Experience (0.98); Pricing & Value for Money (0.96); Location, Accessibility & Parking (0.95)"
Dasa Putra,2025.0,5,kamarnya bagus dan nyaman pelayanan baik lokasi strategis hotel yang sangat ramah anak terima kasih ibis gaya pattimura,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9992560744285583,Room Quality & Comfort,Room Quality & Comfort (1.00); Facilities & Amenities (1.00); Service Quality (0.99)
Albus Thami,2025.0,5,sarapan enak makanan enak jus favorit banget kamar nyaman pemandangan bagus udara hangat nya bisa diatur hotel yang ada bantal gulingnya mantap sejauh ini baik mengeluh masih batas toleransi secara keseluruhan baik,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.999497652053833,Facilities & Amenities,Facilities & Amenities (0.99); Room Quality & Comfort (0.98); Service Quality (0.96)
Jaka Wijaya,2025.0,5,Dari awal masuk pelayanan sangat bagus keamanan sigap membantu valet kan mobil saya bellman membantu saya membawa barang bawaan yang cukup banyak staf resepsionis sangat ramah dan selamat datang terutama kepada mbak valen yang menangani cek masuk sampai saya cek keluar kamar sangat dingin sudah ada netfilx dan jg youtube koman renang indoor yang adem baru ini saya rasakan hotel yang kolam renang indoor sarapan cukup banyak variannya kemungkinan akan kembali ke sini terimakasih atas pelayananya,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9989462494850159,Service Quality,Service Quality (1.00); Staff Conduct & Hospitality (0.99); Safety & Security (0.99)
Tona Limbong,2025.0,5,kamar luas dan bersih desain kamar kereen serasa menginap di hotel bintang 5 pelayanan mantap apalagi menu sarapan enak dan standar hotel internasional berikutnya akan kembali lagi terima kasih ibis gaya medan pattimura,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9995088577270508,Service Quality,"Service Quality (1.00); Cleanliness, Hygiene & Maintenance (0.99); Room Quality & Comfort (0.99)"
Erika Chan,2025.0,5,sarapan nya enak bervariasi fasilitas lengkap cocok buat bawa anak anak pekerjanya ramah apalagi org restonya membantu banget next mau staycation kesini lagi,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9994334578514099,Facilities & Amenities,Facilities & Amenities (0.99); Family & Group Friendly (0.98); Staff Conduct & Hospitality (0.96)
Queenaisya Fasyani,2025.0,3,resepsionis cewek liat tamu dari penampilan padahal sangat sering nginap di ibis tapi udah 2 kali dengan ini kecewa sampai harus ngegas dulu baru bisa cek masuk untuk malam kedua mungkin kedepan coba cari referensi hotel lain dulu terima kasih ibis,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.998731791973114,Guest Experience,Guest Experience (0.45); Check in/out Experience (0.33); Booking & Reservation Experience (0.19)
Sutedi tedi,2025.0,5,Saya suka semua hal tentang hotel ini dari pilihan tata letak dan dekorasi semuanya melebihi harapan saya staf saya nya ramah ramah makanan dan minuman lezat oke menurut saya oke,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,positive,0.9994407296180725,Food & Beverage,Food & Beverage (1.00); Facilities & Amenities (1.00); Staff Conduct & Hospitality (1.00)
yogi pratama,2025.0,2,Tidak tahu kenapa beberapa kali menginap di sini kok makin kesini semakin berkurang kualitasnya terutama kualitas menu sarapannya itu itu saja,KOMPETITOR,Bintang 3,IbisStylesMedanPattimura,negative,0.9945347309112549,Food & Beverage,Food & Beverage (0.86); Guest Experience (0.66); Check in/out Experience (0.59)
