User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
EGGG YAMADA,2025,1,ada beberapa hal yang membuat saya kecewa menginap di hotel ini 1 hotel ini memiliki lokasi strategis jika Anda menginginkan hotel di simpang lima tetapi menjadi mimpi buruk karena hotel ini tidak disertai peredam suara suara kendaraan yang ramai lalu berteriak terdengar sangat jelas dari dalam kamar kamar saya berada di lantai 3 dan Anda pernah mendengar jingle tahu bulat yang diputar berulang kali oleh pendidiknya tahu bulat digoreng ayahakan bla bla pedagang tahu bulat yang mangkal dan menggelar lesehan di trotoar lobi sepanjang mulai berjualan depan dari jam 8 malam hingga jam 1 pagi menekan jingle itu dan ituyala terdengar kamar sudah,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,negative,0.9930865168571472,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.56); Guest Experience (0.52); Facilities & Amenities (0.50)"
ARDHY MC,2025,5,Hai ibis style simpang lima semarang baik 4 hari 3 malam yang sangat berkesan menginap di sini karena 1 kamar begitu nyaman dengan view simpang lima bisa membuat ngelamun hehe selain itu bersih wangi dan lumayan luas amenitis nya apalagi lengkapp pol apalagi mandi nya paling aku suka gembrojok 2 akses ke semua destinasi lengkap dan terjangkau 3 makanan enak banget 4 pelayanan dari satpam fo sampai dengan layanan kamar nya sangat membantu dan ramah 5 auh bu gm nya terbaik juga sangat informatif dan rendah hati terima kasih style depan simpang lima ibis tahun tahun tahun bobok sana lagi yeayy,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9994516968727112,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Service Efficiency & Responsiveness (0.98)"
Atif Andrian,2025,5,Dari lokasi deket banget sama simpang lima kebetulan dapat kamar yang langsng menghadap ke simpang lima keren abis represiinya juga ramah saya permintaan sarapan jam 5 karena jam 05 30 mesti ke salatiga besoknya sudah siapin top banget pelayanannya,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9990395903587341,Service Quality,Service Quality (0.98); Service Efficiency & Responsiveness (0.97); Facilities & Amenities (0.93)
M Arief Rahman,2025,5,1 lokasi strategis terletak tepat di jantung kota Semarang hotel ini hanya beberapa langkah dari kawasan simpang lima yang ikonik akses ke pusat perbelanjaan kuliner dan transportasi umum sangat mudah sehingga memudahkan pengunjung yang datang untuk urusan bisnis maupun liburan 2 desain modern dan nyaman konsep interior bergaya modern chic khas ibis gaya memberikan suasana ceria dan segar sejak pertama kali masuk setiap ruangan dirancang dengan warna warna hangat menarik dan tata cahaya yang menciptakan kenyamanan tersendiri bagi tamu 3 pelayanan ramah dan profesional staf hotel sangat responsif sopan dan sigap membantu kebutuhan tamu proses masuk dan cek keluar berlangsung cepat sementara kebersihan kamar dan fasilitas selalu terjaga publik,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9991357922554016,Facilities & Amenities,Facilities & Amenities (0.93); Room Quality & Comfort (0.93); Ambience & Design (0.91)
rexy mo,2025,4,pertama kali datang kamar kurang bersih masih banyak sisa rambut dan serpihan tisu di kamar sudah minta dibersihkan namun tidak ada perubahan secara pandang oke persis di depan simpang lima ac dingin toilet bersih namun tidak ada ex harus keluar co telat lima 5 menit kartu hotel sudah deaktivasi harus minta aktif lg ketika mau beres2 cek keluar kamar kurang kedap kamar sebelah masih nyaring terdengar bunyi flush toiletnya semoga semakin berbenah,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.8684244751930237,Service Quality,Service Quality (0.51); Check in/out Experience (0.41); Guest Experience (0.37)
Santosa Santosa,2025,3,tinggal di sini untuk 1 malam di 11 okt untuk kebersihan oke sesuai standar accor tapi ada beberapa hal yang kami alami yang perlu jadi perhatian untuk yang akan tinggal di sini 1 saat akhir pekan mulai pukul 5:30 pagi dari kamar keluarga suara dari mobil hari bebas sudah sangat mengganggu suara horeg dari sistem suara lapangan simpang lima sangat mengganggu jika kita berencana bangun siang sudah 2 untuk kopi dan teh di kamar kopi menggunakan bubuk dan teh celup yang disimpan dalam toples kecil sehingga wangi kopi dan teh sangat berkurang 3 untuk yang memesan kamar dengan tipe keluarga dengan sarapan melalui accor offline perjalanan online harap dipastikan bahwa pemesanan,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,negative,0.9886660575866699,Facilities & Amenities,"Facilities & Amenities (0.92); Cleanliness, Hygiene & Maintenance (0.90); Food & Beverage (0.81)"
Natalia,2025,4,kamar nya kurang bersih sih ada rambut gumpalan d lantai kamar kmd sarung bantalnya pada bau apek tidak kering tolong lebih d tingkatkan untuk standar kebersihannya sarapan lumayan desain hotel modern,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.625519335269928,Ambience & Design,"Ambience & Design (0.69); Service Quality (0.46); Cleanliness, Hygiene & Maintenance (0.40)"
Triwahyuni Wulandari,2025,3,lokasinya startegis parkir luas karena bekas mall tapi dengan harga kamar rp 1 050 0 pada hari kerja sih kecewa tidak sesuai ekspektasi 1 meja koper hanya bisa dipakai dalam keadaan tertutup untuk buka koper hra di lantai 2 keset hrs diminta 3 basement tidak ada lift untuk bawa koper jadi repot 4 teh dan kopi dalam toples payah sih ini 5 jalan menuju kamar hrs dapur melewati resto 6 suara aktifitas dilorong dan suara pintu buka tutup kamar lain terdengar keras tidak kedap suara minum udara putih mengisi dari dispenser untuk pelayanannya standar tidak lagi sih nginep di sini,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,negative,0.9987626075744629,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.96); Facilities & Amenities (0.85); Food & Beverage (0.81)"
Ahmad Haidzir,2025,3,saya menginap pada tanggal 27 29 Oktober 2025 dengan memesan kamar superior double bed dengan pemandangan kota pada aplikasi traveloka saya lihat foto ruangan sangat lega terdapat meja bundar dan sofa disamping jendela yang menghadap ke luar tetapi yang saya dapatkan kamar yang sangat sempit bahkan untuk mencari posisi untuk shalat sangat sempit ranjang yang berdampetan dengan dinding dan jendela pada foto tampak ada meja bundar dan sofa nyatanya zon tidak sesuai foto bahkan antara ranjang dan tv terdapat meja mini bar sangat tidak sesuai dengan foto kemudian untuk sarapan harus dipastikan saat pemesanan untuk 1 orang 2 orang,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,negative,0.9945076107978821,Facilities & Amenities,Facilities & Amenities (0.79); Booking & Reservation Experience (0.63); Religious & Halal Features (0.55)
Ardiana Putri,2025,5,Pelayanan lumayan bagus tapi sayang di dalam kamar tidak tersedia pengering rambut sekalinya minta tidak ada angin nya semoga kedepan nya bisa memberi fasilitas lebih,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.5367045402526855,Service Quality,Service Quality (0.98); Guest Experience (0.95); Facilities & Amenities (0.79)
Rachmat Mulyono,2025,5,beberapa kali transit semarang nginepnya disini kamar bagus dan bersih cari makanan juga mudah tinggal keluar hotel banyak warung tenda depan simpang lima tempat parkir mobil lumayan cukup di ruang bawah tanah,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9995083808898926,Facilities & Amenities,"Facilities & Amenities (0.99); Room Quality & Comfort (0.98); Cleanliness, Hygiene & Maintenance (0.98)"
chandra donni,2025,5,Hari ini adalah hari ke 8 saya menginap di hotel ibis style simpang 5 semarang untuk ruangan makanan dan minuman menurut saya cukup enak namun dari sisi pelayanan saya sangat mengapresiasikan sekali karena selama saya menginap di sini sedang ada demo dan dari sisi hotel dengan baik menginformasikan kita agar tidak berlama di luar hotel untuk menghindari terjebak di kerumunan demo 1 poin lagi positif selama saya menginap di banyak hotel dengan durasi yang cukup lama tidak pernah ada layanan pelayanan yang ditawarkan oleh pihak hotel namun di ibis style simpang 5 saya mendapatkan pelayanan untuk makan pagi dengan bebas memilih makan sesuai dengan keinginan kita dan tidak,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9801561832427979,Food & Beverage,Food & Beverage (0.92); Service Quality (0.75); Guest Experience (0.59)
Linda Ernawati,2025,5,Tidak diragukan kualitasnya kamar bersih tv lebar dan berfungsi pemandangan dari lantai 5 cukup menyenangkan tidak terlalu bising meskipun di sebelah jalan raya ada udara hangat yang berfungsi dengan baik di sekitar hotel banyak sekali penjual makanan jika malam ingin jalan mencari makanan jalan sangat menyenangkan juga tidak mengecewakan sekali,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.99915611743927,Room Quality & Comfort,Room Quality & Comfort (1.00); Facilities & Amenities (1.00); Service Quality (0.99)
inayah aulia,2025,5,Saya menginap 5 hari di hotel ini lokasinya strategis sekali kondisi kamar semuanya oke bagus tidak ada yang kurang menu sarapannya bermacam2 dan enak tapi ketika hari terakhir saya menginap bubur ayamnya terasa asin sekali,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.5502007007598877,Food & Beverage,Food & Beverage (0.99); Facilities & Amenities (0.98); Room Quality & Comfort (0.98)
Leonardus Gunardi,2025,5,lokasi hotel ini terletak di daerah strategis kota semarang dekat dengan fasilitas umum n komersial juga kantor pemprov kepolisian dan kamar lainnya sangat ideal dengan konfigurasi 3 tempat tidur pelayanan housekeepingnya harus ditingkatkan sebab kebersihan pembersihan ruangan adalah nilai dalam mengelola hotel dibawah akor terima kasih,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9989598989486694,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Service Quality (0.98); Facilities & Amenities (0.94)"
Buuk Jabrig,2025,1,layanan lebih utara dari buruk tahun 2023 saya pernah menginap di sini dan komplen soal layanan kepada manajer operasi tahun ini kejadian sama dan komplen juga kepada manajer operasi yang sama tidak membaik malah semakin parah cek masuk pukul 10 malam dengah harapan bisa beristirahat dengan nyaman namun mendapat kamar di 520 dan 519 yang berhapit dengan staf kamar dan ruang kamar layanan sepanjang malam beberapa kali pintu sebelah kamar ditutup tanpa ditahan sehingga membentur kusen yang menyebabkan cukup keras membuat tidur beberapa kali bangun belum lagi jam 7 pagi bunyi staf membersihkan lorong menggunakan suara yang cukup keras dengan konformasi gmnya ternyata prosedur,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,negative,0.9984667301177979,Check in/out Experience,Check in/out Experience (0.88); Facilities & Amenities (0.82); Guest Experience (0.80)
iswah yudi,2025,1,dengan alasan AC nya inverter harus menunggu 15 menit untuk AC bekerja dan itu saya baru check masuk dalam keadaan kepanasan dari luar harus menunggu di dalam kamar kepanasan karena harus menunggu AC inverter ini nyala klo udah tau ini AC akan membutuhkan waktu untuk bekerja mungkin ya jangan gunakan kartu akses untuk membuat listriknya aneh banget harus tamu yang tahu dengan AC inverter,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,negative,0.9961554408073425,Check in/out Experience,Check in/out Experience (0.94); Guest Experience (0.82); Sustainability & Environmental Quality (0.48)
Djoko Julianto,2025,4,lokasi hotel sangat strategis bagi wisatawan yang ingin mengeksplorasi simpang lima namun bagi yang berharap kamar yang lapang hotel ini bukan pilihan yang tepat bagi yang hendak bepergian di minggu pagi mungkin ini mushibah dan anda harus berjalan dan membawa barang barang bawaan untuk menjangkau taksi atau layanan online lainnya jalanan ditutup atau tidak dapat diakses pada minggu pagi pertimbangkan dan antisipasi jadwal bepergian anda di minggu pagi jika anda ingin kamar dengan jendela yang mendapatkan sinar matahari tanyakan dahulu kepada petugas karena bisa jadi anda akan mendapatkan kamar dengan jendela yang menghadap dinding sisi terdapat hotel beberapa pilihan menu untuk sarapan harap hati hati informasi tentang apa yang yang,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.7020931243896484,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.94); Facilities & Amenities (0.90); Booking & Reservation Experience (0.81)"
Lydia Susanto,2025,3,Awalnya senang memilih hotel ini tapi setelah memeriksa masuk kecewa banget sama ac nya baru baca tamu lain review 15 menit baru adem saya ud nunggu 20 menit tidak adem adem mengeluh ke resepsi diminta menunggu 45 menit baru adem parah ud capek mau istirahat harus panas di dalam kamar setelah 1 jam ganti kamar ternyata ac emang begitu padahal paginya ditanya tiba jam brpa saya sudah info jam 14 tiba saran saya jika perlu 1 jam sebaik baru dinyalain dulu ac nya jadi tamu tidak menderita apalagi setelah perjalanan jauh perlu istirahat biasanya di hotel ibis kota gaya lain saya nyaman ac dingin,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,negative,0.9981098175048828,Check in/out Experience,Check in/out Experience (0.78); Guest Experience (0.75); Booking & Reservation Experience (0.65)
Dwi Novria Ambarwati,2025,5,1 kamar bagus desain interior baru 2 toilet bersih dan nyaman 3 lokasi strategis depan simpang lima 4 makanan oke tapi walaupun ada pemanas makanan namun tidak digunakan sehingga sayur dan makanan lainnya dingin,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9983450174331665,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.98); Room Quality & Comfort (0.98)"
Adinda Rahmadina,2025,5,Salah satu hotel yang cukup murah yang cukup oke di Semarang lokasi strategis depan simpang 5 kamar yang cukup luas untuk tipe interior delica minimalis dan terang sarapan lumayan enak meskipun varian makanannya tidak begitu banyak tapi sangat oke menurutku untuk sekelas hotel bintang 3 staf ramah dan informatif kamar mandi cukup luas dan bersih parkir mobil menyalahkan luas dan mudah untuk manuver suv dari parkir ke lobi tidak ada lift cuma ada tangga jadi pastiin jika bawa koper barang banyak drop dulu di lobi ada beberapa kamar dengan kolom tiang struktur di ruangan tengah mengganggu mobilitas dalam ruangan dan mengurangi luasan ruang menurut saya pribadi tapi secara keseluruhan,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9992073178291321,Staff Conduct & Hospitality,"Staff Conduct & Hospitality (0.97); Facilities & Amenities (0.95); Location, Accessibility & Parking (0.95)"
ruben mira,2025,5,Hotel dilokasi yang sangat strategis mau makan kuliner tinggal jalan kaki ke setelahnya mau olahraga pagi hari cukup keling lapangan simpang lima semarang mantap dah,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9993928670883179,Facilities & Amenities,Facilities & Amenities (0.94); Guest Experience (0.82); Service Efficiency & Responsiveness (0.81)
Azmi Fadlillah,2025,5,2 kali menginap di sini untuk masing masing 7 hari 6 malam waktu yang cukup panjang karena perjalanan dinas di kota semarang secara lokasi itu benar-benar oke karena strategis deket banget sama simpang lima banyak jajanan dan kulineran di sekitar bisa olahraga di simpang 5 semarang juga dan aksesnya mudah membangun hotel cukup baru namun ac di kamar kurang responsif perlu menunggu sekitar 15 20 menit untuk kemudian terasa dingin dingin udara hangat di ruang lapang maupun mandi juga kadang ngga terasa panas hanya hangat suam suam kuku saja saja akan sangat baik jika diket kembali untuk pemanas air dan kondisi ac nya kamar ngga terlalu kedap entah bagaimana,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9972244501113892,Facilities & Amenities,"Facilities & Amenities (0.94); Location, Accessibility & Parking (0.76); Service Quality (0.70)"
Megadea Relegia,2025,5,oke sih klo saya dateng rombongan org 26 bisa lewat telepon dengan harga lebih bersahabat sarapan juga enak,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9972208738327026,Pricing & Value for Money,Pricing & Value for Money (0.92); Food & Beverage (0.92); Family & Group Friendly (0.91)
Arga Saputra,2025,5,parkir ruang bawah tanah roda 4 kapasitas sampai 20 an beberapa area masih ada kegiatan renovasi lokasi sangat strategis dekat mall ciputra kantor gubernur simpang lima kamar bersih toilet bersih tangan lembut bersih amnities tersedia lengkap sampo sabun sikat gigi pasta gigi sisir shower cap buds katun sandal tangan dll sarapan beragam dan enak lantai 1 tersedia chattime,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9994903802871704,Facilities & Amenities,"Facilities & Amenities (0.99); Service Quality (0.98); Cleanliness, Hygiene & Maintenance (0.97)"
esra simangunsong,2025,5,resepsionistnya kurang ramah dan sedikit jutek mungkin karena kami cek masuk pakaiannya kurang rapi atau meremehkan melihat penampilan kami yang cukup lusuh dan kelelahan karena berangkat pagi dari jakarta,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,negative,0.9931734204292297,Food & Beverage,Food & Beverage (0.92); Check in/out Experience (0.87); Booking & Reservation Experience (0.84)
dhian katriani,2025,5,Staff nya semua ramah dan membantu penuh dari hari pertama sampai ketiga saya tinggal di hotel masyaallah sop nya dijalankan dengan baik dan konsisten menu sarapan juga bervariasi berganti setiap hari dengan tema ada tema sunda jawa dan yang jelas rasanya enak kamar juga saya rasa kedap suara ya secara keseluruhan bersih dan dianjurkan cuma sayangnya tidak ada taman bermain atau kolam jadi buat hiburan anak ya harus keluar hotel view hotel adalah simpang lima jadi lokasi yang strategis buat kemana mana ke mall tinggal jalan wisata kuliner malam di simpang lima tinggal jalan kaki ke stasiun juga hanya dekat 3km terimakasih,KOMPETITOR,Bintang 3,IbisStylesSemarangSImpangLima,positive,0.9991936087608337,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Staff Conduct & Hospitality (0.99); Service Quality (0.98)"
