User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Yutiara Tariman,2025,5,Pelayanan sangat memuaskan kamar bersih dan rapi fasilitas lengkap sesuai deskripsi proses cek masuk cepat dan staf sangat membantu serta pelayanannya ramah sangat direkomendasikan,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.9992013573646545,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Room Quality & Comfort (1.00)"
Sepmita Bepis,2025,5,lokasi strategis di tengah kota dan di dalam bsb dekat pusat perbelanjaan dan kuliner ada semua kamar cukup luas dan lengkap ada pengering rambut di kamar udara disini mengisi jadi bisa minum sepuasnya daripada hotel pada umumnya hanya dikasih 2 botol 600ml kolokannya banyak ada di kasur di meja di dinding di kamar mandi menu sarapan variatif pada hari ini saya bisa nasi kuning nasi putih nasi goreng bubur salad macam protein dan sayuran juga ada kafe hotel ini memiliki kafe di restonya cocok untuk membuat nongkrong ngopi dengan harga sekitar 25 ribu secara keseluruhan sekali dan harganya tidak mahal,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.9993281364440918,Facilities & Amenities,Facilities & Amenities (0.97); Food & Beverage (0.96); Service Quality (0.87)
Herfani,2025,3,pengalaman menginap di sini kurang menyenangkan padahal saya ibu2 tapi dikasih ruang merokok alhasil kamar bau banget sampai tenggorokan sakit sendiri jika digunakan nafas komplain minta kamar tidak merokok tidak dikasih karena penuh di perawatan ozon tidak ngaruh apa2 kembali ke kamar tetap bau rokok basi sampai kasurpun baunya bikin mual,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,negative,0.99903404712677,Guest Experience,Guest Experience (0.77); Check in/out Experience (0.53); Facilities & Amenities (0.49)
Desi Arero,2025,5,hotel strategis d tengah mall kamar bersih pelayanan staf ramah terima kasih mas irwansyah dan mba alma dianjurkan untuk kluarga yang ingin menginap tpi smbil nge mall terbaikt,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.9993453621864319,Service Quality,"Service Quality (0.99); Staff Conduct & Hospitality (0.98); Cleanliness, Hygiene & Maintenance (0.98)"
Dimas Arya Saputra,2025,5,pengalaman kunjungan disini yang terbaik banget kamarnya nyaman view nya bagus terutama staf nya ramah dan sopan pertahankan ya,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.9992130994796753,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Guest Experience (1.00); Staff Conduct & Hospitality (1.00)"
Indri Yuliani,2025,5,hotelnya bersih terutama area restorannya bersih dan nyaman banget minumannya enak banget dan stafnya ramah apalagi mba vanya terimakasih untuk bantuannya sukses selalu quest hotel,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.999488353729248,Food & Beverage,"Food & Beverage (0.99); Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.98)"
Tegar Atmajaya,2025,5,saya sangat puas menginap di hotel ini pelayanannya luar biasa ramah dan cepat tanggap staf selalu siap membantu dengan senyuman dan memastikan semua kebutuhan tamu terpenuhi kamar bersih nyaman dan fasilitasnya lengkap lokasi strategis dekat tempat makan serta daerah wisata pokoknya dianjurkan sangat pasti akan kembali menginap di sini,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.9994066953659058,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (1.00); Service Quality (1.00)
Armawati,2025,5,kamarnya nyaman bersih barang2 nya berfungsi dengan baik pelayanan nya baik staf hotel sangat ramah baik resepsionis pelayan maupun keamanan letak hotel sangat strategis karena berada di sekitar mall yang cukup bergengsi di kota balikpapan sangat dianjurkan untuk menginap di quest hotel balikpapan,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.999273955821991,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Staff Conduct & Hospitality (0.99)"
M Fiqri Perdana,2025,5,untuk kamar sudah bagus nyaman rapi bersih pelayanan nya jg sangat ramah dan untuk fasilitas juga cukup lengkap hanya satu saran kecil akan lebih menyenangkan lagi jika tersedia netflix di tv kamar selainn itu sudah sempurna pasti saya akan kembali lagi terima kasih,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.9995015859603882,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Service Efficiency & Responsiveness (0.99)"
Nur Qomaryah,2025,5,hotelnya bagus bersih lokasinya juga strategis ditambah pelayanan resepsionis ramah sekali terima kasih mas irwansyah hotelnya dianjurkan banget,KOMPETITOR,Bintang 3,QuestHotelBalikpapan,positive,0.9994252920150757,Service Quality,Service Quality (0.98); Facilities & Amenities (0.98); Service Efficiency & Responsiveness (0.97)
