User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Elce Fintari,2026,2,menginap di sini rasanya kenna prank mulai dari kamar baru dan restorannya yang saat sarapan makanannya habis tidak mampu lagi saya mendefinisikannya 1 lagi angkatnya tunggu lebaran baru bisa turun ke lobi kesan pertama kacau banget kamar yang kotor dan berdebu di tambah lagi toilet yang bau membosankan keesokan harinya sarapannya tidak jelas pada habis semua dan refilnya lama meja yang kotor dan sepertinya stafnya juga bingung mau beresin dari mana masalah menyelesaikan stafnya kurang saat mendapatkan komplain aku benar tidak nyaman dan semalam itu tidak murah loh di musim tinggi pesanan nya omg tidak akan akan ku ulang lagi dah,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,negative,0.9992964267730713,Facilities & Amenities,Facilities & Amenities (0.93); Guest Experience (0.92); Check in/out Experience (0.80)
Monica Deswina,2025,1,pastinya bukan hotel 4 bintang 1 menunggu kamarnya siap kurang lebih 25 menit di lobi pun sofanya sangat berdebu dan bau orang tua saya yang yang sensitif dengan debu langsung bersin2 2 setelah menunggu kamarnya siap dikasih kartu akses untuk angkat tapi akses kartunya juga tidak berfungsi dan saya harus kembali lagi ke resepsionis untuk menukar kartu 3 kamarnya sangat luas tetapi kamar sangat tua kamar bau sprei seperti tidak diganti bantalnya per ranjang dikasih 2 namun 1nya warna kuning bau benar2 kuning 4 toilet sangat bau pipa bau mendapat 5 saya sempat telepon resepsionis untuk meminta mengirim tetapi baru kali ini saya mendengar resepsionis ini,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,negative,0.998430073261261,Facilities & Amenities,Facilities & Amenities (0.75); Service Quality (0.60); Guest Experience (0.60)
Fendy Rakhmat Ardiansyah,2025,1,pengalaman pertama saya menginap di hotel bintang 4 di jakarta yang paling tidak nyaman membangunmu dengan pelayanan yang buruk saya ngegym tanpa sepatu langsung di tegur lewat mikrofon dan langsung naik satpam nya saya pernah menginap di merkuri simatupang tidak gitu juga cara mengingatkan saya mungkin dari kampung yaitu kalimantan tapi saya bukan yang pertama nginap di hotel,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,negative,0.9979302883148193,Guest Experience,Guest Experience (0.67); Facilities & Amenities (0.58); Check in/out Experience (0.50)
Anisa Ashari,2025,5,disini karena ada acara kunjungan industi 2 tempat tidur untuk 3 orang mantep sih luas banget kamarnya fasilitas lengkap dekat juga sama warung minimarket nyaman banget,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,positive,0.9995154142379761,Facilities & Amenities,Facilities & Amenities (0.99); Guest Experience (0.96); Family & Group Friendly (0.95)
Efa Widyastuti_Sukoharjo,2025,4,kamar bersih tapi nuansa coklat agak terasa bagaimana begitu kalau naik harus bantuan dari operator jadi kurang fleksibel pelayanan bagus ramah resto masakan enak spesial koki kimiko terima kasih atas kebaikan anda begitu rendah hati,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,positive,0.999015212059021,Guest Experience,Guest Experience (1.00); Service Quality (0.99); Staff Conduct & Hospitality (0.99)
Aries Wijaya,2025,5,Wow gk ada yang d ragukan lgi sudah cocok buat liburan disini tempat nya kamar bersih pelayanan nya bagus makan nya smua enak,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,positive,0.9994263648986816,Service Quality,Service Quality (0.99); Facilities & Amenities (0.99); Room Quality & Comfort (0.99)
Caitlin Maddie,2025,5,pengalaman yang sangat memuaskan bisa menginap di hotel best western mangga dua ini saya tahu info penginapan ini dari tiktok sejauh ini semua oke mulai dari pelayanan yang ramah lobi yang luas dan kamar juga luas untuk sarapan variatif dan akses untuk kemana pun juga deket banget sih dengan harga terjangkau sangat layak ya untuk menginap bisnis atau liburan,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,positive,0.9993353486061096,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (1.00); Service Quality (1.00)
Ilham,2025,5,Selama tinggal di sini saya merasa nyaman banget seperti rumah sendiri pelayanan staf yang ramah makanan enak dan variatif kamar luas dan melihat nya kuep banget suasana sekitar juga tenang cocok untuk liburan sambil bekerja hehe best banget deh pokoknya,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,positive,0.9995595812797546,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Room Quality & Comfort (0.98)
beny bs,2026,5,Kamar luas double queen bed layanan yang baik terima kasih chef kalimi buat sushi nya langsung dibikinin euy mantap krunchy,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,positive,0.9990918636322021,Service Quality,Service Quality (1.00); Facilities & Amenities (0.99); Guest Experience (0.99)
Glazzy,2025,5,ku pesen lewat traveloka stafnya membantu aksesnya mudah pesan kamar deluxe king dikasihnya eksekutif karena lg ramai katanya air panas dan minibarnya oke banget ada freeparking staff di resto yang jaga stall waffle ramah sekali nama lupa huruf depannya bapak k terlihat seperti chef senior staff lainnya jg ramah kok klo nyari nyaman dan lg ada acara di ancol jiexpo ini oke banget menurutku cuma minusnya angkatnya lama dan colokan dikamarnya sedikit sekali dan untuk makan sarapannya kurang bervariasi,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,positive,0.9938539266586304,Facilities & Amenities,"Facilities & Amenities (0.97); Location, Accessibility & Parking (0.96); Service Quality (0.92)"
NMahendra official,2025,5,kamar luas dan bersih sarapan beragam dan staf ramah banget untuk fasilitas lain juga oke banget walaupun hotel nya sudah lama tapi kebersihan semuanya sangat terjaga terima kasih best western mangga dua,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,positive,0.9994513392448425,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Staff Conduct & Hospitality (0.98); Facilities & Amenities (0.98)"
Rudy Fridian,2025,4,pesen kamar king eksekutif ac kurang dingin padahal ada dua yang di plafon sama ac pecah pintu kamar mandi yang geser tapi goyang2 gitu seperti mau copot sempet kejadian gabisa di buka,KOMPETITOR,Bintang 4,BestWesternManggaDuaHotel&Residence-Jakarta,negative,0.9957886338233948,Booking & Reservation Experience,Booking & Reservation Experience (0.75); Personalized & Special Services (0.69); Facilities & Amenities (0.60)
