User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
PEMlLlK KOST,2026,5,Fox Harris Hotel City Center pemilik info kontak Wa O2lỽ2ỽZ7,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,neutral,0.9970123767852783,Religious & Halal Features,Religious & Halal Features (0.58); Service Quality (0.57); Pricing & Value for Money (0.57)
suryo haryono,2025,5,menginap 2 malam dihotel ini pengalaman yang cukup bagus ada beberapa reviu dari saya tambah lokasi srategis dan lingkungannya tenang semua pegawai saya melihat ramah minum udara refill ini paling oke kamar cukup bersih parkir cukup tv nya cukup oke saluran lengkap gambar jernih minus karpet dikamar sudah kusam perlu dicuci ketika ac mati aroma karpetnya terasa kurang enak lantai dan karpet dilorong sudah kusam ada noda hitam perlu peremajaan toilet di restoran jadul perlu peremajaan angkat nya bunyi variasi makanan untuk sarapan terlihat kurang jam buka kolam renang jam 8 terlalu siang jika bisa dimajukan seperti hotel lain,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,positive,0.9832724332809448,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.99); Facilities & Amenities (0.98); Guest Experience (0.93)"
Sylvia Yong,2025,3,lokasi memang super dekat kemanapun di tengah kota 5 menit ke braga 10 menit ke cibadak 6 menit ke riau pokoknya super strategis jadi tidak stres kena macet di bandung hotelnnya sudah agak tidak terawat kamar hotel ac nya bocor parah sampai netes2 dan agak shock jg sekelas bintang 4 kamar tidak redam suara jadi siapapun yang berisik di lorong kamar auto kedenger ke dalam kamar double bed nya ukurannya kecil banget entah bagaimana binggung juga kenapa pintu kamar bunyi terus buka kalau entah apa jadi berisik banget jika buka tanpa sensor lagi ada kartu orang pintu lama cabut sensor buka,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.9910456538200378,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.74); Service Quality (0.69); Facilities & Amenities (0.68)"
yosua parikesit,2025,4,Jalanannya cukup sepi jadi cocok untuk beristirahat tempatnya sederhana ruang pertemuannya luas makananannya tidak ada masalah ac dingin dan yang paling bikin menyenangkan itu colokan dikamar nya banyak bagian kamar mandinya sudah banyak yang perlu diperbaiki dan kamarnya tidak begitu kedap sandalnya oke,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,positive,0.9987888932228088,Facilities & Amenities,Facilities & Amenities (0.94); Service Quality (0.75); Guest Experience (0.56)
Indah Fauziah,2025,3,gara gara kemakan review review review tik yang katanya bagus ternyata diluar ekspektasi hotelnya jauh dari keramaian maintenance nya saja yang kurang sehingga karpet handuk dan hordeng agak kusam untuk cs oke ramah banget satpamnya ramah cuma sebaiknya bantu pelanggan buka pintu yaa itu pintu berat banget untuk resto tolong menu dibuat lebih variasi lagi rotinya kurang lembut pudingnya kurang oke,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.9905635118484497,Facilities & Amenities,Facilities & Amenities (0.93); Staff Conduct & Hospitality (0.89); Food & Beverage (0.87)
Cimot Cimit,2025,1,Banyak kejutan yang saya dapatkan dari hotel ini kamar kotor karpet kotor pintu tidak bisa terkunci mandi yang hampir copot dan kalau menimpa tamu siapa yang mau tanggung jawab tempat tidur banyak noda kotor dan bau benar2 tidak layak disebut sebagai hotel bagian dari ascott makanan bfast flat tidak ada rasa spp buntut dipesan makan siang jadi jangan pernah kembali lagi ke hotel ini,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.99896240234375,Facilities & Amenities,Facilities & Amenities (0.97); Guest Experience (0.91); Food & Beverage (0.79)
kinda rizki,2025,3,kamarnya kurang bersih saja tidak tahu karena sudah lama atau mungkin pemeliharaannya yang kurang karena tipe hotel yang menggunakan karpet jadi karpet terlihat sangat kotor bagian ubinya juga banyak noda hitam yang sepertinya sudah lama lampu kamarnya juga sedikit remang remang kalau pelayanan dan resepsionis oke oke saja intinya jika cuman buat tidur masih oke tapi kalau buat staycation atau tipikal yang mau lama di dalam kamar kayaknya ngga dulu mksh,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.8996646404266357,Facilities & Amenities,Facilities & Amenities (0.95); Service Quality (0.92); Staff Conduct & Hospitality (0.85)
Ulfa Khoira,2024,5,kesini dua kali dalam sebulan yang pertama pesen kamar standar kamarnya kecil gelap dan semuanya merokok kamar tv nya tidak terlalu bagus tidak ada kulkas mini ruangannya kurang kedap suara yang kedua pesan kamar besar dengan balkon kamar lebih luas tersedia sofa dapet gratis minibar tapi minibar kosong hanya kulkas mini saja tidak ada cemilannya soalnya kalau di hotel lain dapet gratis minibar dapet cemilan sabun nya sedikit banget dipakai 1 orang sudah habis karena tidak berbusa untuk ac aman dingin tidak tersedia pengering rambut jadi harus telepon dulu minta diantar fo dan staf lainya ramah tidak banyak foto kamarnya karena b saja,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.9408751726150513,Booking & Reservation Experience,Booking & Reservation Experience (0.87); Facilities & Amenities (0.87); Pricing & Value for Money (0.69)
Rio Prabowo,2025,1,ini hotel parah sih lokasi juga susah loh kemana mana mana kamar kotor kumuh tidak kedap sama sekali tv belang interior seadanya sarapan seadanya parkir kendaraan tidak memadai depan hotel penuh dengan daun berguguran tapi harganya wow masa hotel harga 1 juta keatas ky gini kalau hotel bintang 3 saya masih tahu ini hotel bintang 4 loh konon katanya parah sih ini tidak direkomendasikan sama sekali,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.9988986253738403,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.96); Pricing & Value for Money (0.67); Facilities & Amenities (0.51)"
drg Kresna A,2024,4,pelayanan baik lokasi strategis makanan bervariasi dan enak namun disayangkan semua tipe kasurnya kembar digabung walau permintaan untuk 1 tempat tidur besar dan pertama datang dikasihnya tempat tidur penutup ukuran tunggal yang kecil untuk minuman disediakan dispenser di beberapa titik jadi aman untuk minum udara mineralnya untuk satpamnya membantu sangat baik untuk bantuin markirin mobil tapi di lobi baiknya ada yang siap untuk tawarin bantu bawa koper,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,positive,0.9761736989021301,Facilities & Amenities,Facilities & Amenities (0.99); Food & Beverage (0.97); Service Quality (0.97)
Mila Nur,2024,3,harga kamar deluxe twin rp 630 0 termasuk sarapan kamar lantai 3 kamar terlalu kecil untuk tipe hotel deluxe 4 bintang ditambah lagi karpet yang kotor kurang terawat dan warna yang menggunakan gel mandi dan shampoo reffil bukan yang kemasan perjalanan bisa dibawa pulang padahal foto di aplikasi kemasan perjalanan kamar lampu agak redup apa mungkin konsep kamar memang begitu entahlah toilet tidak ada pengering rambut kalau habis keramas atau habis berenang repot keringkan rambut untuk sarapan menu lengkap dari barat sampai tradisional dan refilnya pun cepat pelayan diresoranan sangat ramah dan gercep saya harap hotel manajemen,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.9913951754570007,Facilities & Amenities,Facilities & Amenities (0.95); Pricing & Value for Money (0.83); Service Quality (0.73)
Nurfika Osman,2025,3,enak sih kamarnya buat hotel berbiaya terjangkau dan stafnya ramah tapi masak ya malem2 ada tamu nyasar masuk ke kamar saya dong itu kejadiannya tanggal 8 maret malem sekitar jam 10 11 malem gila serem banget kok bisa kartu dia lolos untuk masuk kamar kami 521 sampai saya teriak bapak salah kamar saya tidak akan tinggal masuk hotel ini maaf keamanan tidak 1,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.9986506104469299,Pricing & Value for Money,Pricing & Value for Money (0.98); Staff Conduct & Hospitality (0.91); Facilities & Amenities (0.89)
ditha ayudiani,2024,5,kamarnya oke walaupun keliatan sudah tua tapi bersih dan tidak bau pelayanan nya oke staf ramah dan responsif tidak minta cek awal tapi karna pagi datang untuk titip barang kamar jam 12an sudah siap dan dihubungi melalui wa untuk layanan kamar pesan ayam jari enak dan cepat untuk sarapan makanannya biasa saja dan kurang variasi tapi masih bisa dinikmati lokasinya juga cukup ditengah kota dekat dari stasiun pengalaman keseluruhan menginap di sini cukup menyenangkan,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,positive,0.9977905750274658,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.99); Guest Experience (0.99)
Irfa Tasya,2025,5,kamarnya bagus hanya saja aroma kamar mandinya menguap membuat kurang nyaman semoga pada saat aku kembali cek di sini sudah tidak menguap lagi tolong diperhatikan pelayanannya bagus staf hotelnya semuanya ramah room serviceenya cepat tanggap untuk lokasi strategis sarapan nya enak semuanya terima kasih,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,positive,0.9986999034881592,Service Quality,Service Quality (0.97); Staff Conduct & Hospitality (0.96); Facilities & Amenities (0.92)
Muhammad Rayhan Bustam,2024,3,Karena mungkin grup harris harga kamar hotel ini bisa dikategorikan mahal ya tapi sayang kamarnya terlalu kecil tv juga belum smart tv yang digunakan plusnya tersedia dispenser udara di lorong2 lantai depan kamar jadi cukup mudah untuk mengisi ulang udara minum staf jg cukup ramah lokasi masih di pusat kota tapi tidak banyak lokasi kuliner yang ada di dekat2 hotel harus berjalan kaki agak lumayan untuk sampai ke pusat kuliner,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,positive,0.9982407093048096,Facilities & Amenities,Facilities & Amenities (0.93); Staff Conduct & Hospitality (0.93); Service Efficiency & Responsiveness (0.82)
Silvia Graviolen,2025,5,kamar bersih dan luas layanan ramah dan menyenangkan termasuk layanan kamar dan semua perangkatnya resepsionis namanya mba ratu sangat ramah dan respon cepat lokasi di tengah kota jadi deket kemana2 dan tempat2 sarapan populer baik standar sesuai harga keseluruhan oke layak untuk dibeli,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,positive,0.9994107484817505,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (1.00); Pricing & Value for Money (1.00)
Irly,2024,5,Saya sangat merekomendasikan tinggal di sini selain lokasi strategis pelayanan yang super baik sekali stafnya dan saya punya permintaan untuk di keluarkan dlu lukisan di kamar yang agak serem gambarnya bagi kami dan itu itu diijinkan suka banget dengan pelayanan yang luar biasa oiya ada kolam renang jg di lantai atap nya bisa merekomendasikan buat anak2 yang suka berenang bersih kolamnya dan tempat nya nyaman selanjutnya pasti tinggal di sini lg terima kasih ya,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,positive,0.9990863800048828,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.99); Guest Experience (0.98)
Hana Tjand,2024,3,Karpet kamar sangat kotor baik di kamar 207 maupun 208 tipe kamar bisnis saya menginap dengan membawa anak2 tidak nyaman untuk anak2 dengan kondisi kamar yang kotor dan udara di kamar mandi 208 tidak berjalan dengan baik mampet untuk kualitas bintang 4 sangat mengecewakan agak menyesal sih bayar 711 0 per kamar malam untuk kamar yang kotor dan pembuangan udara di kamar mandi yang mampet,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.999332845211029,Pricing & Value for Money,Pricing & Value for Money (0.80); Guest Experience (0.71); Facilities & Amenities (0.70)
Priskilla Theresia,2024,5,kebetulan dapat kamar yang kulkasnya berisik sekali bunyi listrik kulkas terlalu kencang sarapan kurang variatif dan kurang enak nasi putih keras parkiriran tidak terlalu luas lokasi oke dan ruangan nyaman jika kulkas tidak berisik,KOMPETITOR,Bintang 4,FOXHARRISHotelCityCenter-bandung,negative,0.649174690246582,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.99); Facilities & Amenities (0.97); Room Quality & Comfort (0.88)"
