User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
I Made Yuliartha Indrawidnyana,2025,5,Fox hotel grogol adalah pilihan yang bagus untuk wisatawan bisnis yang menghargai desain modern dan konektivitas tanpa mengorbankan kenyamanan strategis ditempatkan tepat masuk jantung distrik bisnis yang bersemangat barat jakarta hotel menyediakan akses langsung ke kantor perusahaan besar dan energi ritel kompleks taman pusat estetika di sini adalah apa yang benar-benar membedakan lobi menawarkan perasaan yang menarik dengan aksen industri pencahayaan mood mereka memiliki air gratis mengisi di lobi juga kamarnya super bersih dan memiliki gaya standar penting untuk perjalanan bisnis wifi adalah cepat dan stabil,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9990548491477966,Facilities & Amenities,Facilities & Amenities (1.00); Ambience & Design (0.98); Guest Experience (0.93)
Lien Lien,2026,5,bingung mau menginap di mana saat ini tahun baru akhirnya dapat rekomendasi dari teman untuk menginap di Fox lite hotel grogol saat check masuk resepsionis menyambut dengan ramah dan sangat membantu memberikan informasi tentang acara seru di lantai atas yang bikin suasana jadi menyenangkan bukan hanya itu kami pun diberikan makan malam saat masuk kamar masih ada kejutan tambahan berupa cemilan anak anak sangat senang pengalaman menginap yang berkesan dan menyenangkan,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9964686632156372,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Food & Beverage (0.98); Check in/out Experience (0.97)
Sendy Kurniawan,2025,5,Ini adalah kedua kalinya saya tinggal di Fox Lite Grogol Hotel pertama kali masuk Januari 2023 ketika pertama kali dibuka mengapa saya memilih Fox Lite Hotel Grogol sebagai tempat tinggal saya karena lokasi strategis kamar nyaman harga terjangkau dan staf yang sangat ramah kemarin saya memeriksa masuk dan dibantu oleh salah satu staf kantor depan di Fox Lite Grogol Hotel Kak Isma saya sangat terkesan dengan pelayanan dan keramahan dia melayani tamu sangat baik dari proses pendaftaran memeriksa masuk pilihan kamar dan bahkan membantu saya dengan kartu akses kamar sangat bersih rapi dan memiliki semua yang,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9936701059341431,Pricing & Value for Money,Pricing & Value for Money (0.99); Staff Conduct & Hospitality (0.99); Room Quality & Comfort (0.98)
April Apriliani,2025,5,kamar y lumayan bersih sudah dua kali menginap disini cuma semlm agak berisik dari kamar mandi sering bunyi udara y mgkn dari atas saran saja klu bisa memperbaiki sediain air botol kecil atau sedeng karna kalau cuma di sediain air ditaruh gelas beling model teko kurang bersih saja sih,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,negative,0.9228560328483582,Facilities & Amenities,"Facilities & Amenities (0.69); Cleanliness, Hygiene & Maintenance (0.63); Room Quality & Comfort (0.53)"
anna 88,2025,5,selalu berlangganan di fox lite hotel tempatnya bersih nyaman stafnya ramah khususnya buat kak isma selalu membantu tempatnya strategis deket dengan mall pokoknya mantap harga terjangkau fasilitas memuaskan,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9996007084846497,Service Quality,"Service Quality (0.99); Staff Conduct & Hospitality (0.99); Cleanliness, Hygiene & Maintenance (0.98)"
Adelyra Nisa Budiman,2025,5,layanan yang fantastis stafnya ramah ramah banget dari resepsionis sampai ke bellboy khususnya yang namanya bang feri dari awal masuk sampai cek keluar dapet perhatian penuh fasilitas sangat lengkap besar tinggal sih,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9986604452133179,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Quality (0.99); Check in/out Experience (0.98)
Indo Archilpelago,2025,5,hotel yang berdekorasi nyaman lokasi amat strategis harga juga layak kamar nyaman tersedia merokok di lantai atas dengan view 180 memndang kota jakrta barat front office ramah petugas ramah akses mudah wifi agak lemot mkanan jadi jadi karena saya tnya mreka tidak ada dapur jadi katering kamar bersih dekor kamar amat bagus mash brand new dekorasi nya handuk bersih bantal bersih tersedia kopi teh yang bersih dan tersegel dengan baik kamar mandi udara panas oke ac oke banget tv ukuran besar edisi tv andoid yang canggih bnyak chanel manajemen ascott emang top area luar ada merokok area top hrga bagus,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9995229244232178,Facilities & Amenities,Facilities & Amenities (0.97); Pricing & Value for Money (0.86); Service Quality (0.84)
Siti Muharromah,2025,5,kamarnya cukup luas bersih dengan smart tv yang cocok banget buat liburan dan ac nya luar biasa dingin lokasi juga strategis banget dekat mall mall dan transportasi umum nya lumayan banyak bisa kemana saja,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9994669556617737,Facilities & Amenities,"Facilities & Amenities (0.98); Room Quality & Comfort (0.97); Cleanliness, Hygiene & Maintenance (0.96)"
Ahmad Muharom,2025,5,menginap di fox lite hotel grogol memberikan pengalaman yang cukup memuaskan kamar yang disediakan tidak terlalu luas namun didesain dengan gaya minimalis modern yang nyaman fasilitas dalam kamar cukup memadai sudah tersedia smart tv dan pemanas udara untuk membuat minuman hangat meskipun belum tersedia kulkas kebutuhan dasar sudah cukup terpenuhi pelayanan dari staf hotel sangat ramah dan membantu baik di resepsionis maupun di daerah lain untuk sarapan pagi memang tidak terlalu luas dan pilihan menu tidak terlalu banyak namun cukup untuk memenuhi kebutuhan sarapan ringan sebelum memulai aktivitas lokasinya juga strategis berada di kawasan grinerogol yang cukup mudah diakses dan dekat dengan berbagai pusat aktivitas baik kul perbelanjaan,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.998365581035614,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.98); Guest Experience (0.96)
nessya aja,2026,5,Kamar bersih bebas asap berada disebrang royal taruma dekat kemana2 toilet bersih tangan dicuci bersih dan wangi,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9991154074668884,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Room Quality & Comfort (0.97)
Nova Veronica,2025,5,Layanan yang baik mas feri ramah sopan baik banget senang bisa menginap dsini pasti akan kembali lagi terima kasih gox lite grogol,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9984316229820251,Service Quality,Service Quality (1.00); Guest Experience (0.99); Facilities & Amenities (0.99)
reyki afrilian,2025,5,untuk kamar baru bersih dan nyaman menu sarapan baru enak juga sudah 3 kali kesini staf baru baik dan ramahh,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.998794436454773,Facilities & Amenities,"Facilities & Amenities (1.00); Room Quality & Comfort (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
Oke Mahdani,2025,5,Hotel yang bagus dengan layanan yang baik dan saya benar-benar suka rasa makanan sarapan dan jika Anda mengunjungi di sini jangan lupa untuk membeli croisant dan kopi itu benar-benar baik,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9992355108261108,Service Quality,Service Quality (1.00); Food & Beverage (1.00); Facilities & Amenities (1.00)
stephanus johan,2025,5,Terimakasih Fox Lite Hotel Grogol Dan Pak arga untuk pelayanan hotel sangat memuaskan kamar hotel bersih udara panas ac dingin makanan enak staf sangat ramah sekali,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9994485974311829,Service Quality,Service Quality (1.00); Facilities & Amenities (1.00); Guest Experience (1.00)
Mul Yati,2025,5,untuk kamar sangat bersih untuk dekorasi kamar ulang tahun ya juga memuaskan pelayanannya juga memuaskan makanan untuk sarapan ya juga enak bagus sih buat yang mau tinggal bersama teman atau keluarga dan untuk pelayanan terhadap pelanggan ya juga cepat respon dan dilayani dengan sangat baik oleh saleh arga wijaya terimakasih,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9991494417190552,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Cleanliness, Hygiene & Maintenance (1.00); Family & Group Friendly (0.99)"
Gladys Chandra,2025,5,Layanan masuk yang sangat baik fakta tinggal di sini cukup sering setiap kali mengunjungi jakarta sangat menghargai resepsi mas rizky membantu saya sepanjang jalan dari memeriksa masuk dan lain kamar yang bagus bersih dan rapi ruang dekat dengan pusat perbelanjaan dan tempat kuliner lainnya merekomendasikan foxlite 100 teruskan pekerjaan yang baik,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.998751163482666,Service Quality,Service Quality (1.00); Guest Experience (1.00); Facilities & Amenities (1.00)
Jafar Werfete,2025,4,hotel kecil dengan kamar yang luas bersih dan rapi serta nyaman hotel tenang tidak ramai hanya saja sarapannya yang biasa terlambat siap tapi untuk lokasi sangat strategis dan tenang,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9984349608421326,Room Quality & Comfort,"Room Quality & Comfort (1.00); Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99)"
Blessed Irene,2025,4,lantai kamar kecil dan bersih tidak karpet handuk tidak putih tetapi off putih 3 bintang hotel tapi pada tingkat yang kita membayar kita tidak harus mengharapkan banyak mereka menyediakan botol air dan mengharapkan tamu untuk mendapatkan air mengisi di lobi ada bau drainase yang kuat masuk toilet tidak ada banyak dalam jarak berjalan kaki pusat perbelanjaan dan neo soho dekat tapi perlu untuk mengambil transportasi,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,negative,0.9422320127487183,Service Quality,"Service Quality (0.99); Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.97)"
agatha lafentia,2025,5,hotel fox lite menawarkan pengalaman iftar yang sangat memuaskan acara buka puasa bersama yang diadakan di sini berlangsung dengan sangat lancar berkat pelayanan yang ramah dan profesional berkat pak arga makanan yang disajikan pun sangat lezat dan bervariasi membuat hotel fox lite pilihan yang tepat untuk acara iftar bersama keluarga teman atau kolega terima kasih hotel fox lite,KOMPETITOR,Bintang 4,FOXHARRISLiteHotel-Jakarta,positive,0.9992499947547913,Family & Group Friendly,Family & Group Friendly (1.00); Service Quality (1.00); Staff Conduct & Hospitality (1.00)
