User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Rahmat Hidayat,2025,5,Salah satu hotel dengan lokasi yang strategis di kota balikpapan dekat dengan bandara dan mall serta pusat perbelanjaan hotel dengan fasilitas yang sangat lengkap kolam renang dan menu sarapannya juga enak dianjurkan,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9995467066764832,Facilities & Amenities,Facilities & Amenities (0.99); Food & Beverage (0.95); Service Efficiency & Responsiveness (0.79)
Kenji-Nagao-Abel,2025,4,kamar bersih dan nyaman tersedia saluran hbo hbo fam hbo hits dll peralatan gym cukup lengkap menu sarapan pagi berlimpah dan berkualitas kolam renang kecil kurang menarik,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9916092753410339,Facilities & Amenities,"Facilities & Amenities (0.98); Room Quality & Comfort (0.93); Cleanliness, Hygiene & Maintenance (0.86)"
Husein Alfaritsi,2025,5,Salah satu yang menjadi terkesan adalah resepsionis nyamperin ke kita untuk memberikan kuncinya jarang2 ada seperti ini biasanya pegawai menunggu pelanggan untuk mengambil sendiri ke meja mereka seolah2 mereka membutuhkan kita untuk bisa menginap di sini jadi momen tak terlupakan hotel bersih nyaman untuk istirahat sebelum melanjutkan penerbangan ke jakarta apalagi habis dari daerah grogot 3 harian,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.995996356010437,Service Quality,Service Quality (1.00); Guest Experience (1.00); Check in/out Experience (1.00)
nizar fariz,2025,4,saya 2 hari menginap secara keseluruhan oke dari sisi staf yang ramah dengan pelayanan yang tanggap dengan makanan yang enak tapi untuk sekelas marriot chain hotel perlengkapan di toilet sangat kurang tidak ada alat cukur hanya ada 1 tangan kecil kemudian tidak ada tempat baru untuk menggantung tangan dan baju di toilet yang tepat apalagi kamar mandi yang ukurannya cukup kecil tolong belakang tirai rajin dibersihkan kemudian kolam lantai 5 juga kurang bersih hari pertama sudah saya laporkan ada kotoran yang berada dipojokan tapi sampai hari ke 2 kotoran itu tetap ada,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,negative,0.9961089491844177,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.98); Service Quality (0.97)
Annisa Ananda,2025,5,sayang banget tidak ada bintang 10 disini 10 keluar dari 10 untuk perhotelan seluruh staf di hotel ini resepsi dari saya cek masuk sampai cek keluar semuanya sangat baik hati dan sangat membantu sangat sangat sangat ramah sampai insinyur yang sedang bekerja di parkir saja menyapa suami saya yang yang keluar untuk mengambil barang di mobil sebenarnya ini salah satu hal yang sederhana dan sederhana yang harus selalu diterapkan dalam bisnis perhotelan tapi saya sudah sering menginap di berbagai macam hotel dan menurut saya pribadi empat poin balikpapan adalah salah satu yang terbaik proses cek masuk pun benar salah satu yang terbaik dan keluar dibalikpapan 10 dari 10 untuk restoran,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9959551095962524,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (1.00); Check in/out Experience (1.00)
Muammar Aldafi,2025,5,pengalaman pertama menginap sangat berkesan baik dari segi pelayanan kamar fasilitas seperti kolam renang gym hingga restoran sangat baik pertama menggunakan voucher dan kedua lanjut total 2 malam menjadi catatan bagian kasurnya bisa agak lebar lagi dan untuk tv seharusnya sudah bisa youtube dan netflix moga sukses selalu,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9983671307563782,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Booking & Reservation Experience (0.98)
lea jamil,2025,5,hotel luar biasa cmn untuk masalah parkir petugasnya lelet tidak sigap cuek lebih ramah sigap mas2 parkir bohong di semua hotel di balikpapan ini yang trburuk,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,negative,0.774811327457428,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.95); Staff Conduct & Hospitality (0.76); Guest Experience (0.61)"
Ika Bagus Priyambada,2025,5,hotel bersih dan tenang dekat dengan bandara lobi perlu dibuat lebih mewah lagi karena jadi wajahnya hotel berbintang,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9972913861274719,Service Quality,"Service Quality (0.95); Facilities & Amenities (0.94); Cleanliness, Hygiene & Maintenance (0.93)"
Asih Tanzila,2025,5,kalau ada kesempatan aku mau menginap disini lagi sihh aku tinggal di deluxe premium pool view bestt banget kamarnya luas semua staf servicenya luar biasaa yang paling gong sarapannya lengkap banget enak enak anak-anak friendly poolnya gedee ada taman bermain layak selama bolak balik balikpapan ini pengalaman menginap terbaik aku sih terima kasih empat poin,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9994694590568542,Service Quality,Service Quality (0.98); Facilities & Amenities (0.96); Guest Experience (0.96)
Viena Yuana,2025,5,Saya sangat mengapresiasi pelayanan staf yang sangat ramah terutama pak sany dan bu siska di restoran makan berkat bantuan staf staf yang tanggap saya dapat menikmati hidangan lezat di restoran tanpa harus kewalahan dengan anak balita saya selain itu kamar dan fasilitas lain sangat nyaman,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.999021053314209,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Guest Experience (1.00); Service Quality (1.00)
Rizky Trimulyani,2025,5,menginap pertama kali di sini Mei 2025 bisa jadi ini hotel terbaik di balikpapan saat ini ya pelayanannya gausah diraguin lagi desain interior tidak ada kamar super duper nyaman bersih dan lega kekurangannya hanya akses jalanan untuk bisa sampai di hotel sempet ngelalui banjir karena kebetulan hujan deras banget di balikpapan oya kolam renangnya terlalu kecil juga untuk ukuran hotel bintang 5 agak kurang cocok saja sih karena hotel sudah cukup bagus ini ya ya selanjutnya masih mau kembali lagi tinggal di sini lagi Juni 2025 coba tipe kamar yang begitu baik sarapannya sungguh layanan yang sangat niat ya enak enak enak semua semua ini lagi ag,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,negative,0.6631335616111755,Service Quality,"Service Quality (0.92); Facilities & Amenities (0.90); Location, Accessibility & Parking (0.66)"
Lidya Ariani,2025,5,Semua staf hotel ramah sigap proses co dan ci cepat kamar bersih kebetulan bawa anak kecil yang makan nya lumayan pilih2 jadi pesan sarapan untuk anak lewat resto dikasih gratis dan diantarkan ke kamar kolam renang nya bisa memilih yang besar di lt 2 atau atau yang kecil bisa untuk anak2 di atap bisa meminta kue tulisan jg untuk merayakan ulang tahun sgt mengesankan pengalaman menginap di sini,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9989448189735413,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
Dwikky Yudha Irshandi,2025,5,Menurut saya empat poin itu salah satu hotel yang bagus dengan pelayanan cepat cuman sebagai orang yang jarang nginap di hotel saya selalu dikagetkan dengan sistem yang berbeda di berbagai hotel salah satunya restoran hotel ini contoh jika ada lebih banyak orang di dalam kamar 520 maka salah satu tamu dari kamar 520 diharuskan membayar 100rb atau lebih jika ingin bergabung dengan tamu lain untuk sarapan,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.8284291625022888,Service Quality,Service Quality (0.92); Service Efficiency & Responsiveness (0.88); Guest Experience (0.88)
Semoga Berkah,2025,5,hotel yang harus dapat jempol sih kamarnya nyaman dan luas makanannya enak apalagi udang pete yang di stal makanan tradisional petugasnya ramah dan membantu banget kebutuhan pengunjung gercep menawarkan layanan pengantaran gratis ke bandara puas banget saya sekeluarga menginap di sini,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9994646906852722,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (0.99)
Sugiharto Ongkosurja,2025,5,Four points hotel balikpapan adalah hotel terakhir kami sebelum kembali ke jakarta dalam rangakaian perjalanan bali dan kalimantan kali ini hotel yang baik dengan pelayanan gedung kamar dan fasilitas yang baik sedikit kejutanketika masuk kamar ada selamat datang handuk seni yang luci dan kartu sambutan yang ditulis tangan dari manajemen hotel sederhana tapi menarik perhatian terima kasih untuk pengalaman yang berkesan tinggal di empat poin hotel balikpapan tetap melayani dari hati,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9979552030563354,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (0.99); Service Quality (0.97)
Yosua Simarmata,2025,5,deket bandara kamar nyaman kekinian sarapan bisa mengambil pergi pagi pagi bisa memilih menu barat atau asia mantap,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9990572333335876,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (0.99); Food & Beverage (0.97)
CH0ZEe,2025,5,keramahan nya baik dan juga makanannya enak akses menuju hotelnya juga mudah mungkin bisa di memperbaiki rambu untuk sirkulasi kendaraan di ruang bawah tanah biar lebih mudah dan informatif,KOMPETITOR,Bintang 4,FourPointsbySheratonBalikpapan,positive,0.9992067217826843,Facilities & Amenities,"Facilities & Amenities (1.00); Location, Accessibility & Parking (0.99); Service Quality (0.99)"
