User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
anshari siregar,2026,4,hal positif ada petugas yang mengarahkan meja berdasarkan jumlah tamu saat sarapan hanya saja perlu adanya edukasi kepada para tamu untuk mengambil makan secukupnya dan antri agar menumbuhkan budaya yang lebih baik lagi dan mencegah makanan terbuang banyak kolam renang baiknya di cek kembali kebersihannya terimakasih,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9578253030776978,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.98); Guest Experience (0.98); Staff Conduct & Hospitality (0.96)"
Dhila Salwa,2025,1,Tidak kembali ahahahah ac rusak terjebak di 27 derajat tapi alasannya karena ac mengikuti suhu ruangan komplain tapi sama frontlinernya diancam mau ngusir padahal sudah memesan 3 hari setelah marah2 di lobi hotel dan minta bertemu sama manajer baru dipindahkan kamar dan dingin sangat kehilangan waktu dan tenaga komplain dari cek masuk jam 2 tapi kamar diganti jam 12 malam resepsiis jutek tidak cocok jadi frontliner hari berikutnya pindah di kamar eksekutif suite tetap panas ac nya terjebak di 26 komplain tapi lg ya gitu insinyur cuma periksa dan g difollow up lagi malas debat habis energi plusnya di,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,negative,0.999369204044342,Check in/out Experience,Check in/out Experience (0.67); Booking & Reservation Experience (0.56); Guest Experience (0.41)
Franciska Chen,2025,1,ac panas ac panas sudah gitu saja cukup melukiskan kekecewaan dulu saya pernah menginap 2 3 tahun lalu tidak gini saat saya minta insinyur datang ngotot katanya uda 18 derajat 18 derajat apanya bayiku sampai kepanasan kutempel bye2 demam yang punya anak2 tidak usa nginap sini anak2 tidak akan tahan dari panasnya,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,negative,0.9984946250915527,Guest Experience,Guest Experience (0.81); Check in/out Experience (0.49); Booking & Reservation Experience (0.47)
mutiara maghfirah,2025,1,kamarnya panas katanya pakai ac central tapi suhunya mengikuti suhu ruang hari pertama saya komplain tapi petugasnya juga marah2 setelah bcra sama manajernya baru akhirnya di kasih pindah dikamar yang dingin keesokan hrinya saya psan kamar yang lebih besar tapi ternyata sama acnya tidak dingin sama sekali baru pertama kali saya dapt hotel sepantas ini,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,negative,0.9956901669502258,Service Quality,Service Quality (0.58); Management & Policy Issues (0.53); Complaint Handling & Service Recovery (0.53)
Reski Parani,2025,5,Sangat merekomendasikan makan dimsum di hotel golden asian empat poin banyak pilihan menu dimsumnya bisa pilih ala carte dan paket makan sepuasnya dari segi rasa sangat enak rasanya dari tempat juga sangat nyaman ada kamar pribadinya juga untuk pelayanan sangat dapat hospitalitynya terima kasih buat mas reihan dan mba anisah,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9995461106300354,Service Quality,"Service Quality (0.98); Staff Conduct & Hospitality (0.98); Loyalty, Recommendation & Appreciation (0.96)"
oh my my my,2025,2,lobi hotel berbau parfum murahan setelah cek masuk saya menemukan seprai belum diganti dan ada sisa makanan di atas kebersihannya sangat buruk ketika saya meminta petugas kebersihan untuk membersihkan lagi mereka malah bertanya dari mana saya berasal apa itu sopan sarapan hotelnya buruk mentimunnya terasa amis dan cangkir kopinya kotor dan penuh noda kopi,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,negative,0.9991775155067444,Food & Beverage,Food & Beverage (0.92); Check in/out Experience (0.89); Facilities & Amenities (0.89)
Hendri Gunawan,2025,5,walau hanya berkunjung bertemu rekanan saja tapi saya sangat merasa nyaman dengan hotel ini fasilitas lengkap kamar2 jg sangat memuaskan pelayan yang baik dan ramah serta kebersihan yang terjaga masalah harga lumayan lah yang jelas tempat ini dianjurkan banget,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9989421963691711,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99)"
Mee Muni,2025,5,Salah satu dari hotel terbaik di kota makassar tinggal untuk perjalanan bisnis 2 malam lokasi strategis pelayanan ramah kamar bersih meskipun aku di kamar merokok tapi tidak ada aroma rokok bfast stall yang variatif dan terimakasih kpd staf resto pebi dwi yolanda yang sudah bantu dan menjelaskan makanan2 khas dari makassar dan harus mencoba saraba minuman khas makassar secara keseluruhan puas tinggal di sini dan dianjurkan,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9991181492805481,Service Quality,"Service Quality (0.99); Staff Conduct & Hospitality (0.99); Cleanliness, Hygiene & Maintenance (0.98)"
Febs Febs,2025,1,check masuk jam 13 di kamar 4057 dan kamarnya sudah siap saya masuk ke kamar dan kamar memang rapih dan bersih setelah itu saya cuci muka cuci tangan ganti baju dll persiapan untuk ke kantor keluar hotel dari jam 13:30 dan kembali lagi jam 1700 terkejut banget ketika sampai kamar tangan yang saya pakai pindah tempat keset kamar mandi juga pindah tempat TV jarak jauh yang tadinya di tempat tidur pindah ke meja seketika merinding disko akhirnya ke kantor depan dan minta klarifikasi ternyata housekeeping salah masuk kamar seharusnya ke kamar sebelah bukan kamar saya kali ini lalu bisa komplen apa 2 botol udara saja yang kedua baru tidur ini kali,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,negative,0.9957960844039917,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.97); Check in/out Experience (0.95); Facilities & Amenities (0.87)"
lanny wijaya,2025,4,hotelnya ramai tapi kurang bersih angkatnya nya terbatas dan kecil parkir jauh dan jika hujan bisa basah jika ada pesta besar atau acara besar jalanan macet dan parkir penuh,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,negative,0.5216630697250366,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.98); Facilities & Amenities (0.94); Service Quality (0.64)"
putri wulandari,2025,4,kamar sangat luas kasurnya pun yang ukuran besar tidak yang normal hotel pada umumnya makanan sangat beragam dan enak walaupun ada beberapa yang tidak sesuai lidah karena selera kemudian pelayanan baik dari eo hotel di restoran itu sangat baik dan orgnya orgnya ramah sayangnya 1 aku gabisa menonton yt atau netflix,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9988767504692078,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Service Quality (0.99); Facilities & Amenities (0.99)
megah Purnamasari,2026,5,hotel dianjurkan staf ramah pelayanan cepat makanan enak2 kamar bersih cuman kurang pengering rambut,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9985178112983704,Service Quality,Service Quality (0.98); Staff Conduct & Hospitality (0.98); Service Efficiency & Responsiveness (0.97)
Rafika Batari,2025,5,hotel yang sangat dianjurkan terima kasih atas makanan yang enak dan pelayanan yang luar biasa dari kakak astri di resepsi kakak aulia dan tim di resto dapat kamar yang pemandangannya bagus sekali jaya selalu yah,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9978634715080261,Service Quality,"Service Quality (1.00); Staff Conduct & Hospitality (1.00); Loyalty, Recommendation & Appreciation (1.00)"
firyal nabila devega,2025,4,Lotus Hall nya luas dan bagus banget untuk acara pernikahan hanya saja tmpat parkirnya kurang apalagi klau ada lebih banyak kegiatan d hotel nya,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9925701022148132,Facilities & Amenities,"Facilities & Amenities (0.86); Location, Accessibility & Parking (0.67); Service Quality (0.45)"
Ahmad Zulkifli,2025,5,hotel yang sangat nyaman dengan kamar yang luas dan bersih makanannya enak dan bervariasi staf2nya semuanya luar biasa ramah penuh simpati selalu menyapa dan menanyakan apakah ada yang bisa dibantu terutama pelayan bernama ruri sangat sigap sekali saat sarapan saya sempat mengeluhkan masalah wifi dan tidak lama setelah kembali ke kamar langsung ada tindak lanjut serta masalahnya terseikan dengan cepat pelayanan yang keren sangat membuat pengalaman menginap jadi sangat puas sekali,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9991865754127502,Facilities & Amenities,Facilities & Amenities (1.00); Guest Experience (1.00); Staff Conduct & Hospitality (0.99)
"Sitti Masyitah Meliyana R, S.Pd., M.Si. FMIPA UNm",2025,4,Pernah ada tamu saya percaya saya membawa nginap ke sini 3 malam malam malam pertama dia mengeluh karena kamarnya baru bau skli jadi mengeluh untuk ganti kamar tapi tidak di kasih katanya akan di bersih jadi kami keluar dan kami beritahu klo saya pulang kamarnya baru sudah wangi yah saat pulang ternyta belum ada tindakan sama skli pdhl pulang nya sudah jam 10 malam loh besok mengeluh lagi donk bisa mau tinggal dsana 3 malam masa bayar sgtu tapi ngak nyaman bau nya smpai bikin sakit kepala loh,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,negative,0.9992291927337646,Guest Experience,Guest Experience (0.87); Check in/out Experience (0.75); Booking & Reservation Experience (0.62)
Miftahul Jannah,2025,5,Hotel di tengah kota makassar okee sih vibenya cm syg kamarnya sudah agak tua ya mngkin perlu banyak pembaharuan yaa tapi segi yang lain ok2 saja sih,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9629698991775513,Facilities & Amenities,Facilities & Amenities (0.61); Ambience & Design (0.55); Guest Experience (0.53)
Ina mine,2025,5,ikut acara yang diadakan salah satu perusahaan tempatnya nyaman bersih toilet juga bersih banget makanannya enak vibes fotonya juga enak karena melihatnya bagus,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.999042809009552,Facilities & Amenities,"Facilities & Amenities (0.99); Room Quality & Comfort (0.97); Cleanliness, Hygiene & Maintenance (0.96)"
Nur Mala,2025,5,makan malam sama keluarga di restoran asia emas makanan enak enak pelayanannya mantapp bintang 5 terima kasih untuk ahyar anjeli antonius aditya dan burga sangat puas dengan pelayanan kalian,KOMPETITOR,Bintang 4,FourPointsbySheratonMakassar,positive,0.9995068311691284,Service Quality,Service Quality (0.99); Guest Experience (0.98); Family & Group Friendly (0.94)
