User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
NurulY F,2025.0,5,Saya lupa tidak sempat foto kamarnya tapi sesuai dengan gambar yang ada di website ya kamar cukup luas bersih kasur empuk kamar kedap suara dan dingin saya ringan tidur jadi dapat kamar hotel yang kedap suara jadi nilai tambah apalagi hotel ini dekat jalan saya hampir tidak bisa mendengar suara mengganggu dari luar saya suka tinggal di sini anak-anak saya suka juga bf saya minta di antar ke kamar dan rasa makanannya enak tidak ada keluhan wifi stabil mandi dan kencang kamar bersih ada pengering rambut dan set sedikit masukan mgkn untuk udara mineral di kamar dapat diganti dengan aqua saja hnya masalah preferensi,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,positive,0.9993694424629211,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.99); Room Quality & Comfort (0.99)
Hantonius Hermansyah,2025.0,5,Salah satu hotel bintang 4 terbaik di surabaya semua layanan sempurna kamar sangat baik fasilitas sangat lengkap mulai dari kolam renang gym sampai restoran sarapan juga tiba-tiba sangat baik kualitasnya selevel lebih baik bahkan dibandingkan hotel bintang 5 langganan di surabaya lokasi juga sangat strategis di mall tunjungan dan benar2 ditengah kota surabaya secara keseluruhan sangat dianjurkan akan kembali ke sini bila dinas di surabaya,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,positive,0.9992297887802124,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Room Quality & Comfort (0.94)
Arifta Gunawan,2025.0,5,kami sekeluarga istri dan dua anak menginap selama 2 hari di empat poin tunjungan surabaya dan pengalaman kami benar benar menyenangkan dari awal kedatangan proses cek masuk sangat cepat dan lancar berkat bantuan mbak friska di resepsionis beliau ramah informatif dan membantu kami mendapatkan kenyamanan ekstra selama menginap termasuk memberikan keleluasaan saat check keluar pelayanan seperti ini membuat kami merasa sangat dihargai sebagai tamu lokasi hotel juga sangat strategis cukup turun langsung naik tersambung ke tunjungan plaza sangat memudahkan kami yang membawa anak kecil karena tidak perlu repot menyeberang atau berjalan jauh mencari makan atau hiburan bahkan untuk titip pesanan grab makanan pun,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,positive,0.9991881251335144,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Check in/out Experience (1.00); Staff Conduct & Hospitality (1.00)
Nurul Afifah,2025.0,1,mengecewakan saya pesan hotel yang pesan memang teman saya dia tidak jadi menginap karena ada acara mendadak sehingga kamarnya diberikan kepada saya bukti pemesanan sudah jelas ada bukti chat dengan yang mengalihkan pemesanan juga ada jalan tidak ada ktp pemesanan saja saya sudah menghubungi berkali2 orangnya yang pesan tidak diangkat karena sedang bepergian di pesawat tapi resepsionis masih tidak menerima saya tidak ada pemakluman sekalipun padahal saya bukan penipu ktp sim dll jika ingin ditahan juga bisa karena saya ingin segera istirahat sudah saya tunjukkan kejujuran saya karena saya jauh dari luar kota kondisi hamil lagi barang2 pun,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,negative,0.9989676475524902,Booking & Reservation Experience,Booking & Reservation Experience (0.74); Guest Experience (0.52); Service Quality (0.50)
oh my my my,2025.0,3,Hotel ini dekat dengan pusat perbelanjaan sehingga nyaman untuk makan dan minum namun kebersihan kamar perlu ditingkatkan ada sisa makanan di meja ketika saya memeriksa masuk hanya ada satu kursi di kamar untuk dua orang dan lorongnya sangat bising Anda bisa mendengar semua yang terjadi di lorong dari dalam kamar,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,negative,0.9334917664527893,Facilities & Amenities,"Facilities & Amenities (0.95); Food & Beverage (0.90); Cleanliness, Hygiene & Maintenance (0.87)"
Ricky Ramadhani,2025.0,5,sudah dua kali kami menginap di sini emang lebih baik kalau ke mall menginap di hotel yang ngumpul kyk 4point gini nyampek sini mobil parkir sampai cek gratis buat yang keluarga ada kamar khusus untuk anak menu sarapan lengkap pelayanannya baik jika mau minta ambilin makanan minuman bisa tinggal memanggil pelayan ada kolam renang dewasa dan anak anak juga ada kolam ikan koi tingkat parkirnya di lantai 6 dekat masjid dan spklu jika mau ke mall seperti kidzona yang ada di lt4 tp6 tinggal lift di sebelah lt6,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,positive,0.9986814856529236,Facilities & Amenities,"Facilities & Amenities (0.98); Location, Accessibility & Parking (0.97); Family & Group Friendly (0.97)"
Budhy Santoso,2026.0,5,perhotelan nya fasilitas jempolan sangat baik menu sarapannya sangat bervariasi n sepertinya lebih lengkap dibandingkan dengan empat poin di kota lain bravo,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,positive,0.9994078874588013,Service Quality,Service Quality (0.98); Facilities & Amenities (0.97); Food & Beverage (0.89)
WU DINIWU,2025.0,5,Happy banget nginep di sini semua staf super ramah terbaik anakku baru sampai dapat hadiah dari roda spin gitu boneka lucu kolam renang nya bagus kamarnya besar bersih layanan nya gercep lokasi bagus banget buat turis lokal samping mall tinggal jalan dekat banyak lokasi kuliner restonya terbaik makanannya enak enak dan ada ruang bermain untuk anak kalau ke surabaya maunya ke sini lg ada 1 staf ramah banget saat di taman bermain tapi lupa nama terima kasih semua,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,positive,0.9994100332260132,Service Quality,Service Quality (0.88); Facilities & Amenities (0.68); Guest Experience (0.64)
Anggia Siregar,2025.0,3,untuk kamar rasa makanan dan lokasi sudah bagus nyaman dan strategis tapi sayang sekali untuk layanan masih sangat kurang saat mau cek masuk dan menurunkan barang tidak ada bantuan dari petugas parkir mobil sulit dan sangat terbatas,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,negative,0.9573367834091187,Facilities & Amenities,"Facilities & Amenities (1.00); Food & Beverage (0.99); Location, Accessibility & Parking (0.99)"
Kezia Trixie,2025.0,5,25 desember hari natal yang hampir semua libur namun empat poin segera membantu ayah saya yang sakit dengan pelayanan dokter terima kasih banyak atas pelayanannya yang sangat cepat dan menolong kesehatan ayah saya sangat sangat sangat menghargai itu,KOMPETITOR,Bintang 4,FourPointsbySheratonSurabaya,positive,0.9967527985572815,"Loyalty, Recommendation & Appreciation","Loyalty, Recommendation & Appreciation (1.00); Service Efficiency & Responsiveness (1.00); Service Quality (0.99)"
