User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
jovi8331,2026,5,hotelnya nyaman kamar bersih untuk sarapan banyak opsi dan pelayanan hotel ini cepat lokasi kalau dari pintu tol pasteur sangat strategis terima kasih kepada pelayan namanya natasya sudah bantu orang tua saya saat penyajian kopi saat sarapan,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.9993264675140381,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.98); Room Quality & Comfort (0.97)
Rosalina Irham,2026,5,kalau hotel liburan inn saya tidak pernah ragukan sangat sempurna buat kita mau liburan apalagi bisnis sudah pasti liburan inn menyediakan chef2 handal makanannya enak2 dan rasanya sangat nyummi tadi malam kami makan nasi goreng semua tamu kami nilai nya 10 10 sarapan pagi super duper komplit dan enak2 kamar juga bersih tempat strategis suami saya bilang luas tadi berikutnya ke bandung akan kesini saja,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.9996026158332825,Service Quality,Service Quality (0.98); Family & Group Friendly (0.98); Service Efficiency & Responsiveness (0.97)
Alya Humaira,2026,5,paket pertemuan yang ditawarkan hotel ini cukup memadai untuk kebutuhan kegiatan ruang bisnis pertemuan bersih nyaman dan tertata rapi peralatan pendukung seperti proyektor dan sound system berfungsi dengan baik konsumsi yang disediakan sesuai standar pertemuan dan pelayanan dari staf cukup responsif terutama bu megah indoureen yang serta membantu selama kegiatan berlangsung secara keseluruhan pertemuan paket ini dapat menjadi pilihan yang baik untuk pertemuan kerja,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.999125063419342,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Room Quality & Comfort (1.00)"
ferani Alphasa,2026,5,Pelayanannya memuaskan kamar bersih makanan enak sarapan beragam banyak menuunya mba indri sebagai pelayan sangat membantu dan melayani tamu terima kasih mba,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.9994572997093201,Service Quality,"Service Quality (1.00); Guest Experience (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
beril untari,2026,5,walau hotelnya lagi penuh tapi pelayanan stafnya di atas dan di luar banget makanannya beragam dari kemarin dan sangat enak2 pelayanannya cepat dan ramah layanan pelanggan berorientasi terutama staf indri yang sigap dan cekatan dalam membantu kita memiliki waktu yang hebat di sini,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.9991924166679382,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (0.99); Guest Experience (0.98)
Rini Sulistyowati,2025,5,menginap di Holiday Inn Bandung benar benar benar pengalaman yang menyenangkan pelayanannya ramah dan responsif dari proses cek masuk sampai cek keluar semuanya terasa mulus dan profesional kamarnya bersih rapi dan nyaman dengan housekeeping yang konsisten menjaga kebersihan setiap hari tempat tidurnya kosong kamar mandi bersih dan secara keseluruhan bikin istirahat jadi maksimal untuk makanan juga jadi sorotan pilihan menu cukup beragam rasanya enak dan kualitasnya terjaga sarapan pagi paginya lengkap dan segar buat mulai hari dengan nyaman cocok untuk liburan umum tinggal di Holiday Inn Bandung sangat direkomendasikan untuk pelaksanaan maupun perjalanan bisnis karena kenyamanan pelayanan dan kualitas makanan,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.9994547963142395,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99)"
Ahmad Ferza,2026,5,akses lokasi pinggir jalan utama sangat memudahkan dan kamar yang kita pesan biasa lah ya termasuk sarapan tapi ternyata makan malam juga dan ada barbecue an seru deh oia ada kolam renang juga yang ramah anak parkir juga aman sampai ruang bawah tanah lt 2 sejauh nyaman dan menyenangkan terima kasih,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.999504804611206,Facilities & Amenities,"Facilities & Amenities (0.99); Location, Accessibility & Parking (0.99); Booking & Reservation Experience (0.98)"
Leon-Kha Channel,2026,5,kamarnya sangat besar dan luas serta sangat nyaman sekali sarapannya banyak pilihan dan kita bisa memilih apa yang kita suka pelayanan dari mba bunga sangat ramah dan sangat mensupport tamu di atas semua hotel liburan inn ini sangat rekomendasi buat keluarga anak anak dan pasangan,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.99946528673172,Facilities & Amenities,Facilities & Amenities (1.00); Family & Group Friendly (0.99); Staff Conduct & Hospitality (0.99)
Anastasia Rozalia Sigit Safitri,2025,5,100 10 hotel terbaik titik dari awal masuk sampai pulang hotel ini bikin aku tersenyum terus kamarnya bener bener bersih wangi dan super nyaman tempat tidurnya empuk parah pencahayaan kamarnya estetis banget dan setiap sudutnya terlihat dirawat rasanya masuk kamar langsung ingin rebahan sehari-hari staf nya gila sih ramah banget pelayanan cepat membantu dan selalu tersenyum benar benar bikin ngerasa dihargai sebagai tamu mau minta apa pun langsung di handle tanpa ribet fasilitasnya juga lengkap dan semuanya terawat pokoknya vibes hotel ini tuh tenang nyaman dan bikin betah tingkat dewa singkatnya hotel ini definisi sempurna 100 10 tidak ada debat akan kembali lagi,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.9992750287055969,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Guest Experience (0.99)
Aura,2025,5,kemarin buku kamar yang kamar merokok tapi sukaa banget kamar tidak bau rokok alias bersih banget dan ada terasnya gituu saat istirahat cepat banyak bervariasi disini bisa berenang dan sakit kolam ada billiard bisa akses gym jugaa yang cukup banyak alat dan lumayan luas trs bisa lanjut sauna khusus terima kasih kak nia yang banyak bantu saat tinggal di sini,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.9992202520370483,Facilities & Amenities,"Facilities & Amenities (0.98); Cleanliness, Hygiene & Maintenance (0.96); Service Quality (0.93)"
Dinna Anastasya,2025,5,kamarnya luas tempatnya nyaman banget nyaman untuk anak sarapannya lengkap fasilitasnya lengkap ada fitness spa billiar dan pingpong jg ada bakal jadi hotel langganan kyknya hehehe,KOMPETITOR,Bintang 4,HolidayInnBandungPasteur,positive,0.9994878768920898,Facilities & Amenities,Facilities & Amenities (0.99); Room Quality & Comfort (0.91); Family & Group Friendly (0.90)
