User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Ketut Septa,2025,5,pengalaman menginap terbaik yang pernah saya alami sejak turun dari mobil sampai di kamar pelayanannya sangat sangat baik dan ramah lingkungan nya sangat bersih dan dingin saya sangat senang menginap di hotel ini tentu saja saya akan kembali,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9990239143371582,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Service Quality (1.00); Service Efficiency & Responsiveness (1.00)"
Mangpande,2025,5,hotel indigo bali seminyak beach menghadirkan suasana yang memikat sejak pertama kali tiba desainnya unik dengan gaya modern dan nuansa tradisional bali yang terasa hangat dan artistik kamar kamarnya luas bersih dan dihiasi detail estetik yang membuat tamu betah berlama lama pelayanannya juga luar biasa staf selalu ramah dan siap membantu dengan senyum tulus area kolam renang dan restoran seperti makase dan gula dan menawarkan pemandangan indah serta makanan yang lezat lokasinya strategis dekat pantai dan pusat seminyak tapi tenang tetap untuk beristirahat semuanya berpadu membuat hotel indigo tempat ideal untuk liburan santai maupun pengalaman menginap,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9995173215866089,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Facilities & Amenities (1.00); Food & Beverage (0.99)
Diah Permatasari,2025,5,Semua pelayan kamar anak cuci pakaian rest manager staf fasilitas makanan lengkap sempurna makanannya enak suasana hotelnya terasa rimah kedua bagi kami crew dan staf hotel sangat membantu dan dianjurkan,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9994421601295471,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.97); Food & Beverage (0.96)
Dipaa,2025,5,hotel indigo bali seminyak pantai merupakan salah satu hotel bintang lima terbaik di kawasan seminyak dari saat pertama tiba suasana modern yang dipadukan dengan sentuhan budaya bali langsung terasa area lobi luas harum dan ditata dengan konsep artistik khas seminyak membuat pengalaman cek masuk terasa hangat dan ramah,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9994843006134033,Check in/out Experience,Check in/out Experience (0.96); Cultural & Heritage Experience (0.92); Facilities & Amenities (0.92)
I Nyoman Arya Ari Suyasa 13,2025,5,makanan dan minuman di hotel lndigo ada banyak dengan menu yang berbeda karena ada 2 posisi dapur makase dan gula dan gula dan dapur dan tempat makan terletak di pinggir pantai sangat bagus untuk makan malam terbenam bersama keluarga,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9993645548820496,Food & Beverage,Food & Beverage (0.99); Facilities & Amenities (0.98); Family & Group Friendly (0.96)
arisusanti medisgr,2025,5,hotel indigo bali seminyak beach adalah pilihan yang sangat baik untuk menginap di seminyak bali dengan lokasi yang strategis fasilitas yang lengkap dan pelayanan yang ramah hotel ini sangat direkomendasikan untuk para wisatawan yang ingin menikmati liburan yang nyaman dan menyenangkan,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9993259906768799,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (1.00); Service Quality (0.99)
Zaenal Muttaqin,2025,5,fasilitas lumayan lengkap kolamnya jernih dan mewah kamarnya luas perpaduan nuansa alam dan modern yang masih bisa ditambah mungkin anak-anak klub tempat utama anak2,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9994322657585144,Facilities & Amenities,"Facilities & Amenities (1.00); Ambience & Design (0.93); Cleanliness, Hygiene & Maintenance (0.92)"
Achmad Mudrikun Ni'am,2025,5,hotel indigo seminyak bali ini sangat tepat untuk saya pilih menjadi hunian saat saya ada di bali karena layanan yang sangat baik kamar yang bersih dan membawa suasana tenang akan menjadi pilihan kembali saat ke bali lagi mantap,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9989657402038574,Service Quality,Service Quality (1.00); Room Quality & Comfort (1.00); Facilities & Amenities (1.00)
i made dharma yasa,2025,5,hotel indigo bali seminyak pantai adalah pilihan yang sangat baik untuk menginap di bali lokasinya yang strategis di pantai seminyak membuatnya sangat mudah dijangkau dan menawarkan pemandangan laut yang indah,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.999350368976593,Facilities & Amenities,"Facilities & Amenities (0.98); Service Efficiency & Responsiveness (0.76); Loyalty, Recommendation & Appreciation (0.76)"
Yoga Saputra,2025,5,kamar hotelnya bersih dan luas stafnya selalu ramah dan siap membantu kapan pun dibutuhkan saya suka suasana hotelnya setiap sudutnya dirancang dengan gaya bali,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9995417594909668,Facilities & Amenities,Facilities & Amenities (0.99); Room Quality & Comfort (0.98); Staff Conduct & Hospitality (0.98)
Andris And,2025,5,hotel ini sangat memuaskan lokasinya yang strategis dekat pantai membuatnya sempurna buat liburan keluarga kamarnya bersih luas dan memiliki pemandangan laut yang indah fasilitasnya juga lengkap mulai dari kolam renang hingga restoran dengan makanan lezat dan pelayanan staf yang ramah,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9995279312133789,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Food & Beverage (0.98)
Made Divha,2025,5,hotel indigo bali seminyak pantai lokasi strategis kamar nyaman staf ramah dan sarapan lezat kolam renang indah dengan pemandangan spektakuler,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9992051720619202,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (1.00); Staff Conduct & Hospitality (0.99)
Made Robi,2025,5,kamar kamarnya bersih dan sangat nyaman dengan dekorasi yang elegan mereka melakukan lebih dari yang diharapkan untuk membantu membuat masa menginap kami menyenangkan,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9981731176376343,Room Quality & Comfort,Room Quality & Comfort (0.99); Facilities & Amenities (0.95); Guest Experience (0.94)
adhi wirawan,2025,5,suasana villa sangat nyaman lingkungan begitu indah di malam hari pelayannya ramah kopi dari potree memang mantap menikmati indahnya matahari terbenam dari kolam renang dan malam yang bahagia di restourant gula pasir tak lupa dengan koneksi internet yang sangat baik,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9994916915893555,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Food & Beverage (0.99); Facilities & Amenities (0.98)
Kadek nova Titilia pertiwi,2025,5,hotelnya bagus bgtt tempat nyaman kamarnya bersih staf yang bekerja sangat ramah apa lagi tempatnya baru strategis deket dengan pantai seminyak makanan di gula pasir sangat dianjurkan,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9994686245918274,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Staff Conduct & Hospitality (0.99)"
Guntur Giro,2025,5,hotel dengan pemandangan kamar yang bagus kamarnya yang bersih fasilitas kamar lengkap menu sarapannya banyak dan enak stafnya sangat ramah dan dekat dengan pantai cocok untuk yang mau liburan,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9994694590568542,Facilities & Amenities,"Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.98); Cleanliness, Hygiene & Maintenance (0.98)"
Sumi Arta,2025,5,suasana hotel nyaman rapi bersih lingkungan di sekitar hotel sangat asri semua staf ramah dan baik pelayanannya sangat baik dekat dengan pantai makanan juga kunjungan enak kali ini mendapat kesempatan berfoto di sekitar hotel dan dilayani dengan ramah dan baik oleh fotografer,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9993159770965576,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99)"
kdkrni suparyy,2025,5,hotel ini menawarkan pengalaman menginap yang benar benar luar biasa dengan fasilitas yang sangat lengkap dan layanan yang ramah saya merasa sangat dimanjakan selama menginap di sini layanan di hotel ini juga sungguh tak tertandingi staf yang sangat profesional dan perhatian terhadap setiap detail membuat kami merasa seperti tamu vip dari awal hingga akhir,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9989540576934814,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (0.99)
Kasur Sesetan,2025,5,hotel ini memiliki kamar yang bersih nyaman dan dilengkapi dengan semua fasilitas yang saya butuhkan stafnya ramah dan sangat membantu sangat direkomendasikan,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.9970646500587463,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (0.99); Service Quality (0.97)
Jerybean 07,2025,5,Lokasi hotel sangat nyaman dekat mini Mart kafe kamar butik dan properti bersih dan baik menjaga layanan besar akan tinggal di sini lagi untuk kunjungan saya berikutnya,KOMPETITOR,Bintang 4,HotelIndigoBaliSeminyakBeach,positive,0.999121367931366,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Service Quality (1.00)"
