User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Muh Syarifullah,2025,3,kami menginap di hotel ini dua kali kamar pertama kami secara umum tidak ada masalah hanya bermasalah pada lubang pembuangan udara mandi yang agak memiliki koneksi internet jelek kamar kedua kami di lantai berbeda ukuran kamar dan desain persis sama dengan kamar pertama kami berharap koneksi internet di lantai ini lebih baik ternyata hampir sama sebelumnya yang mengejutkan kami hotel ini baru saja beroperasi tapi toilet di kamar ini bau setelah melapor ke bagian resepsi teknisi segera datang setelah bencana bau sudah berkurang tapi tidak hilang sama sekali menurut saya mestinya pihak hotel menghubungi kami menanyakan apakah telah ditangani atau belum bau jika perlu menawarkan hotel yang lebih baik untuk tersebut kelas ini,KOMPETITOR,Bintang 4,MercureBerau,negative,0.9939960241317749,Ambience & Design,Ambience & Design (0.89); Facilities & Amenities (0.75); Service Quality (0.72)
Alamanda Linnasi,2025,3,semula saya akan memberikan bintang 5 berdasarkan pengalaman menginap di hotel ini 2 kali namun setelah saya pertimbangkan ulang secara keseluruhan hotel ini belum layak mendapatkan rating bintang 5 pada ketiga kali saya menginap di sini mengapa ternyata ketika puncak musim seperti nataru 2025 proses cek masuk sangat lama saya menunggu selama 60 menit saya tahu tapi menurut saya 60 menit terlalu lama dengan alasan kamar belum siap ketika saya menulis ini saya juga masih dalam posisi belum mendapatkan kamar dan masih harus menunggu jam cek masuk adalah jam 14 00 wita memastikan proses cek masuk online apakah cek masuk cepat tidak sudah masuk menggunakan aplikasi semua accor juga tidak berpengaruh pada proses cek masuk yang lebih cepat,KOMPETITOR,Bintang 4,MercureBerau,negative,0.9964367151260376,Check in/out Experience,Check in/out Experience (0.95); Guest Experience (0.93); Booking & Reservation Experience (0.76)
Putra Joes,2025,1,saya menginap untuk 9 malam ini hotel memang bisa dikatakan baru buka namun dari pelayanan sarapan kebersihan dan sop banyak yang tidak sesuai dengan bintangnya meskipun baru buka sehingga review ini semua menjadi perbaikan untuk pihak hotel baru dan orang umum untuk menginap di sini tidak terlalu ekspetasi berlebih saya pribadi sangat menyesal dengan pengalaman yang tidak menyenangkan ini,KOMPETITOR,Bintang 4,MercureBerau,negative,0.9977589845657349,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.88); Guest Experience (0.85)"
dimaz permana,2025,2,Proses pemeriksaan terlalu lama padahal datang sudah lewat jam 2 tapi kamar masih belum tersedia sudah hampir 3 jam menunggu kamar masih belum tersedia padahal hotel baru tolong diperbaiki lagi penanganan rumah tangga sekelas mercure baru kali ini kecewa,KOMPETITOR,Bintang 4,MercureBerau,negative,0.9992765784263611,Service Quality,Service Quality (0.83); Guest Experience (0.76); Complaint Handling & Service Recovery (0.69)
rhen va,2025,1,untuk kamar sebenernya bagus karena masih baru namun sesuai dengan kebijakan hotel bahwa cek masuk jam 2 siang tapi kami baru bisa masuk kamar 18 malam dengan alasan kamar belum siap dengan pelanggan kamar sebelumnya cek keluar bersamaan sangat aneh untuk hotel berbintang selanjutnya saya memesan makanan tgl 26 di gojek pesanan telah diantarkan saya cek diresepsi makanan tidak ada keesokan harinya saya baru diberikan makanan yang saya pesan hari sebelumnya dari bilik sebelah resepsi dan basi mungkin tidak ada komunikasi yang baik antara resepsi dan keamanan harapan saya dikembalikan hari ada peningkatan pelayanan parkiriran juga terlalu jauh mobil penjemputan,KOMPETITOR,Bintang 4,MercureBerau,negative,0.9987697005271912,Check in/out Experience,Check in/out Experience (0.97); Booking & Reservation Experience (0.93); Guest Experience (0.86)
Rizald Sitorus,2025,5,pengalaman menginap yang menyenangkan adalah hal yang paling menyenangkan buat saya yang memintanya kopi dikamar ada mesin kopi instan kolam renang oke buat anak anak bermain hanya area mandi di kamar mandi yang lumayan licin jadi harus ekstra hati hati dan mandi di kamar 818 yang bagian atasnya tidak bisa digunakan tapi secara keseluruhan sangat menyenangkan menginap di mercure berau,KOMPETITOR,Bintang 4,MercureBerau,positive,0.9983977675437927,Guest Experience,Guest Experience (0.99); Facilities & Amenities (0.99); Service Quality (0.95)
ilman ilman,2025,5,hotel baru buka di berau tempatnya keren sekali dengan ruang lobi yang besar dan nyaman kamar tidurnya dan kamar mandi juga lumayan besar sekitar hotel terdapat banyak tempat makan yang bisa dijangkau dengan jalan kaki atau gojek 5 menit kamar tempat menginap yang ada di sisi kanan jendelanya menghadap utara pemandangan yang paling menyolok adalah rumah lembaga pemasyarakatan lp berau pagi pagi bisa melihat suasana kesibukan penghuni lp pelayannya sangat ramah dan dengan proses check masuk keluar sarapan ada di lantai 3 saat saya mampir menu semuanya ayam ayam ayam ayam ikan ikan tapi air tawar tidak ada daging ikan dan menu ikan ikan,KOMPETITOR,Bintang 4,MercureBerau,positive,0.9993784427642822,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.88); Guest Experience (0.85)
Eka Adi,2025,2,Waktu cek masuk jam 2 tapi sampai jam 3 lewat kamar masih belum siap capek menunggu kamar harga villa 1 malam 1 3 jt tapi pelayanan amburadul,KOMPETITOR,Bintang 4,MercureBerau,negative,0.9989509582519531,Pricing & Value for Money,Pricing & Value for Money (0.77); Guest Experience (0.67); Check in/out Experience (0.67)
Rafiqa Nur Pratiwi,2025,1,hotel nyusahin nginep berhari yang didapet cuma buruk layanan dari housekeeping yang banting banting barang saat beresin kamar parkir yang jauh ada baggycar tapi yang jemput mager banget sampai berkali kali jalan kaki dari parkir hujan hujan dan kalau pesen gojek ambil makannya di pos keamanan ini paling lol sih katanya sop tidak bisa makanan antar ke kamar pdhl hotel lain biasanya bisa okelah tapi minimal di resepsionis apalagi hotel bukan restoran tidak 24 jam buruk sih dan nyesel staycation lama buruk lah disini,KOMPETITOR,Bintang 4,MercureBerau,negative,0.9989978671073914,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.94); Service Quality (0.92); Guest Experience (0.91)"
Niko Sumendra,2025,2,Saya baru saja memeriksa keluar dari hotel saya yakin bahwa saya meninggalkan madu saya tapi masuk proses pembersihan kamar rumah menjaga tidak melaporkan madu yang saya tinggalkan jadi tolong berhati-hati dengan proses perekrutan dan sikap staf secara keseluruhan kamar dan staf itu bagus namun pengalaman saya tidak tampak besar seperti itu Anda bisa melakukan lebih baik mercure berau,KOMPETITOR,Bintang 4,MercureBerau,negative,0.9852576851844788,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Guest Experience (0.98); Check in/out Experience (0.98)"
