User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Widha,2025,5,Upgrade kamar ini adalah pertama kalinya saya tinggal di hotel ini dengan keluarga saya itu nyaman sarapan banyak dan bervariasi kamar itu bersih tapi sayangnya kolam renang terlalu kecil secara keseluruhan semuanya baik dan layanan yang ramah saya akan kembali untuk tinggal di hotel ini lagi melihat Anda lagi,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9852895140647888,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.99); Room Quality & Comfort (0.99)
Hendra Ardi Kurniawan,2025,4,kamarnya cukup nyaman dan dijaga dengan baik cocok untuk tinggal bisnis singkat saya mengalami beberapa masalah dengan koneksi wi-fi yang sedikit lambat pada saat-saat tapi secara keseluruhan itu tidak mempengaruhi tinggal terlalu banyak sarapan menawarkan beberapa pilihan baik lokal dan internasional dengan rasa yang layak dan presentasi lokasi sangat strategis dekat dengan stasiun mrt dan area bisnis utama sehingga mudah untuk bergerak di sekitar kota secara keseluruhan itu adalah hotel yang nyaman dan nyaman untuk wisatawan bisnis,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9986705780029297,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Room Quality & Comfort (1.00)"
dark horse,2025,5,Saya memiliki tinggal yang menyenangkan di Mercure Jakarta Simatupang lokasi sangat nyaman dekat dengan pusat perbelanjaan dan transportasi umum yang membuat perjalanan di sekitar kota mudah staf sangat ramah dan membantu sepanjang masa tinggal saya mereka benar-benar membuat saya merasa selamat datang kamar itu nyaman dan bersih dengan semua fasilitas dasar saya membutuhkan sarapan menawarkan pilihan yang baik dan area atap memberikan pemandangan yang bagus untuk memulai hari secara keseluruhan itu adalah pengalaman yang bagus dengan nilai yang baik untuk uang saya pasti akan merekomendasikan hotel ini untuk bisnis atau wisatawan liburan mengunjungi Jakarta Selatan Terima kasih kepada semua tim untuk keramahan Anda yang hangat,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9991222023963928,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (1.00); Service Quality (0.99)
Michael Dauhan,2025,5,memiliki tinggal yang sangat nyaman di sini lokasi sangat nyaman dan kamar itu bersih dan modern bagian terbaik adalah layanan mas eben dari kantor depan sangat ramah dan membantu saya dengan cek halus dan mudah masuk sarapan juga lezat dengan banyak pilihan secara keseluruhan sangat senang dengan tinggal saya pasti kembali lain kali,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9992145299911499,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Facilities & Amenities (1.00); Service Quality (1.00)
Irwan Yulianto,2026,5,Hotelnya bersih wangi layanan nya oke lokasinya strategis mau kmana2 deket menu sarapannya lumayan tapi kurang banyak saja menuunya tapi sejauh ini okelah ini hotel,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9990789890289307,Service Quality,"Service Quality (0.99); Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.97)"
Pragya,2025,5,sarapan oke pasta kopi siomay bubur ayam bubur ketan hitam lengkapp semua roti2an sudah pastii lengkaapp jus sehat pun tersedia liburan terbaik di Lebak bulus area pelayanan dari mba ngesthi full service,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9994298815727234,Service Quality,Service Quality (0.95); Food & Beverage (0.95); Facilities & Amenities (0.92)
Dedy Purnairawan,2025,4,stay di mercure hotel jakarta simatupang benar benar menyenangkan lokasinya strategis banget di jakarta selatan dekat tol dan mall seperti pondok indah cilandak jadi mudah ke mana mana kamarnya bersih modern dan nyaman lengkap dengan wifi cepat tv minibar dan city view yang keren proses cek masuk cepat staf nya juga ramah dan super membantu dari awal sampai akhir sarapan di restoranannya enak dan bervariasi ditambah ada rooftop bar dengan pemandangan jakarta yang sangat bagus untuk membuat fasilitas lain santai sakit seperti kolam renang dan gym juga tersedia dan terawat cocok untuk membuat perjalanan bisnis tinggal atau hanya singkat melarikan diri di daerah jaksel sangat direkomendasikan,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9995161294937134,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Facilities & Amenities (0.98); Service Efficiency & Responsiveness (0.98)
Yusuffauzii,2025,5,saya menikmati masa yang menyenangkan di Jakarta Selatan lokasi sangat strategis dekat dengan pusat perbelanjaan dan transportasi umum sehingga memudahkan saya berkeliling kota stafnya sangat ramah dan membantu selama saya menginap mereka benar benar membuat saya merasa diterima kamarnya nyaman dan bersih dengan semua fasilitas dasar yang saya butuhkan sarapannya menawarkan pilihan yang baik dan daerah atapnya menawarkan pemandangan yang indah untuk memulai hari secara keseluruhan ini adalah pengalaman yang luar biasa dengan harga yang terjangkau saya pasti akan merekomendasikan hotel ini untuk pelancong bisnis maupun rekreasi yang berkunjung ke Jakarta Selatan terima kasih kepada seluruh tim atas keramahan Anda,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9992374181747437,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Facilities & Amenities (1.00); Guest Experience (1.00)
Meivy Pangerapan,2025,5,makanan enak kamar nyaman lokasi strategis hanya kolam renangnya saja kecil tapi jika buat anak anak cukuplah untuk udara utama,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9993213415145874,Facilities & Amenities,Facilities & Amenities (0.99); Room Quality & Comfort (0.98); Food & Beverage (0.96)
ety nurhayati,2025,5,Alhamdulillah nyaman kamar nya rapi bersih kamar mandi wangi sarapan enak menu nya lain kali menginap disini lagi akh,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9990643858909607,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.98); Room Quality & Comfort (0.97)"
Meggie,2025,2,nginep sini di kamar 1815 kamarnya sih bagus banget luas dan bersih cuman yaampun istri gabisa dipakai sekali sekali pdahal saya punya pertemuan online saya mengeluh 4x lewat telepon minta tolong panggilin teknisi resepsionisnya ngomong udah otw setiap kali saya telepon tapi tidak datang2 sampai saya sudah menunggu 1 jam lebih akhirnya saya pergi ke lobi untuk minta manajernya 10 menit kemudian baru datang bahkan bukan bukaninya yang datang kayak teknis satpam gitu orangnya datang cuma ngecek2 wifi pakai hp nya dia doang tapi istri saya tidak diapa2in tidak di restart apapun karena saya di kamar,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,negative,0.9991143345832825,Facilities & Amenities,Facilities & Amenities (0.94); Check in/out Experience (0.89); Guest Experience (0.89)
Dinnyta Agni Oktaviani,2025,5,Saya merasa senang selama menginap disantika sangat men men men pelayanannya nya terima kasih mba malaikat yang melayani saya dan keluarga makanannya enak,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9992265701293945,Guest Experience,Guest Experience (0.99); Service Quality (0.99); Staff Conduct & Hospitality (0.95)
Shawnpaul,2025,5,Tempat yang baik masuk jakarta untuk tinggal selama beberapa hari masuk syarat layanan kamar dan tempat sangat baik terutama pembantu kamar saya lupa sedikit jika saya tidak salah nama adalah iraa sangat ramah masuk syarat kerja yang sangat cepat dan bersih ketika meminta untuk membersihkan kamar secara keseluruhan tidak ada masalah selama rekomendasi tinggal semoga sukses,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9979689717292786,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (1.00)
Gloria stephanie,2025,5,sarapan hari ini sangat luar biasa makannya yang saya coba masuk ada nasi kuning ada sayurannya juga roti rotian sama jus pelayanan restoran baik rama rama dan sangat membantu dari awal masuk sampai akhir trimasih mba ngesthi,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9986870884895325,Service Quality,Service Quality (0.99); Food & Beverage (0.99); Service Efficiency & Responsiveness (0.98)
Doan Sihotang,2025,5,Terimakasih mercury simatupang sangat berharga bagi saya makanan nya saat si mulut saya ditambah pelayanan nya yang bagus dan ramah2 terimakasih juga buat malaikat yang sudah melayani saya dengan sangat baik dan ramah kalian pantas 5 bintang,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9987830519676208,Service Quality,Service Quality (0.99); Guest Experience (0.96); Food & Beverage (0.95)
Rika Rosita,2025,5,secara keseluruhan oke hanya sedikit kurangnya sabun mandinya belum ke cek sudah habis dan lokasi karena strategis jadi juaranya daerah macet klu nginap disini u kebutuhan kerja harus mengatur waktu secara baik,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9948626160621643,Facilities & Amenities,"Facilities & Amenities (0.92); Location, Accessibility & Parking (0.75); Service Quality (0.73)"
Aurelia cantika,2025,5,sarapan hari ini luar biasa saya mengambil makanan ada kentang mustofa opor ayam orek tempe dan rasanya sangat memuaskan restoran nya sangat nyaman dan pelayanan mba ngesti nya sangat baikk,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9993563294410706,Service Quality,Service Quality (1.00); Facilities & Amenities (0.99); Guest Experience (0.98)
RICH ANDREAN,2025,5,Pelayanan hotel sangat baik staf ramah dan cepat membantu kamar bersih nyaman dan fasilitas berfungsi dengan baik lokasi juga strategis sangat direkomendasikan untuk menginap dan pasti akan kembali lagi,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9991406202316284,Facilities & Amenities,Facilities & Amenities (1.00); Service Efficiency & Responsiveness (1.00); Service Quality (1.00)
Sharina Hussin,2025,5,Selama menginap saya sangat merasa senang mulai dari kamar dan pelayanan di restoran yang terbaik semua pelayan sangat ramah dan melayani sepenuh hati terutama mba malaikat yang telah melayani saya terima kasih mercucu,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9991245865821838,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Guest Experience (0.99); Facilities & Amenities (0.99)
lia geminy,2025,5,hotelnya bagus bersih kamarnya pelayanan staf ramah makanan enak sarapan lengkap pengaaman pertama berkesan sekali terima kasih mbak angel,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9995032548904419,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Guest Experience (0.99); Facilities & Amenities (0.98)"
Alya Muthia,2025,5,Saya kebetulan ada acara yang diadakan di hotel ini semua sudah baik untuk ruangan saya nyaman dan saya juga bisa makan siang untuk makanan yang lumayan enak dan restoran saya juga nyaman untuk pelayanan saya suka sekali ke mba angel sangat membantu saya dengan senyuman yang ramah dan cekatan terimakasih ya mba angel,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9992576241493225,Facilities & Amenities,Facilities & Amenities (0.99); Room Quality & Comfort (0.96); Staff Conduct & Hospitality (0.95)
Iren,2025,5,sarapan hari ini enak makannya enak enak nasgor nya saat enak restorannya bagus interior ny estetik pelayan nya juga rama rama terutama kak ngesti trimakasih sudah membantu oh ya setiap minggu ada aktivitas anak anak khusus jdi rekomendasi untk anak2 datang kesini buat main di hari minggu,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9993727803230286,Facilities & Amenities,Facilities & Amenities (0.95); Guest Experience (0.95); Service Quality (0.95)
Aulia Ayundari,2025,5,saya menginap untuk keperluan pekerjaan kamarnya luas dan nyaman staf ramah untuk sarapnnya enak standar hotel gymnya kecil tapi cukup lengkap catatan selama menginap terdengar suara dari ruang sebelah kamar staf sebenarnya tidak mengganggu saat siang hari tapi saat malam hari cukup mengganggu,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9983404874801636,Facilities & Amenities,Facilities & Amenities (0.98); Staff Conduct & Hospitality (0.97); Room Quality & Comfort (0.97)
risma nurfitriawaty risma,2025,5,Alhamdulillah kita menginap dsni lagi ni dari mulai saya belum ada sampai usia skg 3 5 tahun kalau dihitung mungkin sudah lebih dari 5x y kita sl minta menginap dsni karena ada pekerjaan pelatihan jg mcu karena menurut kita itu kamar hotelnya oke banget nyaman sekali layanannya pun sangat enak dihati ramah dan baik2 terutama dandi ini gercep banget y memutuskan kerjaannya terus lokasinya yang strategis dari tol lgsg bisa masuk hotel tanpa jam banyak drama makanannya pun tidak kalah enak ini sampai kita berdiri dari pagi sampai mo tutup karena antusiasnya mau mencoba semua makanannya dan yang terpenting,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9974028468132019,Facilities & Amenities,Facilities & Amenities (0.99); Service Efficiency & Responsiveness (0.99); Room Quality & Comfort (0.98)
Qeisya Maritza,2025,5,sarapan hari ini makanannya enak banget yang paling saya suka sih pencake nya enak lembut kokocrans nya juga ada jus gratis semangka manis enak jg pelayanannya juga rama rama kak ngesti terimakasih,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9993492960929871,Service Quality,Service Quality (0.95); Guest Experience (0.89); Food & Beverage (0.88)
Arashy,2025,5,kamar bersih dan untuk makanan rasanya enak serta di bagian resto pelayanannya sangat baik,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9991281628608704,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Service Quality (1.00); Food & Beverage (0.99)"
Ishak Nurdin,2025,5,tempat yang sangat strategis hotel yang sangat nyaman dekat dengan transportasi umum makanannya sangat enak pelayanannya sangat memuaskan trimakasih atas layanan di restoran ya mba desi tetap semangat dan sukses,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9995198249816895,Service Quality,Service Quality (0.99); Facilities & Amenities (0.98); Guest Experience (0.97)
Indi Sefia,2025,5,hotelnya sangat bagus stafnya nya ramah sekali yang bernama mba ira salut banget asik diajak ngobrolnya dan anak saya sempat dibikinin gajah dengan menggunakan tangan saya selanjutnya jika menginap di hari rabu lagi akan sangat senang jika bertemu mba ira,KOMPETITOR,Bintang 4,MercureJakartaSimatupang,positive,0.9986711740493774,"Loyalty, Recommendation & Appreciation","Loyalty, Recommendation & Appreciation (0.98); Staff Conduct & Hospitality (0.97); Service Quality (0.97)"
