User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Bayu Zulfahmi,2025,5,menginap di hotel mercuir samarinda selalu memberikan rasa nyaman suasananya modern namun tetap hangat didukung pelayanan yang ramah dan sopan serta kamar yang rapi sehingga waktu istirahat terasa lebih berkualitas nilai tambahnya hotel ini memiliki akses langsung ke pusat kota dan xxi membuat aktivitas makan belanja atau hanya menonton film jadi sangat praktis tanpa perlu keluar daerah hotel pengalaman menginap yang santai elegan dan meninggalkan kesan bahagia dari awal hingga akhir,KOMPETITOR,Bintang 4,MercureSamarinda,positive,0.9994589686393738,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99)"
Probo Wicaksono,2025,1,Saya sudah minta kamar untuk dibersihkan ke rumah menjaga dan resepsionis tetap saja saat saya kembali ke kamar kamar kamar masih belum dibersihkan saya adukan ke rumah menjaga dan resepsionis tidak ada penjelasan yang masuk akal saat saya marah mereka baru ingin membersihkan tapi saat itu saya pulang sudah malam jam 21 30 kondisi sudah lelah tidak mungkin untuk saya keluar kamar lagi koordinasi timnya 0 pelayanan 0,KOMPETITOR,Bintang 4,MercureSamarinda,negative,0.9989796280860901,Guest Experience,Guest Experience (0.80); Check in/out Experience (0.56); Complaint Handling & Service Recovery (0.47)
Asih Ekowahyudi,2025,5,Pelayanan memuaskan fasilitas kamar oke makanan pun jg enak banyak pilihan menu pelayanan cek masuk dan cek keluar jg bagus pelayan di kantor depan cukup ramah dibantu oleh kk arly lauren dan amel jg kak rifky,KOMPETITOR,Bintang 4,MercureSamarinda,positive,0.9992382526397705,Check in/out Experience,Check in/out Experience (1.00); Facilities & Amenities (0.99); Service Quality (0.96)
Merlyn,2025,5,untuk makanan yang bervariasi menuunya dan enak2 semua pelayanan oke dan kamar pun bersih dan nyaman terletak di tengah kota dan menyatu dengan mall city centrum cari apa saja dekat terutama yang bawa anak-anak,KOMPETITOR,Bintang 4,MercureSamarinda,positive,0.9993240833282471,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (1.00); Room Quality & Comfort (0.99)"
D1M,2025,5,untuk 4 bintang adalah standar yang bagus di sini gym baik bersih dan juga pemandangan terbaik tapi tolong dispenser Anda cara untuk mengisi air benar-benar tidak baik mungkin cara lain untuk layanan akan lebih baik,KOMPETITOR,Bintang 4,MercureSamarinda,negative,0.8649138808250427,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.99); Facilities & Amenities (0.99); Service Quality (0.93)"
willem hendrik,2025,5,kamarnya besar bersih dan nyaman lokasinya strategis di kota dan layanannya sangat memuaskan sehingga ingin kembali lagi ke sini,KOMPETITOR,Bintang 4,MercureSamarinda,positive,0.9990965127944946,Room Quality & Comfort,Room Quality & Comfort (1.00); Facilities & Amenities (1.00); Service Quality (1.00)
Susiati Puspasari,2025,5,kasur empuk kamar mandi bersih tidak tersumbat air panas mandi lancar sayangnya dari segi makanan sarapan dan maksi kurang bervariasi yang lumayan enak ikan dori sambal matah dan salad buah krim brulee nya juga oke yang lain kurang direkomendasikan,KOMPETITOR,Bintang 4,MercureSamarinda,positive,0.9901003241539001,Facilities & Amenities,"Facilities & Amenities (0.71); Cleanliness, Hygiene & Maintenance (0.69); Food & Beverage (0.59)"
Sherena Kitchen,2025,5,Hotel pelayanan super ramah layanan bagus apalagi buat saya yang bercadar karyawan restorannya saat sarapan ramah banget dan mengarahkan ke tempat duduk yang lebih pribadi agar lebih mudah sarapannya kamar bersih resepsionisnya juga ramah sangat direkomendasikan,KOMPETITOR,Bintang 4,MercureSamarinda,positive,0.999362051486969,Service Quality,Service Quality (1.00); Staff Conduct & Hospitality (0.99); Service Efficiency & Responsiveness (0.99)
Syifa royahin,2025,5,hotel mercure benar benar memberikan pengalaman menginap yang menyenangkan makanannya enak dengan banyak pilihan yang menggugah selera kamarnya bersih rapi dan sangat nyaman pelayanannya juga luar biasa terutama dari pak alfons yang sangat ramah dan membantu terima kasih untuk pengalaman yang memuaskan,KOMPETITOR,Bintang 4,MercureSamarinda,positive,0.999308705329895,Staff Conduct & Hospitality,"Staff Conduct & Hospitality (1.00); Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00)"
Rizki Dwikurniawan,2025,5,Hotel ini menawarkan kenyamanan dan kebersihan yang optimal dengan hidangan restoran yang lezat sangat direkomendasikan bagi anda yang mencari hotel waktu tinggal di samarinda,KOMPETITOR,Bintang 4,MercureSamarinda,positive,0.9993206262588501,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (1.00); Food & Beverage (0.99)"
