User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Nathan A.T,2025,5,Hotel baru ini masuk pusat di pontianak adalah luar biasa dan hanya yang terbaik dari staf super ramah indah bali villa seperti terasa luar biasa makanan luas modern kamar hotel ini telah meledak harapan saya lagi dan lagi ini adalah dengan jauh hotel terbaik masuk kota ini dengan pilihan sarapan alacarte luar biasa masuk restoran memeriksa foto saya untuk makanan saya mencoba hotel ini juga dilengkapi dengan modern kehidupan fitness gym anak klub dan bahkan sauna kolam renang besar bahkan menawarkan sarapan masuk kolam renang dan berbagai air anak bermain area untuk anak-anak Anda dan staf di sini siap untuk panggilan,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,positive,0.9989250302314758,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Staff Conduct & Hospitality (1.00)
Nurulashiqin Mohd Sapawi,2025,5,Dear Novotel tim saya ingin mengungkapkan apresiasi tulus saya untuk layanan pelanggan yang sangat baik yang saya terima selama saya tinggal di Novotel dari saat saya tiba staf Anda profesional ramah dan sangat memperhatikan kebutuhan saya mereka selalu bersedia untuk membantu dengan senyum membuat saya tinggal nyaman dan menyenangkan tingkat layanan ini benar-benar mencerminkan standar tinggi dari merek Novotel terima kasih untuk menyediakan pengalaman yang menyenangkan seperti saya berharap untuk tinggal di Novotel lagi masuk masa depan,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,positive,0.9982269406318665,Service Quality,Service Quality (1.00); Guest Experience (1.00); Staff Conduct & Hospitality (1.00)
tiarbah pontianak,2025,5,menginap di novotel pontianak bersama keluarga merupakan pengalaman yang sangat menyenangkan sejak proses check masuk staf hotel sudah menunjukkan pelayanan yang ramah dan cepat profesional sehingga kami merasa langsung nyaman kamar yang kami tempati cukup luas bersih dan tertata dengan baik sangat cocok untuk menginap bersama keluarga tempat tidur nyaman fasilitas lengkap serta kebersihan kamar dan kamar mandi terjaga dengan sangat baik anak juga merasa betah selama menginap fasilitas hotel mendukung kebutuhan keluarga terutama kolam renang yang bersih dan aman untuk anak daerah publik hotel juga nyaman dan terwat untuk menu pilihan sarapan cukup beragam rasanya enak dan cocok untuk semua lokasi hotel strategis dekat dengan pusat kota dan berbagai tempat kul,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,positive,0.9994346499443054,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (1.00); Cleanliness, Hygiene & Maintenance (1.00)"
Dinda Da Nela,2025,5,Secara keseluruhan oke sempurna keramahan makanan luar biasa kamar r oke luas dan nyaman ide bagus buat yang mau menginap disini kolam renang juga bagus dan pemandangan adalah chef kiss mas gufron membantu saya baik selama menginap masuk novotel terima kasih kepadanya jadi saya tidak clueless masuk di sini terima kasih mas,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,positive,0.9994035959243774,Facilities & Amenities,Facilities & Amenities (1.00); Room Quality & Comfort (1.00); Guest Experience (1.00)
Qyu Video,2025,2,kamar kamar bersih rapi karena baru tapi kurang gantungan baju di kamar mandi serta tidak ada ketersediaan sabun tisu di WC jadi perlu di pertanyakan kebersihannya beberapa bulan kedepan secara layanan sangat tidak ikhlas termasuk masalah parkir di mana bisa saja parkir di depan tapi demi acara diminta parkir dibelakang padahal kami penghuni kamar bukan acara pengantin pengalaman pemesanan di website juga sebenarnya menarik karena kamar tersedia klo lewat telepon diinfo klo sudah penuh buku kan aneh hanya untuk prioritas yang nikahan disana lalu ketika permintaan selamat ulang tahun saat kami masuk kamar ternyata meskipun sudah di telepon sehari sebelumnya tetap tidak tersedia perlu pembenahan atas nama besar novotel,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,negative,0.9968891739845276,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.99); Cleanliness, Hygiene & Maintenance (0.98); Booking & Reservation Experience (0.97)"
Ruslan Ruslan,2025,1,kami dari panitia fg merasakan pengalaman terburuk selama mengadakan bahkan besar di hotel semua yang di janjikan di ingkari ini menjadi pengalaman pertama dan tidak akan lagi bekerja dengan hotel ini dalam bentuk apapun,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,negative,0.9982655644416809,Check in/out Experience,Check in/out Experience (0.66); Guest Experience (0.66); Booking & Reservation Experience (0.51)
muhammad khairudin,2025,5,sarapan di sini luar biasa pilihannya banyak rasanya enak dan sangat cocok untuk keluarga anak anak juga betah karena daerah anak sudut nya lengkap dan bersih sekali kolam renangnya terawat bersih dan nyaman digunakan seluruh stafnya sangat ramah terima kasih kepada pak indra bu astri dan tim f b yang sudah memberikan pelayanan yang sangat menyenangkan,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,positive,0.9994934797286987,Family & Group Friendly,Family & Group Friendly (0.99); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.98)
Wawank Urniawan,2025,1,kamar tidak kedap suara berisik dari sisi atas maupun samping sangat mengecewakan untuk sekelas hotel yang berada di jantung kota,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,negative,0.9954997897148132,Guest Experience,Guest Experience (0.93); Service Quality (0.91); Facilities & Amenities (0.76)
Satria Rangga Maulana,2025,1,Kami sudah datang terlambat di jam 3 harapan kami bisa langsung masuk kamarnya rupanya berdesuruh menunggu hingga 1 jam lebih saat ditanya kembali rupanya kamar kita belum siapkan bintang 1 pelayanan,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,negative,0.9967578053474426,Service Quality,Service Quality (0.91); Guest Experience (0.80); Check in/out Experience (0.75)
Lana Islamiyah,2025,5,kamarnya luas bersih dan nyaman ballroomnya besar mewah bersih sudah ada fasilitas videotronnya satu kekurangannya mini tamannya bukan tamanan hidup tapi hanya tanaman bunga plastik saja pelayanannya oke banget kami dilayani dengan baik semua pegawainya ramah2 termasuk mas agung yang sudah membantu saya dalam kegiatan rapat kemaren mas agung sangat cekatan inisiatif dan siap membantu sehat2 terus membuat mas agung dan kawan2 di sana kalau ke pontianak sudah pasti menginapnya di novotel,KOMPETITOR,Bintang 4,NovotelPontianakConventionCentre,positive,0.9993222951889038,Family & Group Friendly,Family & Group Friendly (0.96); Staff Conduct & Hospitality (0.96); Facilities & Amenities (0.95)
