User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Titi Hardiman,2025,5,Kami menikmati menginap kami gym besar dan dilengkapi dengan baik lokasi strategis karena jarak berjalan kaki ke banyak tempat makan ketika kamar anak-anak mandi saya adalah masalah teknisi datang dan benar-benar diperbaiki itu kamar nyaman staf layanan baik,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.9986880421638489,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (1.00); Room Quality & Comfort (0.99)
Royal Foster,2025,5,Saya memiliki pengalaman yang luar biasa tinggal di Novotel Solo dari saat saya tiba layanan luar biasa staf benar-benar hangat ramah dan selalu siap untuk membantu dengan senyum kamarnya luas bersih dan sangat nyaman tempat tidur sempurna untuk tidur malam yang hebat dan semua merasa modern dan baik dipelihara fasilitas termasuk kolam renang dan gym juga sangat baik dan menambahkan banyak untuk keseluruhan tinggal apa yang benar-benar berdiri keluar adalah seberapa cepat dan perhatian tim adalah setiap permintaan ditangani dengan cepat dan profesional staf benar-benar pergi di atas dan melampaui sebuah teriakan khusus keluar ke anggota tim penjualan,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.9988157749176025,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.99); Service Efficiency & Responsiveness (0.99)
Rizly Sativa Andani,2026,5,malam di hotel novotel solo lokasi nya sangat strategis dengan pusat kota maupun kuliner untuk pelayananannya saya beri bintang 5 kepada staf yang ada di hotel novotel super baikk dan ramah terhadap para tamu yang menginap bahkan jika kami memiliki kesulitan bagi staf menjelaskan dengan detail dan membuat informasi tersampaikan dengan baik dan jelas tentunya untuk kerapian dan kebersihan kamar sudah tidak perlu di ragukan kembali bersih ac nya dingin hihi untuk kamar mandi juga tidak ada masalah dnegan udara nya kencang dan bersih terima kasih kepada staf hotel novotel solo semoga kedepannya selalu memberikan pelayanan yang baik semoga kedepannya dan semoga selalu kedepannya,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.9993391633033752,Staff Conduct & Hospitality,"Staff Conduct & Hospitality (1.00); Cleanliness, Hygiene & Maintenance (1.00); Service Quality (1.00)"
Frans Riyanto,2025,5,Lokasinya sangat strategis sarapan cukup bervariasi ada masalah plafon bocor di kamar mandi tapi dari pihak novotel cukup respon mengecek dan menginformasikan kamar akan dipindah sesuai tipe pesanan kolam renang bersih dan cukup luas untuk ukuran perkotaan secara keseluruhan saya puas untuk kali pertama menginap di hotel ini,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.9990098476409912,Service Quality,Service Quality (0.99); Service Efficiency & Responsiveness (0.99); Facilities & Amenities (0.99)
Dina Riana,2025,5,Natal makan malamnya oke harga terjangkau pilihan makanan lengkap temanya cukup natal usulan jika bisa disediakan susu buat sambil minum kopi dan teh pelayanan oke banget staf ramah dan melayani dengan baik,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.9993882179260254,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Food & Beverage (0.99); Pricing & Value for Money (0.99)
Rds TV (Ardys Channel),2025,5,jangkauan dari stasiun kereta sangat mudah pelayanan sangat baik fasilitas cukup lengkap dan kebersihan bagus sangat baik petugas an dina rizki sangat ramah dan sangat membantu ob sangat ramah dan baik terimakasih atas layanannya,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.9994683861732483,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Service Efficiency & Responsiveness (0.99)"
Indra Dewi,2025,5,langganan menginap di novotel solo sudah bertahun tahun selalu disediakan minuman yang ramah yang menyegarkan pelayanan selalu memuaskan kamar wangi dan bersih ada kamar keluarga dengan tempat tidur yang besar cocok untuk ber 3 pelayanan restoran juga baik menu selalu berganti setiap hari kolam renangnya juga enak ada 2 tempat di kanan dan kiri kolam ramah anak dengan kedalaman sesuai untuk anak parkir luas sayangnya tidak ada vallet parkir secara keseluruhan oke banget pelayanan di novotel lokasi strategis di tengah kota,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.9995588660240173,Family & Group Friendly,Family & Group Friendly (0.87); Facilities & Amenities (0.85); Service Quality (0.82)
Santi Dewi,2025,4,lokasi strategis kamar cukup bersih ac dingin tapi sayang hari ini tgl 1 november 2025 ada kejadian kurang enak saat c keluar kami rombongan mengambil 3 kamar kebetulan 1 kamar di lt 4 n 1 kamar di 821 sudah keluar c lebih awal dari saya kunci sudah mrk serahkan dan mrk diperkenankan meninggalkan hotel 2 jam berselang saya c keluar dilayani oleh mbak f kunci saya serahkan dan setoran kunci tambahan saya minta kmd mbak f mengatakan bahwa tadi kamar 821 belum byr oreo yang ada di kamar saya msh berpikir positif dulu siapa tahu teman saya lupa dalam hal ini aneh saya tanya saat 8 mmg,KOMPETITOR,Bintang 4,NovotelSolo,negative,0.8182300925254822,Booking & Reservation Experience,Booking & Reservation Experience (0.59); Service Quality (0.57); Check in/out Experience (0.56)
Grace Natalia,2025,5,memiliki tinggal yang luar biasa di Novotel hotel solo kamarnya bersih nyaman dan baik dipelihara membuat kunjungan saya benar-benar santai lokasi hotel juga nyaman dan mudah untuk mengakses sebutan khusus untuk yasmin di resepsi dia sangat membantu ramah dan profesional sepanjang menginap saya keramahan hangat dan bantuan benar-benar membuat perbedaan dan meninggalkan kesan besar sangat merekomendasikan hotel ini untuk siapa pun yang mengunjungi solo layanan besar besar tinggal,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.999225378036499,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.96); Staff Conduct & Hospitality (0.95)"
Rasmiati Suwarno,2025,5,Alhamdulillah 2 hari menginap di novotel solo kemana2 jangkauan dekat menghindari kemacetan karena lokasi sgt strategis di tengah kota tidak capek pagi ini berkenalan dengan mbak mungkin staf fb pelayanan bagus semua ramah dengan senyum khas solonya,KOMPETITOR,Bintang 4,NovotelSolo,positive,0.99937903881073,Service Quality,Service Quality (0.98); Service Efficiency & Responsiveness (0.96); Staff Conduct & Hospitality (0.93)
