User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Monika Hilda,2025,5,lokasi hotel sangat strategis dekat dengan bandara depati amir dan juga area perkotaan cocok untuk yang datang ke bangka untuk urusan kerja maupun liburan kamar bersih staf ramah dan sarapan enak dengan pelayanan mas umar top sangat direkomendasikan untuk yang mencari hotel nyaman di dekat bandara,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9995025396347046,Staff Conduct & Hospitality,"Staff Conduct & Hospitality (1.00); Service Quality (0.97); Cleanliness, Hygiene & Maintenance (0.97)"
hoz bray,2025,5,baru saja menginap di novotel dan bener bener puas kamarnya luas dan bersih kolam renangnya keren banget buat santai sakit makanannya juga enak apalagi menu sarapannya banyak pilihan stafnya ramah semua bikin betah pokoknya dianjurkan banget buat yang cari hotel nyaman di kota bangka,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9994779229164124,Facilities & Amenities,"Facilities & Amenities (0.98); Staff Conduct & Hospitality (0.94); Cleanliness, Hygiene & Maintenance (0.94)"
Ray Chuneva,2025,5,menginap di novotel bangka dalam rangka ulang tahun orang tua dan jujur kami sekeluarga puas banget dari sampai z mulai dari sambutan hangat saat check masuk pelayanan yang cepat dan sopan sampai suasana hotel yang tenang dan bersih semuanya top notch kamar super nyaman bersih dan tertata rapi yang paling berkesan orang tua kami dapat kejutan kue ulang tahun dua kali dari hotel tidak berharap akan mendapatkan gerakan sehangat itu staf nya luar biasa ramah benar benar perhatian sarapan nya juga juara enak enak enak enak variatif dan semua menu segar terima kasih banyak untuk seluruh tim novotel bangka sukses terus dan semoga sebaik-baiknya banyak tamu yang ngerasain pengalaman,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9992287158966064,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Service Efficiency & Responsiveness (1.00); Facilities & Amenities (0.99)"
Fcsinar Naga,2025,5,seneng banget bisa menginap di hotel ini pelayanan nya bagus dan sangat membantu waktu kartu aku enggak bisa di gunakan langsung cepat banget di tanganin nya terus tempatnya wangi dan rapi petugasnya ramah banget,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9990341663360596,Service Quality,Service Quality (0.99); Service Efficiency & Responsiveness (0.99); Facilities & Amenities (0.99)
Muhammad Ramadhan,2025,5,Lokasinya nyaman dan aman serta pelayanannya baik transportasi tersedia seperti taksi bluebird yang dekat dengan hotel sehingga jika ingin kemana mana mana mana jadi mudah,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9991759657859802,Facilities & Amenities,"Facilities & Amenities (1.00); Safety & Security (0.99); Location, Accessibility & Parking (0.99)"
Ainun Sumala,2025,5,hotel paling nyaman dan bersih di pangkalpinang orang nya ramah ramah dan langsung ada taksi biru burung di depannya jadi kemana mana mana mana tidak ribet lagi,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9992417097091675,Service Quality,Service Quality (0.99); Service Efficiency & Responsiveness (0.97); Facilities & Amenities (0.96)
delvin wang,2025,5,Cafe nya enak buat nyantai dan juga tersedia bir konig dan singaraja,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9991468191146851,Food & Beverage,Food & Beverage (0.99); Facilities & Amenities (0.99); Guest Experience (0.92)
ardhiva narendra,2025,5,kamar hotelnya sangat bersih dan nyaman tempat tidur empuk ac dingin dan kamar mandi bersih dengan udara panas lancar interiornya juga modern dan estetik staf ramah dan responsif lokasinya strategis sangat puas menginap di sini top,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9995115995407104,Room Quality & Comfort,"Room Quality & Comfort (1.00); Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.99)"
MELISSA PURNAMASARI,2025,1,hotel dengan layanan terburuk yang pernah saya datangi saat datang tidak ada petugas dilobi kosong melompong sampai angkat koper besar yang bantu supir biru burung mau cek masuk celingak celinguk dulu cari orangnya nah sekarang saat pulangnya tidak ada tawaran bantuan sama sekali untuk bantu bawa koper gila sih ini hotel bintang 4 macam bintang 2 mana ac nya sepoi2 tidak benar2 pengalaman dibudget sekali setelan ac nya,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,negative,0.9991111159324646,Guest Experience,Guest Experience (0.80); Service Quality (0.77); Facilities & Amenities (0.75)
Peradi Sijanta Sitepu,2025,4,Lokasinya di jalan strategis diluar dipinggiran kota pangkalpinang bersih tempat parkir luas,KOMPETITOR,Bintang 4,Novotelbangka-Hotel&ConventionCentre,positive,0.9994840621948242,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (0.97); Location, Accessibility & Parking (0.97); Service Quality (0.95)"
