User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Tesalonika Dara Ivory,2026,5,Hotel Yellow Harmony adalah pengalaman yang fantastis hotel memiliki suasana yang sangat dinamis modern dan energik yang berdiri keluar dari hotel biasa masuk jakarta sorotan dari menginap saya adalah pasti pengalaman makan luar biasa layanan oleh vania saya ingin memberikan teriakan khusus keluar untuk vania dari tim restoran sebagai pelayan kami vania adalah sangat perhatian profesional dan ramah bahkan ketika restoran menjadi sibuk dia mengelola semuanya dengan senyum besar dan memastikan meja kami baik dihadiri untuk itu jarang untuk menemukan keramahan proaktif dan tulus terima kasih vania untuk,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9990864992141724,Guest Experience,Guest Experience (1.00); Staff Conduct & Hospitality (0.99); Personalized & Special Services (0.99)
eka putri rahmadhani,2026,5,waw suatu pengalaman yang tidak akan ku lupakan untuk menginap di hotel kuning harmoni sungguh 3 malam yang tidak sia sia sia sia sia berbaloi uang banget saya dari padang memang rencana jalan di jakarta bawa 2 orang anak usia 6 dan 2th ribet sih cuma anak merasa nyaman di hotel setelah capek sehari-hari mengeksplorasi jakarta staf staf sangat ramah sarapan bervariasi dan enak dan poin tambah baru ada indomaret titik yummy pilihan di bawah setiap malam jika lapar tidak perlu memesan makanan langsung cuss ke bawah varian yang mau dibeli banyak lalus kami dikasih kompliment kue oleh manajer nya terimakasih banyak sukses selalu hotel kuning harmoni,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9989677667617798,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.98); Facilities & Amenities (0.98); Service Quality (0.98)
Panji Putra mahesa,2026,5,Pelayanan fasilitas semua oke wkt sarapan pelayan a n mas farhan sangat baik dan maksimal sekali pelayanan nya semoga berikutnya nya bisa menikmati berenangnya walau bukan ambil kamar kamar kamar suite,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9989727735519409,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Food & Beverage (0.97)
Misriadi Mise,2026,5,memiliki pengalaman yang hebat di hotel Yello Harmony layanan itu energik ramah interaktif dan benar-benar tulus khusus terima kasih kepada Vania untuk memberikan pengalaman pelanggan yang sangat baik dia membuat tinggal merasa ramah dan berkesan jika Anda sedang mengunjungi Yello Harmony pastikan untuk mencari dia menulis ini sambil menikmati secangkir cappucino yang disajikan oleh Vania,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9990155696868896,Guest Experience,Guest Experience (1.00); Service Quality (1.00); Staff Conduct & Hospitality (1.00)
ok trx3,2025,4,bintang 5 kalau kuning kamar biasa bisa akses kolam renang overrall oke layanan nya sarapan oke kamar bersih nyaman ac dingin kamar mandi nya kenceng mandi minus di sabun cairnya tidak ada busa jadi tidak bersih apa aku yang udik wkwkw tapi oke lah semua pelayanannya staf super ramah teruskan guys anda membuat hari saya batuan,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9961638450622559,Facilities & Amenities,Facilities & Amenities (0.97); Service Quality (0.92); Guest Experience (0.84)
riski fatur,2025,1,Kondisi kamar saat pertama masuk sudah membuat tidak nyaman kebersihan terlihat asal asal beberapa area jelas tidak dibersihkan dengan baik dan terasa seperti kamar tidak benar dipersiapkan sebelum tamu masuk ini bukan soal kesempurnaan tapi soal dasar kenyamanan dan kebersihan yang membuat semakin menjaga kebersihan seperti ini dibiarkan begitu saja sebagai tamu saya jadi bertanya apakah penghematan benar-benar melakukan pengecekan atau hanya formalitas menginap jadi terasa tidak tenang karena terus merasa tidak nyaman dengan kondisi kamar dengan harga dan nama hotel seperti ini pengalaman kebersihan yang saya terima sangat tidak sebanding,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,negative,0.9959476590156555,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (0.99); Room Quality & Comfort (0.98)"
El galardo,2026,5,hotelnya berada di posisi yang strategis dengan pemandangan yang sangat bagus dan indah cocok untuk dilihat selain posisi hotel yang strategis dan pemandangan yang bagus kamarnya juga sangat nyaman dan aman dengan layanan yang sangat profesional ramah dan terlatih dan saya sempat bertegur sapa dengan salah satu hostkiping yang bernama ka april baik dan ramah banget,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9993897676467896,Service Efficiency & Responsiveness,Service Efficiency & Responsiveness (0.98); Service Quality (0.98); Staff Conduct & Hospitality (0.97)
ISTIANE FITRI JAYANTI,2025,5,hotelnya sangat nyaman dan terawat dengan baik pelayanannya memuaskan terutama mas zulfa yang sangat ramah sopan dan membantu terima kasih atas pelayanannya pasti aku ingin kembali lagi sih top,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9990752935409546,"Cleanliness, Hygiene & Maintenance","Cleanliness, Hygiene & Maintenance (1.00); Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99)"
Aura Bening,2026,5,keren hotel kuning ini sangat memuaskan dari segi makanan pelayanan oke dan yaa semuanya sangat baik terima kasih sama staf kak ayu kak panji dan chef hanif yang sangat membantu selama acara ulang tahun natal kemarin siang top bakal balik kesini lagi,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9991359114646912,Service Quality,Service Quality (1.00); Guest Experience (0.99); Service Efficiency & Responsiveness (0.99)
WILLY SEPTIYENI,2025,5,kamarnya bersih view nya bagus pelayannya ramah dan cepat respon terimakasih untuk mas ipan atas keramahan komunikasi dan pelayanannya semoga membaik terus dan semakin berkualitas layanannya terima kasih,KOMPETITOR,Bintang 4,YELLOHotelharmoni-Jakarta,positive,0.9993125200271606,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (0.99); Staff Conduct & Hospitality (0.99); Cleanliness, Hygiene & Maintenance (0.98)"
