User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Paul Fisher,2025.0,5,Jembaran Bali adalah pengalaman luar biasa dari saat pengemudi kami menjatuhkan kami kami disambut oleh seorang wanita Balinese mengenakan Kebaya tradisional dengan suara musik Balinese gamelan masuk latar belakang saya harus mengatakan pintu masuk dan lobi keduanya luar biasa taman adalah oasis dari getaran tropis dan suara burung dan air fitur kamar kami luar biasa kami tinggal masuk dua lantai suite di lantai empat dengan balkon menghadap ke taman terletak masuk bangunan satu kamar bersih dan raja tempat tidur sangat nyaman air con,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9990037083625793,Facilities & Amenities,Facilities & Amenities (0.98); Cultural & Heritage Experience (0.93); Guest Experience (0.79)
Taeng Zen,2025.0,5,Hotel ini sangat sangat indah hotel dan juga kamar semua staf sangat ramah dan membantu kita berada di ulang tahun kami dengan orang tua kami mendapat klub mezzanine kamar itu besar dan sangat nyaman tapi hanya satu minus hal adalah air con yang saya pikir itu bisa lebih dingin seperti bali itu sangat hangat staf klub juga sangat baik tapi ketika datang ke sangat sibuk itu akan menjadi layanan lambat kapanpun secara keseluruhan kita sangat menyenangkan untuk tinggal di sini dan itu akan menjadi pilihan pertama kita jika kita kembali untuk mengunjungi bali lagi terima kasih,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9983250498771667,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (0.99); Family & Group Friendly (0.98)
Tata Li,2025.0,5,Kami baru-baru ini mengadakan retret untuk 40 orang di hotel ini dan kami lebih dari terkesan dengan pengalaman sempurna dari awal sampai akhir lingkungan hotel adalah menakjubkan kolam renang besar pantai indah dan kebun yang subur menawarkan tempat foto yang indah yang tak terhitung jumlahnya memungkinkan kita untuk sepenuhnya menyelam masuk ke atmosfer Baline yang sempurna sementara hotel telah didirikan beberapa waktu kamar dan fasilitas sangat baik dipelihara dan dipelihara dan semua kamar sangat luas kami mengadakan makan malam selamat datang di bar matahari terbenam yang merupakan kemenangan mutlak,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9988250136375427,Facilities & Amenities,Facilities & Amenities (0.99); Family & Group Friendly (0.94); Guest Experience (0.93)
Mr Gee,2025.0,5,kami memiliki 3 malam di intercontinental resort bali sebagai keluarga ini adalah hotel besar dengan semua kualitas yang Anda harapkan dari intercontinental tanah luas dan tak bercampur ada banyak kolam untuk sesuai dengan segala usia meskipun bayangan adalah komoditas berharga dan agak kurang akses ke pantai mudah dan itu indah pasir lembut dan bersih banyak pilihan makanan masuk musim panas sarapan di kolam renang adalah cara yang menyenangkan untuk memulai hari staf besar dan layanan ko restoran Jepang sangat baik meskipun merasa sedikit terburu-buru untuk dihured keluar pada 10pm tapi sushi,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9994776844978333,Facilities & Amenities,Facilities & Amenities (1.00); Family & Group Friendly (0.99); Service Quality (0.99)
Abdulrahman Alamri,2025.0,5,Dear Intercontinental Bali Resort Team kami ingin mengungkapkan penghargaan kami yang tulus untuk hangat menyambut layanan yang sangat baik dan perhatian yang luar biasa kami terima selama kami tinggal di resor yang indah kami pengalaman kami benar-benar berkesan dan kami bersyukur untuk keramahan yang ditunjukkan kepada setiap anggota keluarga kami kami juga ingin mengucapkan terima kasih khusus kami kepada Agus dari taman gita restoran sopan santun tulus kebaikan terus berlanjut dan dedikasi tulus untuk pekerjaannya meninggalkan kesan yang luar biasa pada kita semua tolong menyampaikan terima kasih kami tulus kepada dia setiap anggota keluarga kami menghargai usahanya,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9959712624549866,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Quality (1.00); Family & Group Friendly (1.00)
Rendy Tjandra,2025.0,5,lokasi cukup dekat dengan bandara karya rebo dan djimbaran untuk hotel cukup bagus cuma sempat terkendala ac dan sudah dapat upgrade dari hotel untuk layanan sangat baik dan cepat bahkan manajernya datang untuk minta maaf juga jika menginap beberapa hari sarapannya itu2 mulu sih gk banyak berubah dan untuk orang indonesia lebih baik memesan makanan khusus jangan ambil makanan prasmanan nya permintaan khusus untuk nasi goreng atau mie biar rasa nya medok parkir juga cukup luas,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9888615012168884,Service Efficiency & Responsiveness,"Service Efficiency & Responsiveness (1.00); Service Quality (0.99); Location, Accessibility & Parking (0.98)"
Stephanie Harriman,2025.0,5,Selama tinggal kami kami memiliki kesenangan untuk bertemu seorang pria muda Ananta pada sarapan yang berdiri keluar dengan kebaikannya dan sikap hangat di luar itu setiap anggota staf sangat ramah menyambut dan menghormati selalu menyapa kami dengan senyuman dan berharap kami hari yang baik keramahan di sini benar-benar membuat perbedaan masuk pengalaman kami,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9989601373672485,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Guest Experience (1.00); Family & Group Friendly (0.98)
GRAND AL,2025.0,5,Resort ic bali apa kompleks megah sehingga hijau dan indah dipelihara memiliki beberapa kolam renang hiburan restoran semua yang Anda bisa berharap untuk juga memiliki beberapa kabin untuk pantai itu sendiri staf adalah auper baik satu-satunya hal yang saya bisa menyebutkan adalah bahwa kamar dan bangunan tua Anda melihatnya benar-benar baik masuk beberapa tempat tetapi setidaknya masuk bentuk yang baik tetapi bagi orang-orang yang menyukai kamar modern ini mungkin bukan fo Anda untuk lokasi saya benar-benar menikmati itu,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9978958368301392,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.98); Ambience & Design (0.91)
Helen Woodward,2025.0,5,Layanan luar biasa dari semua staf lebih baik dari resor Bali lainnya i telah tinggal masuk kami menyukai klub elegan ruang makan sore teh adalah sorotan makanan yang sangat baik masuk semua tempat kami menikmati klub kolam renang yang lebih kecil tetapi lebih intim khusus menyebutkan Yunda dai wi manajer klub dan Lisa hair stylist masuk salon kecantikan dan banyak lagi semua profesional ramah dan seamlessly efisien terima kasih untuk liburan yang menyenangkan,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.998604953289032,Service Quality,Service Quality (1.00); Service Efficiency & Responsiveness (1.00); Staff Conduct & Hospitality (1.00)
Dewi Soumiadatri,2025.0,2,Pro indah lanskap mewah fasilitas seperti sampo dan sabun baik interkontinental merek rumah pemeliharaan adalah teratur namun ponsel bau asap ketika Anda membuat panggilan mereka mungkin lupa untuk membersihkan telepon pegangan kons makanan masuk acak 3 bintang hotel masuk kuta jauh lebih baik dari makanan mereka saya mendapat keracunan makanan dan muntah buruk dari sarapan saya curiga dari beras tua yang mereka disimpan masuk lemari es dan disajikan lagi dan lagi beras kering dan tua putri saya mendapat keracunan makanan dari susu sebagian besar pilihan makanan tidak segar mungkin disiapkan hari sebelumnya untuk melayani besar,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,negative,0.9941841959953308,Facilities & Amenities,"Facilities & Amenities (0.99); Cleanliness, Hygiene & Maintenance (0.88); Service Quality (0.74)"
Amanda,2025.0,5,kamar besar yang baik tidak terlalu kerumitan bersih fasilitas besar layanan yang bagus lokasi yang bagus banyak restoran dekat jarak berjalan kaki melalui pantai jika Anda ingin makanan laut cinta akses langsung ke pantai kelemahan adalah bahwa pantai tidak begitu indah seperti pantai nusa dua air putih pasir jelas tapi masih cukup bersih untuk berenang sekitar kedua ini mungkin hotel bintang 5 pertama yang saya kunjungi yang kita harus membayar jika kita ingin bergabung dengan aktivitas anak-anak bahkan hanya terbang kite untung anak saya hanya suka bermain masuk klub anak-anak pantai mungkin lebih cocok untuk sampai 4yo selain itu hotel ini fantastis,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9969339370727539,Facilities & Amenities,Facilities & Amenities (0.99); Service Quality (0.93); Pricing & Value for Money (0.78)
Belinda Piesse,2025.0,5,Kami baru-baru ini tinggal di Intercontinental Bali Resort dan memiliki pengalaman yang paling luar biasa dari saat kami tiba kami disambut dengan hangat dan keramahan dan setiap detail dari penginapan kami adalah sempurna apa yang benar-benar berdiri keluar adalah staf mereka pergi di atas dan di luar untuk membuat kita merasa seperti kerajaan bepergian dengan alergi makanan sering bisa menjadi stres tetapi tim memastikan saya selalu baik merawat perhatian mereka membuat liburan kami tidak hanya bebas stres tetapi tak terlupakan Terima kasih khusus untuk Eko manajer di Taman gita suyasna pelayan di Taman gita lingga pelayan,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9971774816513062,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (1.00); Service Quality (1.00)
Dorene Mae,2025.0,5,masuk kamar 4316 kamar terasa cukup lembap karena kelembaban dan ada bau urin yang terus-menerus masuk toilet yang tidak pergi mandi bisa menggunakan bersih yang mendalam saya menemukan lembaran jamur yang dicampur masuk dengan vena marmer balkon kami memiliki pemandangan indah dari taman dengan sekilas lautan tapi sayangnya tidak menerima sinar matahari sehingga sulit untuk mengeringkan pakaian renang basah dan meninggalkan kamar merasa lembap dan lembab kami kemudian menyadari bahwa membuka pintu balkon membuat lantai kayu keras basah dari kondens,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,negative,0.8590417504310608,Facilities & Amenities,Facilities & Amenities (0.76); Ambience & Design (0.66); Cultural & Heritage Experience (0.62)
Emre Ozturk,2025.0,5,Kami benar-benar menyesal tidak memesan menginap lebih lama di hotel ini staf sangat membantu dan ramah membuat kami merasa sangat menyambut properti tidak pernah merasa terlalu ramai dan area tempat tidur matahari terbenam jarak yang baik memungkinkan untuk liburan yang sangat santai dan damai Anda bahkan dapat memesan langsung ke tempat tidur matahari Anda melalui kode QR yang sangat nyaman restoran-restoran yang elegan dan makanan sangat lezat kamar-kamar bersih nyaman dan baik dipelihara kami terutama menikmati bermain masuk gelombang dan berjalan-jalan matahari terbenam di sepanjang pantai luas itu adalah pengalaman yang tak terlupakan hotel ini juga sangat dekat dengan bandara yang,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9989093542098999,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Facilities & Amenities (1.00); Service Efficiency & Responsiveness (1.00)
Matthew Sainsbury,2025.0,3,ini adalah resort bintang lima masuk lokasi bintang lima dengan layanan bintang lima kolam renang menakjubkan di mana-mana dengan banyak kursi dek pantai yang indah di sana dan banyak makanan barat dan indonesia dan minuman pilihan sarapan buffet sangat mengesankan staf yang ramah membantu dan banyak kamarnya sangat nyaman dan mandi decadent lokasi juga sangat baik sekitar 20 menit dari bandara dan menyediakan akses yang sangat baik ke seluruh indah selatan pulau untuk menjadi jelas saya benar-benar mencintai hotel dan akan tinggal di sana lagi tanpa berpikir kedua jadi mengapa peringkat sayangnya kebisingan bocor dari,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9995220899581909,Facilities & Amenities,Facilities & Amenities (1.00); Staff Conduct & Hospitality (1.00); Service Quality (0.99)
Simon Norra,2025.0,5,Sejak kami tiba semuanya murni kesempurnaan resor menawarkan berbagai macam restoran masing-masing dengan suasana sendiri dan masakan yang sangat baik membuat setiap makan menjadi sorotan baru pada malam hari seluruh hotel berubah menjadi pemandangan seperti mimpi dengan desain cahaya yang menakjubkan menciptakan suasana hangat dan elegan di seluruh kebun dan kolam renang indah dan tak terlupakan menginap,KOMPETITOR,Bintang 5,InterContinentalBaliResort-Bali,positive,0.9985899329185486,Facilities & Amenities,Facilities & Amenities (1.00); Ambience & Design (0.99); Service Quality (0.98)
