User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Natalia Only,2025,1,Parkir sangat sedikit mau valet disuruh ke sana ke sini lempar2 an mulu petugasnya trus akhirnya disuruh ke b2 eh b2 ditutup harus kembali ke b1 dan berujung parkir di satu satrio sangat amat tidak disarankan ke sini bawa mobil gedeg asli ke resto sailor besok hari libur memperbaiki tidak akan kembali lagi ke sini penuh trauma,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,negative,0.9991863369941711,"Location, Accessibility & Parking","Location, Accessibility & Parking (0.92); Complaint Handling & Service Recovery (0.69); Guest Experience (0.68)"
Alan M,2025,5,Hotel yang indah terhubung ke sebuah pusat perbelanjaan modern besar dengan toko-toko fantastis dan harga luar biasa Anda tidak bisa benar-benar meminta lebih Aku ingin memberikan teriakan khusus keluar untuk staf yang sangat baik perhatian dan ramah termasuk terutama melanie mattie dan chef chef aku lupa namanya masuk ke klub m,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,positive,0.9991827607154846,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Personalized & Special Services (1.00); Service Quality (1.00)
Wijayaningrat 12,2025,5,Saya sangat puas atas pelayanannya tinggal kesinii setelah perjalanan jauh lalu disambut dengan karyawan yang ramah anak2 saya juga bahagia kamarnya bersih dan makanannya top semua pokoknya terima kasih jw marriott,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,positive,0.9991554021835327,Service Quality,"Service Quality (1.00); Cleanliness, Hygiene & Maintenance (0.99); Staff Conduct & Hospitality (0.99)"
Fatimah Zahrah,2025,3,habis makan malam disini semuanya bagus makanan enak layanan baik cuma sayang lift ke parkir sangat tidak layak lama untuk pintu terbuka sangat sebentar dibadingkan lift yang biasanya di tempat lain dan sensornya sudah tidak bagus anak saya terbentur pintu angkat baru pintunya merasa harus kebuka lagi hahaha mungkin dari jw marriot kurang peduli area pintu samping yah tapi bagi saya untuk sekelas hotel bintang 5 seharusnya hal tsb lebih diperhatikan,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,negative,0.6925210952758789,Service Quality,"Service Quality (0.68); Location, Accessibility & Parking (0.65); Facilities & Amenities (0.53)"
Pradahlan Sindu Mardiko,2025,5,25 September 2025 menjadi hari yang sangat berkesan dan penuh wawasan bagi saya dan tim di ajang Indonesia produk konferensi ipc 2025 yang diselenggarakan di jw marriott jakarta acara ini yang dipopulerkan oleh mixpanel dan diselenggarakan oleh apiary academy sukses besar menyajikan konten yang sangat relevan dan mendalam khususnya bagi para manajer produk dan pengusaha yang berfokus pada inovasi kesan pertama dan lokasi jw marriott jakarta seperti biasa menyambut peserta dengan standar profesionalisme tinggi video yang saya rekam menunjukkan karpet merah yang elegan di daerah masuk memberikan vibe acara yang eksklusif dan terorganisir lokasi yang,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,positive,0.9213719367980957,Guest Experience,Guest Experience (0.87); Check in/out Experience (0.50); Service Quality (0.37)
Lailatur Rahmi,2025,5,memiliki tinggal yang luar biasa di jw marriott kuningan layanan adalah tingkat atas staf yang ramah dan selalu siap membantu kamar-kamar yang luas bersih dan elegan dirancang sarapan buffet memiliki berbagai pilihan lezat lokasi sempurna dekat pusat perbelanjaan dan area bisnis pasti pengalaman bintang 5 layak kembali ke,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,positive,0.9993257522583008,Service Quality,Service Quality (1.00); Staff Conduct & Hospitality (1.00); Facilities & Amenities (0.99)
Bertha Akeyla,2025,5,Saya baru-baru ini memiliki kesenangan tinggal di jw marriott jakarta hotel bintang 5 yang melebihi harapan saya masuk setiap cara dari saat saya melangkah ke lobi elegan saya terpukul oleh suasana mewah hotel dan layanan sempurna kamar-kamar yang luas dan indah dilengkapi dengan perabot tidur mewah modern fasilitas dan pemandangan kota yang menakjubkan staf ramah perhatian dan pergi di atas dan di luar untuk memastikan menginap saya nyaman dan menyenangkan,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,positive,0.9990824460983276,Staff Conduct & Hospitality,Staff Conduct & Hospitality (0.99); Facilities & Amenities (0.99); Service Quality (0.98)
Jeff Salyer,2025,5,Aku baru-baru ini menghabiskan 7 malam di properti ini itu adalah pengalaman yang hebat dengan layanan yang luar biasa dan makanan lokasi yang sempurna untuk bisnis saya dan saya pasti akan tinggal di sini lagi,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,positive,0.9980998635292053,Service Quality,Service Quality (1.00); Facilities & Amenities (1.00); Food & Beverage (1.00)
Amira rizka rozi,2025,5,saya sangat puas menginap di jw marriott pelayanannya luar biasa ramah dan profesional sejak check masuk sampai check keluar kamar sangat bersih nyaman dan dilengkapi fasilitas lengkap lokasinya juga strategis sarapan yang disediakan sangat bervariasi dan enak cocok untuk semua selera kebersihan kamar dan area umum seperti lobi dan restoran juga sangat terjaga staf hotel selalu membantu dan sangat sopan suasana hotel tenang cocok untuk istirahat saya benar benar merasa seperti di rumah sendiri sangat direkomendasikan untuk wisatawan maupun perjalanan bisnis pasti akan kembali ke sini lagi,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,positive,0.9994127750396729,Facilities & Amenities,"Facilities & Amenities (1.00); Cleanliness, Hygiene & Maintenance (0.99); Staff Conduct & Hospitality (0.99)"
Bastian Imanuel,2025,1,pelayanan di makan malamnya tidak ramah kamar bau pelayanan keamanan tidak ramah sembarang buka pintu mobil sangat kecewa dengan pelayanannya,KOMPETITOR,Bintang 5,JWMarriotHotelJakarta,negative,0.999294638633728,Food & Beverage,Food & Beverage (1.00); Guest Experience (1.00); Safety & Security (0.98)
