User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Sentiment_Score,AI_Primary_Theme,AI_All_Themes
Shekinah Baguhin,2025,5,Saya memberikan rating bintang 5 hotel ini akomodasi sangat bagus dan baik dipelihara juga memiliki gym yang saya sangat menikmati terutama ruang latihan kelompok sempurna untuk seorang introvert seperti saya yang lebih suka bekerja keluar masuk ruang pribadi saya juga menikmati kolam renang banyak sarapan buffet yang hebat menawarkan berbagai pilihan mulai dari masakan Asia ke Barat dan Amerika,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.9991488456726074,Facilities & Amenities,Facilities & Amenities (1.00); Service Quality (0.99); Family & Group Friendly (0.98)
Abdiel Marvega Shindutirta,2025,5,pullman thamrin telah menjadi salah satu hotel favorit kami masuk jakarta selama beberapa tahun terakhir lokasinya hanya sempurna mungkin yang terbaik masuk kota terletak tepat di seberang dari bundaran hi jantung jakarta itu menawarkan kenyamanan dan pemandangan tak terkalahkan kita beruntung untuk tinggal di sana selama akhir pekan ketika thamrin jalan tuan rumah mobil hari gratis yang membuat pengalaman kami bahkan lebih menyenangkan dan baik bulat staf seperti selalu sangat baik dari resepsi ke tim restoran layanan adalah level atas tidak akan berbohong kamar itu sedikit tertanggal tapi itu masih sangat baik dipertahankan dan bersih kami,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.999479353427887,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Facilities & Amenities (0.99); Service Quality (0.99)
Nawwaf Zahra,2025,4,Aku pikir mereka mengenakan biaya ekstra untuk itu tidak yakin Anda dapat memeriksa dengan hotel untuk ini apa yang saya telah menunggu dari tinggal sebenarnya sarapan mereka Aku senang melihat berbagai macam makanan mereka masuk sarapan mereka buffet sayangnya masakan Indonesia mereka mendarat sedikit underwhelming untuk saya terutama dibandingkan dengan pilihan makanan lainnya masakan cina mereka sangat lezat meskipun saya berharap mereka,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.9977891445159912,Food & Beverage,Food & Beverage (0.89); Guest Experience (0.85); Pricing & Value for Money (0.84)
Nurazlina Marzukee,2025,5,Pengalaman tinggal saya di Pullman Jakarta CBD Thamrin benar-benar luar biasa kami diperlakukan dengan sopan dan dimanjakan dengan layanan yang benar-benar hangat dan menyenangkan luar biasa dan layanan yang sangat baik disediakan oleh AAP dan Martina dengan aliran jamu gratis dan minuman disajikan dengan tulus dan selalu dengan senyum saya akan membawa kenangan indah ini dari Pullman Jakarta dengan saya dan saya akan pasti kembali harap untuk kunjungan saya berikutnya cinta Michelle Lin Azlina,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.9990373849868774,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Quality (1.00); Facilities & Amenities (1.00)
Nur K.,2025,4,Aku suka area resepsi tapi kamar yang kami dapatkan adalah tanggal kamar 536 memiliki masalah dengan penyesuaian switch air panas adalah iffy tingkat 5 kamar tampak tempat yang sama sekali berbeda dari suasana resepsi khusus teriakan ke pur bell yang sangat cepat dan ramah memang ia mewakili hotel dengan baik dengan kehangatan dan profesionalisme terima kasih lagi untuk keramahan Anda,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.9953893423080444,Staff Conduct & Hospitality,Staff Conduct & Hospitality (1.00); Service Efficiency & Responsiveness (1.00); Service Quality (1.00)
Nik Ahmad Farid Nik Mohamed,2025,5,di sana sini restoran chairil sangat perhatian dan membantu sarapan menyebar sangat luas dan nilai untuk uang jamu minuman adalah hotel yang luar biasa menawarkan lokasi yang kuat tetapi kamar-kamar terlihat sedikit lelah dan tanggal pengalaman keseluruhan yang baik pesaing kuat untuk tinggal berulang,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.9970023036003113,Food & Beverage,Food & Beverage (1.00); Facilities & Amenities (0.99); Guest Experience (0.99)
Kasi Ram,2025,5,Umpan balik untuk Hotel Pullman Jakarta Saya ingin memulai review saya dengan menghargai Bu yani manajer yang selalu ceria mendukung dan mengambil waktu setiap hari untuk terlibat dengan tamu kehadirannya benar-benar menetapkan nada positif untuk seluruh tim aset nyata Pullman adalah orang-orang dari bellboys untuk kantor depan tim semua orang rendah hati profesional dan benar-benar peduli tentang kenyamanan tamu Saya ingin mengambil seketika untuk secara tulus berterima kasih kepada semua anggota staf saya berinteraksi secara teratur dengan mba reta dan mba ella mereka sangat bijaksana dan perhatian saya sekali melewatkan waktu check-out saya dan,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.9972701668739319,Guest Experience,Guest Experience (0.99); Staff Conduct & Hospitality (0.99); Family & Group Friendly (0.99)
Mochi,2025,5,Terima kasih kepada staf dari resepsi ke concierge khusus menyebutkan Pur dan Ilhan mereka ramah membantu dan mengundang kamar hotel juga baik tapi barang-barang seperti papan besut dan TV telah menunjukkan tanda-tanda usia,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,negative,0.9762790203094482,Facilities & Amenities,Facilities & Amenities (0.99); Staff Conduct & Hospitality (0.99); Guest Experience (0.98)
Nazwa Dhita,2025,5,atas nama Kitaoneus Asia kami ingin mengucapkan terima kasih yang tulus kepada Hotel Pullman Thamrin Indonesia karena telah mengatur perayaan perayaan dengan inklusi acara yang benar-benar berkesan yang membawa kebahagiaan kreativitas dan pemberdayaan kepada anak-anak dengan cacat intelektual tuna grahita dan gangguan pendengaran tuli kami menyaksikan langsung bagaimana penuh perhatian seluruh program diselenggarakan anak-anak memberikan pertunjukan luar biasa pantomime yang menyentuh oleh anak-anak dengan gangguan pendengaran dan tarian Bali yang memikat yang dilakukan oleh anak-anak dengan gangguan intelektual dan pendengaran kompetisi memasak adalah,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.9972149133682251,Service Quality,Service Quality (0.90); Guest Experience (0.84); Family & Group Friendly (0.84)
Brutal & Honest Reviewer,2025,4,tekanan air yang lemah untuk mandi mendapatkan suhu yang tepat juga merupakan tantangan baik terlalu panas atau terlalu dingin klub lounge menawarkan berbagai makanan yang buruk hanya selama sarapan bahwa Anda mendapatkan menu untuk memilih Anda memasak untuk memesan hidangan utama namun sarapan ala carte makanan yang sangat baik lokasi yang besar tambah titik layanan tidak buruk juga,KOMPETITOR,Bintang 5,PullmanJakartaIndonesiaThamrinCBD,positive,0.9950706958770752,Service Quality,Service Quality (0.98); Facilities & Amenities (0.97); Guest Experience (0.92)
