Nama_Hotel,Top_Positif_Phrase,Bobot_Pos,Top_Negatif_Phrase,Bobot_Neg
Banaran 9 Resort,kebun kopi,0.8139,tidak terawat,-1.7513
Banaran 9 Resort,perkebunan kopi,0.6569,kurang terawat,-1.7351
Banaran 9 Resort,rawa pening,0.6046,kurang bagus,-1.3404
Banaran 9 Resort,bersama keluarga,0.5339,kurang perawatan,-1.0135
Banaran 9 Resort,tempat nyaman,0.4947,kamarnya kotor,-0.9706
Banaran 9 Resort,sky view,0.4601,view bagus,-0.767
Banaran 9 Resort,tempatnya bagus,0.4574,menu sarapan,-0.7483
Banaran 9 Resort,pemandangan indah,0.4489,ga nyala,-0.7322
Banaran 9 Resort,pemandangannya bagus,0.419,jalan kaki,-0.7259
Banaran 9 Resort,tempat bagus,0.3827,banyak kecoa,-0.7162
Brothers Solo,nyaman bersih,1.1625,kurang ramah,-1.4016
Brothers Solo,pelayanan ramah,1.1582,ga diganti,-1.2262
Brothers Solo,solo baru,1.1442,tidak enak,-1.1083
Brothers Solo,harga terjangkau,1.0707,bermasalah fasilitas tidak,-1.0385
Brothers Solo,lokasi strategis,1.059,kurang memuaskan,-0.9952
Brothers Solo,solo raya,0.8288,berisik suara,-0.9808
Brothers Solo,hair dryer,0.8259,kurang nyaman,-0.9774
Brothers Solo,kamarnya bersih,0.8105,bawah kasur,-0.9248
Brothers Solo,banyak pilihan,0.8036,kurang bagus,-0.8906
Brothers Solo,kota solo,0.8027,tamu lain,-0.8723
Codia Banjarmasin,bersih nyaman,0.4411,jika anda,-0.9494
Codia Banjarmasin,pelayanan bagus,0.3693,air panas tidak,-0.8016
Codia Banjarmasin,pelayanan ramah,0.3625,panas tidak,-0.8016
Codia Banjarmasin,tidak perlu,0.3618,anda ingin,-0.7853
Codia Banjarmasin,cocok buat,0.3349,ampun dah,-0.6855
Codia Banjarmasin,flight pagi,0.3067,ramah pelayanan,-0.6836
Codia Banjarmasin,terganggu suara,0.2983,air deras,-0.6708
Codia Banjarmasin,terletak bandara,0.2924,air panas,-0.6037
Codia Banjarmasin,air mineral,0.278,semuanya baikbaik,-0.5991
Codia Banjarmasin,ramah bersih,0.264,menginap disini,-0.5243
Cordia Banjarmasin,pelayanan bagus,0.3813,bandara pagi,-1.1746
Cordia Banjarmasin,bersih nyaman,0.3451,buruk sekaliii,-1.1189
Cordia Banjarmasin,ramah bersih,0.2893,jauh menuju kamarnya,-1.0988
Cordia Banjarmasin,tidak perlu,0.2836,jauh menuju,-1.0988
Cordia Banjarmasin,cocok buat,0.2545,ramah pelayanan,-1.0369
Cordia Banjarmasin,bersih rapi,0.2486,panas tidak,-0.7586
Cordia Banjarmasin,flight pagi,0.2433,air panas tidak,-0.7586
Cordia Banjarmasin,area bandara,0.2266,smart tv,-0.6984
Cordia Banjarmasin,enak sih,0.2226,dua staf,-0.6877
Cordia Banjarmasin,menunggu penerbangan,0.196,hanya dua staf,-0.6877
HAKA Hotel Semarang,lokasi strategis,1.8177,tidak kedap,-1.1453
HAKA Hotel Semarang,pelayanan ramah,1.563,pelayanan buruk,-1.1327
HAKA Hotel Semarang,makanannya enak,1.4431,tidak ramah,-1.06
HAKA Hotel Semarang,simpang lima,1.3332,pertama kali,-1.0501
HAKA Hotel Semarang,tengah kota,1.1998,terdengar suara,-1.0485
HAKA Hotel Semarang,makanan enak,1.1009,kurang bersih,-1.0392
HAKA Hotel Semarang,nyaman bersih,1.0669,tidak dibersihkan,-0.9975
HAKA Hotel Semarang,pusat kota,1.0405,queen size,-0.9811
HAKA Hotel Semarang,tempatnya nyaman,0.9904,tdk sesuai,-0.9603
HAKA Hotel Semarang,hotelnya bagus,0.9845,tempat sampah,-0.9567
Harper Jakarta MT Haryono,mas ezii,1.6861,bau rokok,-1.1205
Harper Jakarta MT Haryono,lokasi strategis,1.5953,ac mati,-1.0668
Harper Jakarta MT Haryono,makanan enak,1.5771,kurang nyaman,-1.053
Harper Jakarta MT Haryono,pelayanan baik,1.4905,aja ga,-1.053
Harper Jakarta MT Haryono,nyaman bersih,1.418,handuk tidak,-1.0365
Harper Jakarta MT Haryono,pelayanan ramah,1.4174,suite room,-1.0353
Harper Jakarta MT Haryono,kak andin,1.3564,kolam renang,-0.9875
Harper Jakarta MT Haryono,mba andin,1.3387,harus membayar,-0.9491
Harper Jakarta MT Haryono,terima kasih,1.3318,jadi tidak,-0.9478
Harper Jakarta MT Haryono,makanannya enak,1.2952,room service,-0.9434
Hotel Grand Surabaya,harga terjangkau,1.3866,mandi kotor,-1.3407
Hotel Grand Surabaya,kamarnya bersih,1.1174,kurang ramah,-1.226
Hotel Grand Surabaya,tengah kota,1.0581,bau rokok,-1.2213
Hotel Grand Surabaya,kota surabaya,1.0524,tidak memuaskan,-1.1463
Hotel Grand Surabaya,lokasi strategis,0.9494,tidak sesuai,-1.0798
Hotel Grand Surabaya,pelayanan ramah,0.9014,pelayanan kurang,-1.0775
Hotel Grand Surabaya,harga murah,0.8943,ga enak,-1.0678
Hotel Grand Surabaya,fasilitas lengkap,0.8887,breakfast kurang,-1.0217
Hotel Grand Surabaya,dekat pusat,0.8562,gak sesuai,-1.0188
Hotel Grand Surabaya,makanan kurang,0.8533,kurang bersih,-0.9994
Hotel Rattan Inn,rattan inn,1.4632,kurang enak,-1.3606
Hotel Rattan Inn,pelayanan ramah,1.1482,tidak ramah,-1.2387
Hotel Rattan Inn,kolam renang,1.0531,kurang ramah,-1.2213
Hotel Rattan Inn,menginap disini,0.988,tidak enak,-1.1288
Hotel Rattan Inn,hotelnya nyaman,0.9871,tidak seperti,-1.0354
Hotel Rattan Inn,enak enak,0.9238,banjar indah,-1.007
Hotel Rattan Inn,pelayanannya bagus,0.8186,baju renang,-1.0047
Hotel Rattan Inn,fasilitas lengkap,0.7226,kota nyaman,-0.9177
Hotel Rattan Inn,disini nyaman,0.7193,terlalu jauh,-0.9042
Hotel Rattan Inn,mba ira,0.717,aja ga,-0.8675
Inna Bali Heritage Hotel,kota denpasar,1.1035,service kurang,-1.2169
Inna Bali Heritage Hotel,pusat kota,0.9219,tidak enak,-1.1875
Inna Bali Heritage Hotel,lokasi strategis,0.7385,sdh lama,-1.1728
Inna Bali Heritage Hotel,tempat nyaman,0.6703,bener heritage,-1.1375
Inna Bali Heritage Hotel,nyaman bersih,0.5927,kurang terawat,-1.0881
Inna Bali Heritage Hotel,tempatnya bagus,0.5802,tidak nyaman,-1.0446
